split,session,policy,risk_n_days,risk_mean,risk_std,risk_sharpe,risk_sortino,risk_max_dd,risk_total,n_trades,d_sharpe_vs_base,d_sharpe_lo,d_sharpe_hi,d_sharpe_vs_wide,d_sharpe_vs_wide_lo,d_sharpe_vs_wide_hi
IS,NY_PM,regime_width,2404,-1.2841020174708755,12.36964495291395,-1.6479444361726403,-2.847373135973003,-3085.4374999999845,-3086.981249999985,2404,0.7247458796702815,0.4056965010650374,1.0380051303100473,-0.5591257321964076,-0.9502579260594493,-0.1790025668684969
IS,NY_PM,high_only_base,1361,-1.875505143277014,9.665099081476257,-3.080436206542618,-5.391386125809957,-2639.0125000000144,-2552.562500000016,1361,-2.107512343191785,-2.7852312062070164,-1.472172121675124,,,
Validation,ASIA,uncond_base,740,-1.6950506756756163,16.8162382973343,-1.6001257123719248,-2.9091455165263795,-1525.3874999999607,-1254.337499999956,740,,,,,,
Validation,ASIA,uncond_wide,740,-1.496798986486487,19.83002284557533,-1.1982309587042368,-1.9764273603292553,-1313.7187499999982,-1107.6312500000004,740,0.401894753667688,-0.29595097981590096,1.0599323728567955,,,
Validation,ASIA,regime_width,740,-1.4381672297296997,17.923348896601507,-1.2737684867504753,-2.2406777262702864,-1239.6937499999858,-1064.2437499999778,740,0.32635722562144953,-0.15275639761518056,0.7848559050272063,-0.07553752804623848,-0.5750860942213215,0.45284367239341305
Validation,ASIA,high_only_base,276,-1.9118659420289037,16.292468165219564,-1.8628197169662695,-3.605781977640111,-740.8499999999822,-527.6749999999774,276,-1.8058580700246907,-2.95276101641832,-0.6624775649819625,,,
Validation,LONDON,uncond_base,774,-1.8833817829456767,14.685083104579244,-2.035927118414409,-5.548492610291952,-1807.4249999999593,-1457.7374999999538,774,,,,,,
Validation,LONDON,uncond_wide,774,0.39626937984490906,20.256857503704776,0.31054083222958145,0.8025996974005984,-1108.5625000000382,306.7124999999596,774,2.3464679506439903,1.5873788590668327,3.1724441679452986,,,
Validation,LONDON,regime_width,774,-0.5971979974160052,16.365742947310867,-0.579272468001766,-1.6859489933370422,-1182.3749999999927,-462.231249999988,774,1.456654650412643,0.9535916788328088,2.026676982609246,-0.8898133002313475,-1.5372582598491402,-0.3103194871769195
Validation,LONDON,high_only_base,487,-3.2448408624229366,10.04230102820992,-5.129327596435392,-14.576330190806377,-1625.5749999999716,-1580.2374999999702,487,-2.0233555037735305,-3.4758367059196478,-0.6542053429907513,,,
Validation,NY_AM,uncond_base,774,-9.032638888888874,15.566085034580011,-9.211609520143757,-20.510299483027268,-6982.1124999999865,-6991.262499999988,774,,,,,,
Validation,NY_AM,uncond_wide,774,-3.032913436692521,27.547728802997973,-1.7477305861820542,-4.8364986729771156,-2441.4500000000135,-2347.4750000000113,774,7.463878933961702,6.151205542363728,9.012022160801752,,,
Validation,NY_AM,regime_width,774,-7.629287790697661,17.999167341837204,-6.728710653567513,-16.998921917764548,-5922.406249999991,-5905.068749999989,774,2.4828988665762433,1.6546049871715962,3.4485624307316307,-4.98098006738546,-6.103884380067679,-3.919091440413575
Validation,NY_AM,high_only_base,335,-8.802499999999993,8.379921290699734,-16.675020044515023,-34.64395915365738,-2939.6874999999964,-2948.837499999998,335,0.42935913182702024,-2.564761976454372,3.3576050736449408,,,
Validation,NY_PM,uncond_base,774,-4.241698966408312,23.037053617950487,-2.922894773167923,-7.7252587170542615,-3372.2625000000335,-3283.0750000000335,774,,,,,,
Validation,NY_PM,uncond_wide,774,-2.795041989664105,32.42699461766937,-1.3683018292305542,-3.3742621374772934,-2392.4937500000015,-2163.3625000000175,774,1.5545929439373687,0.7947497297043312,2.3880379936422464,,,
Validation,NY_PM,regime_width,774,-2.7583171834625513,26.999793549966103,-1.6217504680484187,-4.484443018431096,-2305.425000000021,-2134.9375000000146,774,1.3011443051195042,0.7009719839136105,1.9719423867051253,-0.2534486388178645,-0.7975322190914061,0.31033652810809675
Validation,NY_PM,high_only_base,467,-3.4373126338330047,20.3174025686081,-2.6856605444892505,-7.4248727610215175,-1589.8000000000138,-1605.225000000013,467,-1.2879093722312103,-2.457740104157571,-0.12368579953903806,,,
