session,T_offset,horizon,universe,split,n,win,E
LONDON,30,120,HIGH_long,Y2025,31,0.5483870967741935,-5.516129032258065
LONDON,30,120,HIGH_long,Y2026,12,0.6666666666666666,-1.7916666666666667
LONDON,60,15,ALL_trap,IS,885,0.5141242937853108,-0.4073446327683616
LONDON,60,15,ALL_trap,Validation,300,0.49333333333333335,0.25416666666666665
LONDON,60,15,ALL_trap,OOS,147,0.4557823129251701,-1.3826530612244898
LONDON,60,15,ALL_trap,Y2025,106,0.44339622641509435,-1.150943396226415
LONDON,60,15,ALL_trap,Y2026,41,0.4878048780487805,-1.9817073170731707
LONDON,60,15,HIGH_trap,IS,359,0.5515320334261838,-0.2513927576601671
LONDON,60,15,HIGH_trap,Validation,143,0.5104895104895105,0.38986013986013984
LONDON,60,15,HIGH_trap,OOS,38,0.2894736842105263,-5.5394736842105265
LONDON,60,15,HIGH_trap,Y2025,33,0.3333333333333333,-3.287878787878788
LONDON,60,15,HIGH_trap,Y2026,5,0.0,-20.4
LONDON,60,15,LOW_trap,IS,227,0.47577092511013214,-0.16629955947136563
LONDON,60,15,LOW_trap,Validation,55,0.45454545454545453,-1.731818181818182
LONDON,60,15,LOW_trap,OOS,62,0.5161290322580645,-0.47580645161290325
LONDON,60,15,LOW_trap,Y2025,42,0.5,-3.3154761904761907
LONDON,60,15,LOW_trap,Y2026,20,0.55,5.4875
LONDON,60,15,HIGH_long,IS,359,0.49303621169916434,-0.9143454038997214
LONDON,60,15,HIGH_long,Validation,143,0.46853146853146854,-1.256993006993007
LONDON,60,15,HIGH_long,OOS,38,0.5526315789473685,0.8157894736842105
LONDON,60,15,HIGH_long,Y2025,33,0.5757575757575758,0.6818181818181818
LONDON,60,15,HIGH_long,Y2026,5,0.4,1.7
LONDON,60,30,ALL_trap,IS,885,0.5163841807909605,-0.6276836158192091
LONDON,60,30,ALL_trap,Validation,300,0.4866666666666667,0.24083333333333334
LONDON,60,30,ALL_trap,OOS,147,0.4557823129251701,0.46598639455782315
LONDON,60,30,ALL_trap,Y2025,106,0.4811320754716981,1.9858490566037736
LONDON,60,30,ALL_trap,Y2026,41,0.3902439024390244,-3.4634146341463414
LONDON,60,30,HIGH_trap,IS,359,0.5153203342618384,-0.14623955431754876
LONDON,60,30,HIGH_trap,Validation,143,0.5034965034965035,1.5332167832167831
LONDON,60,30,HIGH_trap,OOS,38,0.34210526315789475,-4.184210526315789
LONDON,60,30,HIGH_trap,Y2025,33,0.36363636363636365,-3.159090909090909
LONDON,60,30,HIGH_trap,Y2026,5,0.2,-10.95
LONDON,60,30,LOW_trap,IS,227,0.5330396475770925,-0.5737885462555066
LONDON,60,30,LOW_trap,Validation,55,0.45454545454545453,-3.1
LONDON,60,30,LOW_trap,OOS,62,0.5161290322580645,3.8266129032258065
LONDON,60,30,LOW_trap,Y2025,42,0.47619047619047616,1.25
LONDON,60,30,LOW_trap,Y2026,20,0.6,9.2375
LONDON,60,30,HIGH_long,IS,359,0.4735376044568245,-0.4637883008356546
LONDON,60,30,HIGH_long,Validation,143,0.48951048951048953,0.701048951048951
LONDON,60,30,HIGH_long,OOS,38,0.4473684210526316,-6.881578947368421
LONDON,60,30,HIGH_long,Y2025,33,0.48484848484848486,-6.553030303030303
LONDON,60,30,HIGH_long,Y2026,5,0.2,-9.05
LONDON,60,60,ALL_trap,IS,885,0.5141242937853108,-1.0152542372881357
LONDON,60,60,ALL_trap,Validation,300,0.5066666666666667,1.0841666666666667
LONDON,60,60,ALL_trap,OOS,147,0.48299319727891155,3.2857142857142856
LONDON,60,60,ALL_trap,Y2025,106,0.5,3.8042452830188678
LONDON,60,60,ALL_trap,Y2026,41,0.43902439024390244,1.9451219512195121
