session_date,time,year,width,width_atr,n,threshold
2011-05-09,2011-05-09 10:43:00-04:00,2011,4.5,2.0809248554913293,15,2.5
2011-05-09,2011-05-09 14:31:00-04:00,2011,2.0,2.5,15,2.5
2011-05-16,2011-05-16 10:36:00-04:00,2011,3.75,2.013422818791946,15,2.5
2011-05-16,2011-05-16 13:36:00-04:00,2011,2.5,2.469135802469136,15,2.5
2011-05-24,2011-05-24 10:25:00-04:00,2011,3.25,2.2222222222222223,15,2.5
2011-05-24,2011-05-24 11:00:00-04:00,2011,3.0,2.376237623762376,15,2.5
2011-05-25,2011-05-25 10:18:00-04:00,2011,3.75,2.158273381294964,15,2.5
2011-05-25,2011-05-25 12:23:00-04:00,2011,2.25,2.5,15,2.5
2011-05-30,2011-05-30 10:37:00-04:00,2011,1.25,2.5,15,2.5
2011-05-31,2011-05-31 10:35:00-04:00,2011,3.0,1.951219512195122,15,2.5
2011-06-02,2011-06-02 10:19:00-04:00,2011,5.0,2.366863905325444,15,2.5
2011-06-02,2011-06-02 11:22:00-04:00,2011,3.75,2.5,15,2.5
2011-06-06,2011-06-06 09:49:00-04:00,2011,4.0,2.119205298013245,15,2.5
2011-06-08,2011-06-08 12:40:00-04:00,2011,2.5,2.3255813953488373,15,2.5
2011-06-09,2011-06-09 09:49:00-04:00,2011,5.0,2.4242424242424243,15,2.5
2011-06-09,2011-06-09 11:23:00-04:00,2011,2.75,2.417582417582418,15,2.5
2011-06-10,2011-06-10 11:57:00-04:00,2011,2.75,2.3404255319148937,15,2.5
2011-06-10,2011-06-10 12:54:00-04:00,2011,2.0,2.4615384615384617,15,2.5
2011-06-13,2011-06-13 10:19:00-04:00,2011,4.25,2.4817518248175183,15,2.5
2011-06-20,2011-06-20 10:02:00-04:00,2011,3.75,2.097902097902098,15,2.5
2011-06-27,2011-06-27 10:00:00-04:00,2011,5.0,2.366863905325444,15,2.5
2011-07-05,2011-07-05 09:49:00-04:00,2011,3.75,2.380952380952381,15,2.5
2011-07-05,2011-07-05 12:05:00-04:00,2011,1.75,2.295081967213115,15,2.5
2011-07-11,2011-07-11 10:33:00-04:00,2011,4.5,2.4324324324324325,15,2.5
2011-07-18,2011-07-18 10:31:00-04:00,2011,5.5,2.3529411764705883,15,2.5
2011-07-25,2011-07-25 10:05:00-04:00,2011,6.0,2.4615384615384617,15,2.5
2011-08-01,2011-08-01 10:20:00-04:00,2011,11.0,2.3913043478260874,15,2.5
2011-08-08,2011-08-08 10:00:00-04:00,2011,14.25,2.350515463917526,15,2.5
2011-08-08,2011-08-08 11:44:00-04:00,2011,10.5,2.4,15,2.5
2011-08-15,2011-08-15 10:54:00-04:00,2011,4.25,2.125,15,2.5
2011-08-15,2011-08-15 11:59:00-04:00,2011,3.75,2.290076335877863,15,2.5
2011-08-15,2011-08-15 13:30:00-04:00,2011,4.25,2.4113475177304964,15,2.5
2011-08-22,2011-08-22 11:12:00-04:00,2011,7.5,2.4291497975708505,15,2.5
2011-08-29,2011-08-29 09:59:00-04:00,2011,7.25,2.4472573839662446,15,2.5
2011-08-29,2011-08-29 10:45:00-04:00,2011,4.25,2.4113475177304964,15,2.5
2011-09-05,2011-09-05 10:47:00-04:00,2011,3.75,2.142857142857143,15,2.5
2011-09-06,2011-09-06 09:53:00-04:00,2011,8.25,2.4175824175824174,15,2.5
2011-09-12,2011-09-12 10:56:00-04:00,2011,7.25,2.5,15,2.5
2011-09-19,2011-09-19 14:27:00-04:00,2011,4.25,2.2818791946308723,15,2.5
2011-09-26,2011-09-26 12:39:00-04:00,2011,6.0,2.376237623762376,15,2.5
2011-09-26,2011-09-26 13:49:00-04:00,2011,7.75,2.271062271062271,15,2.5
2011-09-26,2011-09-26 14:48:00-04:00,2011,7.0,2.3236514522821574,15,2.5
2011-10-03,2011-10-03 13:08:00-04:00,2011,5.0,2.439024390243903,15,2.5
2011-10-10,2011-10-10 11:05:00-04:00,2011,4.25,2.0987654320987654,15,2.5
2011-10-10,2011-10-10 12:00:00-04:00,2011,3.0,2.3076923076923075,15,2.5
2011-10-17,2011-10-17 10:09:00-04:00,2011,4.5,1.945945945945946,15,2.5
2011-10-24,2011-10-24 10:27:00-04:00,2011,4.75,2.4203821656050954,15,2.5
2011-10-24,2011-10-24 11:31:00-04:00,2011,3.0,2.0869565217391304,15,2.5
2011-10-31,2011-10-31 11:07:00-04:00,2011,5.5,2.458100558659218,15,2.5
2011-11-07,2011-11-07 10:48:00-05:00,2011,4.75,2.0,15,2.5
2011-11-14,2011-11-14 11:29:00-05:00,2011,4.25,2.446043165467626,15,2.5
2011-11-21,2011-11-21 10:41:00-05:00,2011,6.25,2.3696682464454977,15,2.5
2011-11-25,2011-11-25 10:19:00-05:00,2011,6.0,2.4615384615384617,15,2.5
2011-11-25,2011-11-25 12:26:00-05:00,2011,3.5,2.2222222222222223,15,2.5
2011-11-28,2011-11-28 10:07:00-05:00,2011,5.0,2.484472049689441,15,2.5
2011-12-05,2011-12-05 09:53:00-05:00,2011,5.25,2.176165803108808,15,2.5
2011-12-12,2011-12-12 09:49:00-05:00,2011,5.25,2.346368715083799,15,2.5
2011-12-19,2011-12-19 11:21:00-05:00,2011,3.75,2.4,15,2.5
2011-12-27,2011-12-27 10:15:00-05:00,2011,4.0,2.191780821917808,15,2.5
2012-01-03,2012-01-03 10:00:00-05:00,2012,3.75,2.459016393442623,15,2.5
2012-01-03,2012-01-03 10:40:00-05:00,2012,2.5,2.4096385542168672,15,2.5
2012-01-09,2012-01-09 10:12:00-05:00,2012,4.25,2.446043165467626,15,2.5
2012-01-16,2012-01-16 09:51:00-05:00,2012,1.5,1.9672131147540985,15,2.5
2012-01-17,2012-01-17 09:51:00-05:00,2012,3.5,2.393162393162393,15,2.5
2012-01-23,2012-01-23 10:16:00-05:00,2012,3.0,2.142857142857143,15,2.5
2012-01-23,2012-01-23 11:01:00-05:00,2012,2.5,2.4096385542168672,15,2.5
2012-01-23,2012-01-23 12:19:00-05:00,2012,3.75,2.5,15,2.5
2012-01-23,2012-01-23 13:20:00-05:00,2012,2.75,2.4719101123595504,15,2.5
2012-01-23,2012-01-23 14:26:00-05:00,2012,1.5,2.1052631578947367,15,2.5
2012-01-30,2012-01-30 11:15:00-05:00,2012,3.25,2.280701754385965,15,2.5
2012-01-30,2012-01-30 11:56:00-05:00,2012,2.25,2.4657534246575343,15,2.5
2012-01-30,2012-01-30 14:38:00-05:00,2012,2.0,2.388059701492537,15,2.5
2012-02-06,2012-02-06 10:16:00-05:00,2012,3.5,2.258064516129032,15,2.5
2012-02-06,2012-02-06 11:20:00-05:00,2012,2.25,2.0930232558139537,15,2.5
2012-02-13,2012-02-13 10:09:00-05:00,2012,4.0,2.5,15,2.5
2012-02-13,2012-02-13 11:16:00-05:00,2012,3.0,2.4489795918367343,15,2.5
2012-02-13,2012-02-13 13:33:00-05:00,2012,1.5,2.1818181818181817,15,2.5
2012-02-13,2012-02-13 14:06:00-05:00,2012,1.5,2.5,15,2.5
2012-02-21,2012-02-21 10:52:00-05:00,2012,2.0,2.1052631578947367,15,2.5
2012-02-27,2012-02-27 11:01:00-05:00,2012,3.25,2.3423423423423424,15,2.5
2012-02-27,2012-02-27 11:42:00-05:00,2012,3.0,2.4242424242424243,15,2.5
2012-03-05,2012-03-05 09:49:00-05:00,2012,3.75,2.097902097902098,15,2.5
2012-03-12,2012-03-12 10:15:00-04:00,2012,4.0,2.302158273381295,15,2.5
2012-03-12,2012-03-12 11:08:00-04:00,2012,2.75,2.417582417582418,15,2.5
2012-03-12,2012-03-12 14:12:00-04:00,2012,1.0,1.9512195121951221,15,2.5
2012-03-19,2012-03-19 11:30:00-04:00,2012,2.25,2.5,15,2.5
2012-03-26,2012-03-26 10:31:00-04:00,2012,2.75,2.365591397849462,15,2.5
2012-04-02,2012-04-02 10:26:00-04:00,2012,2.75,2.0370370370370368,15,2.5
2012-04-09,2012-04-09 10:40:00-04:00,2012,4.5,2.4324324324324325,15,2.5
2012-04-09,2012-04-09 11:30:00-04:00,2012,4.25,2.5,15,2.5
2012-04-16,2012-04-16 10:09:00-04:00,2012,9.75,2.1971830985915495,15,2.5
2012-04-16,2012-04-16 11:24:00-04:00,2012,4.25,2.446043165467626,15,2.5
2012-04-16,2012-04-16 13:16:00-04:00,2012,4.0,2.3357664233576645,15,2.5
2012-04-23,2012-04-23 11:31:00-04:00,2012,4.75,2.4516129032258065,15,2.5
2012-04-30,2012-04-30 13:13:00-04:00,2012,1.75,1.971830985915493,15,2.5
2012-05-07,2012-05-07 12:50:00-04:00,2012,2.75,1.9642857142857144,15,2.5
2012-05-07,2012-05-07 14:08:00-04:00,2012,3.5,2.2764227642276422,15,2.5
2012-05-14,2012-05-14 10:22:00-04:00,2012,6.0,2.4615384615384617,15,2.5
2012-05-21,2012-05-21 11:34:00-04:00,2012,3.75,2.142857142857143,15,2.5
2012-05-28,2012-05-28 10:46:00-04:00,2012,1.25,2.439024390243903,15,2.5
2012-05-29,2012-05-29 12:18:00-04:00,2012,4.75,1.7511520737327189,15,2.5
2012-06-04,2012-06-04 11:27:00-04:00,2012,5.25,2.5,15,2.5
2012-06-11,2012-06-11 12:27:00-04:00,2012,2.75,2.1568627450980395,15,2.5
2012-06-18,2012-06-18 11:43:00-04:00,2012,3.5,2.47787610619469,15,2.5
2012-06-25,2012-06-25 10:37:00-04:00,2012,4.25,2.251655629139073,15,2.5
2012-07-02,2012-07-02 11:30:00-04:00,2012,3.75,2.158273381294964,15,2.5
2012-07-05,2012-07-05 11:35:00-04:00,2012,2.75,2.417582417582418,15,2.5
2012-07-09,2012-07-09 10:16:00-04:00,2012,6.5,2.4761904761904763,15,2.5
2012-07-09,2012-07-09 11:05:00-04:00,2012,3.5,2.47787610619469,15,2.5
2012-07-16,2012-07-16 10:45:00-04:00,2012,4.0,2.4427480916030535,15,2.5
2012-07-23,2012-07-23 09:57:00-04:00,2012,6.25,2.4390243902439024,15,2.5
2012-07-30,2012-07-30 09:49:00-04:00,2012,6.0,2.1621621621621623,15,2.5
2012-08-06,2012-08-06 11:03:00-04:00,2012,2.5,2.0408163265306123,15,2.5
2012-08-13,2012-08-13 09:52:00-04:00,2012,4.25,2.4113475177304964,15,2.5
2012-08-13,2012-08-13 11:51:00-04:00,2012,2.0,2.318840579710145,15,2.5
2012-08-13,2012-08-13 14:48:00-04:00,2012,1.75,2.413793103448276,15,2.5
2012-08-20,2012-08-20 11:02:00-04:00,2012,2.5,2.298850574712644,15,2.5
2012-08-21,2012-08-21 09:49:00-04:00,2012,3.5,2.08955223880597,15,2.5
2012-08-21,2012-08-21 10:41:00-04:00,2012,2.5,2.2471910112359548,15,2.5
2012-08-21,2012-08-21 13:02:00-04:00,2012,3.0,2.376237623762376,15,2.5
2012-08-23,2012-08-23 11:00:00-04:00,2012,4.25,2.207792207792208,15,2.5
2012-08-23,2012-08-23 12:38:00-04:00,2012,2.5,2.380952380952381,15,2.5
2012-08-24,2012-08-24 11:01:00-04:00,2012,3.5,2.1705426356589146,15,2.5
2012-08-24,2012-08-24 11:56:00-04:00,2012,2.75,2.5,15,2.5
2012-08-27,2012-08-27 10:43:00-04:00,2012,3.75,2.2222222222222223,15,2.5
2012-08-27,2012-08-27 12:15:00-04:00,2012,2.5,2.5,15,2.5
2012-08-28,2012-08-28 10:45:00-04:00,2012,3.25,2.4074074074074074,15,2.5
2012-08-28,2012-08-28 12:14:00-04:00,2012,2.0,2.1333333333333333,15,2.5
2012-08-29,2012-08-29 09:49:00-04:00,2012,4.0,2.3703703703703702,15,2.5
2012-08-31,2012-08-31 10:54:00-04:00,2012,5.0,2.2222222222222223,15,2.5
2012-08-31,2012-08-31 12:49:00-04:00,2012,2.75,2.3157894736842106,15,2.5
2012-08-31,2012-08-31 13:27:00-04:00,2012,3.5,2.456140350877193,15,2.5
2012-09-03,2012-09-03 10:12:00-04:00,2012,0.75,2.5,15,2.5
2012-09-04,2012-09-04 10:24:00-04:00,2012,4.5,2.0809248554913293,15,2.5
2012-09-04,2012-09-04 11:39:00-04:00,2012,2.75,2.417582417582418,15,2.5
2012-09-05,2012-09-05 10:25:00-04:00,2012,6.25,2.232142857142857,15,2.5
2012-09-05,2012-09-05 11:45:00-04:00,2012,3.0,2.5,15,2.5
2012-09-06,2012-09-06 09:49:00-04:00,2012,5.75,2.323232323232323,15,2.5
2012-09-07,2012-09-07 10:29:00-04:00,2012,3.75,2.1126760563380285,15,2.5
2012-09-07,2012-09-07 11:18:00-04:00,2012,3.0,2.1238938053097343,15,2.5
2012-09-07,2012-09-07 14:17:00-04:00,2012,1.75,2.5,15,2.5
