resolver,session,T_offset,outcome,universe,split,n,win,E
disp_follow,NY_PM,120,H30,ALL,Validation,302,0.49337748344370863,1.0968543046357615
disp_follow,NY_PM,120,H30,ALL,OOS,125,0.488,5.498
disp_follow,NY_PM,120,H30,HIGH,IS,441,0.47392290249433106,-1.2624716553287982
disp_follow,NY_PM,120,H30,HIGH,Validation,172,0.5058139534883721,1.684593023255814
disp_follow,NY_PM,120,H30,HIGH,OOS,77,0.4935064935064935,8.38961038961039
disp_follow,NY_PM,120,H60,ALL,IS,794,0.46851385390428213,-0.7503148614609572
disp_follow,NY_PM,120,H60,ALL,Validation,302,0.543046357615894,4.360927152317881
disp_follow,NY_PM,120,H60,ALL,OOS,125,0.496,-3.018
disp_follow,NY_PM,120,H60,HIGH,IS,441,0.47619047619047616,0.2471655328798186
disp_follow,NY_PM,120,H60,HIGH,Validation,172,0.5523255813953488,6.627906976744186
disp_follow,NY_PM,120,H60,HIGH,OOS,77,0.45454545454545453,-3.905844155844156
disp_follow,NY_PM,120,SESS_END,ALL,IS,794,0.4722921914357683,-0.9118387909319899
disp_follow,NY_PM,120,SESS_END,ALL,Validation,302,0.49337748344370863,5.361754966887418
disp_follow,NY_PM,120,SESS_END,ALL,OOS,125,0.44,-16.56
disp_follow,NY_PM,120,SESS_END,HIGH,IS,441,0.46938775510204084,0.9109977324263039
disp_follow,NY_PM,120,SESS_END,HIGH,Validation,172,0.5174418604651163,9.097383720930232
disp_follow,NY_PM,120,SESS_END,HIGH,OOS,77,0.44155844155844154,-23.50974025974026
disp_follow,NY_AM,60,H30,ALL,IS,821,0.4945188794153471,0.4190012180267966
disp_follow,NY_AM,60,H30,ALL,Validation,296,0.5675675675675675,0.29307432432432434
disp_follow,NY_AM,60,H30,ALL,OOS,142,0.5070422535211268,-0.9841549295774648
disp_follow,NY_AM,60,H30,HIGH,IS,466,0.5,1.4146995708154506
disp_follow,NY_AM,60,H30,HIGH,Validation,147,0.5782312925170068,2.8299319727891157
disp_follow,NY_AM,60,H30,HIGH,OOS,85,0.4823529411764706,2.711764705882353
disp_follow,NY_AM,60,H60,ALL,IS,819,0.5054945054945055,0.626984126984127
disp_follow,NY_AM,60,H60,ALL,Validation,296,0.5337837837837838,1.2423986486486487
disp_follow,NY_AM,60,H60,ALL,OOS,142,0.528169014084507,-0.5580985915492958
disp_follow,NY_AM,60,H60,HIGH,IS,466,0.5171673819742489,1.1201716738197425
disp_follow,NY_AM,60,H60,HIGH,Validation,147,0.5374149659863946,1.7125850340136055
disp_follow,NY_AM,60,H60,HIGH,OOS,85,0.5764705882352941,1.9794117647058824
disp_follow,NY_AM,60,SESS_END,ALL,IS,821,0.5176613885505481,0.3443970767356882
disp_follow,NY_AM,60,SESS_END,ALL,Validation,296,0.5101351351351351,1.4873310810810811
disp_follow,NY_AM,60,SESS_END,ALL,OOS,142,0.5070422535211268,1.2570422535211268
disp_follow,NY_AM,60,SESS_END,HIGH,IS,466,0.5407725321888412,1.03862660944206
disp_follow,NY_AM,60,SESS_END,HIGH,Validation,147,0.5170068027210885,1.6564625850340136
disp_follow,NY_AM,60,SESS_END,HIGH,OOS,85,0.5411764705882353,9.885294117647058
disp_follow,NY_AM,90,H30,ALL,IS,818,0.49144254278728605,0.24266503667481662
disp_follow,NY_AM,90,H30,ALL,Validation,246,0.4878048780487805,-0.3384146341463415
disp_follow,NY_AM,90,H30,ALL,OOS,126,0.4126984126984127,-8.119047619047619
disp_follow,NY_AM,90,H30,HIGH,IS,439,0.510250569476082,1.14123006833713
disp_follow,NY_AM,90,H30,HIGH,Validation,135,0.4740740740740741,-3.1944444444444446
disp_follow,NY_AM,90,H30,HIGH,OOS,72,0.3194444444444444,-8.041666666666666
disp_follow,NY_AM,90,SESS_END,ALL,IS,818,0.49877750611246946,0.7038508557457213
disp_follow,NY_AM,90,SESS_END,ALL,Validation,246,0.483739837398374,3.0965447154471546
