split,horizon,book,policy,risk_n_days,risk_mean,risk_std,risk_sharpe,risk_sortino,risk_max_dd,risk_total,n_trades,n_high,mean_size,d_sharpe_vs_fixed,d_sharpe_lo,d_sharpe_hi,d_sortino_vs_fixed,d_sortino_lo,d_sortino_hi
Validation,30,coinflip,invvol_high_aware,775,-1.16778630351165,17.91517332121168,-1.0347671512285161,-1.5651440189704442,-977.8284535029134,-905.0343852215287,3076,1020,0.33604930799370025,-0.30799402903398,-0.5699905154801499,-0.06670003225822742,-0.5118723124653854,-0.9015822984307909,-0.1642393973664044
Validation,30,long,fixed,775,-0.7587096774193548,74.63460736947684,-0.1613747719321904,-0.23969747865611854,-2579.25,-588.0,3076,1020,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Validation,30,long,invvol,775,-0.3916470007074418,20.23006808833052,-0.307324887213983,-0.47907754985367007,-794.1911048279646,-303.5264255482674,3076,1020,0.36713218122583274,-0.14595011528179258,-0.3502750752268507,0.040994208045743136,-0.23938007119755153,-0.5543182798609577,0.058548850544487364
Validation,30,long,invvol_high_aware,775,-0.2558581748477518,18.37535129774666,-0.22103646039127783,-0.34886450555056925,-679.0199596917885,-198.29008550700763,3076,1020,0.33604930799370025,-0.059661688459087425,-0.3246901995713541,0.1903436081795938,-0.10916702689445071,-0.5236135207666368,0.29540414374717455
Validation,30,short,fixed,775,-7.179354838709678,74.63567363300874,-1.527000686335065,-2.4347536626407007,-5744.5,-5564.0,3076,1020,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Validation,30,short,invvol,775,-2.522671939810394,20.221775514399646,-1.9803491302887275,-3.0330603107220098,-2009.9640477084267,-1955.0707533530554,3076,1020,0.36713218122583274,-0.4533484439536626,-0.6358854235952007,-0.2640254155367701,-0.5983066480813091,-0.9075397626251569,-0.2900428666209521
Validation,30,short,invvol_high_aware,775,-2.4117229126067565,18.3830826171539,-2.0826166723527666,-3.199478268786281,-1925.9736800829146,-1869.0852572702363,3076,1020,0.33604930799370025,-0.5556159860177017,-0.797550309811153,-0.3017079607021754,-0.7647246061455801,-1.1719329867754686,-0.38260155933921913
Validation,60,coinflip,fixed,775,-3.1319354838709677,101.14514586684213,-0.4915503759437132,-0.7392314036341104,-4834.25,-2427.25,3070,1019,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Validation,60,coinflip,invvol,775,-1.2737756177611028,27.83845925547184,-0.7263534550744504,-1.1224601401863727,-1543.325391155666,-987.1761037648547,3070,1019,0.36713218122583274,-0.23480307913073717,-0.46275320962639294,-0.019720228364591603,-0.3832287365522623,-0.7415167042409997,-0.05702993013925849
Validation,60,coinflip,invvol_high_aware,775,-1.0998242544846557,25.604324884017288,-0.6818835825020652,-1.0438489422122614,-1355.405737750125,-852.3637972256081,3070,1019,0.33604930799370025,-0.19033320655835195,-0.4839143785546036,0.07770140182309945,-0.304617538578151,-0.7578251613446354,0.09304021126682889
Validation,60,long,fixed,775,-2.2835483870967743,100.54145083932241,-0.36054986805568,-0.5051567652115497,-2889.5,-1769.75,3070,1019,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Validation,60,long,invvol,775,-0.7422367636250646,27.904193413268295,-0.4222535003389683,-0.6178819306399401,-873.1249219713412,-575.2334918094251,3070,1019,0.36713218122583274,-0.06170363228328829,-0.29786336846205286,0.15894183592076375,-0.1127251654283904,-0.46163438789033423,0.2023542482454642
Validation,60,long,invvol_high_aware,775,-0.6701013754683157,25.526570271769916,-0.4167238075031584,-0.6080081078735209,-724.3266989585445,-519.3285659879447,3070,1019,0.33604930799370025,-0.056173939447478394,-0.36070056727065297,0.2247751040214422,-0.10285134266197116,-0.5360402328957193,0.3048484091818209
Validation,60,short,fixed,775,-5.639032258064516,100.53191113935415,-0.8904323107453198,-1.458091921665565,-5752.75,-4370.25,3070,1019,1.0,0.0,0.0,0.0,0.0,0.0,0.0
