split,horizon,sample,b_n,b_win,b_mean,b_mean_onr,b_median_onr,b_mfe_gt_mae,b_p_struct,b_p_hit1R,r_n,r_win,r_mean,r_mean_onr,r_median_onr,r_mfe_gt_mae,r_p_struct,r_p_hit1R,n_paired,blind_win,blind_mean_onr,blind_mfe_gt_mae,blind_p_struct,blind_p_hit1R,react_win,react_mean_onr,react_mfe_gt_mae,react_p_struct,react_p_hit1R,lift_win,lift_mean_onr,lift_struct,trigger_rate,med_wait,frac_same_dir,frac_flip
Validation,10,blind_all,390.0,0.5717948717948718,1.567948717948718,0.02213058335946598,0.05227048752003423,0.558974358974359,0.5389408099688473,0.571830985915493,,,,,,,,,,,,,,,,,,,,,,,,,,
Validation,10,reactive_trig,,,,,,,,,388.0,0.5515463917525774,2.7403350515463916,0.02233405750822688,0.048923444976076556,0.5360824742268041,0.5016501650165016,0.5277777777777778,,,,,,,,,,,,,,,,,,
Validation,10,paired,,,,,,,,,,,,,,,,,388.0,0.5721649484536082,0.02240641844014763,0.5567010309278351,0.5389408099688473,0.571830985915493,0.5515463917525774,0.02233405750822688,0.5360824742268041,0.5016501650165016,0.5277777777777778,-0.020618556701030855,-7.236093192074938e-05,-0.037290644952345686,0.9948717948717949,2.0,0.5695876288659794,0.43041237113402064
Validation,15,blind_all,390.0,0.5487179487179488,3.316666666666667,0.032836882121975865,0.045472583672239344,0.5615384615384615,0.5420289855072464,0.5616438356164384,,,,,,,,,,,,,,,,,,,,,,,,,,
Validation,15,reactive_trig,,,,,,,,,388.0,0.5747422680412371,5.556056701030927,0.044880086501178,0.06151289530815198,0.5618556701030928,0.5173410404624278,0.5342465753424658,,,,,,,,,,,,,,,,,,
Validation,15,paired,,,,,,,,,,,,,,,,,388.0,0.5515463917525774,0.03307902490343306,0.5592783505154639,0.5420289855072464,0.5616438356164384,0.5747422680412371,0.044880086501178,0.5618556701030928,0.5173410404624278,0.5342465753424658,0.02319587628865971,0.011801061597744938,-0.024687945044818638,0.9948717948717949,2.0,0.5695876288659794,0.43041237113402064
Validation,30,blind_all,390.0,0.5358974358974359,4.412179487179487,0.04612008391218249,0.05467223160753917,0.5717948717948718,0.5435356200527705,0.5659340659340659,,,,,,,,,,,,,,,,,,,,,,,,,,
Validation,30,reactive_trig,,,,,,,,,388.0,0.5412371134020618,2.5837628865979383,0.023562058804695106,0.04261574593745143,0.5463917525773195,0.5079787234042553,0.5287671232876713,,,,,,,,,,,,,,,,,,
Validation,30,paired,,,,,,,,,,,,,,,,,388.0,0.5360824742268041,0.046565267737955114,0.5695876288659794,0.5435356200527705,0.5659340659340659,0.5412371134020618,0.023562058804695106,0.5463917525773195,0.5079787234042553,0.5287671232876713,0.005154639175257714,-0.023003208933260008,-0.035556896648515135,0.9948717948717949,2.0,0.5695876288659794,0.43041237113402064
Validation,45,blind_all,390.0,0.541025641025641,5.769230769230769,0.059827291842416024,0.0688396092086899,0.5564102564102564,0.5390625,0.5631868131868132,,,,,,,,,,,,,,,,,,,,,,,,,,
Validation,45,reactive_trig,,,,,,,,,388.0,0.5438144329896907,4.016108247422681,0.03216878047841421,0.06542831154470385,0.5412371134020618,0.5105263157894737,0.5287671232876713,,,,,,,,,,,,,,,,,,
Validation,45,paired,,,,,,,,,,,,,,,,,388.0,0.5412371134020618,0.06089677283347691,0.5567010309278351,0.5404699738903395,0.56353591160221,0.5438144329896907,0.03216878047841421,0.5412371134020618,0.5105263157894737,0.5287671232876713,0.002577319587628857,-0.028727992355062695,-0.029943658100865744,0.9948717948717949,2.0,0.5695876288659794,0.43041237113402064
Validation,60,blind_all,390.0,0.5333333333333333,7.919871794871795,0.07890214009778233,0.05797535797535798,0.5307692307692308,0.5390625,0.5631868131868132,,,,,,,,,,,,,,,,,,,,,,,,,,
Validation,60,reactive_trig,,,,,,,,,388.0,0.5463917525773195,6.065721649484536,0.05396124088126596,0.07006759678995339,0.5541237113402062,0.5143603133159269,0.5302197802197802,,,,,,,,,,,,,,,,,,
Validation,60,paired,,,,,,,,,,,,,,,,,388.0,0.5335051546391752,0.07963522674381943,0.5335051546391752,0.5404699738903395,0.56353591160221,0.5463917525773195,0.05396124088126596,0.5541237113402062,0.5143603133159269,0.5302197802197802,0.012886597938144284,-0.02567398586255347,-0.026109660574412552,0.9948717948717949,2.0,0.5695876288659794,0.43041237113402064
OOS,10,blind_all,209.0,0.5119617224880383,0.3038277511961722,0.026384884892622706,0.003669724770642202,0.507177033492823,0.5182926829268293,0.5125628140703518,,,,,,,,,,,,,,,,,,,,,,,,,,
OOS,10,reactive_trig,,,,,,,,,208.0,0.46634615384615385,-4.4639423076923075,-0.012603332919962216,-0.016764045496263275,0.5096153846153846,0.50920245398773,0.48704663212435234,,,,,,,,,,,,,,,,,,
OOS,10,paired,,,,,,,,,,,,,,,,,208.0,0.5096153846153846,0.026250684134731774,0.5096153846153846,0.5182926829268293,0.5125628140703518,0.46634615384615385,-0.012603332919962216,0.5096153846153846,0.50920245398773,0.48704663212435234,-0.043269230769230727,-0.03885401705469399,-0.009090228939099276,0.9952153110047847,2.0,0.5096153846153846,0.49038461538461536
OOS,15,blind_all,209.0,0.5119617224880383,-0.34688995215311,0.025246436830762473,0.0027567195037904893,0.507177033492823,0.532608695652174,0.5124378109452736,,,,,,,,,,,,,,,,,,,,,,,,,,
OOS,15,reactive_trig,,,,,,,,,208.0,0.5192307692307693,-2.487980769230769,0.005411258872771733,0.022592592592592595,0.4951923076923077,0.521978021978022,0.4791666666666667,,,,,,,,,,,,,,,,,,
OOS,15,paired,,,,,,,,,,,,,,,,,208.0,0.5144230769230769,0.02541132245858179,0.5096153846153846,0.532608695652174,0.5124378109452736,0.5192307692307693,0.005411258872771733,0.4951923076923077,0.521978021978022,0.4791666666666667,0.004807692307692402,-0.02000006358581006,-0.010630673674151936,0.9952153110047847,2.0,0.5096153846153846,0.49038461538461536
OOS,30,blind_all,209.0,0.4784688995215311,-0.84688995215311,0.038712060854480174,-0.034759358288770054,0.49760765550239233,0.525,0.515,,,,,,,,,,,,,,,,,,,,,,,,,,
OOS,30,reactive_trig,,,,,,,,,208.0,0.5432692307692307,2.4302884615384617,0.047921237943335755,0.0540633809662681,0.5192307692307693,0.52,0.48704663212435234,,,,,,,,,,,,,,,,,,
OOS,30,paired,,,,,,,,,,,,,,,,,208.0,0.47596153846153844,0.038789405212486625,0.5,0.525,0.515,0.5432692307692307,0.047921237943335755,0.5192307692307693,0.52,0.48704663212435234,0.06730769230769229,0.00913183273084913,-0.0050000000000000044,0.9952153110047847,2.0,0.5096153846153846,0.49038461538461536
OOS,45,blind_all,209.0,0.5215311004784688,3.6160287081339715,0.04497688267825751,0.03197674418604651,0.5215311004784688,0.5194174757281553,0.5124378109452736,,,,,,,,,,,,,,,,,,,,,,,,,,
OOS,45,reactive_trig,,,,,,,,,208.0,0.5673076923076923,8.493990384615385,0.07473894972427794,0.0931421324748805,0.5288461538461539,0.5270935960591133,0.48704663212435234,,,,,,,,,,,,,,,,,,
OOS,45,paired,,,,,,,,,,,,,,,,,208.0,0.5240384615384616,0.045301889010312305,0.5240384615384616,0.5194174757281553,0.515,0.5673076923076923,0.07473894972427794,0.5288461538461539,0.5270935960591133,0.48704663212435234,0.043269230769230727,0.029437060713965638,0.007676120330957992,0.9952153110047847,2.0,0.5096153846153846,0.49038461538461536
OOS,60,blind_all,209.0,0.5263157894736842,4.438995215311005,0.0768883237668684,0.0851063829787234,0.507177033492823,0.5217391304347826,0.5124378109452736,,,,,,,,,,,,,,,,,,,,,,,,,,
OOS,60,reactive_trig,,,,,,,,,208.0,0.5192307692307693,2.0072115384615383,0.04772617340402596,0.07781129086311428,0.5288461538461539,0.5242718446601942,0.4845360824742268,,,,,,,,,,,,,,,,,,
OOS,60,paired,,,,,,,,,,,,,,,,,208.0,0.5240384615384616,0.07688815668438659,0.5096153846153846,0.5217391304347826,0.515,0.5192307692307693,0.04772617340402596,0.5288461538461539,0.5242718446601942,0.4845360824742268,-0.004807692307692291,-0.029161983280360626,0.0025327142254115698,0.9952153110047847,2.0,0.5096153846153846,0.49038461538461536
