feature,bin,horizon,n_c,n_d,eligible,mean_feature_c,mean_feature_d,return_rate_c,return_rate_d,return_diff,return_diff_ci_lo,return_diff_ci_hi,return_sign,opposite_rate_c,opposite_rate_d,opposite_diff,opposite_diff_ci_lo,opposite_diff_ci_hi,opposite_sign
te_path_60,T3,60,10052,2092,True,320.3964136490251,331.6307361376673,0.6793672900915241,0.7734225621414914,0.09405527204996733,0.07435209818960326,0.11458957014714184,1,0.8549542379625945,0.7820267686424475,-0.07292746932014704,-0.09147411046293848,-0.05351587589494766,-1
te_abs_net_60,NA,30,2372,487,True,,,0.4991568296795953,0.5687885010266941,0.0696316713470988,0.021911812497404072,0.11833130188815558,1,0.642495784148398,0.6591375770020534,0.016641792853655413,-0.028496046064279093,0.06385055642262753,1
te_abs_net_60,T1,30,3677,2672,True,4.527128093554528,2.826440868263473,0.5101985314114768,0.7170658682634731,0.20686733685199632,0.1835868791162482,0.2305858904143595,1,0.6875169975523525,0.46744011976047906,-0.22007687779187346,-0.2443528592469831,-0.19611721576315747,-1
te_abs_net_60,T2,30,4953,931,True,10.496062992125983,10.445220193340495,0.5225116091257823,0.5918367346938775,0.06932512556809522,0.035221908649226134,0.10410477333519391,1,0.6585907530789421,0.5907626208378088,-0.06782813224113327,-0.1017071436695837,-0.03335604589194867,-1
te_abs_net_60,T3,30,11558,1141,True,54.82066534002423,36.18317265556529,0.48624329468766225,0.5661700262927257,0.07992673160506347,0.05001903107561959,0.11026047189684157,1,0.7032358539539713,0.6012269938650306,-0.10200886008894061,-0.13126540636597056,-0.07213852612789534,-1
te_abs_net_60,NA,60,2366,486,True,,,0.7565511411665258,0.8395061728395061,0.08295503167298035,0.048163483029337914,0.12205828170192137,1,0.7802197802197802,0.7407407407407407,-0.039479039479039524,-0.08022286710120748,0.004375115750773172,-1
te_abs_net_60,T1,60,3239,2405,True,4.525702377276938,2.8434511434511434,0.7190490892250695,0.8436590436590437,0.12460995443397416,0.1035736810719192,0.14601750357737744,1,0.8317381907996295,0.7276507276507277,-0.10408746314890183,-0.1259877895146386,-0.08206027595280675,-1
te_abs_net_60,T2,60,4406,830,True,10.520653654108035,10.411144578313253,0.728551974580118,0.7481927710843373,0.01964079650421935,-0.01167624136489262,0.05288466964790649,1,0.8109396277802996,0.8048192771084337,-0.006120350671865893,-0.03426216505441303,0.02438799537288566,-1
te_abs_net_60,T3,60,10556,1068,True,55.22041966654036,36.591058052434455,0.6834028040924592,0.74812734082397,0.0647245367315108,0.03806744211296695,0.0930217511264447,1,0.8519325502084123,0.8117977528089888,-0.040134797399423494,-0.06348823594080269,-0.014705781791455722,-1
er_60_change,T1,30,8294,1009,True,-0.0610558106228467,-0.05490583589385652,0.4707017120810224,0.6313181367690783,0.16061642468805593,0.12949145721179034,0.1926874456295367,1,0.7073788280684833,0.49355797819623387,-0.21382084987224942,-0.2461828760728315,-0.1815635752373692,-1
er_60_change,T2,30,7674,1574,True,-0.020944412714336787,-0.020342451922017984,0.5002606202762575,0.6867852604828463,0.18652464020658877,0.1614563342758973,0.2124100111880048,1,0.6786551993745114,0.4764930114358323,-0.20216218793867907,-0.22901665744059102,-0.1754828792086715,-1
er_60_change,T3,30,6592,2648,True,0.015606594741837293,0.02689662236414597,0.5347390776699029,0.6314199395770392,0.09668086190713632,0.07487223736240607,0.11878573457350738,1,0.6624696601941747,0.5883685800604229,-0.07410108013375183,-0.09597568770984029,-0.052106297592231315,-1
er_60_change,T1,60,7523,931,True,-0.061114104221031855,-0.055112684211260775,0.6963977136780539,0.7894736842105263,0.09307597053247241,0.06599094655678434,0.12229777444840308,1,0.8485976339226372,0.7583243823845328,-0.0902732515381044,-0.11794240729302051,-0.06066864105796914,-1
er_60_change,T2,60,7028,1446,True,-0.02100544806422141,-0.020393018606788202,0.7024758110415481,0.8112033195020747,0.10872750846052659,0.08658063635384167,0.1322276156118198,1,0.8268355150825271,0.7302904564315352,-0.09654505865099183,-0.12054909523631363,-0.07153195833476579,-1
er_60_change,T3,60,6016,2412,True,0.015582484833376849,0.026931082765345032,0.7258976063829787,0.8080431177446102,0.0821455113616315,0.06311917087765503,0.1017997842820334,1,0.8163231382978723,0.7806799336650083,-0.03564320463286397,-0.054554768623977776,-0.016169720992077512,-1
te_signed_net_5,NA,30,488,179,False,,,0.36885245901639346,0.4692737430167598,0.10042128400036632,0.016397070192535418,0.18437384599385662,1,0.9159836065573771,0.7988826815642458,-0.1171009249931313,-0.17629181966161422,-0.04890950676190513,-1
te_signed_net_5,T1,30,8380,2018,True,-10.028967780429594,-10.206268582755204,0.4869928400954654,0.6015857284440039,0.11459288834853854,0.09089501077559567,0.13864120070048863,1,0.6883054892601432,0.5723488602576808,-0.1159566290024624,-0.139604195699575,-0.0921313569233452,-1
te_signed_net_5,T2,30,5834,1318,True,-0.004585190263969832,0.04742033383915023,0.5137127185464518,0.6661608497723824,0.1524481312259306,0.1243972625896428,0.18135322756301983,1,0.6715803908124786,0.5500758725341427,-0.12150451827833586,-0.15081998407247352,-0.09201608228169288,-1
te_signed_net_5,T3,30,7858,1716,True,9.936688724866379,9.494755244755245,0.510307966403665,0.7074592074592074,0.19715124105554238,0.17338143244146126,0.22174076006450782,1,0.675617205395775,0.4562937062937063,-0.21932349910206866,-0.24516246791665705,-0.1937323430786614,-1
te_signed_net_5,NA,60,488,179,False,,,0.6823770491803278,0.7653631284916201,0.08298607931129232,0.012546426396892074,0.1611058280057847,1,0.9344262295081968,0.8044692737430168,-0.12995695576517996,-0.1873901105344034,-0.06303758104267711,-1
te_signed_net_5,T1,60,7591,1837,True,-10.200006586747465,-10.431818181818182,0.6997760505862205,0.7849755035383778,0.08519945295215725,0.06424748999293553,0.10709662822815609,1,0.8245290475563167,0.7632008709853021,-0.061328176571014636,-0.08212376364291063,-0.03965969210252232,-1
te_signed_net_5,T2,60,5306,1217,True,-0.006926121372031662,0.04642563681183237,0.7173011684885036,0.8151191454396056,0.09781797695110206,0.07366207350300275,0.12355415960217069,1,0.8309460987561251,0.7715694330320461,-0.05937666572407907,-0.08432387047358689,-0.03304691081490961,-1
te_signed_net_5,T3,60,7182,1556,True,10.032128933444723,9.579691516709511,0.708994708994709,0.8264781491002571,0.11748344010554812,0.09658097300175496,0.13968070527190043,1,0.8329156223893066,0.7455012853470437,-0.08741433704226287,-0.11020431255886652,-0.06363323976149222,-1
