n,n_valid,rate_still_normal,rate_returned_to_origin_range,rate_reached_opposite_range,rate_terminal_dir_high,rate_terminal_dir_low,rate_p_terminal_normal,rate_p_terminal_origin,rate_p_terminal_opposite,wait_to_event_n,wait_to_event_mean,wait_to_event_median,wait_to_event_p25,wait_to_event_p75,abs_net_atr_n,abs_net_atr_mean,abs_net_atr_median,abs_net_atr_p25,abs_net_atr_p75,max_up_atr_n,max_up_atr_mean,max_up_atr_median,max_up_atr_p25,max_up_atr_p75,max_down_atr_n,max_down_atr_mean,max_down_atr_median,max_down_atr_p25,max_down_atr_p75,max_range_atr_n,max_range_atr_mean,max_range_atr_median,max_range_atr_p25,max_range_atr_p75,er_forward_n,er_forward_mean,er_forward_median,er_forward_p25,er_forward_p75,time_to_leave_normal_n,time_to_leave_normal_mean,time_to_leave_normal_median,time_to_leave_normal_p25,time_to_leave_normal_p75,time_to_origin_range_n,time_to_origin_range_mean,time_to_origin_range_median,time_to_origin_range_p25,time_to_origin_range_p75,time_to_opposite_range_n,time_to_opposite_range_mean,time_to_opposite_range_median,time_to_opposite_range_p25,time_to_opposite_range_p75,path_dir_high_share_n,path_dir_high_share_mean,path_dir_high_share_median,path_dir_high_share_p25,path_dir_high_share_p75,path_dir_low_share_n,path_dir_low_share_mean,path_dir_low_share_median,path_dir_low_share_p25,path_dir_low_share_p75,split,origin_cell,horizon
16734,15498,0.3510130339398632,0.5134856110465866,0.6709898051361466,0.2911988643695961,0.3619821912504839,0.3510130339398632,0.2876500193573364,0.36133694670280037,15498,17.078268163634018,10.0,3.0,24.0,15498,2.9992060000540954,2.396449704142012,1.136811795211964,4.106844741235393,15498,2.9053517664481556,2.4,1.1341289092956772,4.049079754601227,15498,3.13052906421547,2.4030791167289687,1.0429551267147175,4.329896907216495,15498,6.035880830663626,5.387755102040817,4.2586750788643535,6.951219512195122,15498,0.18279249813170262,0.15789473684210525,0.07692307692307693,0.2631578947368421,14955,7.626145101972584,5.0,2.0,11.0,7958,9.802337270671023,6.0,2.0,16.0,10399,9.630156745840946,7.0,4.0,14.0,15498,0.30412741429001594,0.2,0.03333333333333333,0.5,15498,0.32429990966576333,0.3,0.03333333333333333,0.5333333333333333,IS,C_EXP_HIGH_DIR,30
16734,14078,0.34408296633044466,0.7224037505327461,0.8215655632902401,0.3327887484017616,0.3443670975990908,0.34408296633044466,0.35544821707628926,0.3004688165932661,14078,17.03430885068902,10.0,3.0,24.0,14078,4.114082725779954,3.2229446555168226,1.4585825358851676,5.692424319113593,14078,4.030846343842695,3.274294670846395,1.5865384615384615,5.663716814159292,14078,4.373659070702878,3.3116883116883113,1.4459974284489738,5.970330302824006,14078,8.404505414545573,7.455083378160301,5.883977900552487,9.756985555292447,14078,0.1285846406168697,0.10822510822510822,0.05,0.18716577540106952,14052,8.599629945915172,6.0,2.0,12.0,10170,19.628613569321534,14.0,3.0,34.0,11566,15.975185889676638,10.0,4.0,23.0,14078,0.3047343372638158,0.23333333333333334,0.08333333333333333,0.4666666666666667,14078,0.3390621300374106,0.3333333333333333,0.15,0.5166666666666667,IS,C_EXP_HIGH_DIR,60
4101,4056,0.6208086785009862,0.38461538461538464,0.11982248520710059,0.08900394477317554,0.5594181459566075,0.6208086785009862,0.27317554240631164,0.10601577909270217,4056,6.923570019723866,4.0,2.0,10.0,4056,1.2857405304278662,0.9977827050997783,0.4721878515185602,1.7307692307692308,4056,1.2918952259561987,1.0548162774725274,0.5165024630541872,1.7647058823529413,4056,1.2775528725606846,0.9589041095890412,0.43347428174235403,1.7115461774146483,4056,2.569448098516883,2.246227481220501,1.7419354838709677,2.969798657718121,4056,0.44479012349221053,0.40967365967365965,0.2,0.6591928251121076,2020,2.4376237623762376,2.0,1.0,4.0,1560,2.2025641025641027,2.0,1.0,3.0,486,3.288065843621399,3.0,2.0,5.0,4056,0.06360946745562131,0.0,0.0,0.0,4056,0.602120315581854,0.6,0.2,1.0,IS,D_EXP_LOW_DIR,5
4101,3939,0.41787255648641786,0.553947702462554,0.3295252602183295,0.2394008631632394,0.4105102817974105,0.41787255648641786,0.3373952779893374,0.24473216552424473,3939,6.892358466615892,4.0,2.0,10.0,3939,2.1602582977160916,1.6666666666666667,0.7716178339513589,2.8891739581788523,3939,2.208978631701636,1.8181818181818181,0.9259259259259258,3.0526315789473686,3939,2.2305003434940063,1.6363636363636365,0.7563025210084033,3.055728088336784,3939,4.439478975195643,3.9393939393939394,3.061224489795918,5.058139534883721,3939,0.24946424323478877,0.21739130434782608,0.1,0.36666666666666664,3209,5.1561234029292615,4.0,2.0,8.0,2182,4.398258478460129,3.0,1.0,6.0,1298,7.5878274268104775,7.0,4.0,11.0,3939,0.14081408140814083,0.0,0.0,0.2,3939,0.5053228399763053,0.5333333333333333,0.26666666666666666,0.8,IS,D_EXP_LOW_DIR,15
4101,3849,0.364250454663549,0.6614705118212523,0.5315666406858924,0.3232008313847753,0.3471031436736815,0.364250454663549,0.3471031436736815,0.28864640166276956,3849,6.916601714731099,4.0,2.0,10.0,3849,3.1126380865232086,2.392638036809816,1.1025641025641026,4.139499620924943,3849,3.1104690786885354,2.5490196078431375,1.2244897959183672,4.188963210702341,3849,3.1635920141933203,2.307692307692308,1.0756972111553784,4.2105263157894735,3849,6.274061092881856,5.415821501014198,4.338842975206612,7.125,3849,0.17910589931273466,0.15492957746478872,0.07160493827160494,0.26153846153846155,3674,7.5261295590636905,5.0,2.0,11.0,2546,7.357816182246661,4.0,1.0,11.0,2046,13.03763440860215,12.0,6.0,20.0,3849,0.2151900926647614,0.1,0.0,0.36666666666666664,3849,0.42909846713432065,0.43333333333333335,0.2,0.6333333333333333,IS,D_EXP_LOW_DIR,30
4101,3534,0.3463497453310696,0.8203169213355971,0.7507074136955292,0.31777023203169213,0.3370118845500849,0.3463497453310696,0.3545557441992077,0.2990945104697227,3534,6.861346915676288,4.0,2.0,10.0,3534,4.327481928368075,3.270979020979021,1.5517241379310345,5.791844216067176,3534,4.3213832978248465,3.5273241788829095,1.7859358383551933,5.814998990306947,3534,4.450888579030979,3.148445786081423,1.442250910403202,6.0,3534,8.772271876855825,7.625465117484271,5.9471365638766525,9.958220130157326,3534,0.12692799768084181,0.10528080765293515,0.051142546245919476,0.1845780433159074,3534,8.959818902093945,5.0,2.0,12.0,2899,14.234563642635392,6.0,2.0,23.0,2653,21.871843196381455,18.0,8.0,33.0,3534,0.26634125636672323,0.2,0.05,0.43333333333333335,3534,0.38812016600641386,0.38333333333333336,0.2,0.55,IS,D_EXP_LOW_DIR,60
1739,1722,0.6939605110336817,0.34494773519163763,0.08710801393728224,0.09988385598141696,0.5331010452961672,0.6939605110336817,0.22822299651567945,0.07781649245063879,1722,5.845528455284553,3.0,1.0,8.0,1722,1.132632039067609,0.881671061005546,0.4183407720910195,1.5036674816625917,1722,1.1633390755585984,0.9546289084232781,0.44817174795164083,1.581961529919669,1722,1.1911248473957965,0.9444471551161557,0.44704632734640665,1.641679640992765,1722,2.354463922954395,2.074365924755496,1.6658698186082617,2.6759003454394987,1722,0.4344346212286101,0.391304347826087,0.1950821282133124,0.6363636363636364,739,2.428958051420839,2.0,1.0,4.0,594,2.255892255892256,2.0,1.0,3.0,150,3.1733333333333333,3.0,2.0,4.0,1722,0.06504065040650407,0.0,0.0,0.0,1722,0.5717770034843206,0.6,0.2,1.0,Validation,A_COMP_LOW_DIR,5
1739,1677,0.505664877757901,0.47227191413237923,0.2802623732856291,0.2277877161598092,0.41144901610017887,0.505664877757901,0.259391771019678,0.234943351222421,1677,5.847942754919499,3.0,1.0,8.0,1677,1.9635235961891282,1.560247167868177,0.7687614399023796,2.6645056726094003,1677,1.9609222037101384,1.5882352941176472,0.8326105810928015,2.614864864864865,1677,2.0404688526287518,1.5852442671984048,0.7553956834532374,2.79833246482543,1677,4.001391056338891,3.555133079847909,2.811244979919679,4.612813370473537,1677,0.2573479259025888,0.22580645161290322,0.1111111111111111,0.3739612188365651,1198,5.474958263772955,4.0,2.0,9.0,792,4.2727272727272725,3.0,1.0,6.0,470,8.302127659574468,8.0,5.0,12.0,1677,0.1366726296958855,0.0,0.0,0.2,1677,0.4956072351421189,0.4666666666666667,0.2,0.8,Validation,A_COMP_LOW_DIR,15
1739,1619,0.3551575046324892,0.586781964175417,0.4749845583693638,0.35145151327980234,0.32612723903644225,0.3551575046324892,0.29524397776405187,0.34959851760345895,1619,5.813465101914762,3.0,1.0,8.0,1619,2.7405010970253145,2.198142414860681,1.040342342887447,3.7296746474735603,1619,2.771649989431874,2.25752508361204,1.1205348516055444,3.7666472227367853,1619,2.7885373451865627,2.15311004784689,1.000463392029657,3.7978410325180065,1619,5.560187334618437,4.968394437420986,3.984672923265519,6.3869376926114825,1619,0.18193232341633386,0.16077537058152794,0.07509398496240602,0.26159126957395085,1490,9.167114093959732,6.0,2.0,14.0,950,7.96,4.0,2.0,12.0,769,14.001300390117034,13.0,7.0,21.0,1619,0.21140621782993615,0.06666666666666667,0.0,0.3333333333333333,1619,0.4308420835906938,0.43333333333333335,0.16666666666666666,0.6666666666666666,Validation,A_COMP_LOW_DIR,30
1739,1492,0.3210455764075067,0.792225201072386,0.6849865951742627,0.353887399463807,0.306970509383378,0.3210455764075067,0.3491957104557641,0.3297587131367292,1492,5.851876675603217,3.0,1.0,8.0,1492,3.967464398646763,3.3301816426816426,1.5283206753563308,5.4361898132983955,1492,3.8680095137821917,3.1330288382762577,1.5,5.38276004361757,1492,3.9993815775995154,3.0428958666948356,1.3908293583628253,5.503675366003708,1492,7.867391091381706,6.946145840560606,5.466086329050509,9.106681366013742,1492,0.1340654140609659,0.12055128799986253,0.05711782562759483,0.19384347279557756,1483,11.399190829399865,8.0,3.0,17.0,1182,18.016074450084602,9.0,2.0,32.0,1022,22.783757338551858,19.0,10.0,33.0,1492,0.2871201966041108,0.2,0.05,0.48333333333333334,1492,0.36831992850759604,0.35,0.16666666666666666,0.55,Validation,A_COMP_LOW_DIR,60
