n,n_valid,rate_still_compressed,rate_still_expanded,rate_reached_normal,rate_reached_expansion,rate_left_expansion,rate_p_terminal_normal,rate_p_terminal_expansion,rate_p_terminal_compression,abs_net_n,abs_net_mean,abs_net_median,abs_net_p25,abs_net_p75,abs_net_atr_n,abs_net_atr_mean,abs_net_atr_median,abs_net_atr_p25,abs_net_atr_p75,max_up_n,max_up_mean,max_up_median,max_up_p25,max_up_p75,max_down_n,max_down_mean,max_down_median,max_down_p25,max_down_p75,max_up_atr_n,max_up_atr_mean,max_up_atr_median,max_up_atr_p25,max_up_atr_p75,max_down_atr_n,max_down_atr_mean,max_down_atr_median,max_down_atr_p25,max_down_atr_p75,max_range_n,max_range_mean,max_range_median,max_range_p25,max_range_p75,max_range_atr_n,max_range_atr_mean,max_range_atr_median,max_range_atr_p25,max_range_atr_p75,er_forward_n,er_forward_mean,er_forward_median,er_forward_p25,er_forward_p75,time_to_normal_n,time_to_normal_mean,time_to_normal_median,time_to_normal_p25,time_to_normal_p75,time_to_expansion_n,time_to_expansion_mean,time_to_expansion_median,time_to_expansion_p25,time_to_expansion_p75,time_to_leave_compression_n,time_to_leave_compression_mean,time_to_leave_compression_median,time_to_leave_compression_p25,time_to_leave_compression_p75,time_to_leave_expansion_n,time_to_leave_expansion_mean,time_to_leave_expansion_median,time_to_leave_expansion_p25,time_to_leave_expansion_p75,expansion_is_directional_n,expansion_is_directional_mean,expansion_is_directional_median,expansion_is_directional_p25,expansion_is_directional_p75,expansion_is_two_sided_n,expansion_is_two_sided_mean,expansion_is_two_sided_median,expansion_is_two_sided_p25,expansion_is_two_sided_p75,split,cell,horizon
12017,11365,0.6381874175098988,0.08315002199736031,0.455081390233172,0.10065992080950285,0.9998240211174659,0.27866256049274085,0.08315002199736031,0.6381874175098988,11365,23.021711394632643,16.5,7.5,31.0,11365,2.070601500317368,1.6598360655737705,0.7749077490774907,2.8428927680798,11365,22.907457105147383,16.25,7.5,30.75,11365,23.410140783106026,16.5,7.25,31.75,11365,2.048200072133699,1.6666666666666665,0.7923697725605283,2.8308823529411766,11365,2.130854466327875,1.6487252124645893,0.7430340557275542,2.952987267384917,11365,46.31759788825341,38.75,26.75,57.75,11365,4.179054538461574,3.7020109689213894,2.9419354838709677,4.808080808080808,11365,0.26597381592821384,0.23174603174603176,0.1111111111111111,0.3888888888888889,5172,6.209396751740139,5.0,2.0,10.0,1144,9.829545454545455,10.0,7.0,13.0,5183,6.202392436812657,5.0,2.0,10.0,11363,1.0027281527765555,1.0,1.0,1.0,1144,0.7613636363636364,1.0,1.0,1.0,1144,0.017482517482517484,0.0,0.0,0.0,Validation,B_COMP_MIDHIGH_DIR,15
12017,10817,0.4566885458075252,0.20920772857539058,0.6807802533049829,0.26273458445040215,0.9998151058518998,0.33410372561708424,0.20920772857539058,0.4566885458075252,10817,32.29247943052602,23.25,10.75,43.25,10817,2.895801240412952,2.3046357615894038,1.1123595505617978,3.9746835443037973,10817,31.821415364703707,23.5,10.75,42.75,10817,33.10749283535176,23.75,10.0,45.5,10817,2.84355434065494,2.3529411764705883,1.10801393728223,3.942712721145745,10817,2.9916019132082465,2.328358208955224,1.0323033707865168,4.112359550561798,10817,64.92890820005547,54.75,38.25,80.0,10817,5.835156253863186,5.1674999999999995,4.1038525963149075,6.718146718146718,10817,0.18937987193122746,0.1626733921815889,0.07806691449814127,0.2745762711864407,7364,11.493617599130907,9.0,4.0,18.0,2842,17.927515833919774,18.0,12.0,25.0,7374,11.478708977488473,9.0,4.0,18.0,10815,1.0028663892741563,1.0,1.0,1.0,2842,0.6945812807881774,1.0,0.0,1.0,2842,0.05453905700211119,0.0,0.0,0.0,Validation,B_COMP_MIDHIGH_DIR,30
12017,9805,0.331769505354411,0.34084650688424273,0.9049464558898521,0.5691993880673126,0.999898011218766,0.32738398776134625,0.34084650688424273,0.331769505354411,9805,45.44433962264151,33.25,15.0,61.75,9805,4.067801982498146,3.2258064516129035,1.5222772277227723,5.555555555555555,9805,44.34204487506374,33.75,15.5,59.5,9805,45.86323304436512,32.5,14.0,62.25,9805,3.9842908511122497,3.2781456953642385,1.584385763490241,5.468277945619335,9805,4.129343911853482,3.1578947368421053,1.3895781637717122,5.6742081447963795,9805,90.20527791942887,76.75,54.0,111.75,9805,8.113634762965733,7.164750957854405,5.632096896290689,9.339735894357743,9805,0.13527638235611747,0.11650485436893204,0.055873925501432664,0.19602272727272727,8873,18.901837033697735,15.0,5.0,30.0,5581,31.609568177745924,31.0,19.0,44.0,8878,18.869565217391305,15.0,5.0,30.0,9804,1.0091799265605874,1.0,1.0,1.0,5581,0.6391327719046765,1.0,0.0,1.0,5581,0.08726034760795556,0.0,0.0,0.0,Validation,B_COMP_MIDHIGH_DIR,60
5933,5876,0.033185840707964605,0.7568073519400953,0.28829135466303607,0.9324370319945541,0.2888019060585432,0.2100068073519401,0.7568073519400953,0.033185840707964605,5876,13.448987406398912,9.25,4.0,17.75,5876,1.2743366492708679,0.9432821519016221,0.4408582814461824,1.7335643191404886,5876,13.243958475153166,9.75,4.5,17.75,5876,13.676395507147719,9.25,4.25,18.0,5876,1.2601257874746956,0.9861399427619757,0.4808581523285592,1.691517108233095,5876,1.29569762697822,0.9497638100990058,0.44374596681578055,1.7098015054137712,5876,26.920353982300885,22.5,15.5,33.0,5876,2.5558234144529157,2.15172813899043,1.6895063085613773,2.88,5876,0.45409929847142194,0.4183300395256917,0.1976681420706035,0.6880353688864327,1694,2.550177095631641,2.0,1.0,4.0,5479,1.056214637707611,1.0,1.0,1.0,5875,1.0001702127659575,1.0,1.0,1.0,1697,2.5468473777253977,2.0,1.0,4.0,5479,0.8302609965322139,1.0,1.0,1.0,5479,0.0029202409198758896,0.0,0.0,0.0,Validation,C_EXP_HIGH_DIR,5
5933,5748,0.16301322199025747,0.5600208768267223,0.5346207376478775,0.9471120389700766,0.5363604732080723,0.27696590118302017,0.5600208768267223,0.16301322199025747,5748,22.362734864300627,16.0,7.5,30.25,5748,2.1370868853383187,1.6410109167402105,0.7867812705784494,2.885375494071146,5748,22.031010786360472,16.25,7.75,29.5,5748,23.33107167710508,16.25,7.0,31.5,5748,2.1062214288838605,1.6687268232385661,0.8417257134962302,2.808735463553754,5748,2.2073503510654358,1.638600612441797,0.75333476324713,2.9882464641173385,5748,45.362082463465555,38.75,26.75,55.75,5748,4.313571779949296,3.721027630283121,2.9409816906895205,4.863640233462299,5748,0.26013732550087565,0.22727272727272727,0.1111111111111111,0.37751413094677344,3073,6.028636511552229,5.0,2.0,9.0,5444,1.1667891256429097,1.0,1.0,1.0,5747,1.0001740038280842,1.0,1.0,1.0,3083,6.024975673045735,5.0,2.0,9.0,5444,0.830088170462895,1.0,1.0,1.0,5444,0.0031227038941954444,0.0,0.0,0.0,Validation,C_EXP_HIGH_DIR,15
5933,5571,0.28235505295279123,0.4135702746365105,0.7355950457727517,0.9574582660204631,0.7382875605815832,0.30407467241069824,0.4135702746365105,0.28235505295279123,5571,31.938655537605456,23.5,10.5,43.0,5571,3.065611633074893,2.4101198402130493,1.1270011185816866,4.0959460569034425,5571,30.672096571531142,22.75,10.75,41.5,5571,32.73739005564531,23.75,9.75,45.0,5571,2.9518094200437144,2.316043425814234,1.1205262863456456,3.9304147710644637,5571,3.1101590398840617,2.3671497584541066,1.074647124156225,4.292779677180452,5571,63.40948662717645,54.25,38.5,78.0,5571,6.061968459927774,5.206971677559913,4.1148886283704575,6.852136402987703,5571,0.18791727795350519,0.16524701873935263,0.07741935483870968,0.27135670809339596,4098,10.52464616886286,8.0,3.0,17.0,5334,1.4146981627296589,1.0,1.0,1.0,5571,1.0030515167833423,1.0,1.0,1.0,4113,10.526379771456359,8.0,3.0,17.0,5334,0.8267716535433071,1.0,1.0,1.0,5334,0.003937007874015748,0.0,0.0,0.0,Validation,C_EXP_HIGH_DIR,30
5933,5183,0.3515338606984372,0.3314682616245418,0.9345938645572063,0.9766544472313332,0.9365232490835423,0.31699787767702103,0.3314682616245418,0.3515338606984372,5183,44.49469419255258,33.25,15.0,59.875,5183,4.264488963102429,3.235955056179775,1.548792804924971,5.7805390934810195,5183,43.24213775805518,32.25,15.0,59.25,5183,45.43473856839668,32.75,13.75,61.5,5183,4.151748044314757,3.2540861812778603,1.5608757796257795,5.643469338483825,5183,4.330016357901449,3.2613240418118465,1.4396922349526091,5.820222197284256,5183,88.67687632645186,76.25,54.25,107.75,5183,8.481764402216207,7.273612463485881,5.659580571137175,9.607616718742925,5183,0.13279501060051,0.11183496199782844,0.05368857744582206,0.19480044237712651,4844,17.636870355078447,12.0,4.0,28.0,5062,2.2236270248913472,1.0,1.0,1.0,5183,1.0032799536947714,1.0,1.0,1.0,4854,17.592913061392665,12.0,4.0,28.0,5062,0.8220071118135125,1.0,1.0,1.0,5062,0.005728960885025681,0.0,0.0,0.0,Validation,C_EXP_HIGH_DIR,60
1960,1942,0.012873326467559218,0.7693099897013388,0.2909371781668383,0.9474768280123584,0.29145211122554066,0.21781668383110195,0.7693099897013388,0.012873326467559218,1942,11.778321318228631,8.25,3.5,15.75,1942,1.1036410721089387,0.868025876705111,0.38584125181714385,1.5109745819643097,1942,12.748455200823892,9.5,4.25,17.4375,1942,12.546858908341916,8.5,3.75,16.75,1942,1.1937854597152475,0.9859111598316659,0.48205981822024935,1.6220861228285608,1942,1.169272121074558,0.8929136885913327,0.4253499258250729,1.6052696944800047,1942,25.29531410916581,21.125,14.75,31.5,1942,2.3630575807898055,2.0890799168713396,1.6324679811465093,2.6928075943973067,1942,0.42776420145328375,0.3901533494753834,0.17408557625948928,0.643767801437678,565,2.5238938053097346,2.0,1.0,4.0,1840,1.0815217391304348,1.0,1.0,1.0,1941,1.0,1.0,1.0,1.0,566,2.521201413427562,2.0,1.0,4.0,1840,0.002717391304347826,0.0,0.0,0.0,1840,0.6684782608695652,1.0,0.0,1.0,Validation,D_EXP_LOW_DIR,5
1960,1893,0.10670892762810354,0.5858425779186477,0.537770734284205,0.9603803486529319,0.5388272583201268,0.3074484944532488,0.5858425779186477,0.10670892762810354,1893,20.37268885367142,14.25,6.5,26.75,1893,1.9160708006371359,1.470888661899898,0.7142857142857143,2.5492227979274613,1893,21.618198626518755,16.0,7.75,29.25,1893,21.107501320655047,15.0,6.75,27.5,1893,2.0154683891192917,1.627906976744186,0.8928571428571428,2.6643356643356646,1893,1.9921478796688055,1.5566037735849056,0.733695652173913,2.65748031496063,1893,42.7256999471738,35.75,24.75,52.25,1893,4.007616268788098,3.525686136523575,2.8243143068939953,4.5355541319666886,1893,0.24677905075007636,0.2073170731707317,0.10780669144981413,0.3541666666666667,1018,6.028487229862476,5.0,2.0,9.0,1818,1.188118811881188,1.0,1.0,1.0,1892,1.0,1.0,1.0,1.0,1020,6.023529411764706,5.0,2.0,9.0,1818,0.005500550055005501,0.0,0.0,0.0,1818,0.6611661166116611,1.0,0.0,1.0,Validation,D_EXP_LOW_DIR,15
1960,1823,0.2759188151398793,0.4229292375205705,0.7613823368074603,0.9698299506308283,0.7646736149204608,0.3011519473395502,0.4229292375205705,0.2759188151398793,1823,29.452687877125616,21.25,9.75,39.0,1823,2.76910381682406,2.170212765957447,1.0485354215098495,3.6681734756304807,1823,30.256856829402086,23.25,10.875,40.0,1823,30.061025781678552,20.5,9.75,39.0,1823,2.837809003711158,2.34375,1.2160570985235573,3.7298669574434387,1823,2.8577181529352518,2.1611001964636545,0.999075646402717,3.88725600210769,1823,60.317882611080634,50.25,35.5,73.25,1823,5.695527156646411,4.94335736354274,4.009192684456885,6.3617428233349,1823,0.17941123396753147,0.15228426395939088,0.07349899675875907,0.25566832640551485,1388,10.847262247838616,9.0,3.0,18.0,1768,1.3642533936651584,1.0,1.0,1.0,1822,1.0,1.0,1.0,1.0,1394,10.865136298421808,9.0,3.0,18.0,1768,0.010746606334841629,0.0,0.0,0.0,1768,0.6561085972850679,1.0,0.0,1.0,Validation,D_EXP_LOW_DIR,30
