metric_family,horizon,split,n_c,n_d,eligible,return_rate_c,return_rate_d,return_diff,return_diff_ci_lo,return_diff_ci_hi,opposite_rate_c,opposite_rate_d,opposite_diff,opposite_diff_ci_lo,opposite_diff_ci_hi,origin_cell,feature,n,mean,p10,p25,p50,p75,p90,frac_gt_0,frac_gt_5,frac_gt_10,frac_gt_15,frac_gt_20,n_reached,n_events,frac_reached,rate,note
excursion,15,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,net_displacement,4348.0,-1.030588776448942,-19.25,-5.25,-0.25,4.75,16.825000000000045,0.484130634774609,0.23804047838086476,0.15087396504139836,0.10993560257589696,0.08302667893284268,,,,,
excursion,15,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,hl_range,4348.0,24.046228150873965,3.75,5.75,13.0,33.8125,56.75,1.0,0.8003679852805887,0.5752069917203312,0.4579116835326587,0.3806347746090156,,,,,
excursion,15,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,abs_net,4348.0,12.04749310027599,0.75,2.0,5.0,14.0,31.5,0.9880404783808647,0.4919503219871205,0.3189972401103956,0.23666053357865685,0.18008279668813248,,,,,
excursion,15,,,,,,,,,,,,,,,D_EXP_LOW_DIR,max_up,4706.0,12.434232894177645,0.75,2.25,5.5,14.25,31.25,0.9804504887377815,0.5195495112622185,0.32320441988950277,0.23331916702082448,0.17934551636209095,,,,,
excursion,15,,,,,,,,,,,,,,,D_EXP_LOW_DIR,max_down,4706.0,12.427751806204846,0.75,1.75,5.0,14.25,31.5,0.9696132596685083,0.4923501912452189,0.324054398640034,0.2288567785805355,0.17552061198470037,,,,,
excursion,15,,,,,,,,,,,,,,,D_EXP_LOW_DIR,abs_max_excursion,4706.0,19.515830854228643,2.75,4.5,10.0,24.0,47.25,1.0,0.7016574585635359,0.49426264343391413,0.3814279643008925,0.30662983425414364,,,,,
excursion,15,,,,,,,,,,,,,,,D_EXP_LOW_DIR,net_displacement,4706.0,0.41250531236719085,-18.25,-4.25,0.5,5.5,17.0,0.5403739906502337,0.26306842328941776,0.16489587760305993,0.11240968975775606,0.08691032724181895,,,,,
excursion,15,,,,,,,,,,,,,,,D_EXP_LOW_DIR,hl_range,4706.0,24.86198470038249,3.75,6.0,13.0,32.75,58.75,1.0,0.7970675733106672,0.5726731831704207,0.45431364215894604,0.3858903527411815,,,,,
excursion,15,,,,,,,,,,,,,,,D_EXP_LOW_DIR,abs_net,4706.0,12.236984700382491,0.75,2.0,5.0,13.5,32.125,0.9859753506162346,0.4936251593710157,0.31810454738631533,0.22524436889077773,0.1782830429239269,,,,,
excursion,30,,,,,,,,,,,,,,,POOLED,max_up,8825.0,16.57487252124646,1.0,3.0,7.25,19.25,43.25,0.981643059490085,0.6081586402266289,0.4062322946175637,0.30515580736543907,0.23977337110481586,,,,,
excursion,30,,,,,,,,,,,,,,,POOLED,max_down,8825.0,17.57314447592068,1.0,2.5,7.25,20.5,46.75,0.974957507082153,0.5882152974504249,0.4131444759206799,0.3146742209631728,0.25393767705382436,,,,,
excursion,30,,,,,,,,,,,,,,,POOLED,abs_max_excursion,8825.0,26.909348441926344,3.75,6.5,14.25,34.75,64.25,1.0,0.8228895184135977,0.6015864022662889,0.48056657223796034,0.403399433427762,,,,,
excursion,30,,,,,,,,,,,,,,,POOLED,net_displacement,8825.0,0.16271954674220962,-25.0,-6.75,0.5,7.75,24.5,0.5243059490084986,0.311614730878187,0.2081586402266289,0.15739376770538244,0.12362606232294618,,,,,
excursion,30,,,,,,,,,,,,,,,POOLED,hl_range,8825.0,34.14801699716714,5.25,8.5,18.25,45.0,82.0,1.0,0.910028328611898,0.6875920679886686,0.5585269121813031,0.47444759206798864,,,,,
excursion,30,,,,,,,,,,,,,,,POOLED,abs_net,8825.0,17.004249291784703,1.0,2.75,7.25,19.5,44.0,0.988328611898017,0.5952407932011331,0.40736543909348444,0.3065155807365439,0.24158640226628894,,,,,
excursion,30,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,max_up,4235.0,15.975974025974025,1.0,2.75,7.0,18.75,40.5,0.9744982290436836,0.5893742621015349,0.39433293978748524,0.29539551357733174,0.23140495867768596,,,,,
excursion,30,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,max_down,4235.0,17.870011806375445,1.0,2.5,7.25,21.25,47.14999999999998,0.9726092089728453,0.5950413223140496,0.41700118063754427,0.3204250295159386,0.26304604486422667,,,,,
excursion,30,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,abs_max_excursion,4235.0,26.863341204250297,3.75,6.25,14.25,35.5,64.25,1.0,0.8214876033057851,0.60543093270366,0.4809917355371901,0.40873671782762694,,,,,
excursion,30,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,net_displacement,4235.0,-0.364344746162928,-26.39999999999999,-7.5,0.5,7.75,24.149999999999977,0.5192443919716647,0.3010625737898465,0.2066115702479339,0.15726092089728452,0.12231404958677686,,,,,
excursion,30,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,hl_range,4235.0,33.84598583234947,5.25,8.5,18.0,45.0,79.89999999999998,1.0,0.9055489964580874,0.6892561983471074,0.5626918536009445,0.46894923258559623,,,,,
excursion,30,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,abs_net,4235.0,17.10460448642267,1.0,2.75,7.75,20.0,42.64999999999998,0.9889020070838253,0.6011806375442739,0.42337662337662335,0.31381345926800475,0.2474616292798111,,,,,
excursion,30,,,,,,,,,,,,,,,D_EXP_LOW_DIR,max_up,4590.0,17.127450980392158,1.25,3.25,7.5,20.0,44.75,0.9882352941176471,0.6254901960784314,0.41721132897603486,0.314161220043573,0.24749455337690632,,,,,
excursion,30,,,,,,,,,,,,,,,D_EXP_LOW_DIR,max_down,4590.0,17.299237472766883,1.0,2.75,7.25,19.75,45.52500000000009,0.9771241830065359,0.581917211328976,0.4095860566448802,0.3093681917211329,0.24553376906318083,,,,,
excursion,30,,,,,,,,,,,,,,,D_EXP_LOW_DIR,abs_max_excursion,4590.0,26.951797385620914,4.0,6.5,14.0,33.75,64.30000000000018,1.0,0.8241830065359477,0.5980392156862745,0.4801742919389978,0.39847494553376905,,,,,
excursion,30,,,,,,,,,,,,,,,D_EXP_LOW_DIR,net_displacement,4590.0,0.6490196078431373,-23.0,-6.0,0.75,7.75,24.75,0.5289760348583878,0.3213507625272331,0.20958605664488017,0.15751633986928104,0.12483660130718954,,,,,
excursion,30,,,,,,,,,,,,,,,D_EXP_LOW_DIR,hl_range,4590.0,34.426688453159045,5.5,8.5,18.75,45.0,84.27500000000009,1.0,0.914161220043573,0.6860566448801743,0.5546840958605664,0.47952069716775597,,,,,
excursion,30,,,,,,,,,,,,,,,D_EXP_LOW_DIR,abs_net,4590.0,16.911655773420478,1.0,2.75,7.0,18.75,45.5,0.9877995642701525,0.589760348583878,0.3925925925925926,0.29978213507625273,0.23616557734204793,,,,,
excursion,60,,,,,,,,,,,,,,,POOLED,max_up,8029.0,23.30467679661228,1.5,4.25,10.25,28.25,59.25,0.9855523726491469,0.7025781541910574,0.5004359197907585,0.3940714908456844,0.32594345497571303,,,,,
excursion,60,,,,,,,,,,,,,,,POOLED,max_down,8029.0,24.68420724872338,1.25,3.75,10.25,29.0,65.0,0.980819529206626,0.6684518620002491,0.5021795989537925,0.39544152447378256,0.33354091418607545,,,,,
excursion,60,,,,,,,,,,,,,,,POOLED,abs_max_excursion,8029.0,37.54029144351725,5.5,9.25,20.25,48.0,91.5,1.0,0.9120687507784282,0.7126665836343256,0.5740440901731224,0.5010586623489849,,,,,
excursion,60,,,,,,,,,,,,,,,POOLED,net_displacement,8029.0,0.8063893386474031,-33.0,-8.75,1.25,11.5,35.5,0.5411632830987669,0.36903724000498195,0.26703200896749285,0.21061153319217835,0.17000871839581516,,,,,
excursion,60,,,,,,,,,,,,,,,POOLED,hl_range,8029.0,47.98888404533566,7.5,12.0,25.75,65.0,115.75,1.0,0.9796985926018185,0.8053306762984183,0.6665836343255698,0.5685639556607298,,,,,
excursion,60,,,,,,,,,,,,,,,POOLED,abs_net,8029.0,23.5013700336281,1.5,4.0,10.0,27.0,64.5,0.9911570556731847,0.6873832357703326,0.49819404658114336,0.3950678789388467,0.31722505916054305,,,,,
excursion,60,,,,,,,,,,,,,,,C_EXP_HIGH_DIR,max_up,3842.0,22.82788912024987,1.5,4.25,9.75,28.4375,56.22500000000002,0.9804789172306091,0.687402394586153,0.48828735033836546,0.39198334200937013,0.32613222280062465,,,,,
