covariate,level,family,contrast_tag,contrast,horizon,n_a,n_b,eligible,return_rate_a,return_rate_b,return_diff,return_diff_ci_lo,return_diff_ci_hi,return_sign,opposite_rate_a,opposite_rate_b,opposite_diff,opposite_diff_ci_lo,opposite_diff_ci_hi,opposite_sign
volatility_state,HIGH_VOLATILITY,CompExit,CompExit_A_vs_B,B_minus_A,60,2949,5133,True,0.752458460495083,0.7258912916423145,-0.026567168852768552,-0.046504795610255084,-0.006938192748769695,-1,0.7433028145133944,0.7681667640755894,0.024863949562194954,0.005190550625958371,0.04426367392828618,1
volatility_state,LOW_VOLATILITY,CompExit,CompExit_A_vs_B,B_minus_A,60,2315,3304,True,0.8155507559395249,0.7981234866828087,-0.017427269256716116,-0.03850234282249114,0.003311115216254809,-1,0.6660907127429806,0.6949152542372882,0.028824541494307576,0.003956838228858377,0.05355271352167662,1
volatility_state,NORMAL_VOLATILITY,CompExit,CompExit_A_vs_B,B_minus_A,60,2668,4008,True,0.7852323838080959,0.7532435129740519,-0.031988870834044,-0.05265806345273527,-0.01162701852430556,-1,0.7177661169415293,0.7544910179640718,0.036724901022542555,0.014972791621606186,0.058283201927050984,1
volume_state,HIGH_VOLUME,CompExit,CompExit_A_vs_B,B_minus_A,60,1971,3667,True,0.7371892440385591,0.722388873738751,-0.014800370299808074,-0.03926382555075658,0.009201912730327659,-1,0.7661085743277524,0.7777474775020453,0.011638903174292947,-0.01163519186959373,0.03441283210886087,1
volume_state,LOW_VOLUME,CompExit,CompExit_A_vs_B,B_minus_A,60,2895,3792,True,0.8217616580310881,0.7943037974683544,-0.027457860562733694,-0.04654253508761076,-0.008595855545468722,-1,0.6635578583765113,0.7083333333333334,0.0447754749568221,0.02227029936460562,0.06722019477533148,1
volume_state,NORMAL_VOLUME,CompExit,CompExit_A_vs_B,B_minus_A,60,3066,4986,True,0.7729941291585127,0.7462896109105496,-0.02670451824796316,-0.04597140563203557,-0.00772778266921733,-1,0.7234181343770385,0.7470918572001605,0.023673722823121968,0.0036652086264483998,0.04346817565890784,1
tod_block,FIRST_30,CompExit,CompExit_A_vs_B,B_minus_A,60,506,1516,True,0.8260869565217391,0.808047493403694,-0.018039463118045163,-0.058277865695432904,0.01879236834019525,-1,0.7193675889328063,0.7387862796833773,0.01941869075057101,-0.026597426875965204,0.0631534319509916,1
tod_block,1000_1200,CompExit,CompExit_A_vs_B,B_minus_A,60,2944,4532,True,0.7197690217391305,0.6884377758164166,-0.03133124592271386,-0.05253780704381891,-0.010361106708405513,-1,0.7632472826086957,0.7994263018534863,0.03617901924479061,0.01678124797697014,0.05533715620708571,1
tod_block,1200_1400,CompExit,CompExit_A_vs_B,B_minus_A,60,3082,4118,True,0.8124594419208306,0.7775619232637202,-0.03489751865711044,-0.05375146213224146,-0.01626491845143361,-1,0.6956521739130435,0.722195240407965,0.026543066494921552,0.005259004300810666,0.04772137359966146,1
tod_block,1400_1600,CompExit,CompExit_A_vs_B,B_minus_A,60,1400,2279,True,0.8292857142857143,0.8051777095217201,-0.024108004763994217,-0.050037695419500455,0.0010857217750915096,-1,0.6385714285714286,0.6783677051338306,0.03979627656240203,0.008066693865992854,0.07128678431787089,1
volatility_state,HIGH_VOLATILITY,ExpExit,ExpExit_C_vs_D,D_minus_C,30,8294,1992,True,0.49975886182782736,0.6440763052208835,0.1443174433930562,0.12096179735980193,0.16816685140234133,1,0.6665059078852182,0.5035140562248996,-0.1629918516603186,-0.18718609931613367,-0.13885003966256626,-1
volatility_state,LOW_VOLATILITY,ExpExit,ExpExit_C_vs_D,D_minus_C,30,6731,1441,True,0.4835834199970287,0.611380985426787,0.1277975654297583,0.10024330809767426,0.155894887504852,1,0.7053929579557272,0.5718251214434421,-0.1335678365122851,-0.1611801102664293,-0.10569624002076472,-1
volatility_state,NORMAL_VOLATILITY,ExpExit,ExpExit_C_vs_D,D_minus_C,30,7535,1798,True,0.5133377571333776,0.681868743047831,0.16853098591445337,0.14458172583404094,0.19316066405830065,1,0.6856005308560054,0.5444938820912124,-0.14110664876479295,-0.1663313378395153,-0.11578776968159454,-1
volume_state,HIGH_VOLUME,ExpExit,ExpExit_C_vs_D,D_minus_C,30,8160,1612,True,0.5507352941176471,0.6935483870967742,0.14281309297912714,0.11827780043383801,0.16815740006220292,1,0.6055147058823529,0.46898263027295284,-0.13653207560940006,-0.16316170168857358,-0.11007732341992442,-1
volume_state,LOW_VOLUME,ExpExit,ExpExit_C_vs_D,D_minus_C,30,6141,1669,True,0.4517179612440971,0.6015578190533254,0.14983985780922832,0.12350206790347716,0.17661800889718265,1,0.7703957010258915,0.6177351707609346,-0.15266053026495685,-0.17803830105504465,-0.12692910952579994,-1
volume_state,NORMAL_VOLUME,ExpExit,ExpExit_C_vs_D,D_minus_C,30,8259,1950,True,0.484320135609638,0.6502564102564102,0.16593627464677224,0.14246729642940037,0.1899383232726356,1,0.6986317956169028,0.5225641025641026,-0.17606769305280023,-0.20032288633999773,-0.15180682039806442,-1
tod_block,FIRST_30,ExpExit,ExpExit_C_vs_D,D_minus_C,30,2023,379,True,0.4463667820069204,0.47757255936675463,0.031205777359834208,-0.023476884251939903,0.08555604741225432,1,0.6821552150271873,0.7598944591029023,0.07773924407571497,0.032506120752489355,0.1273901533337332,1
tod_block,1000_1200,ExpExit,ExpExit_C_vs_D,D_minus_C,30,6786,1731,True,0.5312407898614795,0.7001733102253033,0.16893252036382378,0.1446950304773358,0.19392957715782227,1,0.67035072207486,0.44714038128249567,-0.22321034079236435,-0.2492893464682584,-0.19742567601261202,-1
tod_block,1200_1400,ExpExit,ExpExit_C_vs_D,D_minus_C,30,8088,1997,True,0.4940652818991098,0.6670005007511267,0.1729352188520169,0.1498696264306848,0.1965706422161301,1,0.6894164193867458,0.5493239859789685,-0.14009243340777733,-0.16406531693261328,-0.1160231339717728,-1
tod_block,1400_1600,ExpExit,ExpExit_C_vs_D,D_minus_C,30,5663,1124,True,0.4880805226911531,0.5916370106761566,0.1035564879850035,0.07234123901917183,0.13534690474230002,1,0.6952145505915592,0.5756227758007118,-0.11959177479084748,-0.15064304073482632,-0.0881663404325308,-1
volatility_state,HIGH_VOLATILITY,ExpExit,ExpExit_C_vs_D,D_minus_C,60,7748,1852,True,0.7139907072792979,0.7996760259179265,0.0856853186386286,0.0653598892053435,0.10699415631423227,1,0.8314403717088281,0.7548596112311015,-0.07658076047772666,-0.0974419996633404,-0.054877521153365784,-1
volatility_state,LOW_VOLATILITY,ExpExit,ExpExit_C_vs_D,D_minus_C,60,5947,1283,True,0.6810156381368757,0.7809820732657833,0.09996643512890757,0.07512424310150786,0.12618609244150747,1,0.83991928703548,0.7817614964925955,-0.0581577905428845,-0.08190077514313632,-0.033027445778409416,-1
volatility_state,NORMAL_VOLATILITY,ExpExit,ExpExit_C_vs_D,D_minus_C,60,6872,1654,True,0.7219150174621654,0.8307134220072552,0.10879840454508982,0.08844721209994244,0.13034610565576388,1,0.8249417927823051,0.7521160822249093,-0.07282571055739573,-0.09501622082050232,-0.04970677869359124,-1
volume_state,HIGH_VOLUME,ExpExit,ExpExit_C_vs_D,D_minus_C,60,7468,1457,True,0.7469201928227103,0.8407687028140014,0.09384850999129113,0.07336140334610264,0.11580410830070297,1,0.7939207284413498,0.726149622512011,-0.06777110592933877,-0.09192420299346335,-0.04262663299609593,-1
volume_state,LOW_VOLUME,ExpExit,ExpExit_C_vs_D,D_minus_C,60,5478,1519,True,0.6677619569185834,0.7689269256089533,0.10116496869036984,0.07710599839034596,0.12627374480459358,1,0.8731288791529755,0.7899934167215273,-0.0831354624314482,-0.10486132521218251,-0.060272930086325366,-1
volume_state,NORMAL_VOLUME,ExpExit,ExpExit_C_vs_D,D_minus_C,60,7621,1813,True,0.6963653063902375,0.8075013789299503,0.1111360725397128,0.09077628259855733,0.13252805759172773,1,0.8389975068888598,0.7650303364589078,-0.07396717042995193,-0.09469859343976375,-0.05233677759111047,-1
tod_block,FIRST_30,ExpExit,ExpExit_C_vs_D,D_minus_C,60,2023,379,True,0.7335640138408305,0.8073878627968337,0.07382384895600325,0.03231530112905909,0.120490047160046,1,0.7909045971329708,0.8021108179419525,0.011206220808981704,-0.03004973480119002,0.05755625048656586,1
tod_block,1000_1200,ExpExit,ExpExit_C_vs_D,D_minus_C,60,6776,1725,True,0.739521841794569,0.8359420289855073,0.09642018719093826,0.07662651454169604,0.11735556609665733,1,0.820543093270366,0.6979710144927537,-0.12257207877761234,-0.14573649462050875,-0.09873839790638363,-1
tod_block,1200_1400,ExpExit,ExpExit_C_vs_D,D_minus_C,60,8044,1973,True,0.6923172550969667,0.7987835783071465,0.10646632321017979,0.08656573447382432,0.12728455693381735,1,0.8419940328194928,0.7830714647744551,-0.058922568045037704,-0.07833592415635898,-0.038632909220201586,-1
tod_block,1400_1600,ExpExit,ExpExit_C_vs_D,D_minus_C,60,3724,712,True,0.6656820622986036,0.7485955056179775,0.08291344331937389,0.04880705468433242,0.11928161837061567,1,0.8520408163265306,0.8314606741573034,-0.02058014216922721,-0.048847600106096234,0.010693374605819261,-1
