date,file_size_mb,snapshot_present,snapshot_complete,snapshot_orders,events_to_0930,trades_to_0930,bbo_bid,bbo_ask,spread_pts,active_orders_0930,orphan_cancels,orphan_modifies,crossed_checks_flagged,status,notes,elapsed_s
2026-08-17,173.9,True,True,3004,2999800,55545,30218.25,30219.25,1.0,3589,0,0,0,PASS,CLEAN,50.0
2026-08-18,276.5,True,True,3039,5559394,93514,29690.25,29690.75,0.5,3940,0,0,0,PASS,CLEAN,95.9
2026-08-19,337.3,True,True,2979,7171426,109304,29696.0,29696.25,0.25,3653,0,0,0,PASS,CLEAN,123.6
2026-08-20,361.4,True,True,3033,7267525,92389,29350.5,29351.5,1.0,3839,0,0,0,PASS,CLEAN,123.2
2026-08-21,246.2,True,True,3149,4699833,71601,29468.75,29469.5,0.75,3739,0,0,0,PASS,CLEAN,77.1
2026-08-24,308.4,True,True,2989,7729196,84606,29234.75,29235.5,0.75,3625,0,0,0,PASS,CLEAN,128.5
2026-08-25,302.3,True,True,2995,7113933,84012,29296.25,29297.0,0.75,3720,0,0,0,PASS,CLEAN,118.1
2026-08-26,233.9,True,True,2972,5432574,81318,29174.0,29174.5,0.5,3696,0,0,0,PASS,CLEAN,91.0
2026-08-27,315.6,True,True,3268,6441967,90158,29523.75,29524.25,0.5,3923,0,0,0,PASS,CLEAN,106.0
2026-08-28,295.7,True,True,3128,4288931,61841,29627.5,29628.5,1.0,3676,0,0,0,PASS,CLEAN,73.2
2026-08-31,262.0,True,True,3121,5798964,74454,29437.5,29438.75,1.25,3546,0,0,0,PASS,CLEAN,96.1
2026-09-01,259.1,True,True,3111,6161018,96516,29111.25,29111.75,0.5,3933,0,0,0,PASS,CLEAN,89.4
2026-09-02,249.6,True,True,2979,5930830,83759,29098.0,29098.75,0.75,3673,0,0,0,PASS,CLEAN,88.4
2026-09-03,315.7,True,True,3122,7157299,93491,29249.0,29249.5,0.5,3665,0,0,0,PASS,CLEAN,106.6
2026-09-04,240.7,True,True,3038,4414855,75010,29588.25,29589.0,0.75,3663,0,0,0,PASS,CLEAN,67.5
2026-09-08,282.9,True,True,3205,6646914,99122,29644.5,29645.5,1.0,3674,0,0,0,PASS,CLEAN,106.0
2026-09-09,301.6,True,True,3065,6249029,93317,29454.5,29455.25,0.75,3904,0,0,0,PASS,CLEAN,99.5
2026-09-10,328.5,True,True,2959,7322508,104916,29088.75,29089.5,0.75,3972,0,0,0,PASS,CLEAN,113.8
2026-09-11,354.2,True,True,2973,8011852,103047,29417.5,29418.0,0.5,3487,0,0,0,PASS,CLEAN,127.3
2026-09-14,258.3,True,True,2314,6478972,62510,28905.75,28906.5,0.75,2584,0,0,0,PASS,CLEAN,108.3
2026-09-15,235.6,True,True,1738,6781571,23468,29126.0,29127.0,1.0,1240,0,0,0,PASS,CLEAN,115.7
2026-09-16,137.2,True,True,978,3612564,12129,29094.25,29095.75,1.5,1069,0,0,0,PASS,CLEAN,49.8
