candidate,session_date,year,period,side,signal_ts,entry_ts,exit_ts,entry,exit,stop_points,target_points,exit_kind,gross_points,net_dollars
extension_5m_fade_1p5r,2011-02-28,2011,Train,long,2011-02-28 11:29:00-05:00,2011-02-28 11:30:00-05:00,2011-02-28 15:55:00-05:00,2352.5,2349.5,100.0,150.0,time,-3.0,-8.0
opening_range_fade,2011-03-07,2011,Train,long,2011-03-07 10:24:00-05:00,2011-03-07 10:25:00-05:00,2011-03-07 15:55:00-05:00,2360.0,2329.5,87.5,5.0,time,-30.5,-63.0
extension_5m_fade_1p5r,2011-03-07,2011,Train,long,2011-03-07 11:14:00-05:00,2011-03-07 11:15:00-05:00,2011-03-07 15:55:00-05:00,2328.0,2329.5,100.0,150.0,time,1.5,1.0
opening_range_fade,2011-03-14,2011,Train,long,2011-03-14 10:37:00-04:00,2011-03-14 10:38:00-04:00,2011-03-14 15:43:00-04:00,2283.75,2291.625,87.5,7.875,target,7.875,13.75
extension_5m_fade_1p5r,2011-03-14,2011,Train,long,2011-03-14 11:14:00-04:00,2011-03-14 11:15:00-04:00,2011-03-14 15:55:00-04:00,2276.25,2288.75,100.0,150.0,time,12.5,23.0
opening_range_fade,2011-03-15,2011,Train,short,2011-03-15 10:31:00-04:00,2011-03-15 10:32:00-04:00,2011-03-15 15:55:00-04:00,2236.75,2264.25,87.5,11.25,time,-27.5,-57.0
extension_5m_fade_1p5r,2011-03-15,2011,Train,short,2011-03-15 12:04:00-04:00,2011-03-15 12:05:00-04:00,2011-03-15 15:55:00-04:00,2253.0,2264.25,100.0,150.0,time,-11.25,-24.5
opening_range_fade,2011-03-21,2011,Train,short,2011-03-21 10:07:00-04:00,2011-03-21 10:08:00-04:00,2011-03-21 13:34:00-04:00,2264.5,2256.0,87.5,8.5,target,8.5,15.0
extension_5m_fade_1p5r,2011-03-21,2011,Train,short,2011-03-21 11:19:00-04:00,2011-03-21 11:20:00-04:00,2011-03-21 15:55:00-04:00,2271.0,2261.25,100.0,150.0,time,9.75,17.5
opening_range_fade,2011-03-22,2011,Train,long,2011-03-22 10:17:00-04:00,2011-03-22 10:18:00-04:00,2011-03-22 10:25:00-04:00,2256.0,2258.875,87.5,2.875,target,2.875,3.75
extension_5m_fade_1p5r,2011-03-22,2011,Train,short,2011-03-22 12:24:00-04:00,2011-03-22 12:25:00-04:00,2011-03-22 15:55:00-04:00,2260.75,2255.25,100.0,150.0,time,5.5,9.0
opening_range_fade,2011-03-25,2011,Train,short,2011-03-25 14:19:00-04:00,2011-03-25 14:20:00-04:00,2011-03-25 14:25:00-04:00,2318.0,2314.75,87.5,3.25,target,3.25,4.5
extension_5m_fade_1p5r,2011-03-25,2011,Train,long,2011-03-25 12:34:00-04:00,2011-03-25 12:35:00-04:00,2011-03-25 15:55:00-04:00,2323.5,2314.75,100.0,150.0,time,-8.75,-19.5
opening_range_fade,2011-03-28,2011,Train,long,2011-03-28 11:52:00-04:00,2011-03-28 11:53:00-04:00,2011-03-28 15:55:00-04:00,2314.25,2301.25,87.5,5.375,time,-13.0,-28.0
extension_5m_fade_1p5r,2011-03-28,2011,Train,long,2011-03-28 11:39:00-04:00,2011-03-28 11:40:00-04:00,2011-03-28 15:55:00-04:00,2314.25,2301.25,100.0,150.0,time,-13.0,-28.0
opening_range_fade,2011-03-31,2011,Train,long,2011-03-31 10:13:00-04:00,2011-03-31 10:14:00-04:00,2011-03-31 10:21:00-04:00,2331.25,2334.875,87.5,3.625,target,3.625,5.25
extension_5m_fade_1p5r,2011-03-31,2011,Train,short,2011-03-31 13:04:00-04:00,2011-03-31 13:05:00-04:00,2011-03-31 15:55:00-04:00,2336.5,2340.0,100.0,150.0,time,-3.5,-9.0
opening_range_fade,2011-04-04,2011,Train,long,2011-04-04 10:19:00-04:00,2011-04-04 10:20:00-04:00,2011-04-04 15:55:00-04:00,2334.75,2330.0,87.5,7.125,time,-4.75,-11.5
extension_5m_fade_1p5r,2011-04-04,2011,Train,long,2011-04-04 12:49:00-04:00,2011-04-04 12:50:00-04:00,2011-04-04 15:55:00-04:00,2331.25,2330.0,100.0,150.0,time,-1.25,-4.5
opening_range_fade,2011-04-11,2011,Train,long,2011-04-11 10:04:00-04:00,2011-04-11 10:05:00-04:00,2011-04-11 15:55:00-04:00,2320.0,2309.25,87.5,5.625,time,-10.75,-23.5
extension_5m_fade_1p5r,2011-04-11,2011,Train,long,2011-04-11 11:59:00-04:00,2011-04-11 12:00:00-04:00,2011-04-11 15:55:00-04:00,2310.5,2309.25,100.0,150.0,time,-1.25,-4.5
opening_range_fade,2011-04-14,2011,Train,short,2011-04-14 11:00:00-04:00,2011-04-14 11:01:00-04:00,2011-04-14 15:55:00-04:00,2299.25,2309.25,87.5,5.625,time,-10.0,-22.0
extension_5m_fade_1p5r,2011-04-14,2011,Train,long,2011-04-14 13:44:00-04:00,2011-04-14 13:45:00-04:00,2011-04-14 15:55:00-04:00,2297.0,2309.25,100.0,150.0,time,12.25,22.5
opening_range_fade,2011-04-15,2011,Train,short,2011-04-15 10:06:00-04:00,2011-04-15 10:07:00-04:00,2011-04-15 10:37:00-04:00,2301.5,2295.875,87.5,5.625,target,5.625,9.25
extension_5m_fade_1p5r,2011-04-15,2011,Train,short,2011-04-15 11:29:00-04:00,2011-04-15 11:30:00-04:00,2011-04-15 15:55:00-04:00,2307.25,2304.0,100.0,150.0,time,3.25,4.5
opening_range_fade,2011-04-18,2011,Train,long,2011-04-18 10:20:00-04:00,2011-04-18 10:21:00-04:00,2011-04-18 13:53:00-04:00,2260.5,2271.25,87.5,10.75,target,10.75,19.5
extension_5m_fade_1p5r,2011-04-18,2011,Train,short,2011-04-18 11:54:00-04:00,2011-04-18 11:55:00-04:00,2011-04-18 15:55:00-04:00,2263.5,2287.5,100.0,150.0,time,-24.0,-50.0
opening_range_fade,2011-04-19,2011,Train,long,2011-04-19 10:44:00-04:00,2011-04-19 10:45:00-04:00,2011-04-19 13:24:00-04:00,2288.25,2292.25,87.5,4.0,target,4.0,6.0
extension_5m_fade_1p5r,2011-04-19,2011,Train,long,2011-04-19 11:24:00-04:00,2011-04-19 11:25:00-04:00,2011-04-19 15:55:00-04:00,2283.5,2301.25,100.0,150.0,time,17.75,33.5
opening_range_fade,2011-04-20,2011,Train,short,2011-04-20 10:04:00-04:00,2011-04-20 10:05:00-04:00,2011-04-20 15:55:00-04:00,2347.5,2353.75,87.5,3.375,time,-6.25,-14.5
extension_5m_fade_1p5r,2011-04-20,2011,Train,long,2011-04-20 12:49:00-04:00,2011-04-20 12:50:00-04:00,2011-04-20 15:55:00-04:00,2350.75,2353.75,100.0,150.0,time,3.0,4.0
opening_range_fade,2011-04-25,2011,Train,long,2011-04-25 10:23:00-04:00,2011-04-25 10:24:00-04:00,2011-04-25 12:03:00-04:00,2373.75,2377.25,87.5,3.5,target,3.5,5.0
extension_5m_fade_1p5r,2011-04-25,2011,Train,short,2011-04-25 11:59:00-04:00,2011-04-25 12:00:00-04:00,2011-04-25 15:55:00-04:00,2376.5,2379.75,100.0,150.0,time,-3.25,-8.5
opening_range_fade,2011-05-02,2011,Train,short,2011-05-02 10:26:00-04:00,2011-05-02 10:27:00-04:00,2011-05-02 11:30:00-04:00,2409.5,2405.25,87.5,4.25,target,4.25,6.5
extension_5m_fade_1p5r,2011-05-02,2011,Train,long,2011-05-02 11:49:00-04:00,2011-05-02 11:50:00-04:00,2011-05-02 15:55:00-04:00,2401.75,2400.75,100.0,150.0,time,-1.0,-4.0
opening_range_fade,2011-05-05,2011,Train,short,2011-05-05 10:11:00-04:00,2011-05-05 10:12:00-04:00,2011-05-05 10:31:00-04:00,2384.75,2378.625,87.5,6.125,target,6.125,10.25
extension_5m_fade_1p5r,2011-05-05,2011,Train,short,2011-05-05 11:39:00-04:00,2011-05-05 11:40:00-04:00,2011-05-05 15:55:00-04:00,2389.25,2372.25,100.0,150.0,time,17.0,32.0
opening_range_fade,2011-05-06,2011,Train,short,2011-05-06 12:07:00-04:00,2011-05-06 12:08:00-04:00,2011-05-06 12:43:00-04:00,2401.75,2394.75,87.5,7.0,target,7.0,12.0
extension_5m_fade_1p5r,2011-05-06,2011,Train,short,2011-05-06 11:14:00-04:00,2011-05-06 11:15:00-04:00,2011-05-06 15:55:00-04:00,2403.25,2381.5,100.0,150.0,time,21.75,41.5
opening_range_fade,2011-05-09,2011,Train,short,2011-05-09 10:16:00-04:00,2011-05-09 10:17:00-04:00,2011-05-09 10:18:00-04:00,2382.0,2379.375,87.5,2.625,target,2.625,3.25
extension_5m_fade_1p5r,2011-05-09,2011,Train,short,2011-05-09 11:54:00-04:00,2011-05-09 11:55:00-04:00,2011-05-09 15:55:00-04:00,2387.5,2388.25,100.0,150.0,time,-0.75,-3.5
opening_range_fade,2011-05-16,2011,Train,short,2011-05-16 11:06:00-04:00,2011-05-16 11:07:00-04:00,2011-05-16 11:25:00-04:00,2370.0,2364.75,87.5,5.25,target,5.25,8.5
extension_5m_fade_1p5r,2011-05-16,2011,Train,long,2011-05-16 11:44:00-04:00,2011-05-16 11:45:00-04:00,2011-05-16 15:55:00-04:00,2362.75,2334.75,100.0,150.0,time,-28.0,-58.0
opening_range_fade,2011-05-24,2011,Train,long,2011-05-24 10:07:00-04:00,2011-05-24 10:08:00-04:00,2011-05-24 10:13:00-04:00,2313.0,2317.125,87.5,4.125,target,4.125,6.25
extension_5m_fade_1p5r,2011-05-24,2011,Train,long,2011-05-24 12:04:00-04:00,2011-05-24 12:05:00-04:00,2011-05-24 15:55:00-04:00,2305.5,2301.5,100.0,150.0,time,-4.0,-10.0
opening_range_fade,2011-05-25,2011,Train,short,2011-05-25 10:29:00-04:00,2011-05-25 10:30:00-04:00,2011-05-25 15:55:00-04:00,2308.0,2310.5,87.5,5.25,time,-2.5,-7.0
extension_5m_fade_1p5r,2011-05-25,2011,Train,short,2011-05-25 11:39:00-04:00,2011-05-25 11:40:00-04:00,2011-05-25 15:55:00-04:00,2311.0,2310.5,100.0,150.0,time,0.5,-1.0
opening_range_fade,2011-05-31,2011,Train,long,2011-05-31 10:11:00-04:00,2011-05-31 10:12:00-04:00,2011-05-31 13:52:00-04:00,2356.5,2359.625,87.5,3.125,target,3.125,4.25
extension_5m_fade_1p5r,2011-05-31,2011,Train,long,2011-05-31 12:04:00-04:00,2011-05-31 12:05:00-04:00,2011-05-31 15:55:00-04:00,2347.5,2369.5,100.0,150.0,time,22.0,42.0
opening_range_fade,2011-06-02,2011,Train,short,2011-06-02 10:09:00-04:00,2011-06-02 10:10:00-04:00,2011-06-02 11:23:00-04:00,2330.5,2324.625,87.5,5.875,target,5.875,9.75
extension_5m_fade_1p5r,2011-06-02,2011,Train,long,2011-06-02 11:29:00-04:00,2011-06-02 11:30:00-04:00,2011-06-02 15:55:00-04:00,2322.5,2325.75,100.0,150.0,time,3.25,4.5
