resolver,session,T_offset,outcome,universe,split,n,win,E
struct_ticket,NY_PM,30,H60,ALL,IS,1284,0.4898753894080997,0.6209112149532711
struct_ticket,NY_PM,30,H60,ALL,Validation,477,0.5513626834381551,6.613731656184487
struct_ticket,NY_PM,30,H60,ALL,OOS,214,0.5327102803738317,14.646028037383177
struct_ticket,NY_PM,30,H60,HIGH,IS,574,0.49825783972125437,1.6929442508710801
struct_ticket,NY_PM,30,H60,HIGH,Validation,223,0.49327354260089684,3.9708520179372195
struct_ticket,NY_PM,30,H60,HIGH,OOS,94,0.5957446808510638,29.835106382978722
struct_ticket,NY_PM,30,SESS_END,ALL,IS,1284,0.5,1.131619937694704
struct_ticket,NY_PM,30,SESS_END,ALL,Validation,477,0.5366876310272537,5.972222222222222
struct_ticket,NY_PM,30,SESS_END,ALL,OOS,214,0.514018691588785,21.55607476635514
struct_ticket,NY_PM,30,SESS_END,HIGH,IS,574,0.4965156794425087,1.4320557491289199
struct_ticket,NY_PM,30,SESS_END,HIGH,Validation,223,0.5381165919282511,7.362107623318385
struct_ticket,NY_PM,30,SESS_END,HIGH,OOS,94,0.5851063829787234,37.037234042553195
struct_ticket,NY_PM,60,H30,ALL,IS,1330,0.4789473684210526,-0.09041353383458646
struct_ticket,NY_PM,60,H30,ALL,Validation,486,0.5267489711934157,5.147119341563786
struct_ticket,NY_PM,60,H30,ALL,OOS,204,0.4362745098039216,1.1286764705882353
struct_ticket,NY_PM,60,H30,HIGH,IS,609,0.4663382594417077,-0.5533661740558292
struct_ticket,NY_PM,60,H30,HIGH,Validation,243,0.48148148148148145,2.97119341563786
struct_ticket,NY_PM,60,H30,HIGH,OOS,103,0.44660194174757284,5.759708737864078
struct_ticket,NY_PM,60,H60,ALL,IS,1330,0.47969924812030074,0.08909774436090226
struct_ticket,NY_PM,60,H60,ALL,Validation,486,0.5473251028806584,9.772119341563785
struct_ticket,NY_PM,60,H60,ALL,OOS,204,0.45588235294117646,3.202205882352941
struct_ticket,NY_PM,60,H60,HIGH,IS,609,0.4827586206896552,-0.7040229885057471
struct_ticket,NY_PM,60,H60,HIGH,Validation,243,0.5185185185185185,6.888888888888889
struct_ticket,NY_PM,60,H60,HIGH,OOS,103,0.4854368932038835,11.771844660194175
struct_ticket,NY_PM,60,SESS_END,ALL,IS,1330,0.47518796992481205,0.28477443609022557
struct_ticket,NY_PM,60,SESS_END,ALL,Validation,486,0.5390946502057613,14.631687242798353
struct_ticket,NY_PM,60,SESS_END,ALL,OOS,204,0.4362745098039216,-2.4473039215686274
struct_ticket,NY_PM,60,SESS_END,HIGH,IS,609,0.4614121510673235,-1.5504926108374384
struct_ticket,NY_PM,60,SESS_END,HIGH,Validation,243,0.5390946502057613,9.802469135802468
struct_ticket,NY_PM,60,SESS_END,HIGH,OOS,103,0.4854368932038835,9.944174757281553
struct_ticket,NY_PM,90,H30,ALL,IS,1397,0.47172512526843235,-0.5735504652827488
struct_ticket,NY_PM,90,H30,ALL,Validation,447,0.5212527964205816,3.191834451901566
struct_ticket,NY_PM,90,H30,ALL,OOS,203,0.43842364532019706,-0.27955665024630544
struct_ticket,NY_PM,90,H30,HIGH,IS,637,0.4489795918367347,-1.5918367346938775
struct_ticket,NY_PM,90,H30,HIGH,Validation,222,0.527027027027027,2.4031531531531534
