event,mechanism,horizon,split,ny_min,n,win,mean,median,mean_z,mfe_gt_mae,p_hit_plus_first,delta_win_vs_50,unc_long_win,delta_win_vs_unc_long,ctrl_n,ctrl_win,delta_win_vs_ctrl
CPI,impulse_fade,5,OOS,510,15,0.6,4.083333333333333,10.25,0.22341438001445646,0.6,0.5714285714285714,0.09999999999999998,0.5333333333333333,0.06666666666666665,316,0.49683544303797467,0.10316455696202531
CPI,evt_long,5,OOS,510,15,0.5333333333333333,-4.35,1.25,-0.07582146040994854,0.5333333333333333,0.5714285714285714,0.033333333333333326,0.5333333333333333,0.0,316,0.46835443037974683,0.06497890295358649
CPI,impulse_cont,10,OOS,510,15,0.3333333333333333,-10.316666666666666,-10.5,-0.5828316964861421,0.3333333333333333,0.42857142857142855,-0.16666666666666669,0.3333333333333333,0.0,316,0.5316455696202531,-0.1983122362869198
CPI,impulse_fade,10,OOS,510,15,0.6666666666666666,10.316666666666666,10.5,0.5828316964861421,0.6666666666666666,0.5714285714285714,0.16666666666666663,0.3333333333333333,0.3333333333333333,316,0.4651898734177215,0.20147679324894513
CPI,evt_long,10,OOS,510,15,0.3333333333333333,-9.716666666666667,-8.5,-0.333350169308997,0.4666666666666667,0.5714285714285714,-0.16666666666666669,0.3333333333333333,0.0,316,0.4936708860759494,-0.16033755274261607
CPI,impulse_cont,15,OOS,510,15,0.4,-9.533333333333333,-5.5,-0.40076618886902843,0.4,0.42857142857142855,-0.09999999999999998,0.4,0.0,316,0.5569620253164557,-0.15696202531645564
CPI,impulse_fade,15,OOS,510,15,0.6,9.533333333333333,5.5,0.40076618886902843,0.6,0.5714285714285714,0.09999999999999998,0.4,0.19999999999999996,316,0.439873417721519,0.16012658227848098
CPI,evt_long,15,OOS,510,15,0.4,-5.2,-5.5,0.1370348134595495,0.4,0.5714285714285714,-0.09999999999999998,0.4,0.0,316,0.5316455696202531,-0.1316455696202531
CPI,impulse_cont,30,OOS,510,15,0.4,-8.25,-7.75,-0.5964025364156602,0.26666666666666666,0.42857142857142855,-0.09999999999999998,0.5333333333333333,-0.1333333333333333,316,0.5,-0.09999999999999998
CPI,impulse_fade,30,OOS,510,15,0.6,8.25,7.75,0.5964025364156602,0.7333333333333333,0.5714285714285714,0.09999999999999998,0.5333333333333333,0.06666666666666665,316,0.49683544303797467,0.10316455696202531
CPI,evt_long,30,OOS,510,15,0.5333333333333333,-2.683333333333333,3.5,0.18421746618415044,0.4,0.5714285714285714,0.033333333333333326,0.5333333333333333,0.0,316,0.5253164556962026,0.00801687763713077
CPI,impulse_cont,45,OOS,510,15,0.2,-14.833333333333334,-27.75,-0.9743309872589946,0.26666666666666666,0.42857142857142855,-0.3,0.3333333333333333,-0.1333333333333333,316,0.509493670886076,-0.309493670886076
CPI,impulse_fade,45,OOS,510,15,0.8,14.833333333333334,27.75,0.9743309872589946,0.7333333333333333,0.5714285714285714,0.30000000000000004,0.3333333333333333,0.46666666666666673,316,0.48417721518987344,0.3158227848101266
CPI,evt_long,45,OOS,510,15,0.3333333333333333,-5.1,-19.0,0.10397930352345038,0.4,0.5714285714285714,-0.16666666666666669,0.3333333333333333,0.0,316,0.5221518987341772,-0.1888185654008439
CPI,impulse_cont,60,OOS,510,15,0.4,-27.033333333333335,-26.25,-1.749767791222517,0.3333333333333333,0.42857142857142855,-0.09999999999999998,0.5333333333333333,-0.1333333333333333,316,0.5221518987341772,-0.1221518987341772
CPI,impulse_fade,60,OOS,510,15,0.6,27.033333333333335,26.25,1.749767791222517,0.6666666666666666,0.5714285714285714,0.09999999999999998,0.5333333333333333,0.06666666666666665,316,0.47468354430379744,0.12531645569620253
CPI,evt_long,60,OOS,510,15,0.5333333333333333,9.233333333333333,12.0,1.4450977557184859,0.4666666666666667,0.5714285714285714,0.033333333333333326,0.5333333333333333,0.0,316,0.5158227848101266,0.01751054852320677
NFP,impulse_cont,5,IS,510,102,0.5,-2.0808823529411766,0.125,-0.4582513041872841,0.47058823529411764,0.5394736842105263,0.0,0.5098039215686274,-0.009803921568627416,1610,0.47267080745341616,0.027329192546583836
NFP,impulse_fade,5,IS,510,102,0.49019607843137253,2.0808823529411766,-0.125,0.4582513041872841,0.5,0.4605263157894737,-0.009803921568627472,0.5098039215686274,-0.019607843137254888,1610,0.4745341614906832,0.015661916940689302
NFP,surprise_dir,5,IS,510,101,0.4752475247524752,-0.599009900990099,-0.25,-0.29999541328792656,0.46534653465346537,0.48,-0.024752475247524774,0.5098039215686274,-0.03455639681615219,0,,
