outcome,block,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
secondary,all_test1,test2,OOS,378,0,220,158,0.5052910052910053,0.5429292929292929,0.45707070707070707,0.0,0.5070413125968681,-0.001750307305862786,-0.3948412698412698,5.375
secondary,agree,test1,2010,17,0,13,4,0.5882352941176471,0.6896551724137931,0.3103448275862069,0.0,0.6004056795131847,-0.012170385395537608,4.5588235294117645,19.0
secondary,agree,test2,2010,17,0,13,4,0.5882352941176471,0.6896551724137931,0.3103448275862069,0.0,0.6004056795131847,-0.012170385395537608,4.5588235294117645,19.0
secondary,disagree,test1,2010,2,0,0,2,0.5,0.6896551724137931,0.3103448275862069,0.0,0.3103448275862069,0.1896551724137931,-2.125,-2.125
secondary,disagree,test2,2010,2,0,2,0,0.5,0.6896551724137931,0.3103448275862069,0.0,0.6896551724137931,-0.18965517241379315,2.125,2.125
secondary,all_test1,test1,2010,19,0,13,6,0.5789473684210527,0.6896551724137931,0.3103448275862069,0.0,0.5698729582577133,0.00907441016333932,3.8552631578947367,19.0
secondary,all_test1,test2,2010,19,0,15,4,0.5789473684210527,0.6896551724137931,0.3103448275862069,0.0,0.6098003629764065,-0.03085299455535384,4.302631578947368,19.0
secondary,agree,test1,2011,41,0,21,20,0.3902439024390244,0.47619047619047616,0.5238095238095238,0.0,0.49941927990708473,-0.10917537746806033,-8.585365853658537,-8.25
secondary,agree,test2,2011,41,0,21,20,0.3902439024390244,0.47619047619047616,0.5238095238095238,0.0,0.49941927990708473,-0.10917537746806033,-8.585365853658537,-8.25
secondary,disagree,test1,2011,11,0,7,4,0.36363636363636365,0.47619047619047616,0.5238095238095238,0.0,0.4935064935064935,-0.12987012987012986,12.318181818181818,-17.75
secondary,disagree,test2,2011,11,0,4,7,0.6363636363636364,0.47619047619047616,0.5238095238095238,0.0,0.5064935064935064,0.1298701298701299,-12.318181818181818,17.75
secondary,all_test1,test1,2011,52,0,28,24,0.38461538461538464,0.47619047619047616,0.5238095238095238,0.0,0.4981684981684982,-0.11355311355311354,-4.163461538461538,-9.375
secondary,all_test1,test2,2011,52,0,25,27,0.4423076923076923,0.47619047619047616,0.5238095238095238,0.0,0.5009157509157509,-0.05860805860805862,-9.375,-7.625
secondary,agree,test1,2012,60,0,35,25,0.5166666666666667,0.55,0.44,0.01,0.5041666666666667,0.012500000000000067,0.6333333333333333,1.75
secondary,agree,test2,2012,60,0,35,25,0.5166666666666667,0.55,0.44,0.01,0.5041666666666667,0.012500000000000067,0.6333333333333333,1.75
secondary,disagree,test1,2012,18,0,10,8,0.6666666666666666,0.55,0.44,0.01,0.5011111111111111,0.16555555555555557,7.986111111111111,8.5
secondary,disagree,test2,2012,18,0,8,10,0.3333333333333333,0.55,0.44,0.01,0.48888888888888893,-0.1555555555555556,-7.986111111111111,-8.5
secondary,all_test1,test1,2012,78,0,45,33,0.5512820512820513,0.55,0.44,0.01,0.5034615384615385,0.047820512820512806,2.3301282051282053,3.125
secondary,all_test1,test2,2012,78,0,43,35,0.47435897435897434,0.55,0.44,0.01,0.5006410256410257,-0.02628205128205141,-1.3557692307692308,-1.625
secondary,agree,test1,2013,113,1,70,43,0.49557522123893805,0.6101694915254238,0.384180790960452,0.005649717514124294,0.5241737913104345,-0.028598570071496465,-1.0641592920353982,0.0
secondary,agree,test2,2013,113,1,70,43,0.49557522123893805,0.6101694915254238,0.384180790960452,0.005649717514124294,0.5241737913104345,-0.028598570071496465,-1.0641592920353982,0.0
secondary,disagree,test1,2013,43,0,26,17,0.5116279069767442,0.6101694915254238,0.384180790960452,0.005649717514124294,0.5208251215346209,-0.009197214557876698,3.4069767441860463,0.75
secondary,disagree,test2,2013,43,0,17,26,0.4883720930232558,0.6101694915254238,0.384180790960452,0.005649717514124294,0.47352516095125474,0.014846932072001051,-3.4069767441860463,-0.75
secondary,all_test1,test1,2013,156,1,96,60,0.5,0.6101694915254238,0.384180790960452,0.005649717514124294,0.5232507605388961,-0.023250760538896076,0.16826923076923078,0.25
secondary,all_test1,test2,2013,156,1,87,69,0.4935897435897436,0.6101694915254238,0.384180790960452,0.005649717514124294,0.510212950890917,-0.016623207301173393,-1.7099358974358974,-0.375
secondary,agree,test1,2014,119,1,74,45,0.5042016806722689,0.6077348066298343,0.3867403314917127,0.0055248618784530384,0.5241654672918892,-0.019963786619620283,0.8676470588235294,0.75
secondary,agree,test2,2014,119,1,74,45,0.5042016806722689,0.6077348066298343,0.3867403314917127,0.0055248618784530384,0.5241654672918892,-0.019963786619620283,0.8676470588235294,0.75
secondary,disagree,test1,2014,44,0,24,20,0.45454545454545453,0.6077348066298343,0.3867403314917127,0.0055248618784530384,0.5072827724761427,-0.0527373179306882,2.0511363636363638,-6.375
secondary,disagree,test2,2014,44,0,20,24,0.5454545454545454,0.6077348066298343,0.3867403314917127,0.0055248618784530384,0.48719236564540436,0.05826217980914106,-2.0511363636363638,6.375
secondary,all_test1,test1,2014,163,1,98,65,0.49079754601226994,0.6077348066298343,0.3867403314917127,0.0055248618784530384,0.5196081754397858,-0.028810629427515833,1.187116564417178,-3.25
secondary,all_test1,test2,2014,163,1,94,69,0.5153374233128835,0.6077348066298343,0.3867403314917127,0.0055248618784530384,0.5141849981357828,0.00115242517710068,0.07975460122699386,1.0
secondary,agree,test1,2015,145,2,82,63,0.5448275862068965,0.5141509433962265,0.47641509433962265,0.009433962264150943,0.4977553675992193,0.04707221860767724,7.396551724137931,5.0
secondary,agree,test2,2015,145,2,82,63,0.5448275862068965,0.5141509433962265,0.47641509433962265,0.009433962264150943,0.4977553675992193,0.04707221860767724,7.396551724137931,5.0
secondary,disagree,test1,2015,48,0,19,29,0.5833333333333334,0.5141509433962265,0.47641509433962265,0.009433962264150943,0.49135220125786166,0.0919811320754717,2.7083333333333335,10.25
secondary,disagree,test2,2015,48,0,29,19,0.4166666666666667,0.5141509433962265,0.47641509433962265,0.009433962264150943,0.49921383647798745,-0.08254716981132076,-2.7083333333333335,-10.25
secondary,all_test1,test1,2015,193,2,101,92,0.5544041450777202,0.5141509433962265,0.47641509433962265,0.009433962264150943,0.49616287027079875,0.05824127480692143,6.230569948186528,6.25
secondary,all_test1,test2,2015,193,2,111,82,0.5129533678756477,0.5141509433962265,0.47641509433962265,0.009433962264150943,0.4981180956105191,0.014835272265128596,4.883419689119171,1.75
secondary,agree,test1,2016,171,1,100,71,0.4853801169590643,0.5338645418326693,0.46215139442231074,0.00398406374501992,0.5040889075277836,-0.01870879056871927,-2.4678362573099415,-0.75
secondary,agree,test2,2016,171,1,100,71,0.4853801169590643,0.5338645418326693,0.46215139442231074,0.00398406374501992,0.5040889075277836,-0.01870879056871927,-2.4678362573099415,-0.75
secondary,disagree,test1,2016,70,0,27,43,0.35714285714285715,0.5338645418326693,0.46215139442231074,0.00398406374501992,0.48981217985202047,-0.13266932270916332,-11.35,-6.25
secondary,disagree,test2,2016,70,0,43,27,0.6428571428571429,0.5338645418326693,0.46215139442231074,0.00398406374501992,0.5062037564029596,0.13665338645418335,11.35,6.25
secondary,all_test1,test1,2016,241,1,127,114,0.44813278008298757,0.5338645418326693,0.46215139442231074,0.00398406374501992,0.4999421401530806,-0.051809360070093013,-5.047717842323651,-2.75
secondary,all_test1,test2,2016,241,1,143,98,0.5311203319502075,0.5338645418326693,0.46215139442231074,0.00398406374501992,0.5047031789853036,0.02641715296490388,1.545643153526971,1.75
secondary,agree,test1,2017,170,0,128,42,0.5235294117647059,0.6345381526104418,0.3654618473895582,0.0,0.5680604772029294,-0.044531065438223494,-1.9558823529411764,2.0
secondary,agree,test2,2017,170,0,128,42,0.5235294117647059,0.6345381526104418,0.3654618473895582,0.0,0.5680604772029294,-0.044531065438223494,-1.9558823529411764,2.0
secondary,disagree,test1,2017,75,0,28,47,0.38666666666666666,0.6345381526104418,0.3654618473895582,0.0,0.46591700133868813,-0.07925033467202147,-5.413333333333333,-6.5
secondary,disagree,test2,2017,75,0,47,28,0.6133333333333333,0.6345381526104418,0.3654618473895582,0.0,0.5340829986613119,0.07925033467202136,5.413333333333333,6.5
