outcome,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
primary,always_long,2019,249,1,249,0,0.606425702811245,0.606425702811245,0.3895582329317269,0.004016064257028112,0.606425702811245,0.0,12.256024096385541,17.5
primary,test1_bull,2020,147,0,147,0,0.5782312925170068,0.5991902834008097,0.39271255060728744,0.008097165991902834,0.5991902834008097,-0.02095899088380293,9.401360544217686,17.25
primary,test1_bear,2020,94,2,0,94,0.3404255319148936,0.5991902834008097,0.39271255060728744,0.008097165991902834,0.39271255060728744,-0.05228701869239383,-38.337765957446805,-59.25
primary,test1_pooled,2020,241,2,147,94,0.4854771784232365,0.5991902834008097,0.39271255060728744,0.008097165991902834,0.5186554000705562,-0.033178221647319706,-9.218879668049793,-9.0
primary,test2_up,2020,158,1,158,0,0.6075949367088608,0.5991902834008097,0.39271255060728744,0.008097165991902834,0.5991902834008097,0.008404653308051069,11.518987341772151,23.375
primary,test2_down,2020,89,1,0,89,0.4044943820224719,0.5991902834008097,0.39271255060728744,0.008097165991902834,0.39271255060728744,0.011781831415184463,-34.342696629213485,-52.25
primary,test2_pooled,2020,247,2,158,89,0.5344129554655871,0.5991902834008097,0.39271255060728744,0.008097165991902834,0.5247914242160993,0.009621531249487836,-5.006072874493927,8.5
primary,always_long,2020,247,2,247,0,0.5991902834008097,0.5991902834008097,0.39271255060728744,0.008097165991902834,0.5991902834008097,0.0,19.742914979757085,32.75
primary,test1_bull,2021,138,0,138,0,0.5507246376811594,0.5617529880478087,0.43824701195219123,0.0,0.5617529880478087,-0.011028350366649287,6.088768115942029,12.875
primary,test1_bear,2021,108,0,0,108,0.4074074074074074,0.5617529880478087,0.43824701195219123,0.0,0.43824701195219123,-0.03083960454478385,-24.50925925925926,-36.625
primary,test1_pooled,2021,246,0,138,108,0.4878048780487805,0.5617529880478087,0.43824701195219123,0.0,0.5075308522009523,-0.01972597415217181,-7.344512195121951,-4.125
primary,test2_up,2021,162,0,162,0,0.5370370370370371,0.5617529880478087,0.43824701195219123,0.0,0.5617529880478087,-0.02471595101077162,5.453703703703703,10.5
primary,test2_down,2021,89,0,0,89,0.39325842696629215,0.5617529880478087,0.43824701195219123,0.0,0.4382470119521913,-0.04498858498589914,-28.44943820224719,-61.25
primary,test2_pooled,2021,251,0,162,89,0.4860557768924303,0.5617529880478087,0.43824701195219123,0.0,0.5179600323804383,-0.031904255488008015,-6.567729083665339,-2.25
primary,always_long,2021,251,0,251,0,0.5617529880478087,0.5617529880478087,0.43824701195219123,0.0,0.5617529880478087,0.0,13.607569721115539,18.75
primary,test1_bull,2022,111,0,111,0,0.44144144144144143,0.456,0.544,0.0,0.456,-0.014558558558558587,-36.439189189189186,-33.75
primary,test1_bear,2022,132,0,0,132,0.5227272727272727,0.456,0.544,0.0,0.544,-0.021272727272727332,0.5359848484848485,18.375
primary,test1_pooled,2022,243,0,111,132,0.48559670781893005,0.456,0.544,0.0,0.5038024691358025,-0.01820576131687246,-16.353909465020575,-7.5
primary,test2_up,2022,123,0,123,0,0.3821138211382114,0.456,0.544,0.0,0.456,-0.07388617886178861,-41.90447154471545,-48.75
primary,test2_down,2022,127,0,0,127,0.47244094488188976,0.456,0.544,0.0,0.544,-0.07155905511811028,-4.417322834645669,-10.5
primary,test2_pooled,2022,250,0,123,127,0.428,0.456,0.544,0.0,0.500704,-0.07270400000000005,-22.861,-34.25
primary,always_long,2022,250,0,250,0,0.456,0.456,0.544,0.0,0.456,0.0,-18.373,-32.5
primary,test1_bull,2023,137,0,137,0,0.5693430656934306,0.5604838709677419,0.43951612903225806,0.0,0.5604838709677419,0.008859194725688746,26.111313868613138,20.25
primary,test1_bear,2023,105,0,0,105,0.44761904761904764,0.5604838709677419,0.43951612903225806,0.0,0.43951612903225806,0.008102918586789576,-23.61904761904762,-21.75
primary,test1_pooled,2023,242,0,137,105,0.5165289256198347,0.5604838709677419,0.43951612903225806,0.0,0.5079978672354039,0.0085310583844308,4.534090909090909,5.375
primary,test2_up,2023,140,0,140,0,0.5571428571428572,0.5604838709677419,0.43951612903225806,0.0,0.5604838709677419,-0.00334101382488472,22.507142857142856,19.625
primary,test2_down,2023,108,0,0,108,0.4351851851851852,0.5604838709677419,0.43951612903225806,0.0,0.43951612903225806,-0.004330943847072888,-26.33101851851852,-21.125
primary,test2_pooled,2023,248,0,140,108,0.5040322580645161,0.5604838709677419,0.43951612903225806,0.0,0.5078043704474505,-0.0037721123829344005,1.2389112903225807,2.75
primary,always_long,2023,248,0,248,0,0.5604838709677419,0.5604838709677419,0.43951612903225806,0.0,0.5604838709677419,0.0,24.172379032258064,20.375
primary,test1_bull,2024,136,1,136,0,0.5514705882352942,0.5542168674698795,0.44176706827309237,0.004016064257028112,0.5542168674698795,-0.0027462792345853693,11.121323529411764,10.75
primary,test1_bear,2024,105,0,0,105,0.44761904761904764,0.5542168674698795,0.44176706827309237,0.004016064257028112,0.44176706827309237,0.005851979345955272,-13.709523809523809,-28.0
primary,test1_pooled,2024,241,1,136,105,0.5062240663900415,0.5542168674698795,0.44176706827309237,0.004016064257028112,0.5052242163675449,0.0009998500224965845,0.3029045643153527,3.25
primary,test2_up,2024,151,1,151,0,0.5298013245033113,0.5542168674698795,0.44176706827309237,0.004016064257028112,0.5542168674698795,-0.024415542966568227,6.1092715231788075,6.5
primary,test2_down,2024,98,0,0,98,0.40816326530612246,0.5542168674698795,0.44176706827309237,0.004016064257028112,0.44176706827309237,-0.03360380296696991,-21.533163265306122,-51.625
primary,test2_pooled,2024,249,1,151,98,0.4819277108433735,0.5542168674698795,0.44176706827309237,0.004016064257028112,0.5099595167819874,-0.028031805938613874,-4.770080321285141,-10.0
primary,always_long,2024,249,1,249,0,0.5542168674698795,0.5542168674698795,0.44176706827309237,0.004016064257028112,0.5542168674698795,0.0,12.179718875502008,18.0
primary,test1_bull,2025,129,0,129,0,0.4728682170542636,0.5344129554655871,0.46558704453441296,0.0,0.5344129554655871,-0.06154473841132352,-26.501937984496124,-7.25
primary,test1_bear,2025,108,0,0,108,0.3888888888888889,0.5344129554655871,0.46558704453441296,0.0,0.465587044534413,-0.07669815564552412,-64.5949074074074,-73.0
primary,test1_pooled,2025,237,0,129,108,0.4345991561181435,0.5344129554655871,0.46558704453441296,0.0,0.5030492492184697,-0.06845009310032624,-43.860759493670884,-34.25
primary,test2_up,2025,146,0,146,0,0.5,0.5344129554655871,0.46558704453441296,0.0,0.5344129554655871,-0.03441295546558709,-1.5890410958904109,1.875
primary,test2_down,2025,101,0,0,101,0.4158415841584158,0.5344129554655871,0.46558704453441296,0.0,0.46558704453441296,-0.04974546037599714,-37.59653465346535,-65.5
primary,test2_pooled,2025,247,0,146,101,0.46558704453441296,0.5344129554655871,0.46558704453441296,0.0,0.5062695667852284,-0.04068252225081542,-16.312753036437247,-10.5
primary,always_long,2025,247,0,247,0,0.5344129554655871,0.5344129554655871,0.46558704453441296,0.0,0.5344129554655871,0.0,14.43421052631579,35.5
primary,test1_bull,2026,75,0,75,0,0.5866666666666667,0.5436241610738255,0.4563758389261745,0.0,0.5436241610738255,0.043042505592841174,36.656666666666666,75.25
primary,test1_bear,2026,66,0,0,66,0.4696969696969697,0.5436241610738255,0.4563758389261745,0.0,0.4563758389261745,0.01332113077079522,-48.890151515151516,-18.625
primary,test1_pooled,2026,141,0,75,66,0.5319148936170213,0.5436241610738255,0.4563758389261745,0.0,0.5027845209196059,0.029130372697415363,-3.3865248226950353,39.5
primary,test2_up,2026,85,0,85,0,0.5882352941176471,0.5436241610738255,0.4563758389261745,0.0,0.5436241610738255,0.04461113304382158,47.661764705882355,75.5
primary,test2_down,2026,64,0,0,64,0.515625,0.5436241610738255,0.4563758389261745,0.0,0.4563758389261745,0.059249161073825496,-13.84375,9.25
primary,test2_pooled,2026,149,0,85,64,0.5570469798657718,0.5436241610738255,0.4563758389261745,0.0,0.5061483716949687,0.05089860817080305,21.243288590604028,50.5
primary,always_long,2026,149,0,149,0,0.5436241610738255,0.5436241610738255,0.4563758389261745,0.0,0.5436241610738255,0.0,33.13590604026846,29.0
