outcome,block,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
primary,all_test1,test2,2013,156,1,87,69,0.47435897435897434,0.576271186440678,0.4180790960451977,0.005649717514124294,0.5063016079965232,-0.0319426336375489,-0.7996794871794872,-0.375
primary,agree,test1,2014,119,0,74,45,0.5126050420168067,0.569060773480663,0.430939226519337,0.0,0.5168299363944473,-0.00422489437764062,1.023109243697479,2.75
primary,agree,test2,2014,119,0,74,45,0.5126050420168067,0.569060773480663,0.430939226519337,0.0,0.5168299363944473,-0.00422489437764062,1.023109243697479,2.75
primary,disagree,test1,2014,44,0,24,20,0.5227272727272727,0.569060773480663,0.430939226519337,0.0,0.5062782521346058,0.016449020592666952,4.863636363636363,6.375
primary,disagree,test2,2014,44,0,20,24,0.4772727272727273,0.569060773480663,0.430939226519337,0.0,0.4937217478653943,-0.016449020592667007,-4.863636363636363,-6.375
primary,all_test1,test1,2014,163,0,98,65,0.5153374233128835,0.569060773480663,0.430939226519337,0.0,0.5139816289868827,0.0013557943260007477,2.0598159509202456,3.25
primary,all_test1,test2,2014,163,0,94,69,0.5030674846625767,0.569060773480663,0.430939226519337,0.0,0.5105921431718808,-0.007524658509304172,-0.5659509202453987,0.25
primary,agree,test1,2015,145,1,82,63,0.5172413793103449,0.5141509433962265,0.4811320754716981,0.0047169811320754715,0.4998048145738452,0.017436564736499682,6.241379310344827,2.25
primary,agree,test2,2015,145,1,82,63,0.5172413793103449,0.5141509433962265,0.4811320754716981,0.0047169811320754715,0.4998048145738452,0.017436564736499682,6.241379310344827,2.25
primary,disagree,test1,2015,48,0,19,29,0.5625,0.5141509433962265,0.4811320754716981,0.0047169811320754715,0.49420204402515727,0.06829795597484273,1.734375,9.625
primary,disagree,test2,2015,48,0,29,19,0.4375,0.5141509433962265,0.4811320754716981,0.0047169811320754715,0.5010809748427674,-0.06358097484276737,-1.734375,-9.625
primary,all_test1,test1,2015,193,1,101,92,0.5284974093264249,0.5141509433962265,0.4811320754716981,0.0047169811320754715,0.49841137941147723,0.030086029914947632,5.120466321243524,2.5
primary,all_test1,test2,2015,193,1,111,82,0.49740932642487046,0.5141509433962265,0.4811320754716981,0.0047169811320754715,0.5001222015837326,-0.0027128751588620936,4.257772020725389,0.0
primary,agree,test1,2016,171,1,100,71,0.49707602339181284,0.5219123505976095,0.47410358565737054,0.00398406374501992,0.5020619277276858,-0.004985904335872926,-2.181286549707602,0.0
primary,agree,test2,2016,171,1,100,71,0.49707602339181284,0.5219123505976095,0.47410358565737054,0.00398406374501992,0.5020619277276858,-0.004985904335872926,-2.181286549707602,0.0
primary,disagree,test1,2016,70,0,27,43,0.34285714285714286,0.5219123505976095,0.47410358565737054,0.00398406374501992,0.492544109277177,-0.14968696642003415,-11.20357142857143,-6.625
primary,disagree,test2,2016,70,0,43,27,0.6571428571428571,0.5219123505976095,0.47410358565737054,0.00398406374501992,0.503471826977803,0.15367103016505412,11.20357142857143,6.625
