outcome,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
secondary,test1_bull,2016,127,1,127,0,0.48031496062992124,0.5338645418326693,0.46215139442231074,0.00398406374501992,0.5338645418326693,-0.05354958120274805,-3.8307086614173227,-0.5
secondary,test1_bear,2016,114,0,0,114,0.41228070175438597,0.5338645418326693,0.46215139442231074,0.00398406374501992,0.46215139442231074,-0.049870692667924765,-6.4035087719298245,-5.5
secondary,test1_pooled,2016,241,1,127,114,0.44813278008298757,0.5338645418326693,0.46215139442231074,0.00398406374501992,0.4999421401530806,-0.051809360070093013,-5.047717842323651,-2.75
secondary,test2_up,2016,146,1,146,0,0.5547945205479452,0.5338645418326693,0.46215139442231074,0.00398406374501992,0.5338645418326693,0.02092997871527591,2.9315068493150687,3.75
secondary,test2_down,2016,105,0,0,105,0.49523809523809526,0.5338645418326693,0.46215139442231074,0.00398406374501992,0.46215139442231074,0.03308670081578452,0.27380952380952384,-0.5
secondary,test2_pooled,2016,251,1,146,105,0.5298804780876494,0.5338645418326693,0.46215139442231074,0.00398406374501992,0.503865018015587,0.026015460072062346,1.8197211155378485,1.75
secondary,always_long,2016,251,1,251,0,0.5338645418326693,0.5338645418326693,0.46215139442231074,0.00398406374501992,0.5338645418326693,0.0,1.590637450199203,2.0
secondary,test1_bull,2017,156,0,156,0,0.5961538461538461,0.6345381526104418,0.3654618473895582,0.0,0.6345381526104418,-0.03838430645659563,3.0,6.5
secondary,test1_bear,2017,89,0,0,89,0.2808988764044944,0.6345381526104418,0.3654618473895582,0.0,0.3654618473895582,-0.08456297098506382,-13.5561797752809,-10.75
secondary,test1_pooled,2017,245,0,156,89,0.4816326530612245,0.6345381526104418,0.3654618473895582,0.0,0.53679206622408,-0.05515941316285555,-3.0142857142857142,-2.25
secondary,test2_up,2017,178,0,178,0,0.6292134831460674,0.6345381526104418,0.3654618473895582,0.0,0.6345381526104418,-0.005324669464374376,4.848314606741573,7.75
secondary,test2_down,2017,71,0,0,71,0.352112676056338,0.6345381526104418,0.3654618473895582,0.0,0.3654618473895582,-0.013349171333220222,-10.517605633802816,-9.75
secondary,test2_pooled,2017,249,0,178,71,0.5502008032128514,0.6345381526104418,0.3654618473895582,0.0,0.5578135836518766,-0.007612780439025246,0.46686746987951805,3.5
secondary,always_long,2017,249,0,249,0,0.6345381526104418,0.6345381526104418,0.3654618473895582,0.0,0.6345381526104418,0.0,6.464859437751004,7.75
secondary,test1_bull,2018,131,0,131,0,0.5038167938931297,0.5344129554655871,0.46558704453441296,0.0,0.5344129554655871,-0.03059616157245737,0.7156488549618321,3.25
secondary,test1_bear,2018,111,0,0,111,0.42342342342342343,0.5344129554655871,0.46558704453441296,0.0,0.46558704453441296,-0.042163621110989535,1.7612612612612613,-13.25
secondary,test1_pooled,2018,242,0,131,111,0.4669421487603306,0.5344129554655871,0.46558704453441296,0.0,0.502844045906247,-0.035901897145916406,1.1952479338842976,-5.0
secondary,test2_up,2018,135,0,135,0,0.5555555555555556,0.5344129554655871,0.46558704453441296,0.0,0.5344129554655871,0.02114260008996849,7.942592592592592,8.5
secondary,test2_down,2018,112,0,0,112,0.49107142857142855,0.5344129554655871,0.46558704453441296,0.0,0.46558704453441296,0.025484384037015584,11.841517857142858,-1.625
secondary,test2_pooled,2018,247,0,135,112,0.5263157894736842,0.5344129554655871,0.46558704453441296,0.0,0.5032044452457834,0.023111344227900732,9.710526315789474,4.5
secondary,always_long,2018,247,0,247,0,0.5344129554655871,0.5344129554655871,0.46558704453441296,0.0,0.5344129554655871,0.0,-1.0283400809716599,6.75
secondary,test1_bull,2019,144,1,144,0,0.5694444444444444,0.5983935742971888,0.39357429718875503,0.008032128514056224,0.5983935742971888,-0.028949129852744337,10.871527777777779,14.5
secondary,test1_bear,2019,93,1,0,93,0.3548387096774194,0.5983935742971888,0.39357429718875503,0.008032128514056224,0.3935742971887551,-0.03873558751133571,-11.155913978494624,-18.75
secondary,test1_pooled,2019,237,2,144,93,0.48523206751054854,0.5983935742971888,0.39357429718875503,0.008032128514056224,0.5180214529002085,-0.032789385389659975,2.2278481012658227,-0.5
secondary,test2_up,2019,162,2,162,0,0.5679012345679012,0.5983935742971888,0.39357429718875503,0.008032128514056224,0.5983935742971888,-0.030492339729287554,7.214506172839506,13.25
secondary,test2_down,2019,87,0,0,87,0.3448275862068966,0.5983935742971888,0.39357429718875503,0.008032128514056224,0.39357429718875503,-0.048746710981858454,-16.908045977011493,-31.0
secondary,test2_pooled,2019,249,2,162,87,0.4899598393574297,0.5983935742971888,0.39357429718875503,0.008032128514056224,0.5268302124159288,-0.03687037305849905,-1.213855421686747,-0.75
secondary,always_long,2019,249,2,249,0,0.5983935742971888,0.5983935742971888,0.39357429718875503,0.008032128514056224,0.5983935742971888,0.0,10.60140562248996,15.75
