entry,stop_mode,stop_pts,tgt_mode,tgt_pts,rr,hold_h,split,n,n_elig,trig_rate,win,E_net,E_R,target_hit,stop_hit,time_exit,median_stop
imp20_pb10,structural,,fixed,30.0,,30,Discovery,328,328,1.0,0.3384146341463415,-0.2682926829268293,-0.10018264809366192,0.2530487804878049,0.6067073170731707,0.1402439024390244,11.5
imp20_pb10,structural,,fixed,30.0,,30,Validation,396,396,1.0,0.3560606060606061,-2.548611111111111,-0.17610268583271965,0.34595959595959597,0.6388888888888888,0.015151515151515152,18.875
imp20_pb10,structural,,fixed,30.0,,30,OOS,179,179,1.0,0.44692737430167595,-2.037709497206704,-0.15693307899200162,0.44692737430167595,0.553072625698324,0.0,28.75
imp20_pb10,structural,,fixed,30.0,,60,Discovery,328,328,1.0,0.3231707317073171,-0.4557926829268293,-0.12752552548408108,0.27134146341463417,0.6524390243902439,0.07621951219512195,11.5
imp20_pb10,structural,,fixed,30.0,,60,Validation,396,396,1.0,0.351010101010101,-2.5940656565656566,-0.18252898137577744,0.351010101010101,0.6388888888888888,0.010101010101010102,18.875
imp20_pb10,structural,,fixed,30.0,,60,OOS,179,179,1.0,0.44692737430167595,-2.037709497206704,-0.15693307899200162,0.44692737430167595,0.553072625698324,0.0,28.75
imp20_pb10,structural,,fixed,40.0,,15,Discovery,328,328,1.0,0.31097560975609756,-1.0716463414634145,-0.246291853298592,0.11280487804878049,0.600609756097561,0.2865853658536585,11.5
imp20_pb10,structural,,fixed,40.0,,15,Validation,396,396,1.0,0.3282828282828283,-2.279671717171717,-0.179785636873892,0.23737373737373738,0.6388888888888888,0.12373737373737374,18.875
imp20_pb10,structural,,fixed,40.0,,15,OOS,179,179,1.0,0.4134078212290503,-0.6857541899441341,-0.06986682343728325,0.37988826815642457,0.553072625698324,0.0670391061452514,28.75
imp20_pb10,structural,,fixed,40.0,,30,Discovery,328,328,1.0,0.31402439024390244,0.41996951219512196,-0.08086064195444628,0.1951219512195122,0.6310975609756098,0.17378048780487804,11.5
imp20_pb10,structural,,fixed,40.0,,30,Validation,396,396,1.0,0.31313131313131315,-1.9103535353535352,-0.17242571374086735,0.29292929292929293,0.6767676767676768,0.030303030303030304,18.875
imp20_pb10,structural,,fixed,40.0,,30,OOS,179,179,1.0,0.4022346368715084,-1.48463687150838,-0.07902754925859763,0.4022346368715084,0.5865921787709497,0.0111731843575419,28.75
imp20_pb10,structural,,fixed,40.0,,60,Discovery,328,328,1.0,0.29878048780487804,0.5564024390243902,-0.08985914922195688,0.22865853658536586,0.676829268292683,0.09451219512195122,11.5
imp20_pb10,structural,,fixed,40.0,,60,Validation,396,396,1.0,0.30303030303030304,-2.2664141414141414,-0.19049320715650472,0.29292929292929293,0.6868686868686869,0.020202020202020204,18.875
imp20_pb10,structural,,fixed,40.0,,60,OOS,179,179,1.0,0.4022346368715084,-1.9958100558659218,-0.08520486870702712,0.4022346368715084,0.5977653631284916,0.0,28.75
imp20_pb10,structural,,rr,,1.0,15,Discovery,328,328,1.0,0.4817073170731707,-0.9420731707317073,-0.12630253001545558,0.4481707317073171,0.45121951219512196,0.10060975609756098,11.5
imp20_pb10,structural,,rr,,1.0,15,Validation,396,396,1.0,0.44696969696969696,-3.345328282828283,-0.19495314698630642,0.4166666666666667,0.5328282828282829,0.050505050505050504,18.875
imp20_pb10,structural,,rr,,1.0,15,OOS,179,179,1.0,0.4245810055865922,-3.733240223463687,-0.21495834370019762,0.39106145251396646,0.5418994413407822,0.0670391061452514,28.75
imp20_pb10,structural,,rr,,1.0,30,Discovery,328,328,1.0,0.4725609756097561,-1.086890243902439,-0.1406688268764517,0.46646341463414637,0.47560975609756095,0.057926829268292686,11.5
imp20_pb10,structural,,rr,,1.0,30,Validation,396,396,1.0,0.44191919191919193,-3.101641414141414,-0.1879068846887232,0.44191919191919193,0.547979797979798,0.010101010101010102,18.875
imp20_pb10,structural,,rr,,1.0,30,OOS,179,179,1.0,0.4022346368715084,-3.7891061452513966,-0.2242146131662846,0.4022346368715084,0.5642458100558659,0.0335195530726257,28.75
imp20_pb10,structural,,rr,,1.0,60,Discovery,328,328,1.0,0.4847560975609756,-1.516768292682927,-0.1475378635568702,0.4817073170731707,0.5091463414634146,0.009146341463414634,11.5
imp20_pb10,structural,,rr,,1.0,60,Validation,396,396,1.0,0.44191919191919193,-3.3541666666666665,-0.1930593866938906,0.44191919191919193,0.553030303030303,0.005050505050505051,18.875
imp20_pb10,structural,,rr,,1.0,60,OOS,179,179,1.0,0.4022346368715084,-5.328212290502793,-0.2439422242164673,0.4022346368715084,0.5865921787709497,0.0111731843575419,28.75
