entry,stop_mode,stop_pts,tgt_mode,tgt_pts,rr,hold_h,split_val,n_val,n_elig_val,trig_rate_val,win_val,E_net_val,E_R_val,target_hit_val,stop_hit_val,time_exit_val,median_stop_val,split_oos,n_oos,n_elig_oos,trig_rate_oos,win_oos,E_net_oos,E_R_oos,target_hit_oos,stop_hit_oos,time_exit_oos,median_stop_oos,split_disc,n_disc,n_elig_disc,trig_rate_disc,win_disc,E_net_disc,E_R_disc,target_hit_disc,stop_hit_disc,time_exit_disc,median_stop_disc,min_E_val_oos
imp20_pb10,fixed,25.0,rr,,1.5,60,Validation,396,396,1.0,0.4116161616161616,-0.3787878787878788,-0.015151515151515181,0.39646464646464646,0.5782828282828283,0.025252525252525252,25.0,OOS,179,179,1.0,0.41899441340782123,0.1871508379888268,0.007486033519553072,0.41899441340782123,0.5810055865921788,0.0,25.0,Discovery,328,328,1.0,0.4329268292682927,-0.28810975609756095,-0.011524390243902458,0.3018292682926829,0.45121951219512196,0.24695121951219512,25.0,-0.3787878787878788
imp20_pb5,fixed,25.0,rr,,1.5,60,Validation,396,396,1.0,0.4116161616161616,-0.3787878787878788,-0.015151515151515181,0.39646464646464646,0.5782828282828283,0.025252525252525252,25.0,OOS,179,179,1.0,0.41899441340782123,0.1871508379888268,0.007486033519553072,0.41899441340782123,0.5810055865921788,0.0,25.0,Discovery,331,331,1.0,0.44108761329305135,-0.027945619335347432,-0.0011178247734139003,0.3081570996978852,0.4561933534743202,0.23564954682779457,25.0,-0.3787878787878788
reclaim_dip10,structural,,fixed,40.0,,60,Validation,377,377,1.0,0.4854111405835544,-0.07493368700265252,-0.020291953781629957,0.4482758620689655,0.4880636604774536,0.0636604774535809,35.5,OOS,155,155,1.0,0.5806451612903226,-0.43709677419354837,0.005425007729468693,0.567741935483871,0.3870967741935484,0.04516129032258064,63.5,Discovery,287,287,1.0,0.445993031358885,1.4172473867595818,-0.0010718776982295388,0.313588850174216,0.4181184668989547,0.2682926829268293,25.0,-0.43709677419354837
at_open_wstop,structural,,rr,,1.0,60,Validation,485,485,1.0,0.49896907216494846,2.88659793814433,-0.05891541245575391,0.44948453608247424,0.47216494845360824,0.07835051546391752,29.75,OOS,208,208,1.0,0.4519230769230769,-0.46274038461538464,-0.12566093716767823,0.4326923076923077,0.5288461538461539,0.038461538461538464,54.25,Discovery,574,574,1.0,0.4564459930313589,-0.8745644599303136,-0.14568538090323865,0.4372822299651568,0.5087108013937283,0.05400696864111498,15.25,-0.46274038461538464
reclaim_dip10,fixed,25.0,rr,,2.0,60,Validation,377,377,1.0,0.35809018567639256,-0.46551724137931033,-0.018620689655172443,0.3156498673740053,0.6312997347480106,0.05305039787798409,25.0,OOS,155,155,1.0,0.3548387096774194,0.6129032258064516,0.024516129032258045,0.3548387096774194,0.6451612903225806,0.0,25.0,Discovery,287,287,1.0,0.36585365853658536,-1.3301393728222997,-0.05320557491289198,0.20905923344947736,0.4634146341463415,0.32752613240418116,25.0,-0.46551724137931033
imp20_pb5,fixed,25.0,fixed,40.0,,15,Validation,396,396,1.0,0.41414141414141414,-0.5296717171717171,-0.02118686868686868,0.28535353535353536,0.5176767676767676,0.19696969696969696,25.0,OOS,179,179,1.0,0.40782122905027934,0.0782122905027933,0.003128491620111764,0.3854748603351955,0.5810055865921788,0.0335195530726257,25.0,Discovery,331,331,1.0,0.4259818731117825,-2.0052870090634443,-0.08021148036253778,0.11178247734138973,0.2990936555891239,0.5891238670694864,25.0,-0.5296717171717171
imp20_pb10,fixed,25.0,fixed,40.0,,15,Validation,396,396,1.0,0.41414141414141414,-0.5296717171717171,-0.02118686868686868,0.28535353535353536,0.5176767676767676,0.19696969696969696,25.0,OOS,179,179,1.0,0.40782122905027934,0.0782122905027933,0.003128491620111764,0.3854748603351955,0.5810055865921788,0.0335195530726257,25.0,Discovery,328,328,1.0,0.4115853658536585,-2.1966463414634148,-0.08786585365853658,0.11280487804878049,0.3079268292682927,0.5792682926829268,25.0,-0.5296717171717171
imp20_pb10,fixed,25.0,rr,,1.5,30,Validation,396,396,1.0,0.4116161616161616,-0.5656565656565656,-0.022626262626262664,0.3787878787878788,0.5631313131313131,0.05808080808080808,25.0,OOS,179,179,1.0,0.41899441340782123,0.07541899441340782,0.0030167597765363083,0.40782122905027934,0.5698324022346368,0.0223463687150838,25.0,Discovery,328,328,1.0,0.4329268292682927,-0.7149390243902439,-0.028597560975609775,0.25,0.38414634146341464,0.36585365853658536,25.0,-0.5656565656565656
imp20_pb5,fixed,25.0,rr,,1.5,30,Validation,396,396,1.0,0.4116161616161616,-0.5656565656565656,-0.022626262626262664,0.3787878787878788,0.5631313131313131,0.05808080808080808,25.0,OOS,179,179,1.0,0.41899441340782123,0.07541899441340782,0.0030167597765363083,0.40782122905027934,0.5698324022346368,0.0223463687150838,25.0,Discovery,331,331,1.0,0.45317220543806647,-0.6631419939577039,-0.026525679758308177,0.24773413897280966,0.40181268882175225,0.3504531722054381,25.0,-0.5656565656565656
reclaim_dip5,fixed,25.0,rr,,2.0,60,Validation,422,422,1.0,0.35545023696682465,-0.5864928909952607,-0.023459715639810457,0.3175355450236967,0.6350710900473934,0.04739336492890995,25.0,OOS,169,169,1.0,0.34911242603550297,0.1834319526627219,0.007337278106508845,0.34911242603550297,0.650887573964497,0.0,25.0,Discovery,372,372,1.0,0.3763440860215054,-2.0510752688172045,-0.08204301075268818,0.1693548387096774,0.42473118279569894,0.40591397849462363,25.0,-0.5864928909952607
reclaim_dip5,fixed,25.0,fixed,40.0,,60,Validation,422,422,1.0,0.3981042654028436,-0.5924170616113744,-0.02369668246445496,0.3791469194312796,0.5971563981042654,0.023696682464454975,25.0,OOS,169,169,1.0,0.39644970414201186,-0.23076923076923078,-0.009230769230769223,0.39644970414201186,0.6035502958579881,0.0,25.0,Discovery,372,372,1.0,0.3978494623655914,-2.301747311827957,-0.09206989247311828,0.20698924731182797,0.41397849462365593,0.3790322580645161,25.0,-0.5924170616113744
reclaim_dip15,fixed,25.0,rr,,2.0,15,Validation,339,339,1.0,0.39823008849557523,0.4896755162241888,0.019587020648967522,0.25663716814159293,0.5339233038348082,0.20943952802359883,25.0,OOS,149,149,1.0,0.3422818791946309,-0.6208053691275168,-0.02483221476510069,0.3288590604026846,0.6577181208053692,0.013422818791946308,25.0,Discovery,212,212,1.0,0.5188679245283019,1.6875,0.06749999999999999,0.12264150943396226,0.33962264150943394,0.5377358490566038,25.0,-0.6208053691275168
reclaim_dip5,fixed,25.0,rr,,2.0,30,Validation,422,422,1.0,0.35545023696682465,-0.6990521327014217,-0.027962085308056914,0.2890995260663507,0.6042654028436019,0.1066350710900474,25.0,OOS,169,169,1.0,0.34911242603550297,0.1834319526627219,0.007337278106508845,0.34911242603550297,0.650887573964497,0.0,25.0,Discovery,372,372,1.0,0.41397849462365593,-1.4099462365591398,-0.056397849462365604,0.11827956989247312,0.3682795698924731,0.5134408602150538,25.0,-0.6990521327014217
reclaim_dip5,fixed,10.0,fixed,40.0,,60,Validation,422,422,1.0,0.2132701421800948,-0.7417061611374408,-0.07417061611374409,0.1990521327014218,0.7867298578199052,0.014218009478672985,10.0,OOS,169,169,1.0,0.22485207100591717,0.24260355029585798,0.024260355029585755,0.22485207100591717,0.7751479289940828,0.0,10.0,Discovery,372,372,1.0,0.24193548387096775,-2.4079301075268815,-0.24079301075268814,0.10752688172043011,0.7096774193548387,0.1827956989247312,10.0,-0.7417061611374408
reclaim_dip10,fixed,25.0,fixed,40.0,,60,Validation,377,377,1.0,0.3952254641909814,-0.7427055702917772,-0.029708222811671067,0.3740053050397878,0.5941644562334217,0.03183023872679045,25.0,OOS,155,155,1.0,0.3935483870967742,-0.41935483870967744,-0.01677419354838713,0.3935483870967742,0.6064516129032258,0.0,25.0,Discovery,287,287,1.0,0.39372822299651566,-0.9494773519163763,-0.03797909407665507,0.2787456445993031,0.44947735191637633,0.27177700348432055,25.0,-0.7427055702917772
reclaim_dip5,fixed,25.0,fixed,40.0,,30,Validation,422,422,1.0,0.3933649289099526,-0.7464454976303317,-0.029857819905213273,0.35545023696682465,0.5758293838862559,0.06872037914691943,25.0,OOS,169,169,1.0,0.39644970414201186,-0.23076923076923078,-0.009230769230769223,0.39644970414201186,0.6035502958579881,0.0,25.0,Discovery,372,372,1.0,0.42473118279569894,-1.6008064516129032,-0.06403225806451612,0.17473118279569894,0.3575268817204301,0.46774193548387094,25.0,-0.7464454976303317
imp20_pb5,fixed,25.0,rr,,1.5,15,Validation,396,396,1.0,0.4217171717171717,-0.8257575757575758,-0.03303030303030307,0.29292929292929293,0.5126262626262627,0.19444444444444445,25.0,OOS,179,179,1.0,0.41899441340782123,0.061452513966480445,0.0024581005586592052,0.40782122905027934,0.5698324022346368,0.0223463687150838,25.0,Discovery,331,331,1.0,0.4259818731117825,-1.9629909365558913,-0.07851963746223568,0.13595166163141995,0.2990936555891239,0.5649546827794562,25.0,-0.8257575757575758
imp20_pb10,fixed,25.0,rr,,1.5,15,Validation,396,396,1.0,0.4217171717171717,-0.8257575757575758,-0.03303030303030307,0.29292929292929293,0.5126262626262627,0.19444444444444445,25.0,OOS,179,179,1.0,0.41899441340782123,0.061452513966480445,0.0024581005586592052,0.40782122905027934,0.5698324022346368,0.0223463687150838,25.0,Discovery,328,328,1.0,0.4115853658536585,-2.129573170731707,-0.08518292682926831,0.14939024390243902,0.3079268292682927,0.5426829268292683,25.0,-0.8257575757575758
reclaim_dip10,fixed,25.0,fixed,40.0,,15,Validation,377,377,1.0,0.41114058355437666,-0.879973474801061,-0.03519893899204242,0.3050397877984085,0.519893899204244,0.17506631299734748,25.0,OOS,155,155,1.0,0.3935483870967742,-0.5709677419354838,-0.022838709677419373,0.38064516129032255,0.6064516129032258,0.012903225806451613,25.0,Discovery,287,287,1.0,0.5156794425087108,0.5383275261324042,0.021533101045296165,0.15331010452961671,0.3170731707317073,0.5296167247386759,25.0,-0.879973474801061
reclaim_dip10,fixed,25.0,fixed,40.0,,30,Validation,377,377,1.0,0.38992042440318303,-0.8985411140583555,-0.03594164456233421,0.3421750663129973,0.5702917771883289,0.08753315649867374,25.0,OOS,155,155,1.0,0.3935483870967742,-0.41935483870967744,-0.01677419354838713,0.3935483870967742,0.6064516129032258,0.0,25.0,Discovery,287,287,1.0,0.4146341463414634,-0.32578397212543553,-0.013031358885017429,0.23693379790940766,0.3623693379790941,0.40069686411149824,25.0,-0.8985411140583555
at_open_wstop,fixed,10.0,fixed,40.0,,15,Validation,485,485,1.0,0.21237113402061855,-0.8618556701030928,-0.08618556701030927,0.1958762886597938,0.7814432989690722,0.02268041237113402,10.0,OOS,208,208,1.0,0.20192307692307693,-0.9038461538461539,-0.09038461538461534,0.20192307692307693,0.7980769230769231,0.0,10.0,Discovery,574,574,1.0,0.2874564459930314,-1.5165505226480835,-0.1516550522648084,0.07491289198606271,0.627177700348432,0.2979094076655052,10.0,-0.9038461538461539
imp20_pb5,fixed,25.0,rr,,2.0,60,Validation,396,396,1.0,0.3409090909090909,-0.9299242424242424,-0.03719696969696973,0.3181818181818182,0.6439393939393939,0.03787878787878788,25.0,OOS,179,179,1.0,0.35195530726256985,0.39664804469273746,0.015865921787709476,0.35195530726256985,0.6480446927374302,0.0,25.0,Discovery,331,331,1.0,0.4169184290030212,-0.24018126888217523,-0.009607250755287011,0.1933534743202417,0.48036253776435045,0.32628398791540786,25.0,-0.9299242424242424
imp20_pb10,fixed,25.0,rr,,2.0,60,Validation,396,396,1.0,0.3409090909090909,-0.9299242424242424,-0.03719696969696973,0.3181818181818182,0.6439393939393939,0.03787878787878788,25.0,OOS,179,179,1.0,0.35195530726256985,0.39664804469273746,0.015865921787709476,0.35195530726256985,0.6480446927374302,0.0,25.0,Discovery,328,328,1.0,0.4146341463414634,-0.11128048780487805,-0.004451219512195141,0.19817073170731708,0.4695121951219512,0.3323170731707317,25.0,-0.9299242424242424
reclaim_dip5,fixed,10.0,fixed,40.0,,30,Validation,422,422,1.0,0.20853080568720378,-1.0023696682464456,-0.10023696682464457,0.1895734597156398,0.7867298578199052,0.023696682464454975,10.0,OOS,169,169,1.0,0.22485207100591717,0.24260355029585798,0.024260355029585755,0.22485207100591717,0.7751479289940828,0.0,10.0,Discovery,372,372,1.0,0.2446236559139785,-2.100806451612903,-0.21008064516129032,0.09946236559139784,0.6586021505376344,0.24193548387096775,10.0,-1.0023696682464456
reclaim_dip10,structural,,fixed,40.0,,30,Validation,377,377,1.0,0.4535809018567639,-0.3594164456233422,-0.029008972418612756,0.41114058355437666,0.44562334217506633,0.14323607427055704,35.5,OOS,155,155,1.0,0.5806451612903226,-1.020967741935484,-0.000963161614213818,0.5419354838709678,0.36129032258064514,0.0967741935483871,63.5,Discovery,287,287,1.0,0.4529616724738676,1.1541811846689896,-0.013564754024155481,0.2578397212543554,0.37282229965156793,0.3693379790940767,25.0,-1.020967741935484
reclaim_dip5,fixed,15.0,fixed,40.0,,60,Validation,422,422,1.0,0.2796208530805687,-1.0260663507109005,-0.06840442338072665,0.26540284360189575,0.7203791469194313,0.014218009478672985,15.0,OOS,169,169,1.0,0.2781065088757396,-0.7041420118343196,-0.04694280078895462,0.2781065088757396,0.7218934911242604,0.0,15.0,Discovery,372,372,1.0,0.30913978494623656,-3.0658602150537635,-0.20439068100358415,0.13440860215053763,0.6209677419354839,0.2446236559139785,15.0,-1.0260663507109005
at_open_wstop,fixed,10.0,fixed,40.0,,30,Validation,485,485,1.0,0.2020618556701031,-1.0608247422680412,-0.1060824742268041,0.1958762886597938,0.797938144329897,0.006185567010309278,10.0,OOS,208,208,1.0,0.20192307692307693,-0.9038461538461539,-0.09038461538461534,0.20192307692307693,0.7980769230769231,0.0,10.0,Discovery,574,574,1.0,0.2770034843205575,-1.5631533101045296,-0.15631533101045297,0.10104529616724739,0.6742160278745645,0.22473867595818817,10.0,-1.0608247422680412
