entry_style,rev,impulse,pb,dip,target,split,n,win,E_net,E_R,target_hit,stop_hit,time_exit,median_stop_dist,n_days,n_trig,trig_rate
impulse_pb,10.0,15.0,5.0,,30.0,Validation,197,0.3350253807106599,-4.555837563451776,-0.278605956118372,0.3248730964467005,0.6598984771573604,0.015228426395939087,20.25,227,197,0.8678414096916299
impulse_pb,10.0,15.0,10.0,,20.0,Discovery,136,0.39705882352941174,-1.3419117647058822,-0.0639014658573742,0.36764705882352944,0.5735294117647058,0.058823529411764705,13.5,207,136,0.6570048309178744
impulse_pb,10.0,15.0,10.0,,20.0,OOS,87,0.5287356321839081,-1.9051724137931034,-0.11643482681329045,0.5172413793103449,0.47126436781609193,0.011494252873563218,28.75,102,87,0.8529411764705882
impulse_pb,10.0,15.0,10.0,,20.0,Validation,197,0.4263959390862944,-3.770304568527919,-0.24131945979618014,0.4263959390862944,0.5736040609137056,0.0,20.25,227,197,0.8678414096916299
impulse_pb,10.0,15.0,10.0,,25.0,Discovery,136,0.3602941176470588,-1.5110294117647058,-0.059249584704398874,0.3161764705882353,0.6102941176470589,0.07352941176470588,13.5,207,136,0.6570048309178744
impulse_pb,10.0,15.0,10.0,,25.0,OOS,87,0.5057471264367817,-0.9482758620689655,-0.05156750157541311,0.4942528735632184,0.4942528735632184,0.011494252873563218,28.75,102,87,0.8529411764705882
impulse_pb,10.0,15.0,10.0,,25.0,Validation,197,0.37055837563451777,-4.58502538071066,-0.26649464604858397,0.36548223350253806,0.6294416243654822,0.005076142131979695,20.25,227,197,0.8678414096916299
impulse_pb,10.0,15.0,10.0,,30.0,Discovery,136,0.3382352941176471,-1.2463235294117647,-0.015288568127438147,0.27941176470588236,0.6323529411764706,0.08823529411764706,13.5,207,136,0.6570048309178744
impulse_pb,10.0,15.0,10.0,,30.0,OOS,87,0.47126436781609193,-0.3074712643678161,-0.057567396621908073,0.45977011494252873,0.5287356321839081,0.011494252873563218,28.75,102,87,0.8529411764705882
impulse_pb,10.0,15.0,10.0,,30.0,Validation,197,0.3350253807106599,-4.595177664974619,-0.2785298629714452,0.3248730964467005,0.6598984771573604,0.015228426395939087,20.25,227,197,0.8678414096916299
impulse_pb,10.0,20.0,5.0,,20.0,Discovery,128,0.3828125,-0.453125,-0.12963597962489487,0.3671875,0.59375,0.0390625,11.25,207,128,0.6183574879227053
impulse_pb,10.0,20.0,5.0,,20.0,OOS,85,0.5058823529411764,-3.126470588235294,-0.19696819278815914,0.5058823529411764,0.49411764705882355,0.0,28.75,102,85,0.8333333333333334
impulse_pb,10.0,20.0,5.0,,20.0,Validation,183,0.44808743169398907,-2.0368852459016393,-0.15230296746182292,0.4426229508196721,0.5519125683060109,0.00546448087431694,19.5,227,183,0.8061674008810573
impulse_pb,10.0,20.0,5.0,,25.0,Discovery,128,0.328125,-1.279296875,-0.17679606949415,0.3046875,0.640625,0.0546875,11.25,207,128,0.6183574879227053
impulse_pb,10.0,20.0,5.0,,25.0,OOS,85,0.4823529411764706,-2.264705882352941,-0.14658721389414983,0.4823529411764706,0.5176470588235295,0.0,28.75,102,85,0.8333333333333334
impulse_pb,10.0,20.0,5.0,,25.0,Validation,183,0.39344262295081966,-2.55327868852459,-0.203892642949134,0.3879781420765027,0.6065573770491803,0.00546448087431694,19.5,227,183,0.8061674008810573
impulse_pb,10.0,20.0,5.0,,30.0,Discovery,128,0.3125,-0.8359375,-0.11726028540108183,0.2734375,0.65625,0.0703125,11.25,207,128,0.6183574879227053
impulse_pb,10.0,20.0,5.0,,30.0,OOS,85,0.4470588235294118,-1.7264705882352942,-0.16874091929120388,0.4470588235294118,0.5529411764705883,0.0,28.75,102,85,0.8333333333333334
impulse_pb,10.0,20.0,5.0,,30.0,Validation,183,0.34972677595628415,-2.9385245901639343,-0.21560405084172563,0.33879781420765026,0.644808743169399,0.01639344262295082,19.5,227,183,0.8061674008810573
impulse_pb,10.0,20.0,10.0,,20.0,Discovery,128,0.40625,0.013671875,-0.07227722273741527,0.390625,0.5703125,0.0390625,12.125,207,128,0.6183574879227053
impulse_pb,10.0,20.0,10.0,,20.0,OOS,85,0.5058823529411764,-3.126470588235294,-0.19696819278815914,0.5058823529411764,0.49411764705882355,0.0,28.75,102,85,0.8333333333333334
impulse_pb,10.0,20.0,10.0,,20.0,Validation,183,0.44808743169398907,-2.0245901639344264,-0.15274704735970482,0.4426229508196721,0.5519125683060109,0.00546448087431694,19.5,227,183,0.8061674008810573
impulse_pb,10.0,20.0,10.0,,25.0,Discovery,128,0.3515625,-0.74609375,-0.11506290951617915,0.3125,0.6171875,0.0703125,12.125,207,128,0.6183574879227053
impulse_pb,10.0,20.0,10.0,,25.0,OOS,85,0.4823529411764706,-2.264705882352941,-0.14658721389414983,0.4823529411764706,0.5176470588235295,0.0,28.75,102,85,0.8333333333333334
