split,horizon_m,feature,target,n,spearman
Discovery,60,vol_z_tod,ret,781321,0.011204761813625789
Discovery,60,vol_z_tod,absret,781321,0.2488872000391727
Discovery,60,vol_z_tod,rv,781321,0.4656860512620874
Discovery,60,signed_vol_proxy,ret,781309,-0.007147187338856024
Discovery,60,signed_vol_proxy,absret,781309,-0.012192194702057296
Discovery,60,signed_vol_proxy,rv,781309,-0.021027866206988124
Discovery,60,signed_vol_proxy_sum_5,ret,771637,-0.003909506329673595
Discovery,60,signed_vol_proxy_sum_5,absret,771637,-0.026218485118249903
Discovery,60,signed_vol_proxy_sum_5,rv,771637,-0.049903578267864075
Discovery,60,signed_vol_proxy_resid,ret,781309,0.002270715057760933
Discovery,60,signed_vol_proxy_resid,absret,781309,0.017332133750672947
Discovery,60,signed_vol_proxy_resid,rv,781309,0.028052732402221427
Discovery,60,ret_per_vol,ret,781309,-0.010357823158377555
Discovery,60,ret_per_vol,absret,781309,-0.013965529829836116
Discovery,60,ret_per_vol,rv,781309,-0.021088261698022227
Discovery,60,absret_per_vol,ret,781309,0.0017299426765367352
Discovery,60,absret_per_vol,absret,781309,0.048506083192618045
Discovery,60,absret_per_vol,rv,781309,0.08057537820489197
Discovery,60,range_per_vol,ret,781321,0.000149403245865069
Discovery,60,range_per_vol,absret,781321,0.027990926516129513
Discovery,60,range_per_vol,rv,781321,0.044540265131037655
Discovery,60,vol_x_range,ret,781321,0.02065086285324103
Discovery,60,vol_x_range,absret,781321,0.3542333220049366
Discovery,60,vol_x_range,rv,781321,0.6539606035485219
Discovery,60,ret_1m,ret,781309,-0.00903102513483414
Discovery,60,ret_1m,absret,781309,-0.013683649772680582
Discovery,60,ret_1m,rv,781309,-0.02126186407635244
Discovery,60,absret_1m,ret,781309,0.01324006850313079
Discovery,60,absret_1m,absret,781309,0.23620459242183822
Discovery,60,absret_1m,rv,781309,0.4350935331762244
Discovery,60,range_pct,ret,781321,0.023660347836500745
Discovery,60,range_pct,absret,781321,0.3883161358029202
Discovery,60,range_pct,rv,781321,0.722237836187779
Validation,1,volume,ret,296316,-0.004322493266132143
Validation,1,volume,absret,296316,0.32069786837666936
Validation,1,d_volume,ret,296316,-0.003379402354388867
Validation,1,d_volume,absret,296316,0.0017828305410395116
Validation,1,vol_accel,ret,296316,-0.0023090528941609764
Validation,1,vol_accel,absret,296316,0.0229164384616302
Validation,1,vol_z_tod,ret,296316,-0.005680721882521933
Validation,1,vol_z_tod,absret,296316,0.26899772844554815
Validation,1,signed_vol_proxy,ret,296316,-0.014797086213134449
Validation,1,signed_vol_proxy,absret,296316,-0.014362497958697675
Validation,1,signed_vol_proxy_sum_5,ret,293220,-0.013224398718081643
Validation,1,signed_vol_proxy_sum_5,absret,293220,-0.030501943137120912
Validation,1,signed_vol_proxy_resid,ret,296316,-0.0052471696170024364
Validation,1,signed_vol_proxy_resid,absret,296316,0.009845076165368834
Validation,1,ret_per_vol,ret,296316,-0.016842724143074576
Validation,1,ret_per_vol,absret,296316,-0.023084756024547005
Validation,1,absret_per_vol,ret,296316,0.003109151888358262
Validation,1,absret_per_vol,absret,296316,0.05713710653103879
Validation,1,range_per_vol,ret,296316,0.004311571435937744
Validation,1,range_per_vol,absret,296316,0.08562446760094748
Validation,1,vol_x_range,ret,296316,-0.0031735101733389656
Validation,1,vol_x_range,absret,296316,0.3898314398549103
Validation,1,ret_1m,ret,296316,-0.016451485520159397
Validation,1,ret_1m,absret,296316,-0.01882552491911391
Validation,1,absret_1m,ret,296316,8.997124384931019e-06
Validation,1,absret_1m,absret,296316,0.24844189305615283
Validation,1,range_pct,ret,296316,-0.0016387254656952213
Validation,1,range_pct,absret,296316,0.4070181455207942
Validation,5,volume,ret,293220,-0.0034813372997784388
Validation,5,volume,absret,293220,0.30497681026021456
Validation,5,volume,rv,293220,0.4935910005603476
Validation,5,d_volume,ret,293220,-0.00021760646904801475
Validation,5,d_volume,absret,293220,-0.004271590806670849
Validation,5,d_volume,rv,293220,-0.010789550726690461
Validation,5,vol_accel,ret,293220,1.1037985379421882e-05
Validation,5,vol_accel,absret,293220,0.01866959031693579
Validation,5,vol_accel,rv,293220,0.02979526687812425
Validation,5,vol_z_tod,ret,293220,-0.0048630215080606035
Validation,5,vol_z_tod,absret,293220,0.25375844223901467
Validation,5,vol_z_tod,rv,293220,0.41018069583856653
Validation,5,signed_vol_proxy,ret,293220,-0.012812590091104506
Validation,5,signed_vol_proxy,absret,293220,-0.010125291436670238
Validation,5,signed_vol_proxy,rv,293220,-0.01870186861503463
Validation,5,signed_vol_proxy_sum_5,ret,290124,-0.013309625391667038
Validation,5,signed_vol_proxy_sum_5,absret,290124,-0.024663393053812144
Validation,5,signed_vol_proxy_sum_5,rv,290124,-0.03822987074311389
Validation,5,signed_vol_proxy_resid,ret,293220,-0.011070739530674188
Validation,5,signed_vol_proxy_resid,absret,293220,0.0111628143717265
Validation,5,signed_vol_proxy_resid,rv,293220,0.016213086905284894
Validation,5,ret_per_vol,ret,293220,-0.010782489501923514
Validation,5,ret_per_vol,absret,293220,-0.019622178003125147
Validation,5,ret_per_vol,rv,293220,-0.030957962629344884
Validation,5,absret_per_vol,ret,293220,0.0023502019385212526
Validation,5,absret_per_vol,absret,293220,0.06294745212546621
Validation,5,absret_per_vol,rv,293220,0.09428801383144092
Validation,5,range_per_vol,ret,293220,0.0035127267607531943
Validation,5,range_per_vol,absret,293220,0.10028676587833041
Validation,5,range_per_vol,rv,293220,0.15317822913211265
Validation,5,vol_x_range,ret,293220,-0.0022048605893245404
Validation,5,vol_x_range,absret,293220,0.37585262409707104
Validation,5,vol_x_range,rv,293220,0.6053707908109475
Validation,5,ret_1m,ret,293220,-0.011524585999148974
Validation,5,ret_1m,absret,293220,-0.014969388011204336
Validation,5,ret_1m,rv,293220,-0.0249564720590774
Validation,5,absret_1m,ret,293220,0.0006690472460637296
Validation,5,absret_1m,absret,293220,0.2424950496915659
Validation,5,absret_1m,rv,293220,0.3826891644767735
Validation,5,range_pct,ret,293220,-0.0006704191409477006
Validation,5,range_pct,absret,293220,0.3975126874860102
Validation,5,range_pct,rv,293220,0.6362765362178129
Validation,15,volume,ret,285480,-0.002789116732673349
Validation,15,volume,absret,285480,0.2901238036142244
Validation,15,volume,rv,285480,0.5480608308316709
Validation,15,d_volume,ret,285480,-0.0002205971286252486
Validation,15,d_volume,absret,285480,-0.007953749250521955
Validation,15,d_volume,rv,285480,-0.01968072972024383
Validation,15,vol_accel,ret,285480,0.0006337249712062517
Validation,15,vol_accel,absret,285480,0.01571351842419474
Validation,15,vol_accel,rv,285480,0.027480534839072934
Validation,15,vol_z_tod,ret,285480,-0.0023014655002825323
Validation,15,vol_z_tod,absret,285480,0.24226330559049902
Validation,15,vol_z_tod,rv,285480,0.45607548471062315
Validation,15,signed_vol_proxy,ret,285480,-0.0036451792695853594
Validation,15,signed_vol_proxy,absret,285480,-0.0074749972089900455
Validation,15,signed_vol_proxy,rv,285480,-0.017000338613877067
Validation,15,signed_vol_proxy_sum_5,ret,282384,-0.0019596432705420593
Validation,15,signed_vol_proxy_sum_5,absret,282384,-0.02158194684478784
Validation,15,signed_vol_proxy_sum_5,rv,282384,-0.03960897771827041
Validation,15,signed_vol_proxy_resid,ret,285480,-0.005403512393091795
Validation,15,signed_vol_proxy_resid,absret,285480,0.012187792300611962
Validation,15,signed_vol_proxy_resid,rv,285480,0.018086614841793948
Validation,15,ret_per_vol,ret,285480,-0.001578025964545064
Validation,15,ret_per_vol,absret,285480,-0.016212459936133856
Validation,15,ret_per_vol,rv,285480,-0.029178183788532257
Validation,15,absret_per_vol,ret,285480,0.004364555922019746
Validation,15,absret_per_vol,absret,285480,0.0663859611735716
Validation,15,absret_per_vol,rv,285480,0.11454654154241559
Validation,15,range_per_vol,ret,285480,0.0058081445820684025
Validation,15,range_per_vol,absret,285480,0.1119284954624446
Validation,15,range_per_vol,rv,285480,0.19891476526165877
Validation,15,vol_x_range,ret,285480,-0.001043150153079747
Validation,15,vol_x_range,absret,285480,0.3634181115720723
Validation,15,vol_x_range,rv,285480,0.6824357274439908
Validation,15,ret_1m,ret,285480,-0.001821524888563365
Validation,15,ret_1m,absret,285480,-0.011680078322543433
Validation,15,ret_1m,rv,285480,-0.02249073879421477
Validation,15,absret_1m,ret,285480,0.0029305561232610315
Validation,15,absret_1m,absret,285480,0.23494211281139685
Validation,15,absret_1m,rv,285480,0.4306699790160368
Validation,15,range_pct,ret,285480,0.0012375752374200234
Validation,15,range_pct,absret,285480,0.3888569608984031
Validation,15,range_pct,rv,285480,0.7249875514085903
Validation,30,volume,ret,273870,-0.0020427735870772847
Validation,30,volume,absret,273870,0.28117039918956616
Validation,30,volume,rv,273870,0.5488972526633307
Validation,30,d_volume,ret,273870,-0.0001031448764585422
Validation,30,d_volume,absret,273870,-0.011052091596687758
Validation,30,d_volume,rv,273870,-0.02265400401296967
Validation,30,vol_accel,ret,273870,0.0004774749062672844
Validation,30,vol_accel,absret,273870,0.013787575521257216
Validation,30,vol_accel,rv,273870,0.02692252488715319
Validation,30,vol_z_tod,ret,273870,-0.0007974110743649544
Validation,30,vol_z_tod,absret,273870,0.23630935783789914
Validation,30,vol_z_tod,rv,273870,0.4635159260032788
Validation,30,signed_vol_proxy,ret,273870,-0.00294403786583871
Validation,30,signed_vol_proxy,absret,273870,-0.007516797626162184
Validation,30,signed_vol_proxy,rv,273870,-0.015187711470049704
Validation,30,signed_vol_proxy_sum_5,ret,270774,0.003395364779422291
Validation,30,signed_vol_proxy_sum_5,absret,270774,-0.01763327224174215
Validation,30,signed_vol_proxy_sum_5,rv,270774,-0.037640824892020266
Validation,30,signed_vol_proxy_resid,ret,273870,-0.0061178961076393
Validation,30,signed_vol_proxy_resid,absret,273870,0.010167367223613881
Validation,30,signed_vol_proxy_resid,rv,273870,0.018350847898283194
Validation,30,ret_per_vol,ret,273870,0.0014715741883597193
Validation,30,ret_per_vol,absret,273870,-0.014569653083673787
Validation,30,ret_per_vol,rv,273870,-0.02701178583978072
Validation,30,absret_per_vol,ret,273870,0.006039213395592966
Validation,30,absret_per_vol,absret,273870,0.06495696408468188
Validation,30,absret_per_vol,rv,273870,0.12238759930469888
Validation,30,range_per_vol,ret,273870,0.0086135377850331
Validation,30,range_per_vol,absret,273870,0.1153962791777391
Validation,30,range_per_vol,rv,273870,0.2143968254618448
Validation,30,vol_x_range,ret,273870,6.218430058598098e-06
Validation,30,vol_x_range,absret,273870,0.3561033299882985
Validation,30,vol_x_range,rv,273870,0.6910253450765743
Validation,30,ret_1m,ret,273870,0.00020346560085499196
Validation,30,ret_1m,absret,273870,-0.010685265349756917
Validation,30,ret_1m,rv,273870,-0.02023912821101598
Validation,30,absret_1m,ret,273870,0.004381435842215951
Validation,30,absret_1m,absret,273870,0.2301598290336223
Validation,30,absret_1m,rv,273870,0.43976313722181165
Validation,30,range_pct,ret,273870,0.0029378475314973435
Validation,30,range_pct,absret,273870,0.38416385575050854
Validation,30,range_pct,rv,273870,0.7404179648406113
Validation,60,volume,ret,250650,-0.003711304943324572
Validation,60,volume,absret,250650,0.25916673834834536
Validation,60,volume,rv,250650,0.5194046811753377
Validation,60,d_volume,ret,250650,0.0004967834274684977
Validation,60,d_volume,absret,250650,-0.011358183763188201
Validation,60,d_volume,rv,250650,-0.022936709942447602
Validation,60,vol_accel,ret,250650,-0.0008575398287130033
Validation,60,vol_accel,absret,250650,0.01334286396732849
Validation,60,vol_accel,rv,250650,0.025505510504286972
Validation,60,vol_z_tod,ret,250650,0.0013643554210831905
Validation,60,vol_z_tod,absret,250650,0.23047034478371864
Validation,60,vol_z_tod,rv,250650,0.45563713925919
Validation,60,signed_vol_proxy,ret,250650,0.0036445263291233704
Validation,60,signed_vol_proxy,absret,250650,-0.007328271556836603
Validation,60,signed_vol_proxy,rv,250650,-0.01491357847291943
Validation,60,signed_vol_proxy_sum_5,ret,247554,0.012712477051382171
Validation,60,signed_vol_proxy_sum_5,absret,247554,-0.016566212292857513
Validation,60,signed_vol_proxy_sum_5,rv,247554,-0.037551895061029995
Validation,60,signed_vol_proxy_resid,ret,250650,-0.0003353544360171131
Validation,60,signed_vol_proxy_resid,absret,250650,0.008963121424064361
Validation,60,signed_vol_proxy_resid,rv,250650,0.01764972944443467
Validation,60,ret_per_vol,ret,250650,0.0048871686854655635
Validation,60,ret_per_vol,absret,250650,-0.014097568987097646
Validation,60,ret_per_vol,rv,250650,-0.026195624507543674
Validation,60,absret_per_vol,ret,250650,0.010672716688299286
Validation,60,absret_per_vol,absret,250650,0.06352726323474803
Validation,60,absret_per_vol,rv,250650,0.1314807742813151
Validation,60,range_per_vol,ret,250650,0.016374050161052943
Validation,60,range_per_vol,absret,250650,0.11736357264356004
Validation,60,range_per_vol,rv,250650,0.2354437302587413
Validation,60,vol_x_range,ret,250650,0.00010209859252717228
Validation,60,vol_x_range,absret,250650,0.3341859085441707
Validation,60,vol_x_range,rv,250650,0.6704917152369182
Validation,60,ret_1m,ret,250650,0.0050120130215293626
Validation,60,ret_1m,absret,250650,-0.01052103686432704
Validation,60,ret_1m,rv,250650,-0.019522452552444183
Validation,60,absret_1m,ret,250650,0.007217581625553096
Validation,60,absret_1m,absret,250650,0.21686441961756334
Validation,60,absret_1m,rv,250650,0.43349464000626803
Validation,60,range_pct,ret,250650,0.005590208664774162
Validation,60,range_pct,absret,250650,0.3661335937640328
Validation,60,range_pct,rv,250650,0.7321360933205521
OOS,1,volume,ret,162666,0.006863323884449295
OOS,1,volume,absret,162666,0.35753261348096815
OOS,1,d_volume,ret,162666,-0.0034087879593737683
OOS,1,d_volume,absret,162666,-0.0023184558498769224
OOS,1,vol_accel,ret,162666,-0.00267024626689131
OOS,1,vol_accel,absret,162666,0.025712651542847926
OOS,1,vol_z_tod,ret,162666,0.004060054309635023
OOS,1,vol_z_tod,absret,162666,0.2814859939079622
OOS,1,signed_vol_proxy,ret,162664,-0.00819346940297029
OOS,1,signed_vol_proxy,absret,162664,-0.016768679649400094
OOS,1,signed_vol_proxy_sum_5,ret,160956,-0.002681787399090503
OOS,1,signed_vol_proxy_sum_5,absret,160956,-0.03089458085707424
OOS,1,signed_vol_proxy_resid,ret,162664,-0.0008569817378510611
OOS,1,signed_vol_proxy_resid,absret,162664,0.011814184459911415
OOS,1,ret_per_vol,ret,162664,-0.012005530802891058
OOS,1,ret_per_vol,absret,162664,-0.023245248375209342
OOS,1,absret_per_vol,ret,162664,0.006092994531040484
OOS,1,absret_per_vol,absret,162664,0.06432940629990005
OOS,1,range_per_vol,ret,162666,-8.563805104957072e-05
OOS,1,range_per_vol,absret,162666,0.09658905016778419
OOS,1,vol_x_range,ret,162666,0.007237667238340566
OOS,1,vol_x_range,absret,162666,0.42204073871236514
OOS,1,ret_1m,ret,162664,-0.010745729187633567
OOS,1,ret_1m,absret,162664,-0.02137062171563423
OOS,1,absret_1m,ret,162664,0.009221161680769722
OOS,1,absret_1m,absret,162664,0.2670180381402142
OOS,1,range_pct,ret,162666,0.006858064139600105
OOS,1,range_pct,absret,162666,0.4301515789925741
OOS,5,volume,ret,160958,0.01590536569425519
OOS,5,volume,absret,160958,0.348898181222927
OOS,5,volume,rv,160958,0.5478460385037717
OOS,5,d_volume,ret,160958,-0.0004508902295018848
OOS,5,d_volume,absret,160958,-0.01343589305299024
OOS,5,d_volume,rv,160958,-0.019652331190368976
OOS,5,vol_accel,ret,160958,-0.0003107459433069472
OOS,5,vol_accel,absret,160958,0.020435932515656202
OOS,5,vol_accel,rv,160958,0.030707391733316186
OOS,5,vol_z_tod,ret,160958,0.009019042468549125
OOS,5,vol_z_tod,absret,160958,0.2698458000304075
OOS,5,vol_z_tod,rv,160958,0.4292691500979913
OOS,5,signed_vol_proxy,ret,160956,-0.007572445873806786
OOS,5,signed_vol_proxy,absret,160956,-0.01470110246333602
OOS,5,signed_vol_proxy,rv,160956,-0.02156010233081823
OOS,5,signed_vol_proxy_sum_5,ret,159248,-0.0026454067439829524
OOS,5,signed_vol_proxy_sum_5,absret,159248,-0.024328553247956883
OOS,5,signed_vol_proxy_sum_5,rv,159248,-0.0448334816517058
OOS,5,signed_vol_proxy_resid,ret,160956,-0.002228039673154958
OOS,5,signed_vol_proxy_resid,absret,160956,0.00950982156363129
OOS,5,signed_vol_proxy_resid,rv,160956,0.014164353280991596
OOS,5,ret_per_vol,ret,160956,-0.008930993307103823
OOS,5,ret_per_vol,absret,160956,-0.017256182351905475
OOS,5,ret_per_vol,rv,160956,-0.02919795096491114
OOS,5,absret_per_vol,ret,160956,0.001765047399656051
OOS,5,absret_per_vol,absret,160956,0.06790537454500177
OOS,5,absret_per_vol,rv,160956,0.09667963511602218
OOS,5,range_per_vol,ret,160958,-0.002532617962840403
OOS,5,range_per_vol,absret,160958,0.11438265349285452
OOS,5,range_per_vol,rv,160958,0.16201228199560064
OOS,5,vol_x_range,ret,160958,0.016641516449056495
OOS,5,vol_x_range,absret,160958,0.4166989558214199
OOS,5,vol_x_range,rv,160958,0.6488860425343115
OOS,5,ret_1m,ret,160956,-0.009191023555714118
OOS,5,ret_1m,absret,160956,-0.01596427591138181
OOS,5,ret_1m,rv,160956,-0.02639274326806212
OOS,5,absret_1m,ret,160956,0.011104178501735692
OOS,5,absret_1m,absret,160956,0.26230994848165956
OOS,5,absret_1m,rv,160956,0.40301292366674824
OOS,5,range_pct,ret,160958,0.015179603170527573
OOS,5,range_pct,absret,160958,0.4299883740653961
OOS,5,range_pct,rv,160958,0.6650340832736567
OOS,15,volume,ret,156688,0.02044734682129561
OOS,15,volume,absret,156688,0.3443397236218891
OOS,15,volume,rv,156688,0.6137673351735465
OOS,15,d_volume,ret,156688,-0.000997885689305824
OOS,15,d_volume,absret,156688,-0.015150556062183528
OOS,15,d_volume,rv,156688,-0.025142310327576554
OOS,15,vol_accel,ret,156688,-0.0003410783699208538
OOS,15,vol_accel,absret,156688,0.016201190193443297
OOS,15,vol_accel,rv,156688,0.031158326755956887
