feature,split,horizon_m,tercile,n,ret_mean,ret_median,absret_mean,rv_mean,up_rate
vol_accel,Discovery,60,high,255694,3.0079863278580333e-05,0.00013408420488070227,0.0018624865720617738,0.0025498266270662182,0.5204697802842461
vol_accel,Validation,1,low,88159,1.120067576199856e-06,0.0,0.000310603541385061,,0.4723737791944101
vol_accel,Validation,1,mid,126030,-1.0344013720604634e-07,0.0,0.0002459645246747886,,0.46050940252320877
vol_accel,Validation,1,high,82127,7.286116700939989e-08,0.0,0.00033312837102125693,,0.47159886517223326
vol_accel,Validation,5,low,87009,4.166986112899982e-08,0.0,0.0006910627476598175,0.0008266270528363727,0.4966842510544886
vol_accel,Validation,5,mid,125471,8.685749868719208e-07,0.0,0.0005516960773803454,0.0006648496941498435,0.4923846944712324
vol_accel,Validation,5,high,80740,7.915940436980609e-07,0.0,0.0007284075913247317,0.0008699876833276598,0.49546693088927424
vol_accel,Validation,15,low,84573,2.7803854738235056e-06,5.190491020456989e-05,0.001184673265450572,0.0014869652435410391,0.5070176060917787
vol_accel,Validation,15,mid,123366,1.620964747855648e-06,4.984175246691702e-05,0.000964895180905817,0.0012110675410037229,0.5086004247523629
vol_accel,Validation,15,high,77541,4.169911376403508e-06,5.515111405252071e-05,0.0012397846147674414,0.001552301161331754,0.5077958757302589
vol_accel,Validation,30,low,80930,3.2597367445735347e-06,6.85660658691356e-05,0.0016786983924667361,0.002105508130536299,0.5132583714321018
vol_accel,Validation,30,mid,118757,7.340564533017784e-06,6.675567423219952e-05,0.0013833383829931138,0.0017287995268062183,0.5162727249762119
vol_accel,Validation,30,high,74183,1.3170971601618804e-05,8.649022660445205e-05,0.001750801476758611,0.002191185009106692,0.5140935254707952
vol_accel,Validation,60,low,74156,2.7419040621084478e-05,0.00016412501005258484,0.0023611768728641243,0.0029314701658350708,0.5224796375209019
vol_accel,Validation,60,mid,108317,2.8645421581413907e-05,0.0001362521573258224,0.0019865411756972004,0.002459754655420802,0.5253468984554595
vol_accel,Validation,60,high,68177,2.6367423664354053e-05,0.00013820744938142226,0.0024404584179247677,0.003038468621250305,0.5194273728676827
vol_accel,OOS,1,low,44850,3.0031054455761804e-06,0.0,0.000276245613530756,,0.47228539576365663
vol_accel,OOS,1,mid,78731,3.634869266254611e-07,0.0,0.0002144195039568417,,0.46557264609874127
vol_accel,OOS,1,high,39085,-1.1890676171898882e-06,0.0,0.0003044243905280263,,0.4790584623257004
vol_accel,OOS,5,low,44169,8.276005360774657e-06,0.0,0.0006202738107143802,0.0007398105913148091,0.49598134438180624
vol_accel,OOS,5,mid,78386,7.342917664684493e-07,0.0,0.00048151680292244796,0.0005754732313172332,0.4920776669303192
vol_accel,OOS,5,high,38403,6.4663572023443375e-06,0.0,0.0006725314283717193,0.0007957010217063639,0.4997526234929563
vol_accel,OOS,15,low,42974,1.5463118520544383e-05,3.653301672601472e-05,0.0010701124040443457,0.0013327953875577805,0.5064457579001257
vol_accel,OOS,15,mid,77022,2.331911173794871e-06,3.308519441180824e-05,0.0008353024161744712,0.00105217282549632,0.5019994287346472
vol_accel,OOS,15,high,36692,2.4594082111101252e-05,3.868546781848892e-05,0.0011458222616594859,0.0014288411714597376,0.5093480867764091
vol_accel,OOS,30,low,41199,2.113627263136209e-05,7.128091809827097e-05,0.0015030831885952146,0.0018936473000222744,0.5135561542755892
vol_accel,OOS,30,mid,73874,9.65678750593829e-06,6.428801035252008e-05,0.0011815208988715136,0.001504348508052703,0.5145111947369846
vol_accel,OOS,30,high,35217,3.1869473832391715e-05,7.88425907676249e-05,0.0015994684344821865,0.0020204134132644535,0.5168526563875401
vol_accel,OOS,60,low,37847,5.195343651160698e-05,0.0001474980640878698,0.002095034217143097,0.0026593079608464385,0.5281264036779666
vol_accel,OOS,60,mid,67112,1.6939391995931664e-05,0.00011064598849952478,0.001693159936372132,0.002147137223548707,0.5258225056621767
vol_accel,OOS,60,high,32570,5.763629121075869e-05,0.00016651125911559816,0.0022092622348848547,0.002815703933624477,0.5297820079828063
vol_z_tod,Discovery,1,low,308203,1.1388239411663913e-06,0.0,0.00016376792188820192,,0.38547970006781246
vol_z_tod,Discovery,1,mid,308248,1.436602620114511e-06,0.0,0.00022383785620195136,,0.4103578936440788
vol_z_tod,Discovery,1,high,308262,-1.0195327686898872e-06,0.0,0.00035115334320427955,,0.4263548539878415
vol_z_tod,Discovery,5,low,304527,4.447938756505145e-06,0.0,0.0003493979671829493,0.00046274975475177864,0.4528399780643424
vol_z_tod,Discovery,5,mid,305490,4.134688291002868e-06,0.0,0.0004853644303965238,0.0006154161120178959,0.4651870765000491
vol_z_tod,Discovery,5,high,304895,-1.490010615043132e-06,0.0,0.0007503228635499432,0.0009320641784424161,0.4685022712737172
vol_z_tod,Discovery,15,low,295360,9.72139697918028e-06,0.0,0.000595360653227168,0.0008307594679876541,0.4868228602383532
vol_z_tod,Discovery,15,mid,298683,1.4100003873416962e-05,0.0,0.0008296074301351647,0.0011054766681887621,0.4945142508947613
vol_z_tod,Discovery,15,high,296461,4.842811458867045e-07,0.0,0.0012592347907888336,0.001659070488365431,0.49233457351894516
vol_z_tod,Discovery,30,low,281707,2.2912478436851108e-05,8.052826542126468e-05,0.0008397791823604082,0.0011821627676137597,0.506913211244307
vol_z_tod,Discovery,30,mid,288189,2.909082592679729e-05,9.444654325641011e-05,0.0011673901232623174,0.0015703987846520076,0.5113692750243763
vol_z_tod,Discovery,30,high,284131,8.431797382141992e-06,8.988764044937092e-05,0.0017376680788183533,0.0023286175601967296,0.5048445963305658
vol_z_tod,Discovery,60,low,255528,3.8047297052656084e-05,0.00011310937712905034,0.001179708438036672,0.0016749405106820854,0.5202287029210106
vol_z_tod,Discovery,60,mid,264960,5.147616690246206e-05,0.00014913131094773657,0.0016269662030828902,0.00221237238334419,0.5262152777777778
vol_z_tod,Discovery,60,high,260833,1.653115143896381e-05,0.0001509206157561671,0.0023766183221029273,0.0032155200103755614,0.5178907576878693
vol_z_tod,Validation,1,low,57204,3.114521855234207e-06,0.0,0.00018671203438474802,,0.45374449339207046
vol_z_tod,Validation,1,mid,126481,1.8820476382244643e-06,0.0,0.00025422965815507007,,0.4692957835564235
vol_z_tod,Validation,1,high,112631,-2.8812230160078487e-06,0.0,0.0003809283746795768,,0.4714510214772132
vol_z_tod,Validation,5,low,56671,3.1136665342859425e-06,0.0,0.0004186435316012598,0.0005091438677160558,0.48989783134230913
vol_z_tod,Validation,5,mid,125378,6.460785904548546e-06,4.107029196032119e-05,0.0005698732150465583,0.000682615583439439,0.5004705769752269
vol_z_tod,Validation,5,high,111171,-7.285848675392368e-06,0.0,0.0008364380506085112,0.0009997884881757257,0.490136816256038
