feature,split,horizon_m,tercile,n,ret_mean,ret_median,absret_mean,rv_mean,up_rate
vol_z_tod,Validation,15,low,6688,5.079883507375618e-07,2.09773350083875e-05,0.000635467566509896,0.0008314516588164692,0.5115131578947368
vol_z_tod,Validation,15,mid,54117,2.2977107874290715e-05,8.236214635748418e-05,0.0011287910089089162,0.0014005331772032322,0.5275606556165345
vol_z_tod,Validation,15,high,224675,5.35983271887003e-07,6.562325688230786e-05,0.001615423752428151,0.0019909899631733114,0.51525536886614
vol_z_tod,Validation,30,low,6124,-9.377735495797997e-06,4.4005371895528e-05,0.0009086159415692219,0.0011800129269459415,0.5191051600261267
vol_z_tod,Validation,30,mid,51460,4.377550600442893e-05,0.0001445481295159201,0.00163631364419649,0.0020105011282671157,0.5334823163622231
vol_z_tod,Validation,30,high,216286,6.480685747614098e-06,0.0001107857880158214,0.002277265299814306,0.0028079858374309642,0.5185171485902925
vol_z_tod,Validation,60,low,5161,3.482595925531854e-06,0.00010486137326459755,0.0012924563973379006,0.0017032145281452623,0.5365239294710328
vol_z_tod,Validation,60,mid,46343,9.548044030131245e-05,0.0002592902518652185,0.0023761337637335897,0.002902665821859832,0.5448935114256738
vol_z_tod,Validation,60,high,199146,3.1317545086181424e-05,0.00018831499987648215,0.0031643060069001284,0.0038996329964927842,0.5230785453888103
vol_z_tod,OOS,1,low,6980,-1.4350348817643314e-06,0.0,0.00017891198433945028,,0.489541547277937
vol_z_tod,OOS,1,mid,46379,-1.2971655117459285e-06,0.0,0.0002352872247498455,,0.4965825050130447
vol_z_tod,OOS,1,high,104254,1.93469941803012e-06,9.725687026063135e-06,0.0004020680167685691,,0.5024555412741957
vol_z_tod,OOS,5,low,6877,-1.976616670286901e-06,0.0,0.000392228822430368,0.0004767013534440727,0.4997818816344336
vol_z_tod,OOS,5,mid,46030,-7.495704508210894e-06,9.876884652482154e-06,0.0005308053342944096,0.0006334430815012531,0.5025200955898327
vol_z_tod,OOS,5,high,103058,1.0577913796269439e-05,2.467602462430385e-05,0.0008967206501313217,0.001058404511164307,0.5099555590056085
vol_z_tod,OOS,15,low,6557,-1.0160881305424657e-05,1.2418966245153484e-05,0.0006766541389310285,0.0008703949048211615,0.5063291139240507
vol_z_tod,OOS,15,mid,44897,-1.4131445412546204e-05,1.1252517750914848e-05,0.0009158114939523866,0.0011607994156115178,0.5033966634741742
vol_z_tod,OOS,15,high,100391,2.490457912280743e-05,5.835951405974704e-05,0.0015313922165339142,0.0018962530301530915,0.5150860136864859
vol_z_tod,OOS,30,low,5888,-2.0086040576361905e-05,1.6719891823391286e-05,0.0009425515846573587,0.0012535777483245261,0.5069633152173914
vol_z_tod,OOS,30,mid,42543,-2.570093888233931e-05,4.1045848212517555e-05,0.0012852120706504256,0.0016628587272563271,0.5128458265754648
vol_z_tod,OOS,30,high,97234,3.683811092498565e-05,0.00011793247928448825,0.0021236597025939105,0.002667829715422715,0.5237879753995516
vol_z_tod,OOS,60,low,4876,-3.071146324823256e-05,6.32969316317622e-05,0.0012657228924890394,0.0018190493684900834,0.5254306808859721
vol_z_tod,OOS,60,mid,37733,-2.6868328126143177e-05,0.00012012974011943456,0.0018253599338531436,0.002386474128551572,0.5262237298916068
vol_z_tod,OOS,60,high,90696,5.797114612607203e-05,0.0002226405398748632,0.0029311095796255,0.0036978357874630397,0.5318867425244774
signed_vol_proxy,Discovery,1,low,307975,3.930588388530791e-07,0.0,0.00036465447402668987,,0.4862667424303921
signed_vol_proxy,Discovery,1,mid,308804,8.279820935657322e-07,0.0,0.00018445040776982627,,0.4451140529267756
signed_vol_proxy,Discovery,1,high,307569,1.025860742037635e-06,0.0,0.0003510372448503876,,0.4680120558313744
signed_vol_proxy,Discovery,5,low,303659,1.038652292502916e-05,3.34739238132542e-05,0.0008086157492927609,0.0009635553188708166,0.5054584254048127
signed_vol_proxy,Discovery,5,mid,307375,4.782915193856579e-06,0.0,0.0004141590647297518,0.000512080332394505,0.48694591297275314
signed_vol_proxy,Discovery,5,high,303268,-6.139790824228727e-06,0.0,0.000778063263330503,0.0009256220957557151,0.4929270480235303
signed_vol_proxy,Discovery,15,low,293593,1.6127110616196087e-05,7.305802633750247e-05,0.0013732125386172345,0.0017219895799621206,0.5166642256457068
signed_vol_proxy,Discovery,15,mid,302349,1.0334130898998902e-05,4.390586582370126e-05,0.0007230913882758163,0.0009347103707816076,0.5070068033960754
signed_vol_proxy,Discovery,15,high,293619,-2.2804644035858e-06,5.648121999435318e-05,0.0013294366486340668,0.0016626826479292434,0.5104744583967659
signed_vol_proxy,Discovery,30,low,280797,1.9606837031044406e-05,0.0001257071024511891,0.0019127232378806033,0.0024208751430509164,0.5235241117248404
signed_vol_proxy,Discovery,30,mid,291483,2.171326820635523e-05,7.411799584944312e-05,0.0010353223701863431,0.0013428306184907481,0.517752321747752
signed_vol_proxy,Discovery,30,high,280679,1.615183948149302e-05,0.00011344299489501886,0.001851483114650869,0.002344549635362922,0.5216029699407508
