split,horizon_m,feature,target,n,spearman
Discovery,60,absret_per_vol,ret,780346,-0.003450440793395241
Discovery,60,absret_per_vol,absret,780346,0.01008084572760946
Discovery,60,absret_per_vol,rv,780346,0.026333684189624857
Discovery,60,range_per_vol,ret,780358,-0.005820162805158935
Discovery,60,range_per_vol,absret,780358,0.006136199076125829
Discovery,60,range_per_vol,rv,780358,0.020560692802968995
Discovery,60,vol_x_range,ret,780358,0.024576004878972667
Discovery,60,vol_x_range,absret,780358,0.36412303966503307
Discovery,60,vol_x_range,rv,780358,0.6886709795121786
Discovery,60,ret_1m,ret,780346,-0.0008681663868344619
Discovery,60,ret_1m,absret,780346,-0.012504323635784076
Discovery,60,ret_1m,rv,780346,-0.02248611507034561
Discovery,60,absret_1m,ret,780346,0.014138697186679192
Discovery,60,absret_1m,absret,780346,0.24195042033923417
Discovery,60,absret_1m,rv,780346,0.4618604494210968
Discovery,60,range_pct,ret,780358,0.024552993519365587
Discovery,60,range_pct,absret,780358,0.38996130638251464
Discovery,60,range_pct,rv,780358,0.7473027751198976
Validation,1,volume,ret,296316,-0.00323803495778786
Validation,1,volume,absret,296316,0.28333035237931203
Validation,1,d_volume,ret,296316,-0.002591490483093169
Validation,1,d_volume,absret,296316,0.0028405565349892367
Validation,1,vol_accel,ret,296316,-0.0032013253401544785
Validation,1,vol_accel,absret,296316,0.02202450620178645
Validation,1,vol_z_tod,ret,296316,-0.003257707752669388
Validation,1,vol_z_tod,absret,296316,0.21606321301909098
Validation,1,signed_vol_proxy,ret,296316,-0.004968061157764723
Validation,1,signed_vol_proxy,absret,296316,-0.019552624408639578
Validation,1,signed_vol_proxy_sum_5,ret,293220,-0.008320278015067729
Validation,1,signed_vol_proxy_sum_5,absret,293220,-0.04018153723557003
Validation,1,signed_vol_proxy_resid,ret,296316,-0.006794512125903462
Validation,1,signed_vol_proxy_resid,absret,296316,-0.00911511981467139
Validation,1,ret_per_vol,ret,296316,-0.003705178488304495
Validation,1,ret_per_vol,absret,296316,-0.023133380263319753
Validation,1,absret_per_vol,ret,296316,0.0010086013798967807
Validation,1,absret_per_vol,absret,296316,0.07173715470408555
Validation,1,range_per_vol,ret,296316,-0.0007029741601762261
Validation,1,range_per_vol,absret,296316,0.12417104572371937
Validation,1,vol_x_range,ret,296316,-0.003500218180033152
Validation,1,vol_x_range,absret,296316,0.3674614265296048
Validation,1,ret_1m,ret,296316,-0.004679376274007246
Validation,1,ret_1m,absret,296316,-0.021715828081859696
Validation,1,absret_1m,ret,296316,-0.0008530848649330468
Validation,1,absret_1m,absret,296316,0.23466436141474545
Validation,1,range_pct,ret,296316,-0.0031564604337969322
Validation,1,range_pct,absret,296316,0.39773671533204447
Validation,5,volume,ret,293220,-0.0008367498242641078
Validation,5,volume,absret,293220,0.2712261418581826
Validation,5,volume,rv,293220,0.4320115785522189
Validation,5,d_volume,ret,293220,-0.0004930301889573591
Validation,5,d_volume,absret,293220,-0.002839164334282826
Validation,5,d_volume,rv,293220,-0.010704067258475253
Validation,5,vol_accel,ret,293220,-0.0009560528357057418
Validation,5,vol_accel,absret,293220,0.01917009421216434
Validation,5,vol_accel,rv,293220,0.026567937436187013
Validation,5,vol_z_tod,ret,293220,-0.0014935658712766412
Validation,5,vol_z_tod,absret,293220,0.2027081227114253
Validation,5,vol_z_tod,rv,293220,0.3237727716277087
Validation,5,signed_vol_proxy,ret,293220,-0.004388772024854684
Validation,5,signed_vol_proxy,absret,293220,-0.015809691541327386
Validation,5,signed_vol_proxy,rv,293220,-0.0271669104446633
Validation,5,signed_vol_proxy_sum_5,ret,290124,-0.008499974641902785
Validation,5,signed_vol_proxy_sum_5,absret,290124,-0.03202753518836716
Validation,5,signed_vol_proxy_sum_5,rv,290124,-0.05178502345752523
Validation,5,signed_vol_proxy_resid,ret,293220,-0.00688608405887361
Validation,5,signed_vol_proxy_resid,absret,293220,-0.0074083150183608506
Validation,5,signed_vol_proxy_resid,rv,293220,-0.012247433361493896
Validation,5,ret_per_vol,ret,293220,-0.0034187598303739714
Validation,5,ret_per_vol,absret,293220,-0.018678026452047105
Validation,5,ret_per_vol,rv,293220,-0.032710565068380174
Validation,5,absret_per_vol,ret,293220,-0.00103726999818095
Validation,5,absret_per_vol,absret,293220,0.0802722733781661
Validation,5,absret_per_vol,rv,293220,0.1270934911217833
Validation,5,range_per_vol,ret,293220,-0.0016423792741906227
Validation,5,range_per_vol,absret,293220,0.13673001842988378
Validation,5,range_per_vol,rv,293220,0.2276701146458807
Validation,5,vol_x_range,ret,293220,-0.0013609503354462895
Validation,5,vol_x_range,absret,293220,0.3571126412281611
Validation,5,vol_x_range,rv,293220,0.5758859839957113
Validation,5,ret_1m,ret,293220,-0.003788877486620943
Validation,5,ret_1m,absret,293220,-0.017250680795906866
Validation,5,ret_1m,rv,293220,-0.030506201269012392
Validation,5,absret_1m,ret,293220,-0.0006749548231444444
Validation,5,absret_1m,absret,293220,0.2339850606775924
Validation,5,absret_1m,rv,293220,0.369385242478257
Validation,5,range_pct,ret,293220,-0.0018088985311699244
Validation,5,range_pct,absret,293220,0.39117144418560734
Validation,5,range_pct,rv,293220,0.6348784259407505
Validation,15,volume,ret,285480,-0.002261112647806239
Validation,15,volume,absret,285480,0.2566653910328872
Validation,15,volume,rv,285480,0.4800342746102924
Validation,15,d_volume,ret,285480,0.0009939465302784365
Validation,15,d_volume,absret,285480,-0.007822558715324845
Validation,15,d_volume,rv,285480,-0.018459563158810997
Validation,15,vol_accel,ret,285480,-0.0003394872397185227
