resolver,session,T_offset,horizon,universe,split,n,win,E
mom5_follow,NY_PM,60,30,HIGH,OOS,140,0.5142857142857142,3.375
mom5_follow,NY_PM,60,30,HIGH,Y2025,96,0.53125,7.036458333333333
mom5_follow,NY_PM,60,30,HIGH,Y2026,44,0.4772727272727273,-4.613636363636363
mom5_follow,NY_PM,60,60,ALL,IS,2239,0.4859312192943278,-0.6952880750334971
mom5_follow,NY_PM,60,60,ALL,Validation,742,0.4838274932614555,-0.546832884097035
mom5_follow,NY_PM,60,60,ALL,OOS,393,0.48346055979643765,3.157760814249364
mom5_follow,NY_PM,60,60,ALL,Y2025,245,0.4857142857142857,4.069387755102041
mom5_follow,NY_PM,60,60,ALL,Y2026,148,0.4797297297297297,1.6486486486486487
mom5_follow,NY_PM,60,60,HIGH,IS,766,0.4934725848563969,0.010117493472584857
mom5_follow,NY_PM,60,60,HIGH,Validation,295,0.4440677966101695,-5.576271186440678
mom5_follow,NY_PM,60,60,HIGH,OOS,140,0.42857142857142855,-0.7875
mom5_follow,NY_PM,60,60,HIGH,Y2025,96,0.4270833333333333,3.5442708333333335
mom5_follow,NY_PM,60,60,HIGH,Y2026,44,0.4318181818181818,-10.238636363636363
mom5_follow,NY_PM,90,30,ALL,IS,2257,0.47540983606557374,-0.2956357997341604
mom5_follow,NY_PM,90,30,ALL,Validation,741,0.4939271255060729,0.1329284750337382
mom5_follow,NY_PM,90,30,ALL,OOS,395,0.4936708860759494,-2.5069620253164557
mom5_follow,NY_PM,90,30,ALL,Y2025,245,0.4530612244897959,-5.718367346938775
mom5_follow,NY_PM,90,30,ALL,Y2026,150,0.56,2.7383333333333333
mom5_follow,NY_PM,90,30,HIGH,IS,774,0.4509043927648579,-0.9437984496124031
mom5_follow,NY_PM,90,30,HIGH,Validation,294,0.47959183673469385,1.005952380952381
mom5_follow,NY_PM,90,30,HIGH,OOS,141,0.49645390070921985,-8.847517730496454
mom5_follow,NY_PM,90,30,HIGH,Y2025,96,0.46875,-13.348958333333334
mom5_follow,NY_PM,90,30,HIGH,Y2026,45,0.5555555555555556,0.7555555555555555
mom5_follow,NY_PM,90,60,ALL,IS,2257,0.49889233495790875,0.03921134249003101
mom5_follow,NY_PM,90,60,ALL,Validation,741,0.5020242914979757,1.0775978407557354
mom5_follow,NY_PM,90,60,ALL,OOS,395,0.4962025316455696,-2.8329113924050633
mom5_follow,NY_PM,90,60,ALL,Y2025,245,0.4857142857142857,-5.002040816326531
mom5_follow,NY_PM,90,60,ALL,Y2026,150,0.5133333333333333,0.71
mom5_follow,NY_PM,90,60,HIGH,IS,774,0.5038759689922481,-0.030361757105943153
mom5_follow,NY_PM,90,60,HIGH,Validation,294,0.5374149659863946,2.9906462585034013
mom5_follow,NY_PM,90,60,HIGH,OOS,141,0.46808510638297873,-14.078014184397164
mom5_follow,NY_PM,90,60,HIGH,Y2025,96,0.5,-10.700520833333334
mom5_follow,NY_PM,90,60,HIGH,Y2026,45,0.4,-21.283333333333335
mom5_follow,NY_PM,120,30,ALL,IS,2251,0.47490004442470013,-0.4722345624167037
mom5_follow,NY_PM,120,30,ALL,Validation,739,0.5074424898511503,0.22496617050067658
mom5_follow,NY_PM,120,30,ALL,OOS,394,0.4847715736040609,-0.5888324873096447
mom5_follow,NY_PM,120,30,ALL,Y2025,245,0.5224489795918368,3.043877551020408
mom5_follow,NY_PM,120,30,ALL,Y2026,149,0.4228187919463087,-6.5620805369127515
mom5_follow,NY_PM,120,30,HIGH,IS,772,0.49740932642487046,-0.5569948186528497
mom5_follow,NY_PM,120,30,HIGH,Validation,293,0.5392491467576792,3.1834470989761092
