resolver,session,T_offset,outcome,universe,split,n,win,E
bar1_follow,NY_PM,15,SESS_END,HIGH,IS,731,0.5088919288645691,1.2093023255813953
bar1_follow,NY_PM,15,SESS_END,HIGH,Validation,281,0.48398576512455516,-11.218861209964412
bar1_follow,NY_PM,15,SESS_END,HIGH,OOS,129,0.5813953488372093,45.963178294573645
bar1_follow,NY_PM,30,H30,ALL,IS,2144,0.48367537313432835,-0.4478777985074627
bar1_follow,NY_PM,30,H30,ALL,Validation,733,0.49931787175989084,-0.23533424283765347
bar1_follow,NY_PM,30,H30,ALL,OOS,392,0.5051020408163265,-0.28125
bar1_follow,NY_PM,30,H30,HIGH,IS,736,0.47146739130434784,-0.6538722826086957
bar1_follow,NY_PM,30,H30,HIGH,Validation,267,0.5093632958801498,-0.4747191011235955
bar1_follow,NY_PM,30,H30,HIGH,OOS,130,0.5076923076923077,-1.8423076923076922
bar1_follow,NY_PM,30,H60,ALL,IS,2144,0.49673507462686567,-0.6637126865671642
bar1_follow,NY_PM,30,H60,ALL,Validation,733,0.5156889495225102,1.2704638472032743
bar1_follow,NY_PM,30,H60,ALL,OOS,392,0.45918367346938777,-5.625637755102041
bar1_follow,NY_PM,30,H60,HIGH,IS,736,0.49320652173913043,-0.7262228260869565
bar1_follow,NY_PM,30,H60,HIGH,Validation,267,0.5430711610486891,4.089887640449438
bar1_follow,NY_PM,30,H60,HIGH,OOS,130,0.45384615384615384,-16.41730769230769
bar1_follow,NY_PM,30,SESS_END,ALL,IS,2144,0.5013992537313433,-1.2383395522388059
bar1_follow,NY_PM,30,SESS_END,ALL,Validation,733,0.4965893587994543,2.3840381991814463
bar1_follow,NY_PM,30,SESS_END,ALL,OOS,392,0.4719387755102041,-2.2098214285714284
bar1_follow,NY_PM,30,SESS_END,HIGH,IS,736,0.49184782608695654,-1.4534646739130435
bar1_follow,NY_PM,30,SESS_END,HIGH,Validation,267,0.50187265917603,-1.4803370786516854
bar1_follow,NY_PM,30,SESS_END,HIGH,OOS,130,0.43846153846153846,-14.223076923076922
bar1_follow,NY_PM,60,H30,ALL,IS,2119,0.4780556866446437,-0.6219915054270883
bar1_follow,NY_PM,60,H30,ALL,Validation,731,0.4911080711354309,-0.6723666210670315
bar1_follow,NY_PM,60,H30,ALL,OOS,393,0.5165394402035624,4.891221374045801
bar1_follow,NY_PM,60,H30,HIGH,IS,728,0.5013736263736264,-0.4883241758241758
bar1_follow,NY_PM,60,H30,HIGH,Validation,291,0.5051546391752577,1.1219931271477663
bar1_follow,NY_PM,60,H30,HIGH,OOS,140,0.5142857142857142,9.119642857142857
bar1_follow,NY_PM,60,H60,ALL,IS,2119,0.4827748938178386,-0.6224634261444077
bar1_follow,NY_PM,60,H60,ALL,Validation,731,0.45964432284541723,-1.810533515731874
bar1_follow,NY_PM,60,H60,ALL,OOS,393,0.49872773536895676,5.692748091603053
bar1_follow,NY_PM,60,H60,HIGH,IS,728,0.5123626373626373,-0.27232142857142855
bar1_follow,NY_PM,60,H60,HIGH,Validation,291,0.47079037800687284,0.23625429553264604
bar1_follow,NY_PM,60,H60,HIGH,OOS,140,0.5214285714285715,14.691071428571428
bar1_follow,NY_PM,60,SESS_END,ALL,IS,2119,0.4832468145351581,-1.5219443133553563
bar1_follow,NY_PM,60,SESS_END,ALL,Validation,731,0.4911080711354309,2.21374829001368
bar1_follow,NY_PM,60,SESS_END,ALL,OOS,393,0.5063613231552163,8.944020356234097
