session,resolver,T_offset,horizon,universe,split,n,win,E,E_net
NY_AM,agree_follow,60,30,LOW,Y2026,40,0.55,-9.76875,-10.76875
NY_AM,agree_follow,90,15,ALL,IS,1956,0.4652351738241309,-0.1005879345603272,-1.100587934560327
NY_AM,agree_follow,90,15,ALL,Validation,655,0.5221374045801527,2.9263358778625954,1.9263358778625954
NY_AM,agree_follow,90,15,ALL,OOS,373,0.5201072386058981,-1.0113941018766757,-2.0113941018766757
NY_AM,agree_follow,90,15,ALL,Y2025,235,0.5106382978723404,-2.3574468085106384,-3.3574468085106384
NY_AM,agree_follow,90,15,ALL,Y2026,138,0.5362318840579711,1.2807971014492754,0.2807971014492754
NY_AM,agree_follow,90,15,HIGH,IS,708,0.4505649717514124,-0.08792372881355932,-1.0879237288135593
NY_AM,agree_follow,90,15,HIGH,Validation,225,0.5244444444444445,3.3533333333333335,2.3533333333333335
NY_AM,agree_follow,90,15,HIGH,OOS,127,0.5196850393700787,-3.3011811023622046,-4.301181102362205
NY_AM,agree_follow,90,15,HIGH,Y2025,75,0.52,-6.253333333333333,-7.253333333333333
NY_AM,agree_follow,90,15,HIGH,Y2026,52,0.5192307692307693,0.9567307692307693,-0.04326923076923077
NY_AM,agree_follow,90,15,LOW,IS,613,0.48613376835236544,-0.3584828711256117,-1.3584828711256118
NY_AM,agree_follow,90,15,LOW,Validation,236,0.5466101694915254,4.008474576271187,3.0084745762711864
NY_AM,agree_follow,90,15,LOW,OOS,122,0.5819672131147541,2.915983606557377,1.915983606557377
NY_AM,agree_follow,90,15,LOW,Y2025,77,0.5324675324675324,-1.353896103896104,-2.353896103896104
NY_AM,agree_follow,90,15,LOW,Y2026,45,0.6666666666666666,10.222222222222221,9.222222222222221
NY_AM,agree_follow,90,30,ALL,IS,1956,0.488241308793456,-0.08001022494887526,-1.0800102249488752
NY_AM,agree_follow,90,30,ALL,Validation,655,0.49312977099236643,1.0736641221374046,0.07366412213740459
NY_AM,agree_follow,90,30,ALL,OOS,373,0.49865951742627346,0.6253351206434317,-0.3746648793565684
NY_AM,agree_follow,90,30,ALL,Y2025,235,0.4765957446808511,-2.4819148936170214,-3.4819148936170214
NY_AM,agree_follow,90,30,ALL,Y2026,138,0.5362318840579711,5.916666666666667,4.916666666666667
NY_AM,agree_follow,90,30,HIGH,IS,708,0.4887005649717514,-0.21716101694915255,-1.2171610169491525
NY_AM,agree_follow,90,30,HIGH,Validation,225,0.5333333333333333,2.7777777777777777,1.7777777777777777
NY_AM,agree_follow,90,30,HIGH,OOS,127,0.4881889763779528,-0.21456692913385828,-1.2145669291338583
NY_AM,agree_follow,90,30,HIGH,Y2025,75,0.48,-7.496666666666667,-8.496666666666666
NY_AM,agree_follow,90,30,HIGH,Y2026,52,0.5,10.288461538461538,9.288461538461538
NY_AM,agree_follow,90,30,LOW,IS,613,0.49755301794453505,-0.7418433931484503,-1.7418433931484503
