run,n_trades,total_pnl_nq,expectancy_r,expectancy_usd
258,400,3772.24999999984,-0.024324077237478405,9.4306249999996
259,400,-12750.749999999593,-0.12754538333343568,-31.876874999998982
260,400,-5030.249999999833,-0.028894380546161245,-12.575624999999581
261,400,447.2500000002583,0.00981666354538003,1.1181250000006457
262,400,-652.2499999997854,-0.13972559785276265,-1.6306249999994633
263,400,9848.500000000202,-0.02979801974402319,24.621250000000504
264,400,-9063.749999999964,-0.10970717095249871,-22.65937499999991
265,400,-16408.99999999995,-0.05803282992236099,-41.02249999999987
266,400,-19751.24999999989,-0.06773211987603873,-49.37812499999973
267,400,3399.499999999871,0.08628710219093776,8.498749999999678
268,400,-19387.24999999973,-0.0982468386483889,-48.468124999999326
269,400,-10436.250000000091,-0.14280574601431875,-26.090625000000227
270,400,-7757.999999999647,0.003740283786773384,-19.39499999999912
271,400,-28150.499999999953,-0.1999476245165795,-70.37624999999989
272,400,-2767.749999999951,-0.06194755115946046,-6.919374999999877
273,400,-934.5000000000118,0.07468721559476213,-2.3362500000000295
274,400,857.0000000000937,-0.114139303676905,2.142500000000234
275,400,-7104.749999999918,-0.18354430192833507,-17.761874999999794
276,400,-20855.49999999979,-0.0918429565031548,-52.138749999999476
277,400,-4350.249999999751,-0.08990072871287248,-10.875624999999378
278,400,-5180.249999999705,-0.0470784493259103,-12.950624999999263
279,400,-6584.000000000133,-0.05422310746565742,-16.46000000000033
280,400,14774.75000000008,-0.008371867340684114,36.9368750000002
281,400,-26306.750000000015,-0.19307939879636749,-65.76687500000004
282,400,-7090.9999999995525,-0.111510818661048,-17.72749999999888
283,400,4203.249999999953,-0.07508651363795575,10.508124999999882
284,400,-11343.499999999667,-0.06466484113998781,-28.35874999999917
285,400,4264.749999999758,0.007939043537981942,10.661874999999394
286,400,-4020.499999999897,-0.03856621229584313,-10.051249999999744
287,400,16446.000000000204,0.11320920066066549,41.11500000000051
288,400,224.25000000009277,-0.07494380785410126,0.560625000000232
289,400,-4826.500000000469,-0.09280960721027538,-12.066250000001173
290,400,-4545.250000000306,-0.10773856072400256,-11.363125000000764
291,400,-58.75000000003183,0.028879069604137202,-0.14687500000007958
292,400,9373.750000000291,-0.03957321203534261,23.434375000000728
293,400,-11406.750000000047,-0.020290580593400564,-28.51687500000012
294,400,8577.999999999729,0.13469278599160533,21.44499999999932
295,400,-9801.499999999769,-0.061672385108158576,-24.50374999999942
296,400,-23548.749999999745,-0.21388024758738708,-58.87187499999936
297,400,20367.999999999774,0.04966728256965846,50.91999999999943
298,400,-4259.999999999845,-0.09163249853399806,-10.649999999999613
299,400,2193.5000000002856,-0.10106417418917399,5.483750000000714
300,400,-25884.75000000035,-0.1771080236800038,-64.71187500000087
301,400,-13128.499999999995,-0.09843237548454206,-32.821249999999985
302,400,10602.750000000133,-0.06509724744985523,26.50687500000033
303,400,3715.4999999998927,0.026683082749041288,9.288749999999732
304,400,4505.750000000112,-0.07925115819246194,11.26437500000028
305,400,-9160.0000000001,-0.06746160708437703,-22.90000000000025
306,400,-20578.999999999996,-0.19848175123281192,-51.44749999999999
307,400,-12329.25,-0.06486698747769827,-30.823125
308,400,-5870.249999999642,-0.09034996307958623,-14.675624999999105
309,400,-1713.7499999998636,-0.05098164122127899,-4.284374999999659
310,400,21346.500000000116,0.01512535052496803,53.36625000000029
311,400,-6389.500000000116,-0.07907757659023686,-15.97375000000029
312,400,4883.500000000158,-0.05617378132677143,12.208750000000396
313,400,-11805.999999999749,-0.09193634765099529,-29.51499999999937
314,400,-14236.000000000031,-0.06595959197923419,-35.590000000000074
315,400,9224.500000000398,0.0088701868341779,23.061250000000996
316,400,-4662.500000000118,-0.039274929052558846,-11.656250000000295
317,400,-9543.500000000231,-0.19099248287687723,-23.858750000000576
318,400,-240.24999999959618,-0.0008452779841754454,-0.6006249999989904
319,400,1797.2500000003674,-0.08811332930174742,4.493125000000918
320,400,-7603.249999999803,0.011405060447434452,-19.008124999999506
321,400,-17715.000000000186,-0.07453867915808735,-44.28750000000046
322,400,5234.25000000022,0.03198799406203164,13.085625000000551
323,400,3978.7500000004184,0.0038257869548443324,9.946875000001047
324,400,-18267.50000000031,-0.16723460929145467,-45.66875000000077
325,400,-11955.000000000111,-0.14881921047290725,-29.887500000000276
326,400,-551.0000000001128,-0.0865874297064681,-1.377500000000282
327,400,-18712.249999999905,-0.1617877618513992,-46.780624999999766
328,400,-949.4999999998618,-0.03578873508626778,-2.3737499999996543
329,400,-6702.999999999902,-0.10684799777620763,-16.757499999999755
330,400,-14632.49999999989,-0.15524295501844834,-36.58124999999973
331,400,-21302.750000000007,-0.12381990570274753,-53.256875000000015
332,400,-13254.999999999894,-0.14763234845096487,-33.13749999999973
333,400,11003.499999999993,0.020280195411343918,27.50874999999998
334,400,-1869.7500000000728,-0.11152321204124027,-4.674375000000182
335,400,-8077.750000000069,-0.06427284003785746,-20.19437500000017
336,400,-9544.499999999744,-0.09458792602635074,-23.86124999999936
337,400,-6548.74999999996,-0.055898578875422295,-16.3718749999999
338,400,-17264.500000000182,-0.1374152107822172,-43.16125000000046
339,400,-10924.749999999549,-0.0881199601043291,-27.31187499999887
340,400,-14385.999999999973,-0.061814252575815035,-35.96499999999993
341,400,6644.249999999647,0.062347546222157046,16.610624999999118
342,400,-12771.74999999977,-0.03830518537755443,-31.92937499999943
343,400,-14575.74999999966,-0.22708359159185737,-36.43937499999915
344,400,-15847.999999999774,-0.13770496005004046,-39.619999999999436
345,400,-6491.749999999524,-0.053786085680794855,-16.22937499999881
346,400,-17357.500000000065,-0.17757197039299563,-43.39375000000016
347,400,4964.2499999997835,-0.11924251316312995,12.41062499999946
348,400,-22852.75000000024,-0.11437678154291138,-57.1318750000006
349,400,-1694.5000000000528,0.04718743206956786,-4.2362500000001315
350,400,-16576.999999999807,-0.046264296199601304,-41.44249999999952
