session_date,variant,sl_mode,tp_mode,bias,daily_fvg_state,h7_state,entry_ts,entry_price,sl,tp,tp_used,exit_ts,exit_price,exit_reason,r_mult,pnl_pts,pnl_nq,pnl_mnq,risk_pts,weekday,entry_hour,grid_key
2021-11-30,D,A,3R,1,confirmed,no_cont,2021-11-30 08:34:00-05:00,16302.5,16296.0,16322.0,3R,2021-11-30 08:35:00-05:00,16295.75,SL,-1.0769230769230769,-7.0,-145.0,-19.0,6.5,1,8,D_SLA_TP3R
2022-04-18,D,A,3R,-1,confirmed,no_cont,2022-04-18 08:34:00-04:00,13836.0,13869.75,13734.75,3R,2022-04-18 09:30:00-04:00,13870.0,SL,-1.0148148148148148,-34.25,-690.0,-73.5,33.75,0,8,D_SLA_TP3R
2022-07-18,D,A,3R,1,confirmed,cont_match,2022-07-18 10:34:00-04:00,12144.5,12104.0,12266.0,3R,2022-07-18 10:46:00-04:00,12103.75,SL,-1.0123456790123457,-41.0,-825.0,-87.0,40.5,0,10,D_SLA_TP3R
2023-01-11,D,A,3R,1,confirmed,no_cont,2023-01-11 09:49:00-05:00,11346.25,11290.75,11512.75,3R,2023-01-11 15:55:00-05:00,11473.25,FORCE_FLAT,2.2837837837837838,126.75,2530.0,248.5,55.5,2,9,D_SLA_TP3R
2023-01-30,D,A,3R,1,untested,no_cont,2023-01-30 10:19:00-05:00,12081.25,12059.25,12147.25,3R,2023-01-30 10:23:00-05:00,12059.0,SL,-1.0227272727272727,-22.5,-455.0,-50.0,22.0,0,10,D_SLA_TP3R
2023-02-20,D,A,3R,-1,untested,no_cont,2023-02-20 11:04:00-05:00,12379.25,12379.75,12377.75,3R,2023-02-20 11:07:00-05:00,12378.0,TP,2.0,1.0,15.0,-3.0,0.5,0,11,D_SLA_TP3R
2023-05-02,D,A,3R,-1,confirmed,no_cont,2023-05-02 09:44:00-04:00,13282.0,13316.5,13178.5,3R,2023-05-02 10:36:00-04:00,13178.75,TP,2.9855072463768115,103.0,2055.0,201.0,34.5,1,9,D_SLA_TP3R
2023-05-03,D,A,3R,-1,confirmed,no_cont,2023-05-03 10:39:00-04:00,13199.0,13229.0,13109.0,3R,2023-05-03 13:28:00-04:00,13229.25,SL,-1.0166666666666666,-30.5,-615.0,-66.0,30.0,2,10,D_SLA_TP3R
2023-06-15,D,A,3R,1,untested,no_cont,2023-06-15 08:34:00-04:00,15096.75,15084.0,15135.0,3R,2023-06-15 08:36:00-04:00,15083.75,SL,-1.0392156862745099,-13.25,-270.0,-31.5,12.75,3,8,D_SLA_TP3R
2023-07-24,D,A,3R,1,confirmed,cont_match,2023-07-24 09:04:00-04:00,15573.25,15564.25,15600.25,3R,2023-07-24 09:30:00-04:00,15600.0,TP,2.9444444444444446,26.5,525.0,48.0,9.0,0,9,D_SLA_TP3R
2023-09-21,D,A,3R,-1,untested,cont_match,2023-09-21 09:49:00-04:00,14963.75,14977.5,14922.5,3R,2023-09-21 10:01:00-04:00,14922.75,TP,2.963636363636364,40.75,810.0,76.5,13.75,3,9,D_SLA_TP3R
2023-12-27,D,A,3R,1,untested,no_cont,2023-12-27 11:09:00-05:00,17072.5,17058.0,17116.0,3R,2023-12-27 13:11:00-05:00,17115.75,TP,2.9655172413793105,43.0,855.0,81.0,14.5,2,11,D_SLA_TP3R
2024-03-11,D,A,3R,-1,no_fvg,no_cont,2024-03-11 10:49:00-04:00,18212.0,18233.25,18148.25,3R,2024-03-11 10:51:00-04:00,18233.5,SL,-1.0235294117647058,-21.75,-440.0,-48.5,21.25,0,10,D_SLA_TP3R
2024-03-14,D,A,3R,-1,no_fvg,no_cont,2024-03-14 08:49:00-04:00,18378.75,18414.25,18272.25,3R,2024-03-14 09:49:00-04:00,18272.5,TP,2.9859154929577465,106.0,2115.0,207.0,35.5,3,8,D_SLA_TP3R
2024-05-22,D,A,3R,1,confirmed,no_cont,2024-05-22 10:09:00-04:00,18812.0,18788.5,18882.5,3R,2024-05-22 13:37:00-04:00,18788.25,SL,-1.0212765957446808,-24.0,-485.0,-53.0,23.5,2,10,D_SLA_TP3R
2024-07-01,D,A,3R,-1,confirmed,no_cont,2024-07-01 09:24:00-04:00,19964.0,19992.75,19877.75,3R,2024-07-01 09:47:00-04:00,19878.0,TP,2.982608695652174,85.75,1710.0,166.5,28.75,0,9,D_SLA_TP3R
2025-01-24,D,A,3R,1,untested,no_cont,2025-01-24 08:34:00-05:00,22008.25,22008.0,22009.0,3R,2025-01-24 08:35:00-05:00,22007.75,SL_samebar_priority,-3.0,-0.75,-20.0,-6.5,0.25,4,8,D_SLA_TP3R
2025-02-06,D,A,3R,1,confirmed,no_cont,2025-02-06 08:34:00-05:00,21764.75,21705.5,21942.5,3R,2025-02-06 15:55:00-05:00,21874.0,FORCE_FLAT,1.839662447257384,109.0,2175.0,213.0,59.25,3,8,D_SLA_TP3R
2025-03-25,D,A,3R,1,confirmed,cont_match,2025-03-25 09:19:00-04:00,20421.25,20402.0,20479.0,3R,2025-03-25 09:28:00-04:00,20401.75,SL,-1.025974025974026,-19.75,-400.0,-44.5,19.25,1,9,D_SLA_TP3R
2025-08-18,D,A,3R,1,untested,no_cont,2025-08-18 09:04:00-04:00,23785.0,23753.0,23881.0,3R,2025-08-18 09:51:00-04:00,23752.75,SL,-1.015625,-32.5,-655.0,-70.0,32.0,0,9,D_SLA_TP3R
2025-09-23,D,A,3R,1,untested,no_cont,2025-09-23 11:04:00-04:00,24943.25,24932.75,24974.75,3R,2025-09-23 11:07:00-04:00,24932.5,SL,-1.0476190476190477,-11.0,-225.0,-27.0,10.5,1,11,D_SLA_TP3R
2025-10-08,D,A,3R,1,confirmed,no_cont,2025-10-08 08:34:00-04:00,25054.5,25042.25,25091.25,3R,2025-10-08 09:20:00-04:00,25091.0,TP,2.9591836734693877,36.25,720.0,67.5,12.25,2,8,D_SLA_TP3R
2025-12-02,D,A,3R,1,confirmed,cont_match,2025-12-02 08:39:00-05:00,25500.5,25457.75,25628.75,3R,2025-12-02 10:01:00-05:00,25628.5,TP,2.9883040935672516,127.75,2550.0,250.5,42.75,1,8,D_SLA_TP3R
2026-01-16,D,A,3R,-1,confirmed,no_cont,2026-01-16 08:34:00-05:00,25818.5,25853.25,25714.25,3R,2026-01-16 09:19:00-05:00,25853.5,SL,-1.014388489208633,-35.25,-710.0,-75.5,34.75,4,8,D_SLA_TP3R
2026-01-23,D,A,3R,-1,confirmed,no_cont,2026-01-23 08:34:00-05:00,25584.25,25635.75,25429.75,3R,2026-01-23 09:30:00-05:00,25636.0,SL,-1.0097087378640777,-52.0,-1045.0,-109.0,51.5,4,8,D_SLA_TP3R
2026-07-24,D,A,3R,-1,confirmed,no_cont,2026-07-24 08:34:00-04:00,28642.75,28698.75,28474.75,3R,2026-07-24 09:42:00-04:00,28475.0,TP,2.9910714285714284,167.5,3345.0,330.0,56.0,4,8,D_SLA_TP3R
2010-09-13,D,B,liquidity,1,confirmed,cont_match,2010-09-13 09:09:00-04:00,1903.0,1901.0,1906.25,liquidity,2010-09-13 09:30:00-04:00,1906.0,TP,1.375,2.75,50.0,0.5,2.0,0,9,D_SLB_TPliquidity
2010-10-11,D,B,liquidity,1,confirmed,no_cont,2010-10-11 08:34:00-04:00,2024.5,2024.0,2025.0,liquidity,2010-10-11 08:36:00-04:00,2024.75,TP,0.0,0.0,-5.0,-5.0,0.5,0,8,D_SLB_TPliquidity
2010-12-06,D,B,liquidity,1,untested,no_cont,2010-12-06 08:59:00-05:00,2185.75,2181.25,2186.0,liquidity,2010-12-06 09:00:00-05:00,2185.75,TP,-0.05555555555555555,-0.25,-10.0,-5.5,4.5,0,8,D_SLB_TPliquidity
2011-02-28,D,B,liquidity,1,confirmed,cont_match,2011-02-28 08:34:00-05:00,2356.25,2355.25,2357.5,liquidity,2011-02-28 08:41:00-05:00,2355.0,SL,-1.5,-1.5,-35.0,-8.0,1.0,0,8,D_SLB_TPliquidity
2011-03-25,D,B,liquidity,1,confirmed,no_cont,2011-03-25 08:34:00-04:00,2315.75,2313.75,2319.25,liquidity,2011-03-25 08:41:00-04:00,2313.5,SL,-1.25,-2.5,-55.0,-10.0,2.0,4,8,D_SLB_TPliquidity
2011-07-11,D,B,liquidity,1,confirmed,no_cont,2011-07-11 09:24:00-04:00,2380.25,2375.25,2386.75,liquidity,2011-07-11 09:51:00-04:00,2386.5,TP,1.2,6.0,115.0,7.0,5.0,0,9,D_SLB_TPliquidity
2011-10-31,D,B,liquidity,1,confirmed,no_cont,2011-10-31 08:34:00-04:00,2374.25,2373.5,2375.0,liquidity,2011-10-31 08:35:00-04:00,2373.25,SL,-1.6666666666666667,-1.25,-30.0,-7.5,0.75,0,8,D_SLB_TPliquidity
2011-12-27,D,B,liquidity,1,confirmed,cont_match,2011-12-27 08:44:00-05:00,2279.5,2276.5,2280.5,liquidity,2011-12-27 09:18:00-05:00,2276.25,SL,-1.1666666666666667,-3.5,-75.0,-12.0,3.0,1,8,D_SLB_TPliquidity
2012-01-03,D,B,liquidity,1,confirmed,cont_match,2012-01-03 08:34:00-05:00,2309.5,2307.75,2311.75,liquidity,2012-01-03 08:48:00-05:00,2311.5,TP,1.0,1.75,30.0,-1.5,1.75,1,8,D_SLB_TPliquidity
