study,group,horizon,N,mean,median,std,p25,p75,positive_fraction,ci_low,ci_high,continuation_fraction,median_mfe,median_mae,continuation_share,reversal_share,unresolved_share,continuation_n,reversal_n,reached_fraction
touch_order,subsequent|from_above,15,6714,2.2326854334226987,4.25,64.04339633393164,-24.0,33.75,0.5484063151623473,0.6289888665475126,3.9383080131069406,0.44906166219839144,,,,,,,,
touch_order,subsequent|from_above,30,6695,3.607879014189694,5.0,78.97026843859352,-32.0,46.625,0.5348767737117252,1.758792008961912,5.533279499626587,0.4630321135175504,,,,,,,,
touch_order,subsequent|from_below,1,6695,0.0016803584764749813,-0.5,16.688732351817546,-8.25,6.75,0.46870799103808813,-0.3911986557132188,0.3779714339058999,0.46870799103808813,,,,,,,,
touch_order,subsequent|from_below,3,6682,-1.9445525291828794,0.0,29.75795834184124,-13.0,11.5,0.4935648009577971,-2.625162750673451,-1.2722173376234662,0.4935648009577971,,,,,,,,
touch_order,subsequent|from_below,5,6682,-1.2096303501945525,-0.25,36.419376241795874,-14.5,16.25,0.48847650404070636,-2.1144913573780304,-0.3686377581562407,0.48847650404070636,,,,,,,,
touch_order,subsequent|from_below,10,6680,1.3505988023952096,2.25,50.87907386734904,-19.5,25.25,0.5297904191616767,0.11459393712574853,2.579552769461078,0.5297904191616767,,,,,,,,
touch_order,subsequent|from_below,15,6673,1.478682751386183,3.5,63.26010443492576,-24.5,33.0,0.5418852090514011,-0.11119342874269443,3.0584875618162743,0.5418852090514011,,,,,,,,
touch_order,subsequent|from_below,30,6651,0.9947752217711622,4.25,79.53619760974486,-33.75,45.25,0.5293940760787852,-0.9769282814614343,2.7690225154112156,0.5293940760787852,,,,,,,,
open_poc,above_poc|from_above,5,28,-14.026785714285714,-10.25,46.37869179104427,-15.875,4.6875,0.35714285714285715,-31.60267857142857,0.39308035714285694,0.6071428571428571,,,,,,,,
open_poc,above_poc|from_below,5,1,-7.0,-7.0,,-7.0,-7.0,0.0,-7.0,-7.0,0.0,,,,,,,,
open_poc,below_poc|from_below,5,21,8.535714285714286,1.25,31.614305080363312,-4.75,9.75,0.5238095238095238,-3.5360119047619047,23.2625,0.5238095238095238,,,,,,,,
open_value,inside_value|from_above,5,22,-9.227272727272727,-10.25,23.876655900056377,-16.0625,4.1875,0.36363636363636365,-19.706818181818182,-0.19090909090909297,0.6363636363636364,,,,,,,,
open_value,inside_value|from_below,5,16,1.4375,-1.0,21.6613134412482,-5.3125,8.875,0.4375,-8.7828125,13.01640625,0.4375,,,,,,,,
open_value,outside_value|from_above,5,6,-31.625,-6.625,93.53030925854998,-14.9375,6.0,0.3333333333333333,-108.325,21.69062499999998,0.5,,,,,,,,
open_value,outside_value|from_below,5,6,24.875,19.75,46.44237020221944,-2.8125,35.375,0.6666666666666666,-4.875,61.333333333333336,0.6666666666666666,,,,,,,,
