market,timeframe,arm,split,trades,win_rate,gross_expectancy_pts,net_expectancy_pts,net_total_pts,profit_factor,cost_burden_of_abs_gross
ES,1m,breakout,OOS,856,0.3866822429906542,0.1711448598130841,-0.32885514018691586,-281.5,0.7721570214488062,0.19893097838717175
ES,1m,retest,OOS,342,0.37719298245614036,0.3121345029239766,-0.1878654970760234,-64.25,0.8047112462006079,0.2929336188436831
ES,5m,breakout,IS,5252,0.2838918507235339,0.0486005331302361,-0.4513994668697639,-2370.75,0.5875880664521179,0.30564204032938574
ES,5m,retest,IS,2854,0.2897687456201822,0.06972669936930624,-0.43027330063069374,-1228.0,0.5896750480327458,0.31813621669824993
ES,5m,breakout,Validation,1550,0.33806451612903227,-0.23596774193548387,-0.7359677419354839,-1140.75,0.5571622670807453,0.20027133535758124
ES,5m,retest,Validation,881,0.3757094211123723,-0.06895573212258797,-0.568955732122588,-501.25,0.6150153609831029,0.2151141496764742
ES,5m,breakout,OOS,855,0.4198830409356725,-0.21374269005847954,-0.7137426900584796,-610.25,0.6946841776110069,0.1273932801907174
ES,5m,retest,OOS,466,0.3969957081545064,-0.47746781115879827,-0.9774678111587983,-455.5,0.6125053168864313,0.12433297758804696
ES,15m,breakout,IS,4617,0.37990036820446177,-0.1446285466753303,-0.6446285466753303,-2976.25,0.6980725336038549,0.14046883794514506
ES,15m,retest,IS,2879,0.38659256686349425,-0.23801667245571378,-0.7380166724557138,-2124.75,0.6945881845623113,0.12391056403193527
ES,15m,breakout,Validation,1438,0.40264255910987484,-0.5997913769123783,-1.0997913769123784,-1581.5,0.6897194428094958,0.0844045313141985
ES,15m,retest,Validation,922,0.4121475054229935,-0.8609002169197397,-1.3609002169197397,-1254.75,0.6490945955393973,0.0789349770985831
ES,15m,breakout,OOS,804,0.4564676616915423,-0.1271766169154229,-0.6271766169154229,-504.25,0.8585553997194951,0.060819244298195844
ES,15m,retest,OOS,517,0.5009671179883946,0.11750483558994197,-0.38249516441005804,-197.75,0.9125483692647872,0.0595793719389225
ES,30m,breakout,IS,3635,0.4269601100412655,-0.5024071526822559,-1.0024071526822558,-3643.75,0.7227611656395039,0.08082896945843479
ES,30m,retest,IS,2356,0.4295415959252971,-0.42561544991511036,-0.9256154499151104,-2180.75,0.7543439691345856,0.07605274625950256
ES,30m,breakout,Validation,1184,0.4527027027027027,-0.6896114864864865,-1.1896114864864864,-1408.5,0.8072198460222413,0.04497796687433521
ES,30m,retest,Validation,790,0.45949367088607596,-0.7658227848101266,-1.2658227848101267,-1000.0,0.8131452328677535,0.040795249160857215
ES,30m,breakout,OOS,653,0.4548238897396631,-0.5700612557427259,-1.0700612557427258,-698.75,0.8652687394552905,0.03382280579079584
ES,30m,retest,OOS,458,0.48253275109170307,0.13100436681222707,-0.36899563318777295,-169.0,0.9495447081653978,0.0350769702075515
ES,1h,breakout,IS,2391,0.44583856127143456,-0.7242785445420327,-1.2242785445420326,-2927.25,0.7612844036697247,0.055565238609823264
ES,1h,retest,IS,1466,0.44201909959072305,-1.103512960436562,-1.603512960436562,-2350.75,0.7174324608588515,0.05152628156687697
ES,1h,breakout,Validation,816,0.47794117647058826,-0.2193627450980392,-0.7193627450980392,-587.0,0.9204660930831244,0.028803388633956935
ES,1h,retest,Validation,525,0.48,-0.590952380952381,-1.090952380952381,-572.75,0.8857983151388266,0.02776088623324432
ES,1h,breakout,OOS,457,0.4726477024070022,-2.266411378555799,-2.766411378555799,-1264.25,0.7811106782668917,0.02223141098922482
ES,1h,retest,OOS,301,0.4717607973421927,-3.2956810631229234,-3.7956810631229234,-1142.5,0.7257067402916991,0.02095954320729754
ES,2h,breakout,IS,1474,0.466078697421981,-1.1299185888738128,-1.6299185888738128,-2402.5,0.76137266587207,0.04162548360678885
ES,2h,retest,IS,903,0.45957918050941304,-1.2749169435215948,-1.7749169435215948,-1602.75,0.768087107509767,0.03702868390297911
ES,2h,breakout,Validation,539,0.5009276437847866,0.04730983302411874,-0.45269016697588127,-244.0,0.9611635032430067,0.021866125760649086
ES,2h,retest,Validation,341,0.5131964809384164,1.8196480938416422,1.3196480938416422,450.0,1.1118707271597266,0.020054104916490238
ES,2h,breakout,OOS,288,0.5034722222222222,-2.8333333333333335,-3.3333333333333335,-960.0,0.7783293886740172,0.018685525205994938
ES,2h,retest,OOS,187,0.46524064171123,-2.128342245989305,-2.628342245989305,-491.5,0.846201987014003,0.015864935946381605
ES,4h,breakout,IS,879,0.5051194539249146,-1.2386234357224117,-1.7386234357224117,-1528.25,0.8306319784999862,0.02659325033657555
ES,4h,retest,IS,560,0.5125,-1.495982142857143,-1.995982142857143,-1117.75,0.8220001592483478,0.02445147909616854
ES,4h,breakout,Validation,339,0.5162241887905604,1.7337758112094395,1.2337758112094395,418.25,1.0699414715719064,0.013685081646246695
ES,4h,retest,Validation,211,0.5545023696682464,2.595971563981043,2.095971563981043,442.25,1.116811938721606,0.013145188923153599
ES,4h,breakout,OOS,190,0.46842105263157896,-5.068421052631579,-5.568421052631579,-1058.0,0.7720687240803576,0.011557880649674555
ES,4h,retest,OOS,123,0.4634146341463415,-4.2317073170731705,-4.7317073170731705,-582.0,0.8092428711897739,0.011150394343214578
ES,7h,breakout,IS,623,0.5264847512038523,-1.2909309791332264,-1.7909309791332264,-1115.75,0.8693615900242952,0.019488543051536716
ES,7h,retest,IS,450,0.5355555555555556,-0.40944444444444444,-0.9094444444444445,-409.25,0.9410153857240658,0.01668613382279326
ES,7h,breakout,Validation,247,0.5263157894736842,0.2591093117408907,-0.2408906882591093,-59.5,0.9896947391210219,0.010744268998216538
ES,7h,retest,Validation,171,0.5497076023391813,5.299707602339181,4.799707602339181,820.75,1.2158590308370043,0.010136637126174457
ES,7h,breakout,OOS,134,0.43283582089552236,-7.529850746268656,-8.029850746268657,-1076.0,0.7528992995751521,0.00878803777544596
ES,7h,retest,OOS,99,0.43434343434343436,-14.1010101010101,-14.6010101010101,-1445.5,0.5988900450919181,0.008600469116497263
ES,1D,breakout,IS,396,0.5454545454545454,-2.4457070707070705,-2.9457070707070705,-1166.5,0.8434228187919464,0.01439738229412834
ES,1D,retest,IS,290,0.6206896551724138,3.3051724137931036,2.8051724137931036,813.5,1.1627244086612991,0.013364055299539171
ES,1D,breakout,Validation,122,0.5491803278688525,-0.006147540983606557,-0.5061475409836066,-61.75,0.9829537612146307,0.008484890635323573
ES,1D,retest,Validation,84,0.5,-5.970238095238095,-6.470238095238095,-543.5,0.831080031080031,0.007128914537893575
ES,1D,breakout,OOS,60,0.43333333333333335,-24.5375,-25.0375,-1502.25,0.5846121941103276,0.005238116024269938
ES,1D,retest,OOS,42,0.4523809523809524,-25.672619047619047,-26.172619047619047,-1099.25,0.5893724318266716,0.004936820452541874
ES,1W,breakout,IS,76,0.5263157894736842,-13.80921052631579,-14.30921052631579,-1087.5,0.7358673872123384,0.00531542873129109
ES,1W,retest,IS,58,0.6206896551724138,2.6120689655172415,2.1120689655172415,122.5,1.0317851582771147,0.003700159489633174
ES,1W,breakout,Validation,24,0.5416666666666666,28.46875,27.96875,671.25,1.4156346749226005,0.003075148952527388
ES,1W,retest,Validation,17,0.7058823529411765,61.044117647058826,60.544117647058826,1029.25,2.0763398692810457,0.002886002886002886
ES,1W,breakout,OOS,15,0.5333333333333333,-52.86666666666667,-53.36666666666667,-800.5,0.631530494821634,0.0021156558533145277
ES,1W,retest,OOS,10,0.7,-45.775,-46.275,-462.75,0.6746924428822496,0.002097095522701059
