sample,side,length,start_date,end_date
All,bear,1,2014-04-11,2014-04-11
All,bull,5,2014-04-14,2014-04-22
All,bear,3,2014-04-23,2014-04-25
All,bull,4,2014-04-28,2014-05-01
All,bear,1,2014-05-02,2014-05-02
All,bull,1,2014-05-05,2014-05-05
All,bear,1,2014-05-07,2014-05-07
All,bull,2,2014-05-09,2014-05-12
All,bear,3,2014-05-13,2014-05-15
All,bull,2,2014-05-16,2014-05-19
All,bear,1,2014-05-20,2014-05-20
All,bull,4,2014-05-21,2014-05-27
All,bear,3,2014-05-28,2014-06-02
All,bull,3,2014-06-03,2014-06-06
All,bear,1,2014-06-09,2014-06-09
All,bull,1,2014-06-16,2014-06-16
All,bear,1,2014-06-19,2014-06-19
All,bull,9,2014-06-20,2014-07-09
All,bear,1,2014-07-10,2014-07-10
All,bull,2,2014-07-11,2014-07-14
All,bear,2,2014-07-15,2014-07-17
All,bull,1,2014-07-18,2014-07-18
All,bear,1,2014-07-21,2014-07-21
All,bull,2,2014-07-22,2014-07-23
All,bear,2,2014-07-24,2014-07-25
All,bull,1,2014-07-28,2014-07-28
All,bear,1,2014-07-29,2014-07-29
All,bull,1,2014-07-30,2014-07-30
All,bear,2,2014-07-31,2014-08-01
All,bull,1,2014-08-04,2014-08-04
All,bear,3,2014-08-05,2014-08-07
All,bull,2,2014-08-08,2014-08-11
All,bear,1,2014-08-12,2014-08-12
All,bull,9,2014-08-13,2014-09-02
All,bear,1,2014-09-04,2014-09-04
All,bull,2,2014-09-05,2014-09-08
All,bear,1,2014-09-09,2014-09-09
All,bull,1,2014-09-10,2014-09-10
All,bear,2,2014-09-11,2014-09-15
All,bull,2,2014-09-16,2014-09-18
All,bear,3,2014-09-19,2014-09-29
All,bull,1,2014-09-30,2014-09-30
All,bear,2,2014-10-01,2014-10-02
All,bull,1,2014-10-03,2014-10-03
All,bear,2,2014-10-06,2014-10-07
All,bull,1,2014-10-08,2014-10-08
All,bear,3,2014-10-09,2014-10-13
All,bull,3,2014-10-14,2014-10-20
All,bear,1,2014-10-22,2014-10-22
All,bull,4,2014-10-23,2014-10-28
All,bear,1,2014-10-29,2014-10-29
All,bull,3,2014-10-30,2014-11-03
All,bear,1,2014-11-07,2014-11-07
All,bull,2,2014-11-10,2014-11-14
All,bear,1,2014-11-17,2014-11-17
All,bull,1,2014-11-18,2014-11-18
All,bear,1,2014-11-19,2014-11-19
All,bull,3,2014-11-20,2014-11-24
All,bear,1,2014-12-01,2014-12-01
All,bull,1,2014-12-04,2014-12-04
All,bear,2,2014-12-08,2014-12-10
All,bull,1,2014-12-11,2014-12-11
All,bear,3,2014-12-12,2014-12-16
All,bull,3,2014-12-17,2014-12-22
All,bear,3,2014-12-29,2015-01-05
All,bull,1,2015-01-07,2015-01-07
All,bear,4,2015-01-12,2015-01-15
All,bull,3,2015-01-20,2015-01-22
All,bear,1,2015-01-23,2015-01-23
All,bull,3,2015-01-26,2015-02-02
All,bear,1,2015-02-09,2015-02-09
All,bull,5,2015-02-11,2015-02-26
All,bear,1,2015-02-27,2015-02-27
All,bull,1,2015-03-02,2015-03-02
All,bear,1,2015-03-04,2015-03-04
All,bull,2,2015-03-05,2015-03-09
All,bear,1,2015-03-11,2015-03-11
All,bull,1,2015-03-12,2015-03-12
All,bear,1,2015-03-13,2015-03-13
All,bull,2,2015-03-16,2015-03-17
All,bear,1,2015-03-19,2015-03-19
All,bull,1,2015-03-20,2015-03-20
All,bear,4,2015-03-23,2015-03-26
All,bull,2,2015-03-27,2015-03-30
All,bear,1,2015-03-31,2015-03-31
All,bull,1,2015-04-06,2015-04-06
All,bear,1,2015-04-07,2015-04-07
All,bull,3,2015-04-08,2015-04-10
All,bear,2,2015-04-13,2015-04-14
All,bull,1,2015-04-15,2015-04-15
All,bear,2,2015-04-16,2015-04-17
All,bull,5,2015-04-20,2015-04-24
All,bear,4,2015-04-27,2015-04-30
All,bull,1,2015-05-01,2015-05-01
All,bear,3,2015-05-04,2015-05-06
