resolver,session,T_offset,outcome,universe,split,n,win,E
prior_day_color,NY_PM,30,SESS_END,HIGH,IS,820,0.5170731707317073,-1.8780487804878048
prior_day_color,NY_PM,30,SESS_END,HIGH,Validation,284,0.5,4.845950704225352
prior_day_color,NY_PM,30,SESS_END,HIGH,OOS,138,0.5072463768115942,-23.757246376811594
prior_day_color,NY_PM,60,SESS_END,ALL,IS,2339,0.4839675074818298,-0.9159897392047883
prior_day_color,NY_PM,60,SESS_END,ALL,Validation,752,0.5372340425531915,4.874002659574468
prior_day_color,NY_PM,60,SESS_END,ALL,OOS,400,0.49,-6.33375
prior_day_color,NY_PM,60,SESS_END,HIGH,IS,800,0.4975,-0.34625
prior_day_color,NY_PM,60,SESS_END,HIGH,Validation,297,0.5589225589225589,11.373737373737374
prior_day_color,NY_PM,60,SESS_END,HIGH,OOS,143,0.4825174825174825,-12.283216783216783
prior_day_color,NY_PM,90,SESS_END,ALL,IS,2324,0.5021514629948365,-0.9509466437177281
prior_day_color,NY_PM,90,SESS_END,ALL,Validation,746,0.5294906166219839,4.754356568364611
prior_day_color,NY_PM,90,SESS_END,ALL,OOS,397,0.49370277078085645,-4.557934508816121
prior_day_color,NY_PM,90,SESS_END,HIGH,IS,790,0.5151898734177215,-0.03132911392405063
prior_day_color,NY_PM,90,SESS_END,HIGH,Validation,295,0.5491525423728814,7.1305084745762715
prior_day_color,NY_PM,90,SESS_END,HIGH,OOS,142,0.49295774647887325,-10.540492957746478
prior_day_color,NY_PM,120,SESS_END,ALL,IS,2324,0.5094664371772806,-0.9536359724612736
prior_day_color,NY_PM,120,SESS_END,ALL,Validation,746,0.5375335120643432,3.8220509383378016
prior_day_color,NY_PM,120,SESS_END,ALL,OOS,397,0.49622166246851385,0.4244332493702771
prior_day_color,NY_PM,120,SESS_END,HIGH,IS,791,0.5410872313527181,1.4699747155499368
prior_day_color,NY_PM,120,SESS_END,HIGH,Validation,297,0.5286195286195287,4.722222222222222
prior_day_color,NY_PM,120,SESS_END,HIGH,OOS,137,0.5036496350364964,-3.5839416058394162
prior_day_color,NY_AM,30,SESS_END,ALL,IS,2400,0.5041666666666667,-0.7846875
prior_day_color,NY_AM,30,SESS_END,ALL,Validation,773,0.5200517464424321,0.08473479948253558
prior_day_color,NY_AM,30,SESS_END,ALL,OOS,412,0.4975728155339806,-6.888956310679611
prior_day_color,NY_AM,30,SESS_END,HIGH,IS,816,0.5073529411764706,-1.1795343137254901
prior_day_color,NY_AM,30,SESS_END,HIGH,Validation,214,0.5700934579439252,7.169392523364486
prior_day_color,NY_AM,30,SESS_END,HIGH,OOS,149,0.47651006711409394,-18.649328859060404
prior_day_color,NY_AM,60,SESS_END,ALL,IS,2403,0.5010403662089056,-0.796608406158968
prior_day_color,NY_AM,60,SESS_END,ALL,Validation,773,0.5213454075032341,1.823738680465718
prior_day_color,NY_AM,60,SESS_END,ALL,OOS,412,0.4854368932038835,-5.523665048543689
prior_day_color,NY_AM,60,SESS_END,HIGH,IS,818,0.4938875305623472,-2.029645476772616
prior_day_color,NY_AM,60,SESS_END,HIGH,Validation,240,0.5666666666666667,8.68125
prior_day_color,NY_AM,60,SESS_END,HIGH,OOS,153,0.47058823529411764,-13.63888888888889
prior_day_color,NY_AM,90,SESS_END,ALL,IS,2403,0.4964627548897212,-0.37640449438202245
prior_day_color,NY_AM,90,SESS_END,ALL,Validation,773,0.5071151358344114,1.584411384217335
prior_day_color,NY_AM,90,SESS_END,ALL,OOS,412,0.47572815533980584,-7.672330097087379
prior_day_color,NY_AM,90,SESS_END,HIGH,IS,815,0.48588957055214727,-1.4662576687116564
prior_day_color,NY_AM,90,SESS_END,HIGH,Validation,249,0.5461847389558233,7.251004016064257
prior_day_color,NY_AM,90,SESS_END,HIGH,OOS,135,0.4962962962962963,-4.557407407407408
prior_day_color,ASIA,30,H240,ALL,IS,1999,0.511255627813907,0.4724862431215608
prior_day_color,ASIA,30,H240,ALL,Validation,773,0.5200517464424321,2.1209573091849934
prior_day_color,ASIA,30,H240,ALL,OOS,411,0.48905109489051096,-6.406326034063261
prior_day_color,ASIA,30,H240,HIGH,IS,706,0.509915014164306,0.3321529745042493
prior_day_color,ASIA,30,H240,HIGH,Validation,207,0.5458937198067633,3.582125603864734
prior_day_color,ASIA,30,H240,HIGH,OOS,223,0.5022421524663677,-5.825112107623318
prior_day_color,ASIA,30,SESS_END,ALL,IS,2104,0.498574144486692,-0.04836026615969582
prior_day_color,ASIA,30,SESS_END,ALL,Validation,773,0.5097024579560155,2.1989003880983184
prior_day_color,ASIA,30,SESS_END,ALL,OOS,412,0.5145631067961165,-3.0904126213592233
prior_day_color,ASIA,30,SESS_END,HIGH,IS,720,0.4986111111111111,-0.36736111111111114
prior_day_color,ASIA,30,SESS_END,HIGH,Validation,207,0.5024154589371981,8.045893719806763
prior_day_color,ASIA,30,SESS_END,HIGH,OOS,224,0.5223214285714286,-4.7421875
prior_day_color,ASIA,60,H240,ALL,IS,1871,0.5109567076429716,0.8455371459112774
prior_day_color,ASIA,60,H240,ALL,Validation,773,0.5032341526520052,0.6691461836998707
prior_day_color,ASIA,60,H240,ALL,OOS,411,0.4768856447688564,-6.794403892944039
prior_day_color,ASIA,60,H240,HIGH,IS,648,0.5108024691358025,1.2770061728395061
prior_day_color,ASIA,60,H240,HIGH,Validation,184,0.5163043478260869,-0.7472826086956522
prior_day_color,ASIA,60,H240,HIGH,OOS,206,0.5097087378640777,-2.503640776699029
prior_day_color,ASIA,60,SESS_END,ALL,IS,1993,0.498745609633718,0.13183642749623684
prior_day_color,ASIA,60,SESS_END,ALL,Validation,773,0.5071151358344114,1.0863518758085382
prior_day_color,ASIA,60,SESS_END,ALL,OOS,412,0.5097087378640777,-5.285800970873787
prior_day_color,ASIA,60,SESS_END,HIGH,IS,675,0.52,0.43777777777777777
prior_day_color,ASIA,60,SESS_END,HIGH,Validation,184,0.5380434782608695,3.7934782608695654
prior_day_color,ASIA,60,SESS_END,HIGH,OOS,207,0.5458937198067633,-3.0893719806763285
prior_day_color,ASIA,90,H240,ALL,IS,1717,0.49097262667443214,0.44569015725101924
prior_day_color,ASIA,90,H240,ALL,Validation,773,0.5161707632600259,-0.006144890038809832
prior_day_color,ASIA,90,H240,ALL,OOS,411,0.4744525547445255,-7.122871046228711
prior_day_color,ASIA,90,H240,HIGH,IS,589,0.47198641765704585,-0.5522071307300509
prior_day_color,ASIA,90,H240,HIGH,Validation,171,0.5497076023391813,4.074561403508772
prior_day_color,ASIA,90,H240,HIGH,OOS,201,0.5074626865671642,-4.309701492537314
prior_day_color,ASIA,90,SESS_END,ALL,IS,1826,0.4874041621029573,-0.3203723986856517
prior_day_color,ASIA,90,SESS_END,ALL,Validation,773,0.5135834411384217,0.8360284605433377
prior_day_color,ASIA,90,SESS_END,ALL,OOS,412,0.5,-6.384101941747573
prior_day_color,ASIA,90,SESS_END,HIGH,IS,606,0.4867986798679868,-1.3626237623762376
prior_day_color,ASIA,90,SESS_END,HIGH,Validation,171,0.5614035087719298,7.244152046783626
prior_day_color,ASIA,90,SESS_END,HIGH,OOS,202,0.5346534653465347,-5.566831683168317
prior_day_color,ASIA,120,H240,ALL,IS,2150,0.49116279069767443,0.10941860465116279
prior_day_color,ASIA,120,H240,ALL,Validation,773,0.5213454075032341,0.2166882276843467
prior_day_color,ASIA,120,H240,ALL,OOS,411,0.49635036496350365,-3.5699513381995134
prior_day_color,ASIA,120,H240,HIGH,IS,735,0.49387755102040815,-0.4704081632653061
prior_day_color,ASIA,120,H240,HIGH,Validation,173,0.5028901734104047,0.596820809248555
prior_day_color,ASIA,120,H240,HIGH,OOS,193,0.5129533678756477,-2.4702072538860103
prior_day_color,ASIA,120,SESS_END,ALL,IS,2236,0.49105545617173524,-0.2580500894454383
prior_day_color,ASIA,120,SESS_END,ALL,Validation,773,0.5200517464424321,0.5802069857697283
prior_day_color,ASIA,120,SESS_END,ALL,OOS,412,0.5072815533980582,-2.307645631067961
prior_day_color,ASIA,120,SESS_END,HIGH,IS,761,0.5019710906701709,-0.9917871222076216
prior_day_color,ASIA,120,SESS_END,HIGH,Validation,173,0.5664739884393064,6.13728323699422
prior_day_color,ASIA,120,SESS_END,HIGH,OOS,194,0.5360824742268041,-1.190721649484536
prior_day_color,ASIA,180,H240,ALL,IS,2029,0.49630359783144407,0.38565795958600296
prior_day_color,ASIA,180,H240,ALL,Validation,773,0.535575679172057,1.924320827943079
prior_day_color,ASIA,180,H240,ALL,OOS,411,0.5182481751824818,-0.732360097323601
prior_day_color,ASIA,180,H240,HIGH,IS,699,0.5121602288984263,0.3626609442060086
prior_day_color,ASIA,180,H240,HIGH,Validation,169,0.5443786982248521,6.289940828402367
prior_day_color,ASIA,180,H240,HIGH,OOS,198,0.5151515151515151,-1.7853535353535352
prior_day_color,ASIA,180,SESS_END,ALL,IS,2103,0.4969091773656681,0.05420827389443652
prior_day_color,ASIA,180,SESS_END,ALL,Validation,773,0.500646830530401,1.1326002587322122
prior_day_color,ASIA,180,SESS_END,ALL,OOS,412,0.5,-0.3598300970873786
