market,split,side,horizon_min,events,forward_return_pts,mfe_pts,mae_pts,close_beyond_rate,failure_rate
ES,Validation,short,1,709,-0.06488011283497884,0.9365303244005642,-0.9721438645980254,0.8772919605077574,0.1227080394922426
ES,Validation,short,5,709,-0.031029619181946404,1.866361071932299,-1.81311706629055,0.7616361071932299,0.32863187588152326
ES,Validation,short,15,709,-0.06064880112834979,3.041255289139633,-2.818758815232722,0.6995768688293371,0.4781382228490832
ES,Validation,short,30,709,-0.27609308885754585,4.275387870239775,-4.102256699576869,0.6530324400564175,0.5909732016925247
ES,Validation,short,60,709,-0.36142454160789844,6.149858956276446,-5.935119887165021,0.5811001410437235,0.7080394922425952
NQ,IS,long,1,2318,0.04659188955996549,1.4500647109577223,-1.2837575496117342,0.8986194995685937,0.10138050043140638
NQ,IS,long,5,2318,-0.058779119930974975,2.8687446074201897,-2.7564710957722176,0.8153580672993961,0.25798101811906815
NQ,IS,long,15,2318,0.22724331320103539,4.793572044866264,-4.409188955996549,0.7666091458153581,0.39646246764452114
NQ,IS,long,30,2318,0.38524590163934425,6.833800690250215,-6.4606341673856775,0.7303710094909405,0.4930974978429681
NQ,IS,long,60,2318,0.41706212251941327,9.94434857635893,-9.980802415875756,0.6967213114754098,0.592320966350302
NQ,IS,short,1,2116,-0.07159735349716446,1.9384451795841209,-1.7341682419659736,0.8903591682419659,0.10964083175803403
NQ,IS,short,5,2116,-0.29631379962192816,3.843454631379962,-3.763823251417769,0.7849716446124764,0.29678638941398866
NQ,IS,short,15,2116,-0.08979206049149338,6.505789224952741,-6.004725897920605,0.7277882797731569,0.44187145557655955
NQ,IS,short,30,2116,-0.43147448015122875,9.029891304347826,-8.492911153119092,0.6772211720226843,0.5359168241965974
NQ,IS,short,60,2116,-0.7108931947069943,12.40796313799622,-12.1007797731569,0.6365784499054821,0.6332703213610587
NQ,OOS,long,1,395,-0.22531645569620254,5.44746835443038,-5.638607594936709,0.8911392405063291,0.10886075949367088
NQ,OOS,long,5,395,-0.01139240506329114,11.267088607594937,-11.437341772151898,0.830379746835443,0.2708860759493671
NQ,OOS,long,15,395,0.2607594936708861,18.47151898734177,-18.074050632911394,0.7544303797468355,0.4379746835443038
NQ,OOS,long,30,395,2.449367088607595,26.708227848101266,-24.78987341772152,0.7316455696202532,0.5316455696202531
NQ,OOS,long,60,395,3.5917721518987342,37.99050632911393,-36.25379746835443,0.6936708860759494,0.6227848101265823
NQ,OOS,short,1,373,0.3806970509383378,7.695710455764075,-6.702412868632708,0.8632707774798928,0.13672922252010725
NQ,OOS,short,5,373,-0.0871313672922252,15.740616621983914,-13.804289544235925,0.774798927613941,0.3190348525469169
NQ,OOS,short,15,373,-0.403485254691689,24.80697050938338,-23.447050938337803,0.6916890080428955,0.5254691689008043
NQ,OOS,short,30,373,-0.710455764075067,34.729892761394105,-31.541554959785522,0.6595174262734584,0.6112600536193029
NQ,OOS,short,60,373,-2.8337801608579087,47.46313672922252,-43.2828418230563,0.6219839142091153,0.6997319034852547
NQ,Validation,long,1,733,-0.05252387448840382,3.1981582537517053,-3.159276944065484,0.8840381991814461,0.11596180081855388
NQ,Validation,long,5,733,0.3199181446111869,6.7742155525238745,-6.26568894952251,0.7926330150068213,0.296043656207367
NQ,Validation,long,15,733,0.12107776261937245,10.636425648021827,-10.105047748976808,0.7080491132332879,0.46248294679399726
NQ,Validation,long,30,733,0.06275579809004093,15.016371077762619,-14.854024556616643,0.6903137789904502,0.5620736698499318
NQ,Validation,long,60,733,-1.005457025920873,21.34413369713506,-22.104024556616643,0.6180081855388813,0.669849931787176
NQ,Validation,short,1,709,0.18300423131170662,4.6777150916784205,-4.145275035260931,0.8787023977433004,0.12129760225669958
NQ,Validation,short,5,709,0.010930888575458392,8.838504936530324,-7.976022566995769,0.7898448519040903,0.30888575458392104
NQ,Validation,short,15,709,-1.3208744710860367,13.882581100141044,-13.19922425952045,0.6812411847672779,0.4809590973201692
NQ,Validation,short,30,709,-2.2129760225669957,19.052186177715093,-18.959449929478136,0.6262341325811002,0.6191819464033851
NQ,Validation,short,60,709,-3.791255289139633,26.165373765867418,-27.51339915373766,0.5712270803949224,0.7094499294781382
