market,signal_time,year,split,side,horizon_min,level,entry,signed_return_pts,mfe_pts,mae_pts,close_beyond_level,failed_through_level
NQ,2022-02-21 01:44:00-05:00,2022,Validation,long,60,14088.0,14102.5,-1.5,55.0,-6.75,1,0
NQ,2022-02-21 18:14:00-05:00,2022,Validation,short,1,13716.25,13636.75,-7.75,4.0,-10.25,1,0
NQ,2022-02-21 18:14:00-05:00,2022,Validation,short,5,13716.25,13636.75,0.75,4.0,-23.75,1,0
NQ,2022-02-21 18:14:00-05:00,2022,Validation,short,15,13716.25,13636.75,26.75,40.0,-23.75,1,0
NQ,2022-02-21 18:14:00-05:00,2022,Validation,short,30,13716.25,13636.75,15.25,40.0,-23.75,1,0
NQ,2022-02-21 18:14:00-05:00,2022,Validation,short,60,13716.25,13636.75,-10.5,40.0,-72.25,1,0
NQ,2022-02-22 05:14:00-05:00,2022,Validation,long,1,13765.25,13792.5,-5.5,2.5,-7.0,1,0
NQ,2022-02-22 05:14:00-05:00,2022,Validation,long,5,13765.25,13792.5,19.5,19.75,-7.5,1,0
NQ,2022-02-22 05:14:00-05:00,2022,Validation,long,15,13765.25,13792.5,58.5,65.0,-7.5,1,0
NQ,2022-02-22 05:14:00-05:00,2022,Validation,long,30,13765.25,13792.5,136.5,174.5,-7.5,1,0
NQ,2022-02-22 05:14:00-05:00,2022,Validation,long,60,13765.25,13792.5,117.75,174.5,-7.5,1,0
NQ,2022-02-23 03:14:00-05:00,2022,Validation,long,1,13988.0,14002.0,-6.5,1.25,-9.5,1,0
NQ,2022-02-23 03:14:00-05:00,2022,Validation,long,5,13988.0,14002.0,-5.25,1.25,-14.5,1,0
NQ,2022-02-23 03:14:00-05:00,2022,Validation,long,15,13988.0,14002.0,-3.5,1.25,-14.5,1,0
NQ,2022-02-23 03:14:00-05:00,2022,Validation,long,30,13988.0,14002.0,7.5,11.0,-22.5,1,1
NQ,2022-02-23 03:14:00-05:00,2022,Validation,long,60,13988.0,14002.0,42.75,47.0,-22.5,1,1
NQ,2022-02-23 09:59:00-05:00,2022,Validation,short,1,13941.5,13904.0,25.75,39.0,-0.25,1,0
NQ,2022-02-23 09:59:00-05:00,2022,Validation,short,5,13941.5,13904.0,25.75,60.75,-0.25,1,0
NQ,2022-02-23 09:59:00-05:00,2022,Validation,short,15,13941.5,13904.0,23.0,76.5,-0.25,1,0
NQ,2022-02-23 09:59:00-05:00,2022,Validation,short,30,13941.5,13904.0,99.75,109.25,-0.25,1,0
NQ,2022-02-23 09:59:00-05:00,2022,Validation,short,60,13941.5,13904.0,124.75,152.0,-0.25,1,0
NQ,2022-02-23 19:29:00-05:00,2022,Validation,short,1,13457.5,13451.75,4.25,16.25,-0.5,1,0
