market,split,event_type,band,horizon_min,events,mean_fade_return_pts,median_fade_return_pts,p10_fade_return_pts,p90_fade_return_pts,positive_rate,mfe_pts,mae_pts,time_to_recover_min,fraction_below_60,max_recovery_60_pts
ES,OOS,break,<0.5,60,66,0.8484848484848485,0.0,-8.375,11.25,0.48484848484848486,6.803030303030303,-6.0227272727272725,12.25531914893617,0.6353535353535353,1.553030303030303
ES,OOS,control,0.5-1.0,1,427,-0.09660421545667447,0.0,-1.75,1.5,0.46604215456674475,0.8594847775175644,-0.9929742388758782,1.1173708920187793,0.05753317720530835,24.579625292740047
ES,OOS,control,0.5-1.0,5,427,-0.02576112412177986,0.25,-3.0,3.0,0.5081967213114754,1.7412177985948478,-2.0339578454332554,1.1173708920187793,0.05753317720530835,24.579625292740047
ES,OOS,control,0.5-1.0,15,427,0.14578454332552693,0.0,-4.5,4.25,0.48711943793911006,2.943208430913349,-3.1920374707259955,1.1173708920187793,0.05753317720530835,24.579625292740047
ES,OOS,control,0.5-1.0,30,427,0.32142857142857145,-0.25,-5.5,6.5,0.477751756440281,4.195550351288056,-4.379391100702576,1.1173708920187793,0.05753317720530835,24.579625292740047
ES,OOS,control,0.5-1.0,60,427,1.329625292740047,0.5,-7.1,9.75,0.5339578454332553,6.302693208430913,-5.758196721311475,1.1173708920187793,0.05753317720530835,24.579625292740047
ES,OOS,control,1.0-1.5,1,402,-0.07835820895522388,0.0,-1.7249999999999996,1.75,0.4577114427860697,1.0914179104477613,-1.2512437810945274,1.195,0.10808457711442787,20.734452736318406
ES,OOS,control,1.0-1.5,5,402,0.010572139303482588,0.25,-3.25,2.9750000000000085,0.5124378109452736,2.2512437810945274,-2.402363184079602,1.195,0.10808457711442787,20.734452736318406
ES,OOS,control,1.0-1.5,15,402,-0.03109452736318408,-0.25,-5.25,5.25,0.4651741293532338,3.8022388059701493,-3.906716417910448,1.195,0.10808457711442787,20.734452736318406
ES,OOS,control,1.0-1.5,30,402,0.10634328358208955,-0.25,-8.225,8.450000000000017,0.4701492537313433,5.350746268656716,-5.621890547263682,1.195,0.10808457711442787,20.734452736318406
ES,OOS,control,1.0-1.5,60,402,0.03544776119402985,0.0,-11.75,10.475000000000009,0.4975124378109453,7.700870646766169,-8.128109452736318,1.195,0.10808457711442787,20.734452736318406
ES,OOS,control,1.5+,1,302,0.26655629139072845,0.25,-2.2249999999999996,3.25,0.5364238410596026,1.8584437086092715,-1.718543046357616,1.39,0.1564569536423841,21.977649006622517
ES,OOS,control,1.5+,5,302,0.33857615894039733,0.5,-5.5,6.450000000000017,0.5662251655629139,3.8625827814569536,-3.551324503311258,1.39,0.1564569536423841,21.977649006622517
ES,OOS,control,1.5+,15,302,-0.06374172185430464,0.75,-9.225,8.975000000000009,0.5629139072847682,5.8551324503311255,-6.120033112582782,1.39,0.1564569536423841,21.977649006622517
ES,OOS,control,1.5+,30,302,0.4759933774834437,0.75,-10.0,11.875000000000043,0.5231788079470199,7.894039735099338,-7.903973509933775,1.39,0.1564569536423841,21.977649006622517
ES,OOS,control,1.5+,60,302,-0.10264900662251655,0.0,-14.75,15.625000000000043,0.49337748344370863,10.150662251655628,-10.461920529801324,1.39,0.1564569536423841,21.977649006622517
ES,OOS,control,<0.5,1,427,0.11826697892271663,0.0,-1.0,1.25,0.4519906323185012,0.8957845433255269,-0.6978922716627635,1.0163934426229508,0.03372365339578454,34.124121779859486
ES,OOS,control,<0.5,5,427,0.11651053864168619,0.0,-2.5,3.1000000000000085,0.477751756440281,1.889344262295082,-1.744145199063232,1.0163934426229508,0.03372365339578454,34.124121779859486
ES,OOS,control,<0.5,15,427,0.34894613583138173,0.25,-4.0,4.8500000000000085,0.5035128805620609,2.950234192037471,-2.831381733021077,1.0163934426229508,0.03372365339578454,34.124121779859486
ES,OOS,control,<0.5,30,427,0.6071428571428571,0.5,-5.5,6.5,0.5456674473067916,4.29976580796253,-4.095433255269321,1.0163934426229508,0.03372365339578454,34.124121779859486
ES,OOS,control,<0.5,60,427,0.8940281030444965,0.5,-8.0,8.75,0.5269320843091335,6.206088992974239,-5.825526932084309,1.0163934426229508,0.03372365339578454,34.124121779859486
ES,Validation,break,0.5-1.0,1,210,0.011904761904761904,0.0,-1.25,1.0,0.45714285714285713,0.7845238095238095,-0.7357142857142858,16.058064516129033,0.6200793650793651,3.558333333333333
ES,Validation,break,0.5-1.0,5,210,0.18095238095238095,0.25,-1.75,2.25,0.5333333333333333,1.4976190476190476,-1.4916666666666667,16.058064516129033,0.6200793650793651,3.558333333333333
ES,Validation,break,0.5-1.0,15,210,0.3726190476190476,0.25,-3.7749999999999995,4.024999999999999,0.5190476190476191,2.501190476190476,-2.448809523809524,16.058064516129033,0.6200793650793651,3.558333333333333
ES,Validation,break,0.5-1.0,30,210,0.3488095238095238,0.25,-4.5,4.5,0.5047619047619047,3.488095238095238,-3.533333333333333,16.058064516129033,0.6200793650793651,3.558333333333333
ES,Validation,break,0.5-1.0,60,210,0.5380952380952381,0.75,-8.024999999999999,8.774999999999999,0.6,5.309523809523809,-5.189285714285714,16.058064516129033,0.6200793650793651,3.558333333333333
ES,Validation,break,1.0-1.5,1,153,0.14215686274509803,0.0,-1.0,1.5,0.49673202614379086,0.8578431372549019,-0.7156862745098039,16.75438596491228,0.6594771241830065,3.3627450980392157
ES,Validation,break,1.0-1.5,5,153,0.26143790849673204,0.25,-2.0,2.25,0.5424836601307189,1.661764705882353,-1.3954248366013071,16.75438596491228,0.6594771241830065,3.3627450980392157
ES,Validation,break,1.0-1.5,15,153,0.2042483660130719,0.25,-2.9499999999999997,3.5,0.5098039215686274,2.508169934640523,-2.4558823529411766,16.75438596491228,0.6594771241830065,3.3627450980392157
ES,Validation,break,1.0-1.5,30,153,0.25326797385620914,0.0,-4.5,4.950000000000003,0.49673202614379086,3.4787581699346406,-3.5833333333333335,16.75438596491228,0.6594771241830065,3.3627450980392157
ES,Validation,break,1.0-1.5,60,153,0.4362745098039216,1.0,-6.449999999999999,8.5,0.5816993464052288,5.444444444444445,-5.366013071895424,16.75438596491228,0.6594771241830065,3.3627450980392157
ES,Validation,break,1.5+,1,259,0.12934362934362933,0.25,-1.75,1.8000000000000043,0.5019305019305019,1.3156370656370657,-1.274131274131274,15.3125,0.7268983268983269,2.2335907335907335
ES,Validation,break,1.5+,5,259,-0.0859073359073359,0.25,-4.05,3.25,0.528957528957529,2.3455598455598454,-2.4546332046332044,15.3125,0.7268983268983269,2.2335907335907335
ES,Validation,break,1.5+,15,259,-0.15154440154440155,0.25,-5.75,4.800000000000004,0.5096525096525096,3.537644787644788,-3.97972972972973,15.3125,0.7268983268983269,2.2335907335907335
ES,Validation,break,1.5+,30,259,0.14285714285714285,-0.25,-7.55,7.300000000000004,0.4555984555984556,5.152509652509653,-5.533783783783784,15.3125,0.7268983268983269,2.2335907335907335
ES,Validation,break,1.5+,60,259,-0.08687258687258688,0.75,-10.75,9.800000000000004,0.5366795366795367,6.989382239382239,-7.853281853281853,15.3125,0.7268983268983269,2.2335907335907335
ES,Validation,break,<0.5,1,87,-0.13505747126436782,0.0,-1.0,0.75,0.41379310344827586,0.603448275862069,-0.8045977011494253,9.032786885245901,0.6170498084291187,3.4626436781609193
ES,Validation,break,<0.5,5,87,-0.3879310344827586,0.0,-2.75,1.6000000000000014,0.4942528735632184,1.2557471264367817,-1.8477011494252873,9.032786885245901,0.6170498084291187,3.4626436781609193
ES,Validation,break,<0.5,15,87,-0.3132183908045977,0.0,-3.45,2.1000000000000014,0.47126436781609193,1.9913793103448276,-2.706896551724138,9.032786885245901,0.6170498084291187,3.4626436781609193
ES,Validation,break,<0.5,30,87,0.5373563218390804,0.25,-4.45,5.0,0.5172413793103449,3.5545977011494254,-3.5373563218390807,9.032786885245901,0.6170498084291187,3.4626436781609193
ES,Validation,break,<0.5,60,87,1.1379310344827587,0.25,-4.550000000000001,6.5,0.5287356321839081,5.169540229885057,-4.775862068965517,9.032786885245901,0.6170498084291187,3.4626436781609193
ES,Validation,control,0.5-1.0,1,775,0.09161290322580645,0.0,-0.75,1.0,0.4425806451612903,0.5783870967741935,-0.5306451612903226,1.0647668393782384,0.058559139784946236,16.78451612903226
ES,Validation,control,0.5-1.0,5,775,0.05451612903225807,0.25,-1.75,1.5,0.5045161290322581,1.1883870967741936,-1.1416129032258064,1.0647668393782384,0.058559139784946236,16.78451612903226
