market,split,band,horizon_min,mean_fade_return_pts,mean_fade_return_pts,positive_rate,positive_rate,fade_return_diff_break_minus_control,positive_rate_diff_break_minus_control
,,,,break,control,break,control,,
NQ,OOS,0.5-1.0,5,-0.025943396226415096,0.29891304347826086,0.5377358490566038,0.5120772946859904,-0.324856439704676,0.025658554370613373
NQ,OOS,0.5-1.0,15,-2.2547169811320753,2.149154589371981,0.46226415094339623,0.5193236714975845,-4.403871570504056,-0.05705952055418828
NQ,OOS,0.5-1.0,30,-1.544811320754717,1.3526570048309179,0.5283018867924528,0.5144927536231884,-2.897468325585635,0.013809133169264465
NQ,OOS,0.5-1.0,60,-0.3561320754716981,4.141304347826087,0.5094339622641509,0.5458937198067633,-4.497436423297785,-0.036459757542612325
NQ,OOS,1.0-1.5,1,0.2475,-0.22323759791122716,0.58,0.5065274151436031,0.47073759791122716,0.07347258485639685
NQ,OOS,1.0-1.5,5,1.425,-0.13903394255874674,0.53,0.5300261096605744,1.5640339425587468,-2.6109660574369364e-05
NQ,OOS,1.0-1.5,15,-0.135,-2.912532637075718,0.53,0.4830287206266319,2.7775326370757183,0.04697127937336815
NQ,OOS,1.0-1.5,30,2.6175,-0.42297650130548303,0.53,0.5143603133159269,3.0404765013054833,0.015639686684073117
NQ,OOS,1.0-1.5,60,3.4575,3.680809399477807,0.53,0.5221932114882507,-0.2233093994778068,0.0078067885117493185
NQ,OOS,1.5+,1,-0.6758474576271186,1.0427272727272727,0.5423728813559322,0.52,-1.7185747303543915,0.022372881355932184
NQ,OOS,1.5+,5,0.0847457627118644,0.7372727272727273,0.4745762711864407,0.5309090909090909,-0.6525269645608629,-0.056332819722650196
NQ,OOS,1.5+,15,3.1207627118644066,0.3472727272727273,0.5932203389830508,0.5236363636363637,2.7734899845916794,0.06958397534668714
NQ,OOS,1.5+,30,1.1504237288135593,1.8636363636363635,0.5254237288135594,0.5309090909090909,-0.7132126348228043,-0.005485362095531521
NQ,OOS,1.5+,60,3.8241525423728815,-4.361818181818182,0.5,0.52,8.185970724191064,-0.020000000000000018
NQ,OOS,<0.5,1,-1.2040816326530612,0.3973429951690821,0.4489795918367347,0.5072463768115942,-1.6014246278221433,-0.05826678497485954
NQ,OOS,<0.5,5,-2.392857142857143,0.2457729468599034,0.5102040816326531,0.5,-2.6386300897170463,0.010204081632653073
NQ,OOS,<0.5,15,0.7091836734693877,1.641304347826087,0.5714285714285714,0.5314009661835749,-0.9321206743566992,0.04002760524499649
NQ,OOS,<0.5,30,0.6377551020408163,2.748792270531401,0.5306122448979592,0.5507246376811594,-2.1110371684905846,-0.020112392783200206
NQ,OOS,<0.5,60,6.076530612244898,5.346618357487923,0.5714285714285714,0.5652173913043478,0.7299122547569752,0.006211180124223614
NQ,Validation,0.5-1.0,1,-0.78,0.15741935483870967,0.455,0.5277419354838709,-0.9374193548387098,-0.07274193548387092
NQ,Validation,0.5-1.0,5,-0.41,0.14516129032258066,0.49,0.5367741935483871,-0.5551612903225807,-0.04677419354838708
NQ,Validation,0.5-1.0,15,0.53125,0.4935483870967742,0.49,0.5161290322580645,0.03770161290322582,-0.02612903225806451
NQ,Validation,0.5-1.0,30,0.53375,0.1338709677419355,0.545,0.5174193548387097,0.3998790322580644,0.02758064516129033
NQ,Validation,0.5-1.0,60,2.76375,-0.4458064516129032,0.575,0.5109677419354839,3.209556451612903,0.06403225806451607
NQ,Validation,1.0-1.5,1,0.17546583850931677,-0.405608755129959,0.5093167701863354,0.4856361149110807,0.5810745936392757,0.023680655275254647
NQ,Validation,1.0-1.5,5,0.12577639751552794,-0.3803009575923393,0.5279503105590062,0.5075239398084815,0.5060773551078672,0.02042637075052467
NQ,Validation,1.0-1.5,15,3.8462732919254656,-0.8166894664842681,0.5962732919254659,0.4911080711354309,4.6629627584097335,0.10516522079003493
NQ,Validation,1.0-1.5,30,5.309006211180124,-0.5605335157318742,0.5962732919254659,0.521203830369357,5.869539726911999,0.07506946155610883
NQ,Validation,1.0-1.5,60,8.164596273291925,-0.42270861833105333,0.6273291925465838,0.48700410396716826,8.58730489162298,0.14032508857941556
NQ,Validation,1.5+,1,-0.07706766917293233,-0.5067934782608695,0.5150375939849624,0.49818840579710144,0.42972580908793717,0.016849188187860964
NQ,Validation,1.5+,5,0.023496240601503758,0.08469202898550725,0.518796992481203,0.5235507246376812,-0.06119578838400349,-0.004753732156478119
NQ,Validation,1.5+,15,0.5780075187969925,-2.479619565217391,0.5526315789473685,0.47644927536231885,3.0576270840143835,0.07618230358504963
NQ,Validation,1.5+,30,2.2603383458646618,-1.8229166666666667,0.5601503759398496,0.4891304347826087,4.083255012531328,0.07101994115724092
NQ,Validation,1.5+,60,4.468984962406015,-1.141304347826087,0.575187969924812,0.49818840579710144,5.610289310232102,0.07699956412771058
NQ,Validation,<0.5,1,0.22560975609756098,0.32451612903225807,0.5487804878048781,0.52,-0.09890637293469709,0.028780487804878074
NQ,Validation,<0.5,5,0.5823170731707317,0.22161290322580646,0.4878048780487805,0.5174193548387097,0.3607041699449252,-0.029614476789929234
NQ,Validation,<0.5,15,0.698170731707317,0.5161290322580645,0.5975609756097561,0.535483870967742,0.18204169944925253,0.0620771046420141
NQ,Validation,<0.5,30,0.07621951219512195,1.0964516129032258,0.5487804878048781,0.5238709677419355,-1.0202321007081039,0.02490952006294256
NQ,Validation,<0.5,60,-4.487804878048781,2.404193548387097,0.4634146341463415,0.512258064516129,-6.891998426435878,-0.0488434303697875
