session,family,entry_mode,hold_H,cost,cost_pts,split,n,win,E_gross,E_net,E_R_net,PF_net
LONDON,HIGH_FADE,next_open,30,mid,1.0,IS,4055,0.46091245376078915,-0.08057953144266337,-1.0805795314426634,-0.4802575695300727,0.6482693918915529
LONDON,HIGH_FADE,next_open,30,mid,1.0,Validation,1616,0.48267326732673266,-0.12380105198019802,-1.123801051980198,-0.06915698781416603,0.8526678193498664
LONDON,HIGH_FADE,next_open,30,mid,1.0,OOS,376,0.5132978723404256,-0.699966755319149,-1.6999667553191489,-0.06885941287368703,0.8590837065105064
LONDON,HIGH_FADE,next_open,30,mid,1.0,Y2025,273,0.5238095238095238,-0.5139652014652014,-1.5139652014652014,-0.061325172717577765,0.8617105813467169
LONDON,HIGH_FADE,next_open,30,mid,1.0,Y2026,103,0.4854368932038835,-1.1929611650485437,-2.1929611650485437,-0.0855789722945773,0.8540092910523127
LONDON,HIGH_FADE,next_open,30,wide,2.0,IS,4055,0.3689272503082614,-0.08057953144266337,-2.0805795314426634,-0.9247020139745171,0.4294312826256948
LONDON,HIGH_FADE,next_open,30,wide,2.0,Validation,1616,0.47339108910891087,-0.12380105198019802,-2.123801051980198,-0.1306954493526276,0.7393844474502266
LONDON,HIGH_FADE,next_open,30,wide,2.0,OOS,376,0.4973404255319149,-0.699966755319149,-2.699966755319149,-0.10936574198761109,0.7849833869451835
LONDON,HIGH_FADE,next_open,30,wide,2.0,Y2025,273,0.5054945054945055,-0.5139652014652014,-2.5139652014652016,-0.10183150183150182,0.7800985261134252
LONDON,HIGH_FADE,next_open,30,wide,2.0,Y2026,103,0.47572815533980584,-1.1929611650485437,-3.1929611650485437,-0.12460336253847973,0.7945093138594915
LONDON,HIGH_FADE,next_open,45,tight,0.5,IS,4055,0.5028360049321825,-0.14244759556103576,-0.6424475955610358,-0.2855322646937936,0.7926351190002388
LONDON,HIGH_FADE,next_open,45,tight,0.5,Validation,1616,0.48948019801980197,-0.10523669554455446,-0.6052366955445545,-0.03724533511043411,0.9248280301283529
LONDON,HIGH_FADE,next_open,45,tight,0.5,OOS,376,0.5079787234042553,-0.8462433510638298,-1.3462433510638299,-0.0545313762456235,0.8966766600752695
LONDON,HIGH_FADE,next_open,45,tight,0.5,Y2025,273,0.5164835164835165,-0.5313644688644689,-1.031364468864469,-0.04177678861223165,0.912401804464494
