catalog,from_state,to_state,transition,split,n_transition,n_stay_baseline,median_hl_range_trans,median_hl_range_stay,delta_hl_range,rel_gap,median_abs_net_trans,median_abs_net_stay,median_net_trans,median_abs_max_trans
C,EXPANSION,TRANSITION_MIXED,EXPANSION->TRANSITION_MIXED,OOS,114,6412,42.125,47.5,-5.375,-0.11315789473684211,19.375,18.0,1.375,30.25
C,EXPANSION,TRANSITION_MIXED,EXPANSION->TRANSITION_MIXED,ALL,1376,64868,9.5,13.5,-4.0,-0.2962962962962963,3.75,5.0,0.25,7.375
C,EXPANSION,TRENDING,EXPANSION->TRENDING,IS,12263,46671,8.75,8.5,0.25,0.029411764705882353,3.75,3.5,0.25,6.75
C,EXPANSION,TRENDING,EXPANSION->TRENDING,Validation,3253,11785,36.25,35.75,0.5,0.013986013986013986,15.25,14.5,1.0,27.75
C,EXPANSION,TRENDING,EXPANSION->TRENDING,OOS,1745,6412,48.0,47.5,0.5,0.010526315789473684,18.0,18.0,0.25,36.25
C,EXPANSION,TRENDING,EXPANSION->TRENDING,ALL,17261,64868,14.25,13.5,0.75,0.05555555555555555,5.5,5.0,0.25,11.0
C,HIGH_ACTIVITY,CHOP_RANGE,HIGH_ACTIVITY->CHOP_RANGE,IS,7731,36514,15.25,15.5,-0.25,-0.016129032258064516,6.25,6.25,0.25,11.75
C,HIGH_ACTIVITY,CHOP_RANGE,HIGH_ACTIVITY->CHOP_RANGE,Validation,3074,15313,44.5,43.75,0.75,0.017142857142857144,18.875,18.5,1.25,33.5
C,HIGH_ACTIVITY,CHOP_RANGE,HIGH_ACTIVITY->CHOP_RANGE,OOS,1521,7384,69.25,68.0,1.25,0.01838235294117647,28.75,29.25,0.5,52.75
C,HIGH_ACTIVITY,CHOP_RANGE,HIGH_ACTIVITY->CHOP_RANGE,ALL,12326,59211,27.75,28.25,-0.5,-0.017699115044247787,9.75,10.25,0.25,20.25
C,HIGH_ACTIVITY,COMPRESSION,HIGH_ACTIVITY->COMPRESSION,IS,1913,36514,16.5,15.5,1.0,0.06451612903225806,6.5,6.25,0.25,12.75
C,HIGH_ACTIVITY,COMPRESSION,HIGH_ACTIVITY->COMPRESSION,Validation,841,15313,47.75,43.75,4.0,0.09142857142857143,22.0,18.5,2.25,36.75
C,HIGH_ACTIVITY,COMPRESSION,HIGH_ACTIVITY->COMPRESSION,OOS,434,7384,72.125,68.0,4.125,0.06066176470588235,32.25,29.25,1.125,54.875
C,HIGH_ACTIVITY,COMPRESSION,HIGH_ACTIVITY->COMPRESSION,ALL,3188,59211,30.75,28.25,2.5,0.08849557522123894,11.25,10.25,0.5,22.375
C,HIGH_ACTIVITY,EXPANSION,HIGH_ACTIVITY->EXPANSION,IS,1663,36514,13.25,15.5,-2.25,-0.14516129032258066,5.5,6.25,0.25,10.25
C,HIGH_ACTIVITY,EXPANSION,HIGH_ACTIVITY->EXPANSION,Validation,581,15313,41.25,43.75,-2.5,-0.05714285714285714,20.0,18.5,0.0,32.0
C,HIGH_ACTIVITY,EXPANSION,HIGH_ACTIVITY->EXPANSION,OOS,280,7384,63.25,68.0,-4.75,-0.06985294117647059,25.25,29.25,0.125,48.125
C,HIGH_ACTIVITY,EXPANSION,HIGH_ACTIVITY->EXPANSION,ALL,2524,59211,23.25,28.25,-5.0,-0.17699115044247787,8.75,10.25,0.25,17.75
C,HIGH_ACTIVITY,TRANSITION_MIXED,HIGH_ACTIVITY->TRANSITION_MIXED,IS,527,36514,8.0,15.5,-7.5,-0.4838709677419355,3.75,6.25,0.5,6.25
C,HIGH_ACTIVITY,TRANSITION_MIXED,HIGH_ACTIVITY->TRANSITION_MIXED,Validation,153,15313,32.0,43.75,-11.75,-0.26857142857142857,15.5,18.5,3.5,23.0
C,HIGH_ACTIVITY,TRANSITION_MIXED,HIGH_ACTIVITY->TRANSITION_MIXED,OOS,85,7384,40.75,68.0,-27.25,-0.4007352941176471,18.25,29.25,6.75,30.0
C,HIGH_ACTIVITY,TRANSITION_MIXED,HIGH_ACTIVITY->TRANSITION_MIXED,ALL,765,59211,13.5,28.25,-14.75,-0.5221238938053098,5.5,10.25,0.75,10.5
C,HIGH_ACTIVITY,TRENDING,HIGH_ACTIVITY->TRENDING,IS,6075,36514,16.5,15.5,1.0,0.06451612903225806,6.5,6.25,0.5,12.5
C,HIGH_ACTIVITY,TRENDING,HIGH_ACTIVITY->TRENDING,Validation,2737,15313,45.5,43.75,1.75,0.04,19.0,18.5,0.75,34.25
C,HIGH_ACTIVITY,TRENDING,HIGH_ACTIVITY->TRENDING,OOS,1262,7384,69.0,68.0,1.0,0.014705882352941176,30.0,29.25,-1.0,51.75
C,HIGH_ACTIVITY,TRENDING,HIGH_ACTIVITY->TRENDING,ALL,10074,59211,30.25,28.25,2.0,0.07079646017699115,10.75,10.25,0.5,22.25
C,LOW_ACTIVITY,CHOP_RANGE,LOW_ACTIVITY->CHOP_RANGE,IS,3870,17291,5.0,5.0,0.0,0.0,2.0,2.0,0.25,4.0
C,LOW_ACTIVITY,CHOP_RANGE,LOW_ACTIVITY->CHOP_RANGE,Validation,371,1822,20.5,19.75,0.75,0.0379746835443038,7.75,8.0,0.5,15.0
C,LOW_ACTIVITY,CHOP_RANGE,LOW_ACTIVITY->CHOP_RANGE,OOS,377,1624,22.75,24.5,-1.75,-0.07142857142857142,8.25,9.75,-0.25,17.5
C,LOW_ACTIVITY,CHOP_RANGE,LOW_ACTIVITY->CHOP_RANGE,ALL,4618,20737,6.0,6.0,0.0,0.0,2.5,2.5,0.25,4.75
C,LOW_ACTIVITY,COMPRESSION,LOW_ACTIVITY->COMPRESSION,IS,1226,17291,5.5,5.0,0.5,0.1,2.25,2.0,0.25,4.25
C,LOW_ACTIVITY,COMPRESSION,LOW_ACTIVITY->COMPRESSION,Validation,123,1822,20.5,19.75,0.75,0.0379746835443038,8.5,8.0,3.5,15.25
C,LOW_ACTIVITY,COMPRESSION,LOW_ACTIVITY->COMPRESSION,OOS,121,1624,25.25,24.5,0.75,0.030612244897959183,9.25,9.75,0.0,18.25
C,LOW_ACTIVITY,COMPRESSION,LOW_ACTIVITY->COMPRESSION,ALL,1470,20737,6.25,6.0,0.25,0.041666666666666664,2.75,2.5,0.25,5.0
C,LOW_ACTIVITY,EXPANSION,LOW_ACTIVITY->EXPANSION,IS,656,17291,5.0,5.0,0.0,0.0,2.25,2.0,0.0,3.75
C,LOW_ACTIVITY,EXPANSION,LOW_ACTIVITY->EXPANSION,Validation,66,1822,18.25,19.75,-1.5,-0.0759493670886076,7.5,8.0,0.625,14.25
C,LOW_ACTIVITY,EXPANSION,LOW_ACTIVITY->EXPANSION,OOS,44,1624,23.375,24.5,-1.125,-0.04591836734693878,11.625,9.75,-6.25,18.875
C,LOW_ACTIVITY,EXPANSION,LOW_ACTIVITY->EXPANSION,ALL,766,20737,5.5,6.0,-0.5,-0.08333333333333333,2.5,2.5,0.0,4.25
C,LOW_ACTIVITY,TRANSITION_MIXED,LOW_ACTIVITY->TRANSITION_MIXED,IS,343,17291,6.0,5.0,1.0,0.2,2.5,2.0,0.75,4.75
C,LOW_ACTIVITY,TRANSITION_MIXED,LOW_ACTIVITY->TRANSITION_MIXED,Validation,50,1822,22.625,19.75,2.875,0.14556962025316456,12.5,8.0,2.625,19.0
C,LOW_ACTIVITY,TRANSITION_MIXED,LOW_ACTIVITY->TRANSITION_MIXED,OOS,43,1624,36.75,24.5,12.25,0.5,17.5,9.75,3.0,28.0
C,LOW_ACTIVITY,TRANSITION_MIXED,LOW_ACTIVITY->TRANSITION_MIXED,ALL,436,20737,7.5,6.0,1.5,0.25,3.375,2.5,0.75,6.25
C,LOW_ACTIVITY,TRENDING,LOW_ACTIVITY->TRENDING,IS,3210,17291,5.5,5.0,0.5,0.1,2.25,2.0,0.0,4.25
C,LOW_ACTIVITY,TRENDING,LOW_ACTIVITY->TRENDING,Validation,383,1822,21.25,19.75,1.5,0.0759493670886076,8.0,8.0,0.75,15.25
C,LOW_ACTIVITY,TRENDING,LOW_ACTIVITY->TRENDING,OOS,287,1624,26.0,24.5,1.5,0.061224489795918366,12.0,9.75,-2.25,20.0
C,LOW_ACTIVITY,TRENDING,LOW_ACTIVITY->TRENDING,ALL,3880,20737,6.75,6.0,0.75,0.125,2.75,2.5,0.0,5.25
C,TRANSITION_MIXED,CHOP_RANGE,TRANSITION_MIXED->CHOP_RANGE,IS,6308,27118,7.5,7.5,0.0,0.0,3.25,3.25,0.25,5.75
C,TRANSITION_MIXED,CHOP_RANGE,TRANSITION_MIXED->CHOP_RANGE,Validation,1548,7292,27.75,27.0,0.75,0.027777777777777776,11.75,11.75,1.875,21.25
C,TRANSITION_MIXED,CHOP_RANGE,TRANSITION_MIXED->CHOP_RANGE,OOS,939,4372,38.25,35.0,3.25,0.09285714285714286,16.5,14.5,2.75,29.25
C,TRANSITION_MIXED,CHOP_RANGE,TRANSITION_MIXED->CHOP_RANGE,ALL,8795,38782,11.5,12.0,-0.5,-0.041666666666666664,4.5,4.5,0.5,9.0
C,TRANSITION_MIXED,COMPRESSION,TRANSITION_MIXED->COMPRESSION,IS,1682,27118,8.25,7.5,0.75,0.1,3.75,3.25,0.25,6.5
C,TRANSITION_MIXED,COMPRESSION,TRANSITION_MIXED->COMPRESSION,Validation,521,7292,29.0,27.0,2.0,0.07407407407407407,13.0,11.75,0.5,22.5
C,TRANSITION_MIXED,COMPRESSION,TRANSITION_MIXED->COMPRESSION,OOS,270,4372,39.25,35.0,4.25,0.12142857142857143,16.0,14.5,2.875,29.0
C,TRANSITION_MIXED,COMPRESSION,TRANSITION_MIXED->COMPRESSION,ALL,2473,38782,14.5,12.0,2.5,0.20833333333333334,5.25,4.5,0.25,11.0
C,TRANSITION_MIXED,EXPANSION,TRANSITION_MIXED->EXPANSION,IS,1167,27118,6.75,7.5,-0.75,-0.1,2.75,3.25,0.0,5.25
C,TRANSITION_MIXED,EXPANSION,TRANSITION_MIXED->EXPANSION,Validation,232,7292,26.0,27.0,-1.0,-0.037037037037037035,11.5,11.75,0.875,19.25
C,TRANSITION_MIXED,EXPANSION,TRANSITION_MIXED->EXPANSION,OOS,159,4372,35.0,35.0,0.0,0.0,12.75,14.5,1.5,26.5
C,TRANSITION_MIXED,EXPANSION,TRANSITION_MIXED->EXPANSION,ALL,1558,38782,9.25,12.0,-2.75,-0.22916666666666666,4.0,4.5,0.0,7.0
C,TRANSITION_MIXED,HIGH_ACTIVITY,TRANSITION_MIXED->HIGH_ACTIVITY,IS,417,27118,7.25,7.5,-0.25,-0.03333333333333333,3.25,3.25,0.5,5.5
