mechanism,T_offset,horizon,split,n,win,mean,rate,n_high,follow_win,delta_win_vs_follow,delta_mean_vs_follow,delta_win_vs_long
vol_exp_dir,10,15,IS,279,0.5053763440860215,-0.5206093189964157,0.3402439024390244,820.0,0.4907749077490775,0.014601436336943996,0.5479638667354415,-0.009257802255441927
vol_exp_efficient,10,15,IS,99,0.5050505050505051,-1.5681818181818181,0.12073170731707317,820.0,0.4907749077490775,0.014275597301427578,-0.4996086324499609,-0.009583641290958345
hivol_efficient,10,15,IS,96,0.4895833333333333,0.8984375,0.11707317073170732,820.0,0.4907749077490775,-0.0011915744157441899,1.9670106857318572,-0.025050813008130113
HIGH_ALONE_FOLLOW,10,30,IS,813,0.5104551045510455,-0.29612546125461253,0.9914634146341463,,,,,
HIGH_ALONE_LONG,10,30,IS,820,0.5134146341463415,0.5804878048780487,1.0,,,,,
tod_high_vol_follow,10,30,IS,294,0.5306122448979592,-0.6879251700680272,0.35853658536585364,820.0,0.5104551045510455,0.020157140346913738,-0.3917997088134147,0.017197610751617742
tod_low_vol_follow,10,30,IS,268,0.5186567164179104,0.7145522388059702,0.32682926829268294,820.0,0.5104551045510455,0.008201611866864966,1.0106777000605827,0.005242082271568971
vol_pct_high_follow,10,30,IS,294,0.5306122448979592,-0.6879251700680272,0.35853658536585364,820.0,0.5104551045510455,0.020157140346913738,-0.3917997088134147,0.017197610751617742
vol_pct_low_follow,10,30,IS,268,0.5186567164179104,0.7145522388059702,0.32682926829268294,820.0,0.5104551045510455,0.008201611866864966,1.0106777000605827,0.005242082271568971
vol_accel_follow,10,30,IS,279,0.5340501792114696,-0.9399641577060932,0.3402439024390244,820.0,0.5104551045510455,0.023595074660424098,-0.6438386964514806,0.020635545065128102
