mechanism,T_offset,horizon,split,n,rate,win,mean,median,mean_mfe,mean_mae,mfe_gt_mae,n_high,delta_win_vs_follow,delta_mean_vs_follow,delta_win_vs_long,follow_win,follow_mean,long_win
structure_hhhl,25,30,Validation,182,0.896551724137931,0.5054945054945055,-0.6442307692307693,0.75,44.51373626373626,46.46291208791209,0.489010989010989,203.0,-0.0018946570670709262,-0.39546229632436536,-0.021599090564607848,0.5073891625615764,-0.24876847290640394,0.5270935960591133
structure_hhhl,25,10,OOS,110,0.9322033898305084,0.5454545454545454,5.902272727272727,4.125,50.55227272727273,37.231818181818184,0.5818181818181818,118.0,0.01155624036979963,0.05693374422187958,0.028505392912172578,0.5338983050847458,5.845338983050848,0.5169491525423728
structure_hhhl,25,15,OOS,110,0.9322033898305084,0.5454545454545454,5.036363636363636,3.375,56.52045454545455,44.44772727272727,0.5363636363636364,118.0,-0.013867488443759624,-2.328043143297381,0.0030816640986132127,0.559322033898305,7.364406779661017,0.5423728813559322
structure_hhhl,25,30,OOS,110,0.9322033898305084,0.5545454545454546,10.036363636363637,6.875,76.13863636363637,62.60909090909091,0.5727272727272728,118.0,0.003697996918335944,-1.7390600924499218,0.003697996918335944,0.5508474576271186,11.775423728813559,0.5508474576271186
structure_hhhl,25,10,ALL,963,0.8432574430823118,0.5005192107995846,1.1819833852544133,0.25,17.54932502596054,15.346053997923157,0.5244029075804777,1142.0,-0.0021123681477838163,0.11729040279827285,-0.02662614821967979,0.5026315789473684,1.0646929824561404,0.5271453590192644
structure_hhhl,25,15,ALL,963,0.8432574430823118,0.48909657320872274,1.0399792315680165,-0.25,20.319833852544132,18.29620976116303,0.5046728971962616,1142.0,-0.0012543039842597414,-0.32120497895829936,-0.031043531870086405,0.4903508771929825,1.3611842105263159,0.5201401050788091
structure_hhhl,25,30,ALL,963,0.8432574430823118,0.5212876427829699,1.562564901349948,0.75,27.194444444444443,25.001557632398754,0.5181723779854621,1142.0,-0.0015193747608897024,-0.269452642509701,-0.005857716236294497,0.5228070175438596,1.832017543859649,0.5271453590192644
structure_hhhl,30,10,IS,702,0.8550548112058465,0.47435897435897434,-0.1346153846153846,-0.25,8.70405982905983,8.137820512820513,0.5,821.0,-0.008484162895927627,-0.37358597285067874,-0.03843030700521566,0.48284313725490197,0.23897058823529413,0.51278928136419
structure_hhhl,30,15,IS,702,0.8550548112058465,0.48717948717948717,0.20548433048433049,0.0,10.340099715099715,9.726495726495726,0.5,821.0,-0.0005656108597285048,-0.20321664990782637,-0.025609794184702828,0.4877450980392157,0.40870098039215685,0.51278928136419
structure_hhhl,30,30,IS,702,0.8550548112058465,0.48148148148148145,-0.33796296296296297,-0.5,13.681980056980057,13.06908831908832,0.4985754985754986,821.0,0.004765795206971624,-0.47736247276688454,-0.04227004105201432,0.47671568627450983,0.13939950980392157,0.5237515225334958
