mechanism,T_offset,horizon,split,n,win,mean,rate,n_high,follow_win,delta_win_vs_follow,delta_mean_vs_follow
rev_short_vs_med,55,30,ALL,457,0.474835886214442,-2.219912472647702,0.389267461669506,1174.0,0.49872122762148335,-0.02388534140704135,-2.839051432579501
disagree_follow_short,55,30,ALL,457,0.5120350109409191,2.219912472647702,0.389267461669506,1174.0,0.49872122762148335,0.013313783319435724,1.6007735127159033
follow_5,55,30,ALL,1153,0.48742411101474414,-1.313529921942758,0.9821124361158433,1174.0,0.49872122762148335,-0.01129711660673921,-1.932668881874557
follow_15,55,30,ALL,1164,0.5008591065292096,-1.4583333333333333,0.9914821124361158,1174.0,0.49872122762148335,0.002137878907726265,-2.077472293265132
persist_5m,55,30,ALL,557,0.4919210053859964,-0.20870736086175942,0.4744463373083475,1174.0,0.49872122762148335,-0.00680022223548693,-0.8278463207935582
flip_5m,55,30,ALL,574,0.48257839721254353,-2.4986933797909407,0.4889267461669506,1174.0,0.49872122762148335,-0.016142830408939823,-3.1178323397227397
HIGH_ALONE_FOLLOW,60,10,IS,822,0.4586374695863747,0.11709245742092457,0.9963636363636363,,,,
HIGH_ALONE_LONG,60,10,IS,825,0.4909090909090909,-0.6972727272727273,1.0,,,,
align_1_5,60,10,IS,522,0.4559386973180077,-0.11733716475095786,0.6327272727272727,825.0,0.4586374695863747,-0.0026987722683670112,-0.23442962217188243
align_1_5_15,60,10,IS,370,0.44324324324324327,-0.13851351351351351,0.4484848484848485,825.0,0.4586374695863747,-0.015394226343131423,-0.2556059709344381
align_5_15,60,10,IS,544,0.43014705882352944,-0.13143382352941177,0.6593939393939394,825.0,0.4586374695863747,-0.028490410762845253,-0.24852628095033635
accel_with_med,60,10,IS,412,0.42475728155339804,-0.6699029126213593,0.4993939393939394,825.0,0.4586374695863747,-0.033880188032976655,-0.7869953700422838
rev_short_vs_med,60,10,IS,309,0.4563106796116505,0.127831715210356,0.37454545454545457,825.0,0.4586374695863747,-0.002326789974724186,0.010739257789431425
disagree_follow_short,60,10,IS,309,0.5307443365695793,-0.127831715210356,0.37454545454545457,825.0,0.4586374695863747,0.07210686698320462,-0.24492417263128058
follow_5,60,10,IS,804,0.4465174129353234,-0.1402363184079602,0.9745454545454545,825.0,0.4586374695863747,-0.012120056651051314,-0.25732877582888475
follow_15,60,10,IS,813,0.44157441574415746,-0.06519065190651907,0.9854545454545455,825.0,0.4586374695863747,-0.017063053842217235,-0.18228310932744363
persist_5m,60,10,IS,397,0.4357682619647355,0.17002518891687657,0.4812121212121212,825.0,0.4586374695863747,-0.022869207621639187,0.052932731495952
flip_5m,60,10,IS,387,0.46770025839793283,-0.4018087855297158,0.4690909090909091,825.0,0.4586374695863747,0.009062788811558142,-0.5189012429506403
HIGH_ALONE_FOLLOW,60,15,IS,822,0.4586374695863747,0.07025547445255474,0.9963636363636363,,,,
HIGH_ALONE_LONG,60,15,IS,825,0.48363636363636364,-0.8360606060606061,1.0,,,,
align_1_5,60,15,IS,522,0.4425287356321839,-0.09722222222222222,0.6327272727272727,825.0,0.4586374695863747,-0.016108733954190768,-0.16747769667477697
align_1_5_15,60,15,IS,370,0.4486486486486487,0.35,0.4484848484848485,825.0,0.4586374695863747,-0.009988820937726017,0.2797445255474452
align_5_15,60,15,IS,544,0.44485294117647056,0.15900735294117646,0.6593939393939394,825.0,0.4586374695863747,-0.013784528409904129,0.08875187848862172
accel_with_med,60,15,IS,412,0.46359223300970875,-0.02487864077669903,0.4993939393939394,825.0,0.4586374695863747,0.004954763423334063,-0.09513411522925377
rev_short_vs_med,60,15,IS,309,0.49514563106796117,0.6610032362459547,0.37454545454545457,825.0,0.4586374695863747,0.036508161481586476,0.5907477617933999
disagree_follow_short,60,15,IS,309,0.47572815533980584,-0.6610032362459547,0.37454545454545457,825.0,0.4586374695863747,0.017090685753431145,-0.7312587106985095
follow_5,60,15,IS,804,0.4427860696517413,-0.30006218905472637,0.9745454545454545,825.0,0.4586374695863747,-0.015851399934633414,-0.3703176635072811
follow_15,60,15,IS,813,0.4735547355473555,0.491389913899139,0.9854545454545455,825.0,0.4586374695863747,0.014917265960980808,0.42113443944658424
persist_5m,60,15,IS,397,0.43073047858942065,0.09760705289672544,0.4812121212121212,825.0,0.4586374695863747,-0.02790699099695404,0.0273515784441707
flip_5m,60,15,IS,387,0.45478036175710596,-0.6821705426356589,0.4690909090909091,825.0,0.4586374695863747,-0.0038571078292687355,-0.7524260170882137
HIGH_ALONE_FOLLOW,60,30,IS,822,0.4793187347931874,-0.3871654501216545,0.9963636363636363,,,,
HIGH_ALONE_LONG,60,30,IS,825,0.526060606060606,-0.12575757575757576,1.0,,,,
align_1_5,60,30,IS,522,0.48659003831417624,-0.01532567049808429,0.6327272727272727,825.0,0.4793187347931874,0.00727130352098887,0.3718397796235702
align_1_5_15,60,30,IS,370,0.4837837837837838,0.5621621621621622,0.4484848484848485,825.0,0.4793187347931874,0.00446504899059641,0.9493276122838167
align_5_15,60,30,IS,544,0.4724264705882353,0.46599264705882354,0.6593939393939394,825.0,0.4793187347931874,-0.006892264204952092,0.853158097180478
accel_with_med,60,30,IS,412,0.49514563106796117,0.4387135922330097,0.4993939393939394,825.0,0.4793187347931874,0.015826896274773794,0.8258790423546643
