mechanism,T_offset,horizon,split,n,rate,win,mean,n_high,follow_win,follow_mean,long_win,delta_win_vs_follow,delta_mean_vs_follow,delta_win_vs_long
rs_fade,10,30,ALL,1126,0.99822695035461,0.47602131438721135,-1.5392984014209592,1128.0,0.52007136485281,2.2711864406779663,0.5088652482269503,-0.04405005046559868,-3.8104848420989255,-0.03284393383973899
es_last5,10,10,ALL,1080,0.9574468085106383,0.48518518518518516,-1.0773148148148148,1128.0,0.4897413024085638,0.3728813559322034,0.500886524822695,-0.00455611722337862,-1.4501961707470183,-0.01570133963750986
es_last5,10,15,ALL,1080,0.9574468085106383,0.4888888888888889,-0.46828703703703706,1128.0,0.5102586975914363,1.1480820695807314,0.5088652482269503,-0.0213698087025474,-1.6163691066177686,-0.019976359338061467
es_last5,10,30,ALL,1080,0.9574468085106383,0.4962962962962963,-0.5918981481481481,1128.0,0.52007136485281,2.2711864406779663,0.5088652482269503,-0.023775068556513734,-2.8630845888261143,-0.012568951930654049
agree_nq_es,10,10,ALL,951,0.8430851063829787,0.480546792849632,-0.01971608832807571,1128.0,0.4897413024085638,0.3728813559322034,0.500886524822695,-0.009194509558931807,-0.3925974442602791,-0.020339731973063047
agree_nq_es,10,15,ALL,951,0.8430851063829787,0.501577287066246,0.7344900105152471,1128.0,0.5102586975914363,1.1480820695807314,0.5088652482269503,-0.008681410525190225,-0.41359205906548435,-0.007287961160704293
agree_nq_es,10,30,ALL,951,0.8430851063829787,0.5131440588853838,1.991850683491062,1128.0,0.52007136485281,2.2711864406779663,0.5088652482269503,-0.006927305967426189,-0.2793357571869042,0.004278810658433496
disagree_follow_es,10,10,ALL,150,0.13297872340425532,0.44666666666666666,-2.86,1128.0,0.4897413024085638,0.3728813559322034,0.500886524822695,-0.04307463574189713,-3.232881355932203,-0.05421985815602837
disagree_follow_es,10,15,ALL,150,0.13297872340425532,0.4266666666666667,-3.625,1128.0,0.5102586975914363,1.1480820695807314,0.5088652482269503,-0.08359203092476958,-4.773082069580731,-0.08219858156028365
disagree_follow_es,10,30,ALL,150,0.13297872340425532,0.4266666666666667,-3.9483333333333333,1128.0,0.52007136485281,2.2711864406779663,0.5088652482269503,-0.09340469818614333,-6.2195197740112995,-0.08219858156028365
disagree_follow_nq,10,10,ALL,150,0.13297872340425532,0.5533333333333333,2.86,1128.0,0.4897413024085638,0.3728813559322034,0.500886524822695,0.06359203092476956,2.4871186440677966,0.05244680851063832
disagree_follow_nq,10,15,ALL,150,0.13297872340425532,0.56,3.625,1128.0,0.5102586975914363,1.1480820695807314,0.5088652482269503,0.04974130240856378,2.4769179304192686,0.051134751773049714
disagree_follow_nq,10,30,ALL,150,0.13297872340425532,0.5666666666666667,3.9483333333333333,1128.0,0.52007136485281,2.2711864406779663,0.5088652482269503,0.04659530181385663,1.677146892655367,0.05780141843971631
HIGH_ALONE_LONG,15,10,IS,820,1.0,0.4817073170731707,-0.012195121951219513,,,,,,,
HIGH_ALONE_FOLLOW,15,10,IS,819,0.998780487804878,0.5067155067155067,0.5009157509157509,,,,,,,
HIGH_ALONE_LONG,15,15,IS,820,1.0,0.5036585365853659,0.21341463414634146,,,,,,,
HIGH_ALONE_FOLLOW,15,15,IS,819,0.998780487804878,0.5128205128205128,0.648962148962149,,,,,,,
HIGH_ALONE_LONG,15,30,IS,820,1.0,0.5048780487804878,-0.1576219512195122,,,,,,,
HIGH_ALONE_FOLLOW,15,30,IS,819,0.998780487804878,0.5299145299145299,1.2637362637362637,,,,,,,
follow_es,15,10,IS,806,0.9829268292682927,0.5074441687344913,1.0468362282878412,820.0,0.5067155067155067,0.5009157509157509,0.4817073170731707,0.0007286620189845827,0.5459204773720903,0.02573685166132056
follow_es,15,15,IS,806,0.9829268292682927,0.5099255583126551,1.2078163771712158,820.0,0.5128205128205128,0.648962148962149,0.5036585365853659,-0.0028949545078577055,0.5588542282090668,0.006267021727289213
follow_es,15,30,IS,806,0.9829268292682927,0.5260545905707196,1.4972084367245657,820.0,0.5299145299145299,1.2637362637362637,0.5048780487804878,-0.003859939343810348,0.23347217298830203,0.021176541790231762
rs_continue,15,10,IS,820,1.0,0.4926829268292683,0.3432926829268293,820.0,0.5067155067155067,0.5009157509157509,0.4817073170731707,-0.014032579886238405,-0.15762306798892162,0.01097560975609757
rs_continue,15,15,IS,820,1.0,0.4951219512195122,0.3432926829268293,820.0,0.5128205128205128,0.648962148962149,0.5036585365853659,-0.017698561601000584,-0.3056694660353197,-0.008536585365853666
rs_continue,15,30,IS,820,1.0,0.5207317073170732,0.6972560975609756,820.0,0.5299145299145299,1.2637362637362637,0.5048780487804878,-0.00918282259745673,-0.5664801661752881,0.01585365853658538
rs_fade,15,10,IS,820,1.0,0.4926829268292683,-0.3432926829268293,820.0,0.5067155067155067,0.5009157509157509,0.4817073170731707,-0.014032579886238405,-0.8442084338425802,0.01097560975609757
rs_fade,15,15,IS,820,1.0,0.49146341463414633,-0.3432926829268293,820.0,0.5128205128205128,0.648962148962149,0.5036585365853659,-0.02135709818636644,-0.9922548318889783,-0.012195121951219523
rs_fade,15,30,IS,820,1.0,0.46707317073170734,-0.6972560975609756,820.0,0.5299145299145299,1.2637362637362637,0.5048780487804878,-0.06284135918282258,-1.9609923612972393,-0.037804878048780466
es_last5,15,10,IS,770,0.9390243902439024,0.4961038961038961,0.43376623376623374,820.0,0.5067155067155067,0.5009157509157509,0.4817073170731707,-0.010611610611610589,-0.06714951714951717,0.014396579030725387
es_last5,15,15,IS,770,0.9390243902439024,0.4922077922077922,0.2318181818181818,820.0,0.5128205128205128,0.648962148962149,0.5036585365853659,-0.02061272061272057,-0.4171439671439672,-0.011450744377573652
es_last5,15,30,IS,770,0.9390243902439024,0.4974025974025974,-0.21201298701298701,820.0,0.5299145299145299,1.2637362637362637,0.5048780487804878,-0.03251193251193252,-1.4757492507492507,-0.0074754513778904075
agree_nq_es,15,10,IS,673,0.8207317073170731,0.5066864784546805,0.9201337295690936,820.0,0.5067155067155067,0.5009157509157509,0.4817073170731707,-2.9028260826180485e-05,0.41921797865334265,0.024979161381509796
agree_nq_es,15,15,IS,673,0.8207317073170731,0.512630014858841,1.1021545319465083,820.0,0.5128205128205128,0.648962148962149,0.5036585365853659,-0.00019049796167180943,0.45319238298435927,0.008971478273475109
agree_nq_es,15,30,IS,673,0.8207317073170731,0.5319465081723626,1.5950965824665677,820.0,0.5299145299145299,1.2637362637362637,0.5048780487804878,0.002031978257832634,0.331360318730304,0.027068459391874744
disagree_follow_es,15,10,IS,132,0.16097560975609757,0.5075757575757576,1.6723484848484849,820.0,0.5067155067155067,0.5009157509157509,0.4817073170731707,0.0008602508602508774,1.171432733932734,0.025868440502586854
disagree_follow_es,15,15,IS,132,0.16097560975609757,0.49242424242424243,1.7102272727272727,820.0,0.5128205128205128,0.648962148962149,0.5036585365853659,-0.020396270396270344,1.0612651237651236,-0.011234294161123426
disagree_follow_es,15,30,IS,132,0.16097560975609757,0.49242424242424243,0.9772727272727273,820.0,0.5299145299145299,1.2637362637362637,0.5048780487804878,-0.03749028749028749,-0.2864635364635364,-0.012453806356245378
disagree_follow_nq,15,10,IS,132,0.16097560975609757,0.49242424242424243,-1.6723484848484849,820.0,0.5067155067155067,0.5009157509157509,0.4817073170731707,-0.01429126429126426,-2.1732642357642358,0.010716925351071716
disagree_follow_nq,15,15,IS,132,0.16097560975609757,0.5075757575757576,-1.7102272727272727,820.0,0.5128205128205128,0.648962148962149,0.5036585365853659,-0.005244755244755206,-2.359189421689422,0.003917220990391712
disagree_follow_nq,15,30,IS,132,0.16097560975609757,0.5,-0.9772727272727273,820.0,0.5299145299145299,1.2637362637362637,0.5048780487804878,-0.02991452991452992,-2.241008991008991,-0.004878048780487809
HIGH_ALONE_LONG,15,10,Validation,222,1.0,0.536036036036036,3.1328828828828827,,,,,,,
HIGH_ALONE_FOLLOW,15,10,Validation,222,1.0,0.5045045045045045,0.9932432432432432,,,,,,,
HIGH_ALONE_LONG,15,15,Validation,222,1.0,0.5225225225225225,2.5664414414414414,,,,,,,
HIGH_ALONE_FOLLOW,15,15,Validation,222,1.0,0.536036036036036,1.3164414414414414,,,,,,,
HIGH_ALONE_LONG,15,30,Validation,222,1.0,0.5585585585585585,1.0326576576576576,,,,,,,
HIGH_ALONE_FOLLOW,15,30,Validation,222,1.0,0.5,1.4087837837837838,,,,,,,
follow_es,15,10,Validation,220,0.990990990990991,0.5,-0.865909090909091,222.0,0.5045045045045045,0.9932432432432432,0.536036036036036,-0.0045045045045044585,-1.8591523341523342,-0.036036036036036
follow_es,15,15,Validation,220,0.990990990990991,0.5318181818181819,-0.4784090909090909,222.0,0.536036036036036,1.3164414414414414,0.5225225225225225,-0.0042178542178541445,-1.7948505323505324,0.009295659295659342
follow_es,15,30,Validation,220,0.990990990990991,0.4954545454545455,1.3522727272727273,222.0,0.5,1.4087837837837838,0.5585585585585585,-0.004545454545454519,-0.05651105651105648,-0.06310401310401303
rs_continue,15,10,Validation,222,1.0,0.481981981981982,1.6283783783783783,222.0,0.5045045045045045,0.9932432432432432,0.536036036036036,-0.02252252252252246,0.6351351351351351,-0.054054054054054
rs_continue,15,15,Validation,222,1.0,0.5135135135135135,1.9966216216216217,222.0,0.536036036036036,1.3164414414414414,0.5225225225225225,-0.022522522522522515,0.6801801801801803,-0.009009009009009028
rs_continue,15,30,Validation,222,1.0,0.5135135135135135,4.082207207207207,222.0,0.5,1.4087837837837838,0.5585585585585585,0.013513513513513487,2.6734234234234235,-0.04504504504504503
rs_fade,15,10,Validation,222,1.0,0.5180180180180181,-1.6283783783783783,222.0,0.5045045045045045,0.9932432432432432,0.536036036036036,0.013513513513513598,-2.6216216216216215,-0.018018018018017945
rs_fade,15,15,Validation,222,1.0,0.4864864864864865,-1.9966216216216217,222.0,0.536036036036036,1.3164414414414414,0.5225225225225225,-0.04954954954954949,-3.313063063063063,-0.036036036036036
rs_fade,15,30,Validation,222,1.0,0.4864864864864865,-4.082207207207207,222.0,0.5,1.4087837837837838,0.5585585585585585,-0.013513513513513487,-5.490990990990991,-0.072072072072072
es_last5,15,10,Validation,218,0.9819819819819819,0.44954128440366975,-2.205275229357798,222.0,0.5045045045045045,0.9932432432432432,0.536036036036036,-0.05496322010083471,-3.198518472601041,-0.08649475163236625
es_last5,15,15,Validation,218,0.9819819819819819,0.463302752293578,-3.654816513761468,222.0,0.536036036036036,1.3164414414414414,0.5225225225225225,-0.07273328374245802,-4.971257955202909,-0.059219770228944535
es_last5,15,30,Validation,218,0.9819819819819819,0.4724770642201835,-4.993119266055046,222.0,0.5,1.4087837837837838,0.5585585585585585,-0.027522935779816515,-6.401903049838829,-0.08608149433837503
agree_nq_es,15,10,Validation,193,0.8693693693693694,0.5025906735751295,0.12176165803108809,222.0,0.5045045045045045,0.9932432432432432,0.536036036036036,-0.0019138309293749156,-0.8714815852121551,-0.03344536246090646
agree_nq_es,15,15,Validation,193,0.8693693693693694,0.538860103626943,0.4896373056994819,222.0,0.536036036036036,1.3164414414414414,0.5225225225225225,0.002824067590907031,-0.8268041357419595,0.016337581104420518
agree_nq_es,15,30,Validation,193,0.8693693693693694,0.49740932642487046,1.7020725388601037,222.0,0.5,1.4087837837837838,0.5585585585585585,-0.002590673575129543,0.2932887550763199,-0.06114923213368806
disagree_follow_es,15,10,Validation,27,0.12162162162162163,0.48148148148148145,-7.925925925925926,222.0,0.5045045045045045,0.9932432432432432,0.536036036036036,-0.023023023023023004,-8.91916916916917,-0.054554554554554546
disagree_follow_es,15,15,Validation,27,0.12162162162162163,0.48148148148148145,-7.398148148148148,222.0,0.536036036036036,1.3164414414414414,0.5225225225225225,-0.054554554554554546,-8.71458958958959,-0.04104104104104106
