split,instrument,horizon_m,feature,target,n,spearman
Discovery,es,60,d30_surf_oi_gamma_balance,ret,6536,-6.769146979829764e-05
Discovery,es,60,d30_surf_oi_gamma_balance,absret,6536,0.037623059244135885
Discovery,es,60,d30_surf_oi_gamma_balance,rv,6535,0.04961016982119952
Discovery,es,60,d30_surf_atm_oi_gamma_abs_share,ret,6480,-0.023668974893550097
Discovery,es,60,d30_surf_atm_oi_gamma_abs_share,absret,6480,0.08894572575815647
Discovery,es,60,d30_surf_atm_oi_gamma_abs_share,rv,6479,0.1793098663556255
Discovery,es,60,d30_surf_iv_atm,ret,6536,-0.04524115104205246
Discovery,es,60,d30_surf_iv_atm,absret,6536,0.04244839709997765
Discovery,es,60,d30_surf_iv_atm,rv,6535,0.0695503046647976
Discovery,es,60,d30_surf_iv_skew_wing,ret,6536,-0.022021845526566653
Discovery,es,60,d30_surf_iv_skew_wing,absret,6536,-0.03442225538577943
Discovery,es,60,d30_surf_iv_skew_wing,rv,6535,-0.07567300858521307
Discovery,es,60,d30_volg_gamma_sum,ret,6536,-0.02589228358495401
Discovery,es,60,d30_volg_gamma_sum,absret,6536,0.043437222670229474
Discovery,es,60,d30_volg_gamma_sum,rv,6535,0.09004431413618229
Discovery,es,120,surf_oi_gamma_sum,ret,7608,0.01765295245587748
Discovery,es,120,surf_oi_gamma_sum,absret,7608,-0.14446260690295665
Discovery,es,120,surf_oi_gamma_sum,rv,7607,-0.23046895166337875
Discovery,es,120,surf_oi_gamma_balance,ret,7608,0.0082945967992516
Discovery,es,120,surf_oi_gamma_balance,absret,7608,-0.08160668779716142
Discovery,es,120,surf_oi_gamma_balance,rv,7607,-0.1192185666727993
Discovery,es,120,surf_oi_gamma_pc_asym,ret,7608,-0.14359145623656108
Discovery,es,120,surf_oi_gamma_pc_asym,absret,7608,0.1974511269713045
Discovery,es,120,surf_oi_gamma_pc_asym,rv,7607,0.33499765550248045
Discovery,es,120,surf_atm_oi_gamma_abs_share,ret,7545,0.01607856851567529
Discovery,es,120,surf_atm_oi_gamma_abs_share,absret,7545,-0.25128024871005045
Discovery,es,120,surf_atm_oi_gamma_abs_share,rv,7544,-0.4205696947008333
Discovery,es,120,surf_near_oi_gamma_abs_share,ret,7545,0.020350672090859362
Discovery,es,120,surf_near_oi_gamma_abs_share,absret,7545,-0.24782680685630595
