feature,split,instrument,horizon_m,tercile,n,ret_mean,ret_median,absret_mean,rv_mean,up_rate
surf_oi_gamma_balance,Discovery,es,5,mid,2354,-3.3439050620209685e-06,5.863000544603647e-05,0.0006593972627026404,0.0007781967479583684,0.5084961767204758
surf_oi_gamma_balance,Discovery,es,5,high,3014,-3.5542616917930843e-07,0.0,0.0004548663078120546,0.0005698540224439567,0.4721300597213006
surf_oi_gamma_balance,Discovery,es,15,low,2240,5.6841200042557606e-05,8.19506750401322e-05,0.001116202664156672,0.0014430086215956692,0.5133928571428571
surf_oi_gamma_balance,Discovery,es,15,mid,2354,-3.673185803065308e-05,5.744155795783801e-05,0.0010596816412516807,0.0013210234937594406,0.5038232795242141
surf_oi_gamma_balance,Discovery,es,15,high,3014,3.336320341349562e-05,2.907652942540917e-05,0.0007010735562010396,0.0009657394533588568,0.5
surf_oi_gamma_balance,Discovery,es,30,low,2240,6.832151983918049e-05,9.717231949546434e-05,0.0014660089511229482,0.001954716217525941,0.5232142857142857
surf_oi_gamma_balance,Discovery,es,30,mid,2354,-8.798441407762854e-05,6.697297373914335e-05,0.0014217269486464408,0.0018441919015039438,0.5067969413763806
surf_oi_gamma_balance,Discovery,es,30,high,3014,6.621667368255601e-05,9.331445977678321e-05,0.000974658544216471,0.0013441507103934085,0.5205706702057067
surf_oi_gamma_balance,Discovery,es,60,low,2240,0.00010617991667634926,0.00011840269621565813,0.0019833517568387782,0.002710350190120046,0.5245535714285714
surf_oi_gamma_balance,Discovery,es,60,mid,2354,-0.00021909254646762004,0.0,0.001973284016695263,0.0025742728769728553,0.4970263381478335
surf_oi_gamma_balance,Discovery,es,60,high,3014,0.00013975342987784835,0.00017367142547142222,0.001370811833087457,0.0018680242763109707,0.5335102853351028
surf_oi_gamma_balance,Discovery,es,120,low,2240,0.00014442337604918314,0.00021717976171342634,0.002540677144527268,0.003578382794825128,0.5397321428571429
surf_oi_gamma_balance,Discovery,es,120,mid,2354,-0.000373611943220941,0.0,0.002642060836902634,0.00347499384716232,0.4953271028037383
surf_oi_gamma_balance,Discovery,es,120,high,3014,0.0002633198505749836,0.00023142802176123745,0.0018235466503673877,0.0025074931106335028,0.5461181154611812
surf_oi_gamma_balance,Discovery,nq,5,low,2239,2.1933078852297113e-05,5.1861840058009534e-05,0.0008603086786052757,0.0010427575868743257,0.5185350602947745
surf_oi_gamma_balance,Discovery,nq,5,mid,2354,-1.2626247119799046e-06,7.148041799764915e-05,0.000865817519929856,0.0009657281023085414,0.5318606627017842
surf_oi_gamma_balance,Discovery,nq,5,high,3014,7.187383278825729e-06,3.7317623484134366e-05,0.0005975421492957687,0.0007135516753639115,0.5096217650962177
