protocol,placebo,instrument,horizon_m,target,model,n_train,n_test,r2_A,r2_ext,delta_r2,n_feat_A,n_feat_ext
fit_Discovery_score_Validation,shift_back_1,nq,60,rv,atm_share_only,6479,4409,0.5289600449717409,0.5319207677508246,0.0029607227790837687,6,7
fit_Discovery_score_Validation,shift_back_1,nq,60,rv,B_oi_gamma,5899,4032,0.507386566873276,0.5110881627454491,0.0037015958721731135,6,15
fit_Discovery_score_Validation,shift_back_2,es,15,rv,atm_share_only,5899,4032,0.5134849707835567,0.5128950897483644,-0.0005898810351923078,6,7
fit_Discovery_score_Validation,shift_back_2,es,15,rv,B_oi_gamma,5319,3655,0.49798527103857204,0.4981376424237285,0.00015237138515644677,6,15
fit_Discovery_score_Validation,shift_back_2,es,30,rv,atm_share_only,5899,4032,0.5668084880488257,0.5674080435961402,0.0005995555473145009,6,7
fit_Discovery_score_Validation,shift_back_2,es,30,rv,B_oi_gamma,5319,3655,0.553581451634608,0.5587683885046825,0.005186936870074432,6,15
fit_Discovery_score_Validation,shift_back_2,es,60,rv,atm_share_only,5899,4032,0.5233668684440393,0.5230782994414995,-0.000288569002539818,6,7
fit_Discovery_score_Validation,shift_back_2,es,60,rv,B_oi_gamma,5319,3655,0.5103977909515394,0.5124984727375915,0.002100681786052161,6,15
fit_Discovery_score_Validation,shift_back_2,nq,15,rv,atm_share_only,5899,4032,0.473672953130142,0.4749179253888631,0.001244972258721111,6,7
fit_Discovery_score_Validation,shift_back_2,nq,15,rv,B_oi_gamma,5319,3655,0.4543429181039007,0.45564611426464685,0.001303196160746145,6,15
fit_Discovery_score_Validation,shift_back_2,nq,30,rv,atm_share_only,5899,4032,0.5491479656956039,0.5488985420885766,-0.00024942360702728816,6,7
fit_Discovery_score_Validation,shift_back_2,nq,30,rv,B_oi_gamma,5319,3655,0.5314182015011709,0.5332066224150932,0.001788420913922284,6,15
fit_Discovery_score_Validation,shift_back_2,nq,60,rv,atm_share_only,5899,4032,0.507386566873276,0.5093074746085149,0.001920907735238897,6,7
fit_Discovery_score_Validation,shift_back_2,nq,60,rv,B_oi_gamma,5319,3655,0.48887288391975026,0.49200841066081646,0.003135526741066208,6,15
fit_Discovery_score_Validation,wrong_day,es,15,rv,atm_share_only,5323,4658,0.556709222400469,0.5573908314458573,0.0006816090453882762,6,7
fit_Discovery_score_Validation,wrong_day,es,15,rv,B_oi_gamma,4571,4273,0.5285605694553934,0.534735729781377,0.006175160325983531,6,15
fit_Discovery_score_Validation,wrong_day,es,30,rv,atm_share_only,5323,4658,0.6023015519724565,0.6076317037295065,0.0053301517570499835,6,7
fit_Discovery_score_Validation,wrong_day,es,30,rv,B_oi_gamma,4571,4273,0.5763730812591307,0.5998452686368875,0.023472187377756804,6,15
fit_Discovery_score_Validation,wrong_day,es,60,rv,atm_share_only,5323,4658,0.5680818541612804,0.571037955967604,0.0029561018063235522,6,7
fit_Discovery_score_Validation,wrong_day,es,60,rv,B_oi_gamma,4571,4273,0.5346753992993709,0.5595312508239894,0.024855851524618444,6,15
fit_Discovery_score_Validation,wrong_day,nq,15,rv,atm_share_only,5323,4658,0.5325479189111073,0.5325409478267848,-6.971084322460186e-06,6,7
fit_Discovery_score_Validation,wrong_day,nq,15,rv,B_oi_gamma,4571,4273,0.49939728767682146,0.5019502814943406,0.002552993817519167,6,15
fit_Discovery_score_Validation,wrong_day,nq,30,rv,atm_share_only,5323,4658,0.5981082786521731,0.5989974320139023,0.0008891533617292335,6,7
fit_Discovery_score_Validation,wrong_day,nq,30,rv,B_oi_gamma,4571,4273,0.5675192368247541,0.5822602298694066,0.014740993044652484,6,15
fit_Discovery_score_Validation,wrong_day,nq,60,rv,atm_share_only,5323,4658,0.5636039456587916,0.5640607487019196,0.0004568030431280068,6,7
fit_Discovery_score_Validation,wrong_day,nq,60,rv,B_oi_gamma,4571,4273,0.5236592595094576,0.544500303520165,0.02084104401070741,6,15
fit_DiscVal_score_OOS,identity,es,15,rv,atm_share_only,12361,870,0.33173726836465756,0.33212827442808057,0.00039100606342301614,6,7
fit_DiscVal_score_OOS,identity,es,15,rv,B_oi_gamma,10888,802,0.32803236225730403,0.33976668023639844,0.01173431797909441,6,15
fit_DiscVal_score_OOS,identity,es,30,rv,atm_share_only,12361,870,0.3892783846774507,0.400960300811371,0.011681916133920334,6,7
fit_DiscVal_score_OOS,identity,es,30,rv,B_oi_gamma,10888,802,0.38178210735693585,0.3960514736055163,0.01426936624858044,6,15
fit_DiscVal_score_OOS,identity,es,60,rv,atm_share_only,12361,870,0.37032277921173784,0.38472546238659366,0.014402683174855824,6,7
fit_DiscVal_score_OOS,identity,es,60,rv,B_oi_gamma,10888,802,0.359056350877336,0.3884170964192748,0.029360745541938793,6,15
fit_DiscVal_score_OOS,identity,nq,15,rv,atm_share_only,12361,870,0.3048579532376612,0.3043160510980304,-0.0005419021396307899,6,7
fit_DiscVal_score_OOS,identity,nq,15,rv,B_oi_gamma,10888,802,0.2649552002606388,0.26301445719308336,-0.0019407430675554282,6,15
fit_DiscVal_score_OOS,identity,nq,30,rv,atm_share_only,12361,870,0.33250038541733107,0.3282610809569291,-0.004239304460401994,6,7
fit_DiscVal_score_OOS,identity,nq,30,rv,B_oi_gamma,10888,802,0.2979388200005779,0.27965235258590837,-0.01828646741466955,6,15
fit_DiscVal_score_OOS,identity,nq,60,rv,atm_share_only,12361,870,0.30710336640734626,0.3134145031895814,0.0063111367822351605,6,7
fit_DiscVal_score_OOS,identity,nq,60,rv,B_oi_gamma,10888,802,0.2721288826066188,0.27379842737351734,0.001669544766898512,6,15
fit_DiscVal_score_OOS,permute_rows,es,15,rv,atm_share_only,12361,870,0.3317901490264419,0.3318737999327642,8.365090632234118e-05,6,7
fit_DiscVal_score_OOS,permute_rows,es,15,rv,B_oi_gamma,11047,803,0.33016057238037955,0.3303848822546718,0.00022430987429222782,6,15
fit_DiscVal_score_OOS,permute_rows,es,30,rv,atm_share_only,12361,870,0.3895703943364779,0.3888456355616241,-0.0007247587748537843,6,7
