protocol,year,instrument,horizon_m,target,model,n_train,n_test,r2_A,r2_ext,delta_r2,n_feat_A,n_feat_ext
fit_Discovery_score_year,2024,nq,30,rv,B_oi_gamma,6479,802,0.2881753231663867,0.2723912357263777,-0.01578408744000903,6,15
loo_Discovery_year,2016,nq,60,rv,atm_share_only,7126,418,0.6053419426604121,0.6186168876643747,0.013274945003962646,6,7
loo_Discovery_year,2016,nq,60,rv,B_oi_gamma,6125,354,0.6984285787857779,0.6803307845569131,-0.018097794228864816,6,15
loo_Discovery_year,2017,nq,60,rv,atm_share_only,6126,1418,0.5737806224861339,0.5793854422933056,0.005604819807171646,6,7
loo_Discovery_year,2017,nq,60,rv,B_oi_gamma,5260,1219,0.5722106379404197,0.5675460419651102,-0.004664595975309549,6,15
loo_Discovery_year,2018,nq,60,rv,atm_share_only,6200,1344,0.74462781339226,0.7425308011469572,-0.0020970122453027873,6,7
loo_Discovery_year,2018,nq,60,rv,B_oi_gamma,5326,1153,0.7756994001491084,0.7837763087174626,0.00807690856835419,6,15
loo_Discovery_year,2019,nq,60,rv,atm_share_only,6097,1447,0.4464981260892511,0.44539276337546085,-0.0011053627137902478,6,7
loo_Discovery_year,2019,nq,60,rv,B_oi_gamma,5234,1245,0.4557490689083794,0.4418988402654367,-0.013850228642942719,6,15
loo_Discovery_year,2020,nq,60,rv,atm_share_only,6084,1460,0.7540736567279156,0.7390170079268509,-0.01505664880106472,6,7
loo_Discovery_year,2020,nq,60,rv,B_oi_gamma,5223,1256,0.7909045268522128,0.7945100689437933,0.0036055420915804826,6,15
loo_Discovery_year,2021,nq,60,rv,atm_share_only,6087,1457,0.6868878637210687,0.6968553874919936,0.009967523770924913,6,7
loo_Discovery_year,2021,nq,60,rv,B_oi_gamma,5227,1252,0.7060429696449539,0.7156515963146721,0.009608626669718179,6,15
fit_Discovery_score_year,2022,nq,60,rv,atm_share_only,7544,2227,0.46768140759108745,0.4693731560115172,0.0016917484204297395,6,7
fit_Discovery_score_year,2022,nq,60,rv,B_oi_gamma,6479,2022,0.4236136240384434,0.4467256746652146,0.02311205062677124,6,15
fit_Discovery_score_year,2023,nq,60,rv,atm_share_only,7544,2590,0.474875559862606,0.4812174824798213,0.006341922617215334,6,7
fit_Discovery_score_year,2023,nq,60,rv,B_oi_gamma,6479,2387,0.4171574274031511,0.4430391093048752,0.02588168190172413,6,15
fit_Discovery_score_year,2024,nq,60,rv,atm_share_only,7544,870,0.30358894569122197,0.31231827325312744,0.008729327561905476,6,7
fit_Discovery_score_year,2024,nq,60,rv,B_oi_gamma,6479,802,0.256172918799792,0.2643558413948436,0.0081829225950516,6,15
