protocol,train,test,instrument,horizon_m,target,model,n_train,n_test,r2_A,r2_ext,delta_r2,n_feat_A,n_feat_ext
fit_Discovery_score_Validation,Discovery,Validation,nq,5,absret,B_oi_gamma,6479,4409,0.13533056438855284,0.1377190771796769,0.0023885127911240644,6,15
fit_Discovery_score_Validation,Discovery,Validation,nq,5,absret,C_volg_skew,6479,4409,0.13533056438855284,0.12430233243312494,-0.011028231955427903,6,13
fit_Discovery_score_Validation,Discovery,Validation,nq,5,absret,atm_share_only,7544,4817,0.14563143497038833,0.14786005472486285,0.0022286197544745256,6,7
fit_Discovery_score_Validation,Discovery,Validation,nq,5,absret,family_volg,6535,4409,0.13573142703995456,0.12443163470399621,-0.011299792335958347,6,9
fit_Discovery_score_Validation,Discovery,Validation,nq,5,absret,family_skew,6479,4409,0.13533056438855284,0.1350126863695854,-0.0003178780189674324,6,10
fit_Discovery_score_Validation,Discovery,Validation,nq,5,absret,family_iv_vs_no_iv,7607,4817,0.1426682944236296,0.14686559895423568,0.004197304530606072,5,6
fit_Discovery_score_Validation,Discovery,Validation,nq,5,ret,B_oi_gamma,6479,4409,-0.004617171992445934,-0.004388518393612761,0.00022865359883317282,6,15
fit_Discovery_score_Validation,Discovery,Validation,nq,5,ret,C_volg_skew,6479,4409,-0.004617171992445934,-0.010929705679030732,-0.006312533686584798,6,13
fit_Discovery_score_Validation,Discovery,Validation,nq,5,ret,atm_share_only,7544,4817,-0.00805015981203927,-0.00824753062327832,-0.00019737081123905043,6,7
fit_Discovery_score_Validation,Discovery,Validation,nq,5,ret,family_volg,6535,4409,-0.0053891078856855845,-0.0074104679008335506,-0.002021360015147966,6,9
fit_Discovery_score_Validation,Discovery,Validation,nq,5,ret,family_skew,6479,4409,-0.004617171992445934,-0.007221117584713221,-0.002603945592267287,6,10
fit_Discovery_score_Validation,Discovery,Validation,nq,5,ret,family_iv_vs_no_iv,7607,4817,-0.008092699336495146,-0.00873225495419594,-0.0006395556177007933,5,6
fit_Discovery_score_Validation,Discovery,Validation,nq,15,rv,B_oi_gamma,6479,4409,0.5008516908499112,0.5038402994532163,0.0029886086033050763,6,15
fit_Discovery_score_Validation,Discovery,Validation,nq,15,rv,C_volg_skew,6479,4409,0.5008516908499112,0.498064344925379,-0.002787345924532225,6,13
fit_Discovery_score_Validation,Discovery,Validation,nq,15,rv,atm_share_only,7544,4817,0.5296430435145398,0.529464480130688,-0.00017856338385180415,6,7
fit_Discovery_score_Validation,Discovery,Validation,nq,15,rv,family_volg,6535,4409,0.5010636134974125,0.5002085874303248,-0.0008550260670876497,6,9
fit_Discovery_score_Validation,Discovery,Validation,nq,15,rv,family_skew,6479,4409,0.5008516908499112,0.4987033498556833,-0.002148340994227893,6,10
fit_Discovery_score_Validation,Discovery,Validation,nq,15,rv,family_iv_vs_no_iv,7607,4817,0.5178085922877407,0.5302292183141206,0.012420626026379944,5,6
fit_Discovery_score_Validation,Discovery,Validation,nq,15,absret,B_oi_gamma,6479,4409,0.17105227997850647,0.17090580487877216,-0.00014647509973431116,6,15
fit_Discovery_score_Validation,Discovery,Validation,nq,15,absret,C_volg_skew,6479,4409,0.17105227997850647,0.15846142687997633,-0.012590853098530141,6,13
fit_Discovery_score_Validation,Discovery,Validation,nq,15,absret,atm_share_only,7544,4817,0.17632590522677016,0.17617659000107988,-0.000149315225690283,6,7
fit_Discovery_score_Validation,Discovery,Validation,nq,15,absret,family_volg,6535,4409,0.17194031493388517,0.16157816920422008,-0.010362145729665095,6,9
fit_Discovery_score_Validation,Discovery,Validation,nq,15,absret,family_skew,6479,4409,0.17105227997850647,0.16841987725807483,-0.002632402720431637,6,10
fit_Discovery_score_Validation,Discovery,Validation,nq,15,absret,family_iv_vs_no_iv,7607,4817,0.17378926046812582,0.17755236517165596,0.00376310470353014,5,6
fit_Discovery_score_Validation,Discovery,Validation,nq,15,ret,B_oi_gamma,6479,4409,-0.0024669257117315713,-0.0027517929936569097,-0.0002848672819253384,6,15
fit_Discovery_score_Validation,Discovery,Validation,nq,15,ret,C_volg_skew,6479,4409,-0.0024669257117315713,-0.007529930278833197,-0.0050630045671016255,6,13
