session_date,price,index,volume,is_major,basin_share,location
2026-04-08,25031.0,312,1600.0,True,0.36178167396212685,0.2462509865824783
2026-04-08,25155.0,808,1123.0,True,0.15830357813655363,0.6377269139700079
2026-04-08,25200.0,988,907.0,True,0.17059118929841002,0.7797947908445146
2026-04-08,25250.0,1188,1277.0,True,0.17497637378063005,0.9376479873717443
2026-04-09,25234.0,164,751.0,False,0.15146303949876389,0.205
2026-04-09,25260.0,268,1238.0,True,0.19080611070222123,0.335
2026-04-09,25280.0,348,1432.0,True,0.19615391873785126,0.435
2026-04-09,25300.0,428,1532.0,True,0.13069693710015287,0.535
2026-04-09,25320.0,508,953.0,True,0.152003245956708,0.635
2026-04-09,25350.0,628,1160.0,True,0.17887674800430278,0.785
2026-04-13,25586.0,104,458.0,False,0.09529951399697387,0.05865764241398759
2026-04-13,25670.25,441,552.0,True,0.12100001300632542,0.24873096446700507
2026-04-13,25742.0,728,616.0,True,0.13692192302856623,0.41060349689791314
2026-04-13,25791.5,926,773.0,True,0.15794014489046507,0.5222786238014664
2026-04-13,25879.0,1276,361.0,False,0.1015078666591519,0.7196841511562324
2026-04-13,25923.25,1453,945.0,True,0.21588332459019235,0.8195149464184998
2026-04-13,25995.0,1740,807.0,True,0.17144721382832517,0.9813874788494078
2026-04-14,25999.0,261,1124.0,True,0.22709100139611627,0.14704225352112676
2026-04-14,26050.0,465,464.0,False,0.13301775288742226,0.2619718309859155
2026-04-14,26145.0,845,786.0,True,0.1899313047341033,0.476056338028169
2026-04-14,26200.0,1065,907.0,True,0.19703483944663028,0.6
2026-04-14,26245.75,1248,455.0,False,0.08210115496890469,0.7030985915492958
2026-04-14,26345.0,1645,688.0,True,0.1708239465668232,0.9267605633802817
2026-04-15,26370.0,378,892.0,True,0.23462617307892095,0.3275563258232236
2026-04-15,26404.0,514,1080.0,True,0.19864424974893513,0.44540727902946275
2026-04-15,26450.0,698,1769.0,True,0.243157183917997,0.6048526863084922
2026-04-15,26480.0,818,1580.0,True,0.3235723932541469,0.708838821490468
2026-04-16,26478.5,154,433.0,False,0.11199166298975213,0.0865654862282181
2026-04-16,26700.0,1040,885.0,False,0.21598625148721892,0.5845980888139404
2026-04-16,26780.0,1360,1134.0,True,0.2912391001660191,0.7644744238336144
2026-04-16,26830.0,1560,1792.0,True,0.38078298535700983,0.8768971332209107
2026-04-20,26559.0,29,562.0,False,0.010487382290014724,0.020714285714285713
2026-04-20,26611.0,237,711.0,False,0.10900774255302473,0.1692857142857143
2026-04-20,26679.0,509,1027.0,True,0.13930091900085548,0.36357142857142855
2026-04-20,26719.5,671,1624.0,True,0.26320344587800354,0.47928571428571426
2026-04-20,26765.0,853,1309.0,True,0.19065223880348123,0.6092857142857143
2026-04-20,26800.0,993,640.0,False,0.10853415111235623,0.7092857142857143
2026-04-20,26841.0,1157,926.0,True,0.1788141203622641,0.8264285714285714
2026-04-21,26830.0,409,1100.0,True,0.38047153578032433,0.2504592774035517
2026-04-21,26990.0,1049,1626.0,True,0.36707672684537107,0.642375995101041
