prior_session,next_session,open,prior_poc,prior_range,prior_poc_location,poc_location_third,half_width,displacement,null_center,null_outside_prior_range,open_inside_both_bands,n_bars,vwap_proxy,poc_band_touch,null_band_touch,poc_point_touch,null_point_touch,minutes_to_poc_band,minutes_to_null_band,touch_order,abs_migration_poc,abs_migration_null,closer_center,imbalance_poc,imbalance_null
2026-04-14,2026-04-15,26350.0,25999.0,443.75,0.1470422535211267,lower,44.375,-351.0,26701.0,True,False,1380,26431.874112759866,False,False,False,False,,,tie,0.9754909583320923,0.6064808726538232,null,,
2026-04-15,2026-04-16,26460.0,26450.0,288.5,0.6048526863084922,middle,28.85,-10.0,26470.0,False,True,1380,26750.032312209816,True,True,True,True,0.0,0.0,tie,1.0399733525470232,0.9706492624257059,null,1357.0,924.0
2026-04-16,2026-04-20,26776.75,26830.0,444.75,0.8768971332209107,upper,44.475,53.25,26723.5,False,False,1379,26741.494784518673,True,True,True,True,1.0,0.0,null_sooner,0.1989999223863462,0.04046044860859479,null,-529.0,-47.0
2026-04-20,2026-04-21,26729.5,26719.5,350.0,0.4792857142857142,middle,35.0,-10.0,26739.5,False,True,1380,26945.480776340046,True,True,False,True,0.0,0.0,tie,0.6456593609715596,0.5885165038287025,null,,1370.0
2026-04-21,2026-04-22,27075.0,26990.0,408.25,0.642375995101041,middle,40.825,-85.0,27160.0,True,False,1380,26973.747120068045,True,True,True,False,130.0,1030.0,poc_sooner,0.03981109597539559,0.45622260852897795,poc,-248.0,
2026-04-22,2026-04-23,26992.0,26925.0,474.0,0.5131856540084389,middle,47.400000000000006,-67.0,27059.0,False,False,1380,27289.483610998937,False,True,False,True,,0.0,null_sooner,0.768952765820543,0.4862523438796147,null,,1035.0
2026-04-23,2026-04-27,27423.0,27415.0,470.5,0.8990435706695006,upper,47.050000000000004,-8.0,27431.0,False,True,1380,27160.875014295914,True,True,True,True,0.0,0.0,tie,0.5401168665336572,0.5741232427291938,poc,-922.0,-854.0
2026-04-27,2026-04-28,27197.25,27170.0,502.5,0.3194029850746269,lower,50.25,-27.25,27224.5,False,True,1380,27241.299694793503,True,True,True,True,0.0,0.0,tie,0.1418899398875673,0.03343222844478123,null,403.0,710.0
2026-04-28,2026-04-29,27207.0,27280.0,320.0,0.58125,middle,32.0,73.0,27134.0,False,False,1380,27411.94262177616,True,True,True,False,1.0,976.0,poc_sooner,0.41232069305050345,0.8685706930505035,poc,1033.0,
2026-04-29,2026-04-30,27631.75,27585.0,459.5,0.9178454842219804,upper,45.95,-46.75,27678.5,True,False,1380,27793.14440245328,True,True,True,True,0.0,0.0,tie,0.45298020120408994,0.2494981555022401,null,778.0,448.0
2026-04-30,2026-05-04,27760.0,27830.0,380.75,0.7715036112934996,upper,38.075,70.0,27690.0,False,False,1380,28069.537812857023,True,False,True,False,173.0,,poc_sooner,0.6291209792699219,0.9968163174183133,poc,985.0,
2026-05-04,2026-05-05,28250.0,28130.0,515.25,0.7729257641921398,upper,51.525000000000006,-120.0,28370.0,True,False,1380,28512.396140840123,False,True,False,True,,52.0,null_sooner,0.7421565081807333,0.27636320395948144,null,,173.0
2026-05-05,2026-05-06,28662.75,28573.75,557.0,0.5938061041292639,middle,55.7,-89.0,28751.75,False,False,1380,28733.03879718479,True,True,True,True,1158.0,2.0,null_sooner,0.2859762965615594,0.033592823725693784,null,212.0,-314.0
2026-05-06,2026-05-07,28582.0,28670.0,392.75,0.3004455760661998,lower,39.275000000000006,88.0,28494.0,True,False,1380,29113.422149594528,True,False,True,False,12.0,,poc_sooner,1.1290188404698347,1.577141055619421,poc,1168.0,
2026-05-07,2026-05-11,29399.0,29285.0,845.75,0.8796925805498078,upper,84.575,-114.0,29513.0,True,False,1380,29070.292080669897,True,True,True,False,143.0,11.0,null_sooner,0.2538668865859927,0.5234500967544822,poc,-721.0,
2026-05-11,2026-05-12,29143.75,29173.0,713.75,0.6038528896672505,middle,71.375,29.25,29114.5,False,True,1380,29331.572483619395,True,True,True,True,0.0,0.0,tie,0.22216810314451127,0.30412957424783876,poc,997.0,1185.0
2026-05-12,2026-05-13,29537.0,29250.0,510.0,0.3813725490196078,middle,51.0,-287.0,29824.0,True,False,1380,29649.774153372513,False,True,False,False,,1047.0,null_sooner,0.7838708889657117,0.3416193071127197,null,,
2026-05-13,2026-05-14,29690.0,29690.0,333.75,0.7243445692883895,upper,33.375,0.0,29690.0,False,True,1380,29312.496406383103,True,True,True,True,0.0,0.0,tie,1.131096909713549,1.131096909713549,tie,-1127.0,-1127.0
2026-05-14,2026-05-18,29100.0,29300.0,644.25,0.326348467209934,lower,64.425,200.0,28900.0,True,False,1380,28919.231381883732,False,True,False,True,,249.0,null_sooner,0.5910261825630858,0.029850806183518753,null,,333.0
2026-05-18,2026-05-19,28929.75,28920.0,525.5,0.489058039961941,middle,52.550000000000004,-9.75,28939.5,False,True,1380,29183.517283374404,True,True,True,True,0.0,0.0,tie,0.5014601015687985,0.4643525849179898,null,874.0,715.0
2026-05-19,2026-05-20,29253.0,29321.5,600.25,0.8733860891295293,upper,60.025000000000006,68.5,29184.5,False,False,1380,29304.976052243022,True,True,True,True,0.0,1.0,poc_sooner,0.02752844274381937,0.2007097913253185,poc,165.0,1206.0
2026-05-20,2026-05-21,29444.0,29230.0,441.0,0.2653061224489796,lower,44.1,-214.0,29658.0,True,False,1380,29609.996421743213,False,True,False,True,,603.0,null_sooner,0.8616698905741801,0.10885165137593326,null,,-367.0
2026-05-21,2026-05-25,29962.0,29650.0,313.0,0.6837060702875399,upper,31.3,-312.0,30274.0,True,False,1380,29971.399187441235,False,False,False,False,,,tie,1.0268344646684824,0.9667757589736902,null,,
2026-05-25,2026-05-26,30050.0,30000.0,374.75,0.6831220813875917,upper,37.475,-50.0,30100.0,False,False,1380,30045.648904998925,True,True,True,True,8.0,0.0,null_sooner,0.12181162107785187,0.14503294196417615,poc,13.0,152.0
2026-05-26,2026-05-27,30120.0,30050.0,501.5,0.3439680957128614,middle,50.150000000000006,-70.0,30190.0,False,False,1380,30125.266515744202,True,True,True,True,0.0,972.0,poc_sooner,0.15008278313898799,0.12907972932362416,null,-302.0,360.0
2026-05-27,2026-05-28,30328.0,30310.0,581.5,0.94067067927773,upper,58.150000000000006,-18.0,30346.0,True,True,1380,30381.540392681734,True,True,True,True,0.0,0.0,tie,0.12302733049309436,0.06111847408724742,null,377.0,-402.0
2026-05-28,2026-06-01,30544.75,30400.0,319.5,0.5743348982785602,middle,31.950000000000003,-144.75,30689.5,True,False,1380,30588.192713446708,True,True,True,True,55.0,1030.0,poc_sooner,0.5890225772979899,0.3170807090869866,null,759.0,-98.0
