prior_session,next_session,calendar_gap_days,prior_poc,prior_poc_location,prior_lower_share,prior_middle_share,prior_upper_share,prior_dominant_third,prior_vw_std_norm,prior_poc_concentration_10,prior_profile_low,prior_profile_high,prior_range,open_to_poc,open_to_poc_frac,open_third,n_bars,near_bar_n,near_share,minutes_to_poc_band,poc_band_status,touched_poc_band,crossed_poc,closes_after_cross,closes_above,closes_below,closes_equal,close_imbalance,next_vwap_proxy,migration_frac,in_location_sample,exclude_reason
2026-05-20,2026-05-21,1,29230.0,0.2653061224489796,0.4435254677694387,0.3191504170194996,0.2373241152110617,lower,0.2259310229272203,0.4172382421712522,29113.0,29554.0,441.0,214.0,0.4852607709750567,prior_upper,1380,0,0.0,,no_touch,False,False,0,0,0,0,,29609.996421743213,0.8616698905741801,True,
2026-05-21,2026-05-25,4,29650.0,0.6837060702875399,0.1235909222677765,0.5127262185778771,0.3636828591543463,middle,0.1989976740018417,0.2987348324843666,29436.0,29749.0,313.0,312.0,0.9968051118210862,outside_above,1380,0,0.0,,no_touch,False,False,0,0,0,0,,29971.399187441235,1.0268344646684824,True,
2026-05-25,2026-05-26,1,30000.0,0.6831220813875917,0.1550721346488421,0.3979370259917458,0.446990839359412,upper,0.2289697913504707,0.3324462344906282,29744.0,30118.75,374.75,50.0,0.133422281521014,prior_upper,1380,232,0.1681159420289855,8.0,touch,True,True,436,224,211,1,13.0,30045.648904998925,0.12181162107785187,True,
2026-05-26,2026-05-27,1,30050.0,0.3439680957128614,0.5655776655301461,0.3428873596615718,0.0915349748082821,lower,0.2065635401818552,0.382661314193281,29877.5,30379.0,501.5,70.0,0.13958125623130607,prior_middle,1380,329,0.23840579710144927,0.0,touch,True,True,1351,522,824,5,-302.0,30125.266515744202,0.15008278313898799,True,
2026-05-27,2026-05-28,1,30310.0,0.94067067927773,0.1607594264763219,0.3844340270214366,0.4548065465022414,upper,0.2718416788361182,0.3501968673291757,29763.0,30344.5,581.5,18.0,0.030954428202923472,prior_upper,1380,984,0.7130434782608696,0.0,touch,True,True,1369,871,494,4,377.0,30381.540392681734,0.12302733049309436,True,
2026-05-28,2026-06-01,4,30400.0,0.5743348982785602,0.1607103313025161,0.6693157640189276,0.1699739046785563,middle,0.1813570227597822,0.4409223535747756,30216.5,30536.0,319.5,144.75,0.45305164319248825,outside_above,1380,193,0.1398550724637681,55.0,touch,True,True,1241,999,240,2,759.0,30588.192713446708,0.5890225772979899,True,
2026-06-01,2026-06-02,1,30590.0,0.6111111111111112,0.1343324075176493,0.3626002994099633,0.5030672930723873,upper,0.2216969066108833,0.2874081910290217,30317.75,30763.25,445.5,151.75,0.34062850729517397,prior_upper,1380,263,0.19057971014492753,79.0,touch,True,True,1296,1160,136,0,1024.0,30649.448701130776,0.13344265124753218,True,
2026-06-02,2026-06-03,1,30685.0,0.6274658573596358,0.2069488349933363,0.5470171451381333,0.2460340198685303,middle,0.2049528816063614,0.3353651470181109,30478.25,30807.75,329.5,-232.0,-0.7040971168437026,outside_below,1380,0,0.0,,no_touch,False,False,0,0,0,0,,30393.027524204495,-0.8861076655402264,True,
2026-06-03,2026-06-04,1,30300.0,0.3294637921503593,0.2840746676553782,0.3516110416753876,0.3643142906692341,upper,0.2578640457777169,0.2804851065356624,30151.0,30603.25,452.25,114.0,0.25207296849087896,prior_middle,1380,72,0.05217391304347826,24.0,touch,True,True,1299,9,1289,1,-1280.0,29611.601574092925,-1.5221634624810942,True,
2026-06-04,2026-06-08,4,29150.0,0.2247447813499923,0.2768558333033892,0.4293599556029337,0.293784211093677,middle,0.2453910537165671,0.2300452754255051,28781.25,30422.0,1640.75,285.0,0.1737010513484687,prior_middle,1380,159,0.11521739130434783,153.0,touch,True,True,371,33,338,0,-305.0,29090.923997645714,-0.03600548673124253,True,
2026-06-08,2026-06-09,1,29723.25,0.9228633137920396,0.2429773394205536,0.4113395605622291,0.3456831000172172,middle,0.260403422585596,0.1979116016036659,28227.75,29848.25,1620.5,-628.5,-0.3878432582536254,prior_middle,1380,0,0.0,,no_touch,False,False,0,0,0,0,,28835.978406709302,-0.5475295237832136,True,
2026-06-09,2026-06-10,1,29110.0,0.8335315101070154,0.2418004791078127,0.4812094452683071,0.2769900756238802,middle,0.220538897320016,0.1995759157736517,28409.0,29250.0,841.0,-655.0,-0.7788347205707491,prior_lower,1380,62,0.04492753623188406,961.0,touch,True,True,209,205,4,0,201.0,28938.244273960092,-0.20422797388811895,True,
2026-06-10,2026-06-11,1,28600.0,0.2614391865467345,0.1419717443469833,0.5641584382498789,0.2938698174031378,middle,0.2231743338464257,0.1539233806969031,28265.75,29544.25,1278.5,856.75,0.6701212358232304,prior_upper,1380,0,0.0,,no_touch,False,False,0,0,0,0,,29553.442594508517,0.745750953858832,True,
2026-06-11,2026-06-15,4,29660.0,0.8113207547169812,0.1425501743622393,0.3883985202120322,0.4690513054257284,upper,0.2269519704861746,0.3592730324559753,29230.0,29760.0,530.0,879.75,1.6599056603773585,outside_above,1367,0,0.0,,no_touch,False,False,0,0,0,0,,30319.46730963926,1.2442779427155881,True,
2026-06-15,2026-06-16,1,30525.0,0.8028965030024726,0.3500959130388448,0.243619118665743,0.4062849682954121,upper,0.2715469792789436,0.3591144029413332,29956.75,30664.5,707.75,-518.25,-0.7322500883080184,prior_lower,1298,0,0.0,,no_touch,False,False,0,0,0,0,,30025.499799133406,-0.7057579666076923,True,
2026-06-16,2026-06-22,6,30090.0,0.7264367816091954,0.1556429165829722,0.2775976355132141,0.5667594479038136,upper,0.2387288418234832,0.439094378604838,29616.0,30268.5,652.5,572.75,0.8777777777777778,outside_above,1380,89,0.0644927536231884,452.0,touch,True,True,892,3,889,0,-886.0,29888.850358772586,-0.3082753122259213,True,
2026-06-22,2026-06-23,1,29730.0,0.1358985765124555,0.7503571056271958,0.1604834097318679,0.0891594846409362,lower,0.2056324801474,0.4985574904842267,29577.25,30701.25,1124.0,40.0,0.03558718861209965,prior_lower,1380,1063,0.7702898550724637,0.0,touch,True,True,1356,899,456,1,443.0,29660.766093432616,-0.06159600228414956,True,
2026-06-23,2026-06-24,1,29800.0,0.5993840985442329,0.3018296006175817,0.6198318971374134,0.0783385022450049,middle,0.2012925704173779,0.426634553216397,29264.75,30157.75,893.0,289.75,0.324468085106383,prior_upper,1380,241,0.1746376811594203,942.0,touch,True,True,436,59,376,1,-317.0,29775.73167327356,-0.027176177745173724,True,
2026-06-24,2026-06-25,1,29700.0,0.4176136363636363,0.202018218819049,0.5537199612312506,0.2442618199497003,middle,0.2177328592585865,0.4770550709461881,29295.75,30263.75,968.0,42.0,0.04338842975206612,prior_middle,1380,306,0.2217391304347826,0.0,touch,True,True,1375,66,1309,0,-1243.0,29474.486784226152,-0.2329681981134794,True,
2026-06-25,2026-06-29,4,29500.0,0.4636394673950154,0.3346301804827412,0.5707319626298665,0.0946378568873923,middle,0.1872201654170497,0.3740973682144508,29160.5,29892.75,732.25,507.25,0.6927278934790031,outside_above,1380,0,0.0,,no_touch,False,False,0,0,0,0,,30339.879244493,1.1469842874605674,True,
2026-06-29,2026-06-30,1,30525.0,0.887593984962406,0.2467417086794249,0.2567652584953623,0.4964930328252127,upper,0.2885205177517974,0.374221028200267,29934.75,30599.75,665.0,-19.25,-0.02894736842105263,prior_upper,1380,287,0.20797101449275363,0.0,touch,True,True,1379,109,1270,0,-1161.0,30241.89532756562,-0.4257213119313979,True,
2026-06-30,2026-07-01,1,30250.0,0.4429160935350756,0.3318237113828912,0.5364507650963838,0.1317255235207249,middle,0.2041187109157583,0.4153622599770106,30008.5,30553.75,545.25,-160.25,-0.29390187987161853,prior_lower,1380,154,0.11159420289855072,197.0,touch,True,True,509,20,489,0,-469.0,29802.82686033245,-0.8201249695874361,True,
