shape,rank,session_date,score,step1_label,component_1,component_2,component_3,component_4,component_1_name,component_2_name,component_3_name,component_4_name,poc_location,volume_above_share,volume_below_share,lower_tail_width_10,upper_tail_width_10,upper_body_share,lower_body_share,n_major_peaks,n_local_maxima,normalized_separation,valley_depth,peak_balance,B_score_reason
P,87,2026-08-10,0.0,UNCLASSIFIED,0.0,0.0,0.0,0.0,P1,P2,P3,P4,0.267515923566879,0.4755706993967737,0.5244293006032263,0.2024062278839349,0.20877565463552725,0.16189302058976063,0.28190366575985587,4,6,0.3453644727530078,0.8601321585903083,0.8631178707224335,
P,88,2026-08-13,0.0,UNCLASSIFIED,0.0,0.0,0.0,0.0,P1,P2,P3,P4,0.21021611001964635,0.4272676030820177,0.5727323969179823,0.12868369351669942,0.13654223968565815,0.27976817305589835,0.35691899377455183,6,6,0.26719056974459726,0.8675263774912075,0.8257502420135527,
P,89,2026-08-17,0.0,b-like,0.0,0.0,0.0,0.0,P1,P2,P3,P4,0.13338822560724578,0.13420354444232452,0.8657964555576755,0.09098394400988061,0.3972828324413339,0.05681331379798191,0.7118007682144952,2,4,0.1432688349114862,0.6941066417212348,0.6839411388355726,
P,90,2026-08-18,0.0,UNCLASSIFIED,0.0,0.0,0.0,0.0,P1,P2,P3,P4,0.4567496723460026,0.40761605007424007,0.5923839499257599,0.2162516382699869,0.2549148099606815,0.12190317515577376,0.18628729156157414,2,3,0.1310615989515072,0.7185128983308042,0.7334446299387869,
P,91,2026-08-19,0.0,UNCLASSIFIED,0.0,0.0,0.0,0.0,P1,P2,P3,P4,0.19969199178644764,0.17880095591540912,0.8211990440845909,0.14887063655030802,0.18275154004106775,0.11649897310050882,0.477618320832871,2,4,0.1437371663244353,0.598731165741475,0.695148842337376,
P,92,2026-08-27,0.0,UNCLASSIFIED,0.0,0.0,0.0,0.0,P1,P2,P3,P4,0.14323784143904064,0.4016062499124564,0.5983937500875436,0.12258494337108594,0.18121252498334445,0.13474360231395235,0.3703969576849271,3,6,0.41305796135909395,0.8685770750988142,0.7207977207977208,
P,93,2026-08-31,0.0,UNCLASSIFIED,0.0,0.0,0.0,0.0,P1,P2,P3,P4,0.2160737812911726,0.16070562916825806,0.839294370831742,0.15458937198067632,0.19894598155467721,0.11254664042071863,0.577044833563475,2,3,0.13175230566534915,0.7911464245175936,0.5540880503144654,
P,94,2026-09-03,0.0,UNCLASSIFIED,0.0,0.0,0.0,0.0,P1,P2,P3,P4,0.21987315010570824,0.3174773635643239,0.6825226364356761,0.13953488372093023,0.25158562367864695,0.13892883789833368,0.39352285383708735,2,4,0.19027484143763213,0.6690997566909975,0.7764483627204031,
P,95,2026-09-09,0.0,UNCLASSIFIED,0.0,0.0,0.0,0.0,P1,P2,P3,P4,0.2295698924731183,0.15688330871491876,0.8431166912850813,0.1349462365591398,0.21935483870967742,0.13604407290343545,0.4945111954627359,3,4,0.17204301075268819,0.764373232799246,0.7818717759764185,
P,96,2026-09-14,0.0,UNCLASSIFIED,0.0,0.0,0.0,0.0,P1,P2,P3,P4,0.27111111111111114,0.39895215264294004,0.60104784735706,0.11555555555555555,0.18044444444444444,0.24487737148683683,0.4625606091833082,4,7,0.4622222222222222,0.9368421052631579,0.8260869565217391,
