n,ic,n_early,ic_early,n_late,ic_late,n_daily,ic_daily_median,n_pos,n_neg,median_pos,mean_pos,median_neg,mean_neg,n_sign,sign_pct,family,feature,window_s,horizon_s,signed
233196,-0.014534299416474859,116583,-0.009176980214816704,116613,-0.019972944874226413,26,-0.008474197977843736,107288.0,125578.0,0.0,-0.15554162627693685,0.125,0.1316512446447626,231046.0,0.4972213325484968,order_flow,cancel_signed,15,15,True
232806,-0.012303210569415881,116388,-0.0018626886880458412,116418,-0.02286189907400095,26,-0.012840128849773667,107099.0,125378.0,0.125,-0.16262640174044576,0.125,0.1128387755427587,231296.0,0.49999567653569454,order_flow,cancel_signed,15,30,True
232026,-0.008945298701089574,115998,0.007661980552663906,116028,-0.02557162939873059,26,-0.005564278954994337,106684.0,125015.0,0.375,-0.24696533688275654,0.25,0.12758368995720515,230822.0,0.5005891986032527,order_flow,cancel_signed,15,60,True
233582,-0.005387137540169612,116783,-0.01335472905210385,116799,0.0026704872539136683,26,-0.004751091888416683,116463.0,116401.0,0.0,0.0135203884495505,0.0,-0.014166544960953945,224729.0,0.4951029907132591,order_flow,replenish_net,15,1,True
233466,0.00250876546644418,116723,-0.002242059877832706,116743,0.007186727338430388,26,0.00390626631737135,116420.0,116330.0,0.0,0.04883181583920289,0.0,-0.04741253331041004,229529.0,0.49813749025177645,order_flow,replenish_net,15,5,True
233196,0.01226531031611647,116583,0.015929422009120654,116613,0.00858004264015009,26,0.008586376465986574,116286.0,116195.0,0.125,0.12259321844418072,0.0,-0.12155535952493653,230663.0,0.5044198679458778,order_flow,replenish_net,15,15,True
232806,-0.005518397594271708,116388,0.0016568084665859527,116418,-0.012798462521615943,26,-0.007318370679158072,116092.0,115999.0,0.0,-0.09208752541088103,0.125,0.06129147665066078,230911.0,0.49783249823525083,order_flow,replenish_net,15,30,True
232026,-0.0028014152186814655,115998,0.00209485688853758,116028,-0.007858025651465076,26,-0.00031718482548139475,115687.0,115631.0,0.25,-0.08821107816781489,0.25,0.0017274779254698135,230444.0,0.49969623856555173,order_flow,replenish_net,15,60,True
233192,-0.004708294269368328,116588,-0.0034983315222654387,116604,-0.005743972252374804,26,-0.0014117660989993155,,,,,,,,,trade,buy_volume,30,1,False
233076,-0.0018769997551234653,116528,0.0022876015263857785,116548,-0.006300379090690078,26,0.0030433321246993894,,,,,,,,,trade,buy_volume,30,5,False
