split,band,horizon_min,mean_long_return_pts,mean_long_return_pts,positive_rate,positive_rate,return_diff_break_minus_control,positive_rate_diff_break_minus_control
,,,break,control,break,control,,
Validation,0.5-1.0,60,-0.889,0.35838709677419356,0.48,0.5174193548387097,-1.2473870967741936,-0.03741935483870973
Validation,1.0-1.5,1,-0.009124087591240875,0.39732770745428975,0.4306569343065693,0.46272855133614627,-0.40645179504553064,-0.03207161702957695
Validation,1.0-1.5,5,-0.11861313868613138,-0.1670182841068917,0.43795620437956206,0.4767932489451477,0.048405145420760326,-0.03883704456558562
Validation,1.0-1.5,15,-0.4744525547445255,-0.3990857946554149,0.40145985401459855,0.49226441631504925,-0.07536676008911064,-0.0908045623004507
Validation,1.0-1.5,30,-1.4105839416058394,0.2570323488045007,0.45255474452554745,0.5274261603375527,-1.6676162904103402,-0.07487141581200529
Validation,1.0-1.5,60,-3.877737226277372,1.2327707454289734,0.46715328467153283,0.5316455696202531,-5.110507971706346,-0.06449228494872028
Validation,1.5+,1,-0.22554347826086957,0.35955598455598453,0.41847826086956524,0.48455598455598453,-0.5850994628168541,-0.06607772368641929
Validation,1.5+,5,1.3206521739130435,0.19015444015444016,0.4945652173913043,0.48455598455598453,1.1304977337586033,0.010009232835319792
Validation,1.5+,15,2.369565217391304,-0.4391891891891892,0.4673913043478261,0.4826254826254826,2.8087544065804932,-0.015234178277656496
Validation,1.5+,30,2.0869565217391304,0.6443050193050193,0.4891304347826087,0.5366795366795367,1.442651502434111,-0.047549101896928014
Validation,1.5+,60,0.09103260869565218,-2.1423745173745172,0.42391304347826086,0.4749034749034749,2.2334071260701696,-0.05099043142521403
Validation,<0.5,1,0.12654320987654322,0.3093548387096774,0.5123456790123457,0.4967741935483871,-0.18281162883313418,0.015571485463958645
Validation,<0.5,5,-0.30709876543209874,0.08516129032258064,0.47530864197530864,0.48258064516129034,-0.39226005575467937,-0.007272003185981701
Validation,<0.5,15,0.09567901234567901,0.02935483870967742,0.4691358024691358,0.5212903225806451,0.06632417363600158,-0.05215452011150934
Validation,<0.5,30,-0.13425925925925927,0.3725806451612903,0.47530864197530864,0.5161290322580645,-0.5068399044205496,-0.04082039028275586
Validation,<0.5,60,-0.0015432098765432098,-0.11645161290322581,0.5308641975308642,0.49548387096774194,0.11490840302668259,0.03538032656312229
