split,event_type,band,horizon_min,events,mean_long_return_pts,median_long_return_pts,positive_rate,mfe_pts,mae_pts,retention_rate,time_to_fail_min,fraction_below_60,max_extension_60_pts
IS,break,1.5+,30,529,0.6091682419659735,-0.25,0.4669187145557656,10.098298676748582,-8.916351606805293,0.7504725897920604,18.91764705882353,0.19782608695652176,24.85349716446125
IS,break,1.5+,60,529,0.6479206049149339,0.0,0.4952741020793951,13.91398865784499,-12.80812854442344,0.722117202268431,18.91764705882353,0.19782608695652176,24.85349716446125
IS,break,<0.5,1,626,0.11222044728434505,0.0,0.4073482428115016,0.8686102236421726,-0.7016773162939297,0.8642172523961661,13.734072022160666,0.2658413205537806,14.208865814696486
IS,break,<0.5,5,626,-0.03394568690095846,0.0,0.43929712460063897,1.8414536741214058,-1.8761980830670926,0.7635782747603834,13.734072022160666,0.2658413205537806,14.208865814696486
IS,break,<0.5,15,626,0.13777955271565495,0.0,0.46166134185303515,3.2891373801916934,-2.9672523961661343,0.7380191693290735,13.734072022160666,0.2658413205537806,14.208865814696486
IS,break,<0.5,30,626,-0.06669329073482429,-0.25,0.4440894568690096,4.716453674121405,-5.0339456869009584,0.7044728434504792,13.734072022160666,0.2658413205537806,14.208865814696486
IS,break,<0.5,60,626,0.3446485623003195,0.0,0.45686900958466453,7.484424920127796,-8.958466453674122,0.6900958466453674,13.734072022160666,0.2658413205537806,14.208865814696486
IS,control,0.5-1.0,1,2435,-0.006057494866529774,0.0,0.4188911704312115,1.0481519507186858,-1.0342915811088296,0.022587268993839837,1.1934818481848184,0.9288090349075976,-17.47094455852156
IS,control,0.5-1.0,5,2435,-0.006160164271047228,-0.25,0.433264887063655,2.2685831622176593,-2.1948665297741274,0.03860369609856263,1.1934818481848184,0.9288090349075976,-17.47094455852156
IS,control,0.5-1.0,15,2435,-0.11498973305954825,-0.25,0.4562628336755647,3.6643737166324435,-3.715400410677618,0.05174537987679671,1.1934818481848184,0.9288090349075976,-17.47094455852156
IS,control,0.5-1.0,30,2435,-0.04240246406570842,-0.25,0.46406570841889117,5.250308008213552,-5.420944558521561,0.06529774127310062,1.1934818481848184,0.9288090349075976,-17.47094455852156
IS,control,0.5-1.0,60,2435,0.08870636550308009,0.0,0.4944558521560575,7.454312114989733,-7.673921971252566,0.0997946611909651,1.1934818481848184,0.9288090349075976,-17.47094455852156
IS,control,1.0-1.5,1,2067,-0.08986453797774553,0.0,0.4228350266086115,1.6354620222544751,-1.619496855345912,0.0343492985002419,1.2971261568436434,0.8777374616997259,-8.190130624092888
IS,control,1.0-1.5,5,2067,-0.1625544267053701,-0.25,0.4436381228834059,3.291485244315433,-3.445210449927431,0.05757135945815191,1.2971261568436434,0.8777374616997259,-8.190130624092888
IS,control,1.0-1.5,15,2067,0.2156507014997581,0.0,0.4746008708272859,5.544267053701016,-5.486211901306241,0.08756652152878568,1.2971261568436434,0.8777374616997259,-8.190130624092888
IS,control,1.0-1.5,30,2067,-0.1802128688921142,-0.25,0.4765360425737784,7.650459603289792,-7.913159167876149,0.11949685534591195,1.2971261568436434,0.8777374616997259,-8.190130624092888
IS,control,1.0-1.5,60,2067,-0.47750362844702465,0.25,0.5007256894049347,10.897194000967586,-11.7207305273343,0.15916787614900824,1.2971261568436434,0.8777374616997259,-8.190130624092888
IS,control,1.5+,1,1307,-0.07459831675592961,0.0,0.4560061208875287,2.6203136954858453,-2.5726855394032135,0.05967865340474369,1.528272656855151,0.8161183371588882,-2.8712700841622034
IS,control,1.5+,5,1307,-0.023335883703136953,-0.25,0.44223412394797246,5.024483550114766,-5.060635042081102,0.08263198163733741,1.528272656855151,0.8161183371588882,-2.8712700841622034
IS,control,1.5+,15,1307,0.5030604437643458,0.0,0.47589900535577656,8.459449120122418,-8.311973986228002,0.1331293037490436,1.528272656855151,0.8161183371588882,-2.8712700841622034
IS,control,1.5+,30,1307,0.6228003060443764,0.25,0.5019127773527161,11.703519510328997,-11.640015302218822,0.18439173680183626,1.528272656855151,0.8161183371588882,-2.8712700841622034
IS,control,1.5+,60,1307,0.9984697781178271,0.25,0.5103289977046672,16.535768936495792,-15.942234123947973,0.2249426166794185,1.528272656855151,0.8161183371588882,-2.8712700841622034
