mechanism,T_offset,horizon,split,n,rate,win,mean,median,mean_z,mfe_gt_mae,p_hit_plus_first,delta_win_vs_unc,delta_win_vs_50,n_base,mean_mfe,mean_mae,unc_win,unc_mean,delta_mean_vs_unc
pc_fade,0,10,IS,462,0.19642857142857142,0.5173160173160173,0.7597402597402597,0.75,0.08221421026121836,0.5021645021645021,0.5240384615384616,-0.0009662956091527342,0.017316017316017285,2352.0,17.7245670995671,16.254329004329005,0.51828231292517,0.062181122448979595,0.6975591372912802
putz_follow,0,10,IS,270,0.11479591836734694,0.5296296296296297,-0.42592592592592593,1.0,0.07452009821450462,0.5037037037037037,0.5277777777777778,0.011347316704459653,0.029629629629629672,2352.0,14.47037037037037,14.731481481481481,0.51828231292517,0.062181122448979595,-0.48810704837490554
putz_fade,0,10,IS,270,0.11479591836734694,0.4666666666666667,0.42592592592592593,-1.0,-0.07452009821450462,0.4777777777777778,0.4722222222222222,-0.051615646258503345,-0.033333333333333326,2352.0,14.731481481481481,14.47037037037037,0.51828231292517,0.062181122448979595,0.3637448034769463
UNCOND_LONG,0,15,IS,2352,1.0,0.5284863945578231,0.7300170068027211,0.75,0.10792172064953269,0.5097789115646258,0.511554145899411,0.0,0.02848639455782309,,,,,,
gex_follow,0,15,IS,784,0.3333333333333333,0.5318877551020408,2.092474489795918,1.0,0.11896532755345925,0.5433673469387755,0.5230352303523035,0.003401360544217691,0.03188775510204078,2352.0,23.77997448979592,21.067283163265305,0.5284863945578231,0.7300170068027211,1.362457482993197
gex_fade,0,15,IS,784,0.3333333333333333,0.4655612244897959,-2.092474489795918,-1.0,-0.11896532755345925,0.4528061224489796,0.47696476964769646,-0.06292517006802717,-0.03443877551020408,2352.0,21.067283163265305,23.77997448979592,0.5284863945578231,0.7300170068027211,-2.8224914965986394
pc_follow,0,15,IS,462,0.19642857142857142,0.48268398268398266,-0.5909090909090909,-0.25,-0.015360398826867688,0.4935064935064935,0.48484848484848486,-0.04580241187384043,-0.01731601731601734,2352.0,18.808441558441558,20.198593073593074,0.5284863945578231,0.7300170068027211,-1.320926097711812
pc_fade,0,15,IS,462,0.19642857142857142,0.5086580086580087,0.5909090909090909,0.25,0.015360398826867688,0.5043290043290043,0.5151515151515151,-0.019828385899814394,0.008658008658008698,2352.0,20.198593073593074,18.808441558441558,0.5284863945578231,0.7300170068027211,-0.13910791589363014
putz_follow,0,15,IS,270,0.11479591836734694,0.5555555555555556,1.2037037037037037,1.75,0.2046447200929236,0.5222222222222223,0.5348837209302325,0.02706916099773249,0.05555555555555558,2352.0,16.462962962962962,16.483333333333334,0.5284863945578231,0.7300170068027211,0.47368669690098264
putz_fade,0,15,IS,270,0.11479591836734694,0.43333333333333335,-1.2037037037037037,-1.75,-0.2046447200929236,0.4740740740740741,0.46511627906976744,-0.09515306122448974,-0.06666666666666665,2352.0,16.483333333333334,16.462962962962962,0.5284863945578231,0.7300170068027211,-1.933720710506425
UNCOND_LONG,0,30,IS,2352,1.0,0.5276360544217688,0.9774659863945578,1.5,0.10107519398787607,0.5025510204081632,0.513347921225383,0.0,0.027636054421768752,,,,,,
gex_follow,0,30,IS,784,0.3333333333333333,0.5216836734693877,0.40561224489795916,1.375,0.047552909230013415,0.5446428571428571,0.5257595772787318,-0.005952380952381042,0.02168367346938771,2352.0,30.1546556122449,27.642857142857142,0.5276360544217688,0.9774659863945578,-0.5718537414965987
