session,T_offset,horizon,universe,split,n,win,E
LONDON,30,90,HIGH_long,Y2026,17,0.5882352941176471,6.882352941176471
LONDON,30,120,ALL_loc,IS,2377,0.4955826672275978,0.9266933108960875
LONDON,30,120,ALL_loc,Validation,754,0.46286472148541113,-2.2868037135278514
LONDON,30,120,ALL_loc,OOS,407,0.4914004914004914,1.8796068796068797
LONDON,30,120,ALL_loc,Y2025,253,0.4743083003952569,-3.8616600790513833
LONDON,30,120,ALL_loc,Y2026,154,0.5194805194805194,11.311688311688311
LONDON,30,120,HIGH_loc,IS,804,0.49129353233830847,0.6302860696517413
LONDON,30,120,HIGH_loc,Validation,317,0.47634069400630913,-2.7917981072555205
LONDON,30,120,HIGH_loc,OOS,65,0.46153846153846156,-4.323076923076923
LONDON,30,120,HIGH_loc,Y2025,48,0.4583333333333333,-3.9010416666666665
LONDON,30,120,HIGH_loc,Y2026,17,0.47058823529411764,-5.514705882352941
LONDON,30,120,LOW_loc,IS,782,0.48081841432225064,0.6211636828644501
LONDON,30,120,LOW_loc,Validation,164,0.4695121951219512,-0.44359756097560976
LONDON,30,120,LOW_loc,OOS,215,0.5069767441860465,3.158139534883721
LONDON,30,120,LOW_loc,Y2025,121,0.49586776859504134,-3.774793388429752
LONDON,30,120,LOW_loc,Y2026,94,0.5212765957446809,12.082446808510639
LONDON,30,120,HIGH_long,IS,804,0.5024875621890548,-0.2994402985074627
LONDON,30,120,HIGH_long,Validation,317,0.4605678233438486,-0.9558359621451105
LONDON,30,120,HIGH_long,OOS,65,0.5384615384615384,-3.1
LONDON,30,120,HIGH_long,Y2025,48,0.5,-6.348958333333333
LONDON,30,120,HIGH_long,Y2026,17,0.6470588235294118,6.073529411764706
LONDON,60,15,ALL_loc,IS,2369,0.4723512030392571,-0.00010552975939214858
LONDON,60,15,ALL_loc,Validation,764,0.4829842931937173,-0.8435863874345549
LONDON,60,15,ALL_loc,OOS,406,0.5172413793103449,1.7376847290640394
LONDON,60,15,ALL_loc,Y2025,251,0.46215139442231074,-1.600597609561753
LONDON,60,15,ALL_loc,Y2026,155,0.6064516129032258,7.143548387096774
LONDON,60,15,HIGH_loc,IS,801,0.4781523096129838,0.4344569288389513
LONDON,60,15,HIGH_loc,Validation,309,0.459546925566343,-1.0954692556634305
LONDON,60,15,HIGH_loc,OOS,70,0.5142857142857142,2.8214285714285716
LONDON,60,15,HIGH_loc,Y2025,56,0.5,2.080357142857143
LONDON,60,15,HIGH_loc,Y2026,14,0.5714285714285714,5.785714285714286
LONDON,60,15,LOW_loc,IS,782,0.45268542199488493,-0.149616368286445
LONDON,60,15,LOW_loc,Validation,172,0.48255813953488375,-1.0784883720930232
LONDON,60,15,LOW_loc,OOS,210,0.5428571428571428,1.7916666666666667
LONDON,60,15,LOW_loc,Y2025,116,0.47413793103448276,-3.355603448275862
LONDON,60,15,LOW_loc,Y2026,94,0.6276595744680851,8.143617021276595
LONDON,60,15,HIGH_long,IS,801,0.4818976279650437,-0.5561797752808989
LONDON,60,15,HIGH_long,Validation,309,0.5210355987055016,-0.11326860841423948
LONDON,60,15,HIGH_long,OOS,70,0.5285714285714286,-2.7071428571428573
LONDON,60,15,HIGH_long,Y2025,56,0.5357142857142857,-1.7589285714285714
LONDON,60,15,HIGH_long,Y2026,14,0.5,-6.5
LONDON,60,30,ALL_loc,IS,2369,0.4938792739552554,0.21074292950612072
LONDON,60,30,ALL_loc,Validation,764,0.49345549738219896,-1.599803664921466
LONDON,60,30,ALL_loc,OOS,406,0.5295566502463054,0.9889162561576355
LONDON,60,30,ALL_loc,Y2025,251,0.5258964143426295,-1.6623505976095618
LONDON,60,30,ALL_loc,Y2026,155,0.535483870967742,5.282258064516129
LONDON,60,30,HIGH_loc,IS,801,0.5081148564294632,0.600187265917603
LONDON,60,30,HIGH_loc,Validation,309,0.4854368932038835,-2.151294498381877
LONDON,60,30,HIGH_loc,OOS,70,0.5571428571428572,3.9535714285714287
LONDON,60,30,HIGH_loc,Y2025,56,0.5714285714285714,4.191964285714286
LONDON,60,30,HIGH_loc,Y2026,14,0.5,3.0
LONDON,60,30,LOW_loc,IS,782,0.4718670076726343,0.00159846547314578
LONDON,60,30,LOW_loc,Validation,172,0.5523255813953488,0.5843023255813954
LONDON,60,30,LOW_loc,OOS,210,0.5285714285714286,-1.0678571428571428
LONDON,60,30,LOW_loc,Y2025,116,0.5172413793103449,-5.816810344827586
LONDON,60,30,LOW_loc,Y2026,94,0.5425531914893617,4.792553191489362
LONDON,60,30,HIGH_long,IS,801,0.49063670411985016,-0.2918227215980025
LONDON,60,30,HIGH_long,Validation,309,0.511326860841424,0.9749190938511327
LONDON,60,30,HIGH_long,OOS,70,0.45714285714285713,-9.067857142857143
LONDON,60,30,HIGH_long,Y2025,56,0.5,-7.486607142857143
LONDON,60,30,HIGH_long,Y2026,14,0.2857142857142857,-15.392857142857142
LONDON,60,60,ALL_loc,IS,2368,0.5004222972972973,0.48521959459459457
LONDON,60,60,ALL_loc,Validation,764,0.46335078534031415,-2.035994764397906
LONDON,60,60,ALL_loc,OOS,406,0.5024630541871922,0.9187192118226601
LONDON,60,60,ALL_loc,Y2025,251,0.4820717131474104,-2.114541832669323
LONDON,60,60,ALL_loc,Y2026,155,0.535483870967742,5.830645161290323
LONDON,60,60,HIGH_loc,IS,801,0.5106117353308365,0.7924469413233458
LONDON,60,60,HIGH_loc,Validation,309,0.47249190938511326,-1.964401294498382
LONDON,60,60,HIGH_loc,OOS,70,0.5285714285714286,1.3571428571428572
LONDON,60,60,HIGH_loc,Y2025,56,0.5357142857142857,4.205357142857143
LONDON,60,60,HIGH_loc,Y2026,14,0.5,-10.035714285714286
LONDON,60,60,LOW_loc,IS,781,0.49295774647887325,0.4167733674775928
LONDON,60,60,LOW_loc,Validation,172,0.48255813953488375,0.376453488372093
LONDON,60,60,LOW_loc,OOS,210,0.49047619047619045,-2.530952380952381
LONDON,60,60,LOW_loc,Y2025,116,0.47413793103448276,-8.275862068965518
LONDON,60,60,LOW_loc,Y2026,94,0.5106382978723404,4.558510638297872
LONDON,60,60,HIGH_long,IS,801,0.5143570536828964,-0.03776529338327091
LONDON,60,60,HIGH_long,Validation,309,0.47572815533980584,-1.273462783171521
LONDON,60,60,HIGH_long,OOS,70,0.5142857142857142,-7.292857142857143
LONDON,60,60,HIGH_long,Y2025,56,0.5357142857142857,-3.482142857142857
LONDON,60,60,HIGH_long,Y2026,14,0.42857142857142855,-22.535714285714285
LONDON,60,90,ALL_loc,IS,2368,0.48184121621621623,0.46906672297297297
LONDON,60,90,ALL_loc,Validation,764,0.468586387434555,-2.3478403141361257
LONDON,60,90,ALL_loc,OOS,406,0.5024630541871922,-0.01293103448275862
LONDON,60,90,ALL_loc,Y2025,251,0.4940239043824701,-3.097609561752988
LONDON,60,90,ALL_loc,Y2026,155,0.5161290322580645,4.982258064516129
LONDON,60,90,HIGH_loc,IS,801,0.4794007490636704,0.7765293383270911
LONDON,60,90,HIGH_loc,Validation,309,0.4854368932038835,-2.0218446601941746
LONDON,60,90,HIGH_loc,OOS,70,0.5714285714285714,-1.35
LONDON,60,90,HIGH_loc,Y2025,56,0.5892857142857143,4.129464285714286
LONDON,60,90,HIGH_loc,Y2026,14,0.5,-23.267857142857142
LONDON,60,90,LOW_loc,IS,781,0.4839948783610755,0.5364916773367477
LONDON,60,90,LOW_loc,Validation,172,0.4941860465116279,0.9287790697674418
LONDON,60,90,LOW_loc,OOS,210,0.49523809523809526,-2.580952380952381
LONDON,60,90,LOW_loc,Y2025,116,0.47413793103448276,-8.316810344827585
LONDON,60,90,LOW_loc,Y2026,94,0.5212765957446809,4.497340425531915
LONDON,60,90,HIGH_long,IS,801,0.5343320848938826,0.602996254681648
