session,entry_mode,horizon,split,regime,n,mean_resid,median_resid,p_struct,mean_pre_exc,mean_pre_psr,cover_tight,mean_net_tight,mean_netR_tight,p_net_pos_tight,breakeven_pts,cover_mid,mean_net_mid,mean_netR_mid,p_net_pos_mid,cover_wide,mean_net_wide,mean_netR_wide,p_net_pos_wide
LONDON,next_open,45,Y2026,HIGH,103,54.98543689320388,45.0,0.7766990291262136,81.27184466019418,0.5607938029984626,1.0,54.48543689320388,108.97087378640776,1.0,2.0,1.0,53.98543689320388,53.98543689320388,1.0,1.0,52.98543689320388,26.49271844660194,1.0
LONDON,next_open,45,Y2026,LOW,445,55.87640449438202,46.75,0.2651685393258427,29.080337078651684,0.09768251607819117,1.0,55.37640449438202,110.75280898876404,1.0,2.0,1.0,54.87640449438202,54.87640449438202,1.0,1.0,53.87640449438202,26.93820224719101,1.0
LONDON,next_open,45,Y2026,ALL,780,56.68044871794872,48.0,0.4217948717948718,42.43429487179487,0.20154238895143828,1.0,56.18044871794872,112.36089743589744,1.0,2.0,1.0,55.68044871794872,55.68044871794872,1.0,1.0,54.68044871794872,27.34022435897436,1.0
LONDON,delay1,15,IS,HIGH,4092,6.725806451612903,4.0,0.4657869012707722,13.809995112414468,0.5202327210807925,0.9997556207233627,6.225806451612903,12.451612903225806,0.9968230694037146,2.0,0.9809384164222874,5.725806451612903,5.725806451612903,0.9521016617790812,0.8247800586510264,4.725806451612903,2.3629032258064515,0.7788367546432062
LONDON,delay1,15,IS,LOW,3970,7.431297229219144,4.25,0.07783375314861461,6.746347607052897,0.10524054359893996,0.9984886649874055,6.931297229219144,13.862594458438288,0.9899244332493703,2.0,0.972544080604534,6.431297229219144,6.431297229219144,0.9433249370277078,0.8156171284634761,5.431297229219144,2.715648614609572,0.7722921914357682
LONDON,delay1,15,IS,ALL,12030,7.048586866167914,4.25,0.2595178719866999,9.835806317539484,0.2828595089491462,0.999334995843724,6.548586866167914,13.097173732335827,0.9941812136325852,2.0,0.9773067331670823,6.048586866167914,6.048586866167914,0.9464671654197839,0.815876974231089,5.048586866167914,2.524293433083957,0.7731504571903575
LONDON,delay1,15,Validation,HIGH,1618,18.345797280593324,15.25,0.4684796044499382,35.08482694684796,0.49954595300295157,1.0,17.845797280593324,35.69159456118665,1.0,2.0,1.0,17.345797280593324,17.345797280593324,1.0,1.0,16.345797280593324,8.172898640296662,1.0
LONDON,delay1,15,Validation,LOW,855,18.71578947368421,14.5,0.11228070175438597,16.101461988304095,0.10954497882896484,1.0,18.21578947368421,36.43157894736842,1.0,2.0,1.0,17.71578947368421,17.71578947368421,1.0,1.0,16.71578947368421,8.357894736842105,1.0
LONDON,delay1,15,Validation,ALL,3875,18.877612903225806,15.25,0.3192258064516129,25.98406451612903,0.3070287037417241,1.0,18.377612903225806,36.75522580645161,1.0,2.0,1.0,17.877612903225806,17.877612903225806,1.0,1.0,16.877612903225806,8.438806451612903,1.0
LONDON,delay1,15,OOS,HIGH,376,28.381648936170212,23.5,0.40691489361702127,64.19281914893617,0.536733647662612,1.0,27.881648936170212,55.763297872340424,1.0,2.0,1.0,27.381648936170212,27.381648936170212,1.0,1.0,26.381648936170212,13.190824468085106,1.0
LONDON,delay1,15,OOS,LOW,1039,28.005293551491818,23.25,0.08854667949951876,25.162415784408086,0.10435733516851088,1.0,27.505293551491818,55.010587102983635,1.0,2.0,1.0,27.005293551491818,27.005293551491818,1.0,1.0,26.005293551491818,13.002646775745909,1.0
LONDON,delay1,15,OOS,ALL,2065,27.49866828087167,22.5,0.174818401937046,36.505690072639226,0.22324468589270588,1.0,26.99866828087167,53.99733656174334,1.0,2.0,1.0,26.49866828087167,26.49866828087167,1.0,1.0,25.49866828087167,12.749334140435835,1.0
LONDON,delay1,15,Y2025,HIGH,273,25.975274725274726,20.25,0.40293040293040294,57.74908424908425,0.5276560066384633,1.0,25.475274725274726,50.95054945054945,1.0,2.0,1.0,24.975274725274726,24.975274725274726,1.0,1.0,23.975274725274726,11.987637362637363,1.0
LONDON,delay1,15,Y2025,LOW,594,24.417087542087543,20.0,0.09932659932659933,22.227272727272727,0.10935783095166286,1.0,23.917087542087543,47.83417508417509,1.0,2.0,1.0,23.417087542087543,23.417087542087543,1.0,1.0,22.417087542087543,11.208543771043772,1.0
LONDON,delay1,15,Y2025,ALL,1285,24.000583657587548,18.75,0.18754863813229572,32.907003891050586,0.2364180645807905,1.0,23.500583657587548,47.001167315175095,1.0,2.0,1.0,23.000583657587548,23.000583657587548,1.0,1.0,22.000583657587548,11.000291828793774,1.0
LONDON,delay1,15,Y2026,HIGH,103,34.75970873786408,29.75,0.4174757281553398,81.27184466019418,0.5607938029984626,1.0,34.25970873786408,68.51941747572816,1.0,2.0,1.0,33.75970873786408,33.75970873786408,1.0,1.0,32.75970873786408,16.37985436893204,1.0
LONDON,delay1,15,Y2026,LOW,445,32.79494382022472,27.75,0.07415730337078652,29.080337078651684,0.09768251607819117,1.0,32.29494382022472,64.58988764044943,1.0,2.0,1.0,31.79494382022472,31.79494382022472,1.0,1.0,30.79494382022472,15.39747191011236,1.0
LONDON,delay1,15,Y2026,ALL,780,33.261538461538464,28.5,0.15384615384615385,42.43429487179487,0.20154238895143828,1.0,32.761538461538464,65.52307692307693,1.0,2.0,1.0,32.261538461538464,32.261538461538464,1.0,1.0,31.26153846153846,15.63076923076923,1.0
LONDON,delay1,30,IS,HIGH,4092,9.183528836754643,5.5,0.6933040078201369,13.809995112414468,0.5202327210807925,1.0,8.683528836754643,17.367057673509287,0.9997556207233627,2.0,0.998533724340176,8.183528836754643,8.183528836754643,0.989247311827957,0.9200879765395894,7.183528836754643,3.5917644183773216,0.8897849462365591
LONDON,delay1,30,IS,LOW,3970,10.419080604534004,6.0,0.20277078085642317,6.746347607052897,0.10524054359893996,0.998992443324937,9.919080604534004,19.83816120906801,0.9977329974811083,2.0,0.9929471032745592,9.419080604534004,9.419080604534004,0.985390428211587,0.9214105793450882,8.419080604534004,4.209540302267002,0.8886649874055416
LONDON,delay1,30,IS,ALL,12030,9.763279301745635,5.75,0.4511221945137157,9.835806317539484,0.2828595089491462,0.999667497921862,9.263279301745635,18.52655860349127,0.999002493765586,2.0,0.9959268495428096,8.763279301745635,8.763279301745635,0.9869492934330839,0.9177888611803824,7.763279301745636,3.881639650872818,0.8865336658354115
LONDON,delay1,30,Validation,HIGH,1618,25.069221260815823,20.5,0.7107540173053152,35.08482694684796,0.49954595300295157,1.0,24.569221260815823,49.138442521631646,1.0,2.0,1.0,24.069221260815823,24.069221260815823,1.0,1.0,23.069221260815823,11.534610630407911,1.0
LONDON,delay1,30,Validation,LOW,855,25.76578947368421,19.75,0.23859649122807017,16.101461988304095,0.10954497882896484,1.0,25.26578947368421,50.53157894736842,1.0,2.0,1.0,24.76578947368421,24.76578947368421,1.0,1.0,23.76578947368421,11.882894736842106,1.0
LONDON,delay1,30,Validation,ALL,3875,25.75490322580645,20.75,0.5287741935483871,25.98406451612903,0.3070287037417241,1.0,25.25490322580645,50.5098064516129,1.0,2.0,1.0,24.75490322580645,24.75490322580645,1.0,1.0,23.75490322580645,11.877451612903226,1.0
LONDON,delay1,30,OOS,HIGH,376,38.611702127659576,29.75,0.6382978723404256,64.19281914893617,0.536733647662612,1.0,38.111702127659576,76.22340425531915,1.0,2.0,1.0,37.611702127659576,37.611702127659576,1.0,1.0,36.611702127659576,18.305851063829788,1.0
