session_date,year,split,side,ib_high,ib_low,ib_width,signal_ny_min,entry_ny_min,entry,stop,target,risk_points,exit_ny_min,exit,exit_kind,gross_points,cost_points,net_points,net_r,period,sd_x,ibvol,sd_y,bucket,vol,close_min,relvol
2020-10-20,2020,IS,short,11736.75,11631.75,105.0,664,665,11613.0,11736.75,11489.25,123.75,755,11736.75,stop,-123.75,1.0,-124.75,-1.008080808080808,Inner Validation,2020-10-20,114010,2020-10-20,18,11430,664,1.2030523638277344
2020-10-21,2020,IS,short,11779.25,11655.25,124.0,679,680,11646.25,11779.25,11513.25,133.0,955,11672.25,time,-26.0,1.0,-27.0,-0.2030075187969924,Inner Validation,2020-10-21,88302,2020-10-21,21,9335,679,1.2686009376911056
2020-10-22,2020,IS,short,11724.0,11573.5,150.5,634,635,11556.0,11724.0,11388.0,168.0,955,11654.5,time,-98.5,1.0,-99.5,-0.5922619047619048,Inner Validation,2020-10-22,101649,2020-10-22,12,11588,634,1.3680016527462149
2020-10-26,2020,IS,short,11695.5,11566.5,129.0,654,655,11555.75,11695.5,11416.0,139.75,772,11416.0,target,139.75,1.0,138.75,0.992844364937388,Inner Validation,2020-10-26,99113,2020-10-26,16,8078,654,0.9780351719754221
2020-10-30,2020,IS,short,11281.25,11051.5,229.75,644,645,11032.0,11281.25,10782.75,249.25,955,10978.25,time,53.75,1.0,52.75,0.2116349047141424,Inner Validation,2020-10-30,132585,2020-10-30,14,13404,644,1.2131689105102388
2020-11-13,2020,IS,short,11923.75,11831.75,92.0,639,640,11828.75,11923.75,11733.75,95.0,931,11923.75,stop,-95.0,1.0,-96.0,-1.0105263157894735,Inner Validation,2020-11-13,83747,2020-11-13,13,7773,639,1.1137831802930254
2020-11-23,2020,IS,short,12001.75,11871.25,130.5,669,670,11859.0,12001.75,11716.25,142.75,955,11895.0,time,-36.0,1.0,-37.0,-0.2591943957968476,Inner Validation,2020-11-23,90559,2020-11-23,19,7251,669,0.9608321646661293
2020-11-24,2020,IS,long,11956.25,11872.75,83.5,644,645,11970.25,11872.75,12067.75,97.5,817,12067.75,target,97.5,1.0,96.5,0.9897435897435898,Inner Validation,2020-11-24,96965,2020-11-24,14,8191,644,1.0136853503841592
2020-11-30,2020,IS,short,12300.0,12202.0,98.0,634,635,12193.25,12300.0,12086.5,106.75,645,12086.5,target,106.75,1.0,105.75,0.990632318501171,Inner Validation,2020-11-30,91248,2020-11-30,12,7702,634,1.0128879537085744
2020-12-07,2020,IS,long,12601.25,12525.75,75.5,669,670,12607.25,12525.75,12688.75,81.5,955,12579.75,time,-27.5,1.0,-28.5,-0.3496932515337423,Inner Validation,2020-12-07,69383,2020-12-07,19,5551,669,0.9600622630903823
2020-12-18,2020,IS,short,12787.75,12682.75,105.0,674,675,12678.75,12787.75,12569.75,109.0,955,12690.25,time,-11.5,1.0,-12.5,-0.1146788990825688,Inner Validation,2020-12-18,99207,2020-12-18,20,9178,674,1.1101635973268016
2020-12-30,2020,IS,short,12909.75,12835.0,74.75,639,640,12823.5,12909.75,12737.25,86.25,955,12842.75,time,-19.25,1.0,-20.25,-0.2347826086956521,Inner Validation,2020-12-30,90203,2020-12-30,13,8276,639,1.1009833375830071
2021-01-04,2021,IS,short,12941.25,12846.5,94.75,649,650,12819.25,12941.25,12697.25,122.0,667,12697.25,target,122.0,1.0,121.0,0.9918032786885246,Inner Validation,2021-01-04,111177,2021-01-04,15,13916,649,1.5020372918859117
2021-01-29,2021,IS,short,13157.0,12998.0,159.0,689,690,12994.0,13157.0,12831.0,163.0,769,12831.0,target,163.0,1.0,162.0,0.9938650306748468,Inner Validation,2021-01-29,113634,2021-01-29,23,10445,689,1.1030149427108085
2021-02-10,2021,IS,short,13762.0,13562.25,199.75,644,645,13531.0,13762.0,13300.0,231.0,955,13630.25,time,-99.25,1.0,-100.25,-0.4339826839826839,Inner Validation,2021-02-10,139138,2021-02-10,14,16306,644,1.4063160315657834
