sample,period,direction,horizon,n,mfe_mean,mfe_median,mae_mean,mae_median,net,p_positive
all_events,Train,downside_failure_long,10,468,0.12866698499989815,0.10714285714285714,0.16477078599858241,0.11733416770963705,-0.03610380099868426,0.4700854700854701
all_events,Train,downside_failure_long,15,468,0.16143162245176254,0.125,0.20321242115880003,0.15645610933569049,-0.04178079870703749,0.4358974358974359
all_events,Train,downside_failure_long,30,468,0.23349649650096374,0.18046132971506107,0.28985146605769335,0.22085472666868017,-0.05635496955672961,0.452991452991453
all_events,Train,upside_failure_short,1,545,0.03846681712917821,0.024271844660194174,0.04543270054345747,0.03553299492385787,-0.0069658834142792584,0.4091743119266055
all_events,Train,upside_failure_short,2,545,0.0540772807164248,0.037037037037037035,0.061549405996657154,0.05063291139240506,-0.00747212528023235,0.41467889908256883
all_events,Train,upside_failure_short,3,545,0.06859957837787546,0.04938271604938271,0.07274344585539014,0.057971014492753624,-0.0041438674775146605,0.44036697247706424
all_events,Train,upside_failure_short,5,545,0.08717985081789514,0.06060606060606061,0.091670832879586,0.07368421052631578,-0.004490982061690843,0.42935779816513764
all_events,Train,upside_failure_short,10,545,0.124386197764365,0.08536585365853659,0.12789948747073052,0.10294117647058823,-0.0035132897063655127,0.44770642201834865
all_events,Train,upside_failure_short,15,545,0.1521347815153487,0.10802469135802469,0.15614520583566727,0.12030075187969924,-0.004010424320318549,0.45871559633027525
all_events,Train,upside_failure_short,30,545,0.22063445532158515,0.15789473684210525,0.216538730144698,0.1724137931034483,0.00409572517688718,0.4935779816513762
all_events,Validation,downside_failure_long,1,257,0.04541352182524947,0.03722084367245657,0.048794945479329395,0.03777777777777778,-0.00338142365407992,0.48249027237354086
all_events,Validation,downside_failure_long,2,257,0.0629900221660216,0.04970178926441352,0.06743019083955464,0.05220883534136546,-0.004440168673533039,0.47470817120622566
all_events,Validation,downside_failure_long,3,257,0.07667698519027796,0.06343906510851419,0.083191589517116,0.06557377049180328,-0.006514604326838044,0.48638132295719844
all_events,Validation,downside_failure_long,5,257,0.0924718515604894,0.07407407407407407,0.10458156911797459,0.08349514563106795,-0.01210971755748518,0.48638132295719844
all_events,Validation,downside_failure_long,10,257,0.13039498644754818,0.11439114391143912,0.14305667941903444,0.11083437110834371,-0.012661692971486239,0.5175097276264592
all_events,Validation,downside_failure_long,15,257,0.1602675147759375,0.14331210191082802,0.1783423577512006,0.13673469387755102,-0.018074842975263083,0.5097276264591439
