period,direction,bar_after_break,signed_close_disp_ib
Train,downside_failure,3,-0.0
Train,downside_failure,4,-0.25
Train,downside_failure,5,-0.3
Train,upside_failure,1,0.25
Train,upside_failure,2,0.18181818181818182
Train,upside_failure,3,0.22727272727272727
Train,upside_failure,4,0.2727272727272727
Train,upside_failure,5,0.4318181818181818
Train,downside_failure,1,0.08108108108108109
Train,downside_failure,2,-0.21621621621621623
Train,downside_failure,3,-0.02702702702702703
Train,downside_failure,4,-0.2702702702702703
Train,downside_failure,5,-0.16216216216216217
Train,upside_failure,1,0.045454545454545456
Train,upside_failure,2,0.045454545454545456
Train,upside_failure,3,0.18181818181818182
Train,upside_failure,4,0.13636363636363635
Train,upside_failure,5,0.22727272727272727
Train,upside_failure,1,0.0
Train,upside_failure,2,0.12987012987012986
Train,upside_failure,3,0.0
Train,upside_failure,4,-0.06493506493506493
Train,upside_failure,5,-0.24675324675324675
Train,downside_failure,1,-0.16666666666666666
Train,downside_failure,2,0.05555555555555555
Train,downside_failure,3,0.07777777777777778
Train,downside_failure,4,-0.08888888888888889
Train,downside_failure,5,-0.15555555555555556
Train,downside_failure,1,-0.014705882352941176
Train,downside_failure,2,-0.058823529411764705
Train,downside_failure,3,-0.1323529411764706
Train,downside_failure,4,-0.11764705882352941
Train,downside_failure,5,-0.17647058823529413
Train,upside_failure,1,-0.09782608695652174
Train,upside_failure,2,-0.07608695652173914
Train,upside_failure,3,-0.09782608695652174
Train,upside_failure,4,-0.17391304347826086
Train,upside_failure,5,-0.09782608695652174
Train,upside_failure,1,-0.08928571428571429
Train,upside_failure,2,-0.07142857142857142
Train,upside_failure,3,-0.17857142857142858
Train,upside_failure,4,-0.21428571428571427
Train,upside_failure,5,-0.17857142857142858
Train,downside_failure,1,-0.008928571428571428
Train,downside_failure,2,0.03571428571428571
Train,downside_failure,3,-0.09821428571428571
Train,downside_failure,4,-0.05357142857142857
Train,downside_failure,5,-0.026785714285714284
Train,upside_failure,1,-0.07518796992481203
Train,upside_failure,2,-0.14285714285714285
Train,upside_failure,3,-0.16541353383458646
Train,upside_failure,4,-0.3007518796992481
Train,upside_failure,5,-0.2706766917293233
Train,downside_failure,1,-0.09433962264150944
Train,downside_failure,2,-0.07547169811320754
Train,downside_failure,3,0.009433962264150943
Train,downside_failure,4,0.18867924528301888
Train,downside_failure,5,0.24528301886792453
Train,downside_failure,1,-0.23255813953488372
Train,downside_failure,2,-0.2558139534883721
Train,downside_failure,3,-0.4186046511627907
Train,downside_failure,4,-0.43023255813953487
Train,downside_failure,5,-0.5116279069767442
Train,upside_failure,1,0.22058823529411764
Train,upside_failure,2,0.14705882352941177
Train,upside_failure,3,0.07352941176470588
Train,upside_failure,4,-0.07352941176470588
Train,upside_failure,5,-0.014705882352941176
Train,upside_failure,1,-0.09411764705882353
Train,upside_failure,2,-0.32941176470588235
Train,upside_failure,3,-0.25882352941176473
Train,upside_failure,4,-0.1411764705882353
Train,upside_failure,5,0.011764705882352941
Train,downside_failure,1,0.2962962962962963
Train,downside_failure,2,-0.0
Train,downside_failure,3,-0.037037037037037035
Train,downside_failure,4,-0.05555555555555555
Train,downside_failure,5,0.5
Train,downside_failure,1,0.24074074074074073
Train,downside_failure,2,0.2222222222222222
Train,downside_failure,3,0.18518518518518517
Train,downside_failure,4,0.16666666666666666
Train,downside_failure,5,-0.07407407407407407
Train,upside_failure,1,0.10869565217391304
Train,upside_failure,2,-0.021739130434782608
Train,upside_failure,3,0.08695652173913043
Train,upside_failure,4,0.3695652173913043
Train,upside_failure,5,0.34782608695652173
Train,upside_failure,1,-0.11428571428571428
Train,upside_failure,2,-0.21428571428571427
Train,upside_failure,3,-0.35714285714285715
Train,upside_failure,4,-0.4
Train,upside_failure,5,-0.18571428571428572
Train,upside_failure,1,0.013888888888888888
Train,upside_failure,2,0.06944444444444445
Train,upside_failure,3,0.25
Train,upside_failure,4,0.09722222222222222
Train,upside_failure,5,-0.08333333333333333
Train,upside_failure,1,-0.015625
Train,upside_failure,2,0.078125
Train,upside_failure,3,0.046875
Train,upside_failure,4,0.078125
Train,upside_failure,5,-0.046875
Train,downside_failure,1,0.09375
Train,downside_failure,2,0.34375
Train,downside_failure,3,0.5625
Train,downside_failure,4,0.84375
Train,downside_failure,5,0.78125
Train,upside_failure,1,-0.11971830985915492
Train,upside_failure,2,-0.11267605633802817
Train,upside_failure,3,-0.11971830985915492
Train,upside_failure,4,-0.07042253521126761
Train,upside_failure,5,-0.20422535211267606
Train,downside_failure,1,-0.14705882352941177
Train,downside_failure,2,0.029411764705882353
Train,downside_failure,3,0.11764705882352941
Train,downside_failure,4,-0.014705882352941176
Train,downside_failure,5,0.39705882352941174
Train,downside_failure,1,-0.0
Train,downside_failure,2,0.14
Train,downside_failure,3,-0.06
Train,downside_failure,4,-0.14
Train,downside_failure,5,-0.18
Train,upside_failure,1,-0.017241379310344827
Train,upside_failure,2,-0.13793103448275862
Train,upside_failure,3,-0.1206896551724138
Train,upside_failure,4,-0.39655172413793105
Train,upside_failure,5,-0.3793103448275862
Train,downside_failure,1,-0.03225806451612903
Train,downside_failure,2,-0.03225806451612903
Train,downside_failure,3,0.08064516129032258
Train,downside_failure,4,-0.016129032258064516
Train,downside_failure,5,-0.16129032258064516
Train,upside_failure,1,0.11363636363636363
Train,upside_failure,2,0.11363636363636363
Train,upside_failure,3,0.09090909090909091
Train,upside_failure,4,-0.045454545454545456
Train,upside_failure,5,0.18181818181818182
Train,downside_failure,1,-0.19230769230769232
Train,downside_failure,2,-0.038461538461538464
Train,downside_failure,3,-0.0
Train,downside_failure,4,-0.11538461538461539
Train,downside_failure,5,-0.07692307692307693
Train,upside_failure,1,0.09090909090909091
Train,upside_failure,2,0.09090909090909091
Train,upside_failure,3,0.20454545454545456
Train,upside_failure,4,0.11363636363636363
Train,upside_failure,5,-0.022727272727272728
Train,downside_failure,1,-0.09090909090909091
Train,downside_failure,2,-0.10909090909090909
Train,downside_failure,3,-0.15454545454545454
Train,downside_failure,4,0.00909090909090909
Train,downside_failure,5,-0.09090909090909091
Train,upside_failure,1,-0.25
Train,upside_failure,2,-0.1
Train,upside_failure,3,0.15
Train,upside_failure,4,-0.025
Train,upside_failure,5,-0.025
Train,upside_failure,1,-0.11594202898550725
Train,upside_failure,2,-0.11594202898550725
Train,upside_failure,3,-0.07246376811594203
Train,upside_failure,4,-0.08695652173913043
Train,upside_failure,5,-0.14492753623188406
Train,downside_failure,1,-0.0
Train,downside_failure,2,-0.12121212121212122
Train,downside_failure,3,-0.015151515151515152
Train,downside_failure,4,0.07575757575757576
Train,downside_failure,5,0.015151515151515152
Train,upside_failure,1,0.014705882352941176
Train,upside_failure,2,0.058823529411764705
Train,upside_failure,3,-0.058823529411764705
Train,upside_failure,4,-0.04411764705882353
Train,upside_failure,5,-0.04411764705882353
Train,downside_failure,1,-0.11267605633802817
Train,downside_failure,2,-0.014084507042253521
Train,downside_failure,3,0.15492957746478872
Train,downside_failure,4,-0.07042253521126761
Train,downside_failure,5,-0.22535211267605634
Train,downside_failure,1,-0.13114754098360656
Train,downside_failure,2,-0.3114754098360656
Train,downside_failure,3,-0.3114754098360656
Train,downside_failure,4,-0.5409836065573771
Train,downside_failure,5,-0.5409836065573771
Train,downside_failure,1,0.028169014084507043
Train,downside_failure,2,-0.07042253521126761
Train,downside_failure,3,0.19718309859154928
Train,downside_failure,4,0.36619718309859156
Train,downside_failure,5,0.2676056338028169
Train,downside_failure,1,0.1044776119402985
Train,downside_failure,2,0.014925373134328358
Train,downside_failure,3,-0.11940298507462686
Train,downside_failure,4,-0.13432835820895522
Train,downside_failure,5,-0.13432835820895522
Train,downside_failure,1,0.04938271604938271
Train,downside_failure,2,0.14814814814814814
Train,downside_failure,3,0.012345679012345678
Train,downside_failure,4,0.012345679012345678
Train,downside_failure,5,-0.08641975308641975
Train,downside_failure,1,-0.19444444444444445
Train,downside_failure,2,-0.1111111111111111
Train,downside_failure,3,-0.08333333333333333
Train,downside_failure,4,0.16666666666666666
Train,downside_failure,5,0.18055555555555555
Train,upside_failure,1,0.07216494845360824
Train,upside_failure,2,0.08247422680412371
Train,upside_failure,3,0.13402061855670103
Train,upside_failure,4,0.10309278350515463
Train,upside_failure,5,0.12371134020618557
Train,downside_failure,1,-0.16176470588235295
Train,downside_failure,2,-0.20588235294117646
Train,downside_failure,3,-0.10294117647058823
Train,downside_failure,4,-0.14705882352941177
Train,downside_failure,5,-0.1323529411764706
Train,upside_failure,1,0.12244897959183673
Train,upside_failure,2,0.20408163265306123
Train,upside_failure,3,0.22448979591836735
Train,upside_failure,4,0.42857142857142855
Train,upside_failure,5,0.3469387755102041
Train,upside_failure,1,-0.1038961038961039
Train,upside_failure,2,0.025974025974025976
Train,upside_failure,3,0.06493506493506493
Train,upside_failure,4,0.16883116883116883
Train,upside_failure,5,0.14285714285714285
Train,downside_failure,1,0.1864406779661017
Train,downside_failure,2,0.2711864406779661
Train,downside_failure,3,0.3050847457627119
Train,downside_failure,4,0.2033898305084746
Train,downside_failure,5,0.3050847457627119
Train,upside_failure,1,0.061224489795918366
Train,upside_failure,2,0.04081632653061224
Train,upside_failure,3,-0.10204081632653061
Train,upside_failure,4,-0.12244897959183673
Train,upside_failure,5,-0.3469387755102041
Train,downside_failure,1,-0.19672131147540983
Train,downside_failure,2,-0.36065573770491804
Train,downside_failure,3,-0.29508196721311475
Train,downside_failure,4,-0.21311475409836064
Train,downside_failure,5,-0.21311475409836064
Train,downside_failure,1,-0.16666666666666666
Train,downside_failure,2,0.041666666666666664
Train,downside_failure,3,-0.125
Train,downside_failure,4,-0.20833333333333334
Train,downside_failure,5,-0.25
Train,downside_failure,1,0.038834951456310676
Train,downside_failure,2,0.3883495145631068
Train,downside_failure,3,0.2524271844660194
Train,downside_failure,4,0.42718446601941745
Train,downside_failure,5,0.32038834951456313
Train,upside_failure,1,0.18604651162790697
Train,upside_failure,2,0.06976744186046512
Train,upside_failure,3,0.13953488372093023
Train,upside_failure,4,0.03488372093023256
Train,upside_failure,5,0.0
Train,upside_failure,1,0.03260869565217391
Train,upside_failure,2,0.10869565217391304
Train,upside_failure,3,0.09782608695652174
Train,upside_failure,4,0.03260869565217391
Train,upside_failure,5,0.03260869565217391
Train,upside_failure,1,0.19736842105263158
Train,upside_failure,2,0.15789473684210525
Train,upside_failure,3,0.35526315789473684
Train,upside_failure,4,0.3026315789473684
Train,upside_failure,5,0.2631578947368421
Train,upside_failure,1,0.22448979591836735
Train,upside_failure,2,0.22448979591836735
Train,upside_failure,3,0.20408163265306123
Train,upside_failure,4,0.30612244897959184
Train,upside_failure,5,0.061224489795918366
Train,downside_failure,1,-0.10294117647058823
Train,downside_failure,2,-0.08823529411764706
Train,downside_failure,3,0.04411764705882353
Train,downside_failure,4,0.07352941176470588
