session_date,year,split,side,relative_volume,reentry_close_min,entry_min,entry,stop,target,target_name,risk_points,reward_r,exit_kind,net_points
2016-02-22,2016,Train,short,0.46865413356406826,764,765,4224.25,4230.75,4196.75,opposite_ib,6.5,4.230769230769231,stop,-7.5
2016-02-25,2016,Train,short,0.4238947013162335,829,830,4214.0,4218.0,4193.0,ib_mid,4.0,5.25,stop,-5.0
2016-02-25,2016,Train,short,0.4238947013162335,829,830,4214.0,4218.0,4170.25,opposite_ib,4.0,10.9375,stop,-5.0
2016-02-26,2016,Train,long,0.563466019879203,709,710,4241.5,4234.75,4256.75,ib_mid,6.75,2.259259259259259,stop,-7.75
2016-02-26,2016,Train,long,0.563466019879203,709,710,4241.5,4234.75,4273.75,opposite_ib,6.75,4.777777777777778,stop,-7.75
2016-02-29,2016,Train,short,0.5317738508199996,809,810,4243.5,4263.5,4236.25,ib_mid,20.0,0.3625,target,6.25
2016-02-29,2016,Train,short,0.5317738508199996,809,810,4243.5,4263.5,4224.75,opposite_ib,20.0,0.9375,target,17.75
2016-03-02,2016,Train,long,0.4099858690532266,779,780,4312.0,4299.25,4322.375,ib_mid,12.75,0.8137254901960784,stop,-13.75
2016-03-02,2016,Train,long,0.4099858690532266,779,780,4312.0,4299.25,4334.0,opposite_ib,12.75,1.7254901960784315,stop,-13.75
2016-03-04,2016,Train,short,0.6027419551686262,699,700,4330.75,4344.0,4315.625,ib_mid,13.25,1.1415094339622642,stop,-14.25
2016-03-04,2016,Train,short,0.6027419551686262,699,700,4330.75,4344.0,4298.0,opposite_ib,13.25,2.4716981132075473,stop,-14.25
2016-03-07,2016,Train,short,0.6190589921184618,804,805,4310.0,4330.25,4298.375,ib_mid,20.25,0.5740740740740741,target,10.625
2016-03-07,2016,Train,short,0.6190589921184618,804,805,4310.0,4330.25,4285.0,opposite_ib,20.25,1.2345679012345678,target,24.0
2016-03-08,2016,Train,short,0.32896070108174724,724,725,4291.5,4298.5,4276.375,ib_mid,7.0,2.1607142857142856,stop,-8.0
2016-03-08,2016,Train,short,0.32896070108174724,724,725,4291.5,4298.5,4258.75,opposite_ib,7.0,4.678571428571429,stop,-8.0
2016-03-15,2016,Train,short,0.6259532201217558,644,645,4348.0,4352.5,4339.625,ib_mid,4.5,1.8611111111111112,stop,-5.5
2016-03-15,2016,Train,short,0.6259532201217558,644,645,4348.0,4352.5,4329.5,opposite_ib,4.5,4.111111111111111,stop,-5.5
2016-03-17,2016,Train,short,0.5618341919990147,779,780,4393.75,4400.75,4380.5,ib_mid,7.0,1.8928571428571428,stop,-8.0
2016-03-17,2016,Train,short,0.5618341919990147,779,780,4393.75,4400.75,4366.5,opposite_ib,7.0,3.892857142857143,stop,-8.0
2016-03-18,2016,Train,short,0.5052892404460116,689,690,4403.5,4411.0,4391.375,ib_mid,7.5,1.6166666666666667,target,11.125
2016-03-18,2016,Train,short,0.5052892404460116,689,690,4403.5,4411.0,4375.75,opposite_ib,7.5,3.7,time,2.5
